NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
FBXO33	1	Fbxo33	
FBXO30	1	Fbxo30	
FBXO31	1	Fbxo31	
DRAP1	1	Drap1	
MNAT1	1	Mnat1	
SLC49A4	1	Slc49a4	
SLC49A3	1	Mfsd7a	
BCAR3	1	Bcar3	
KCNK5	1	Kcnk5	
PIWIL2	1	Piwil2	
KCNK6	1	Kcnk6	
ALAS2	1	Alas2	
PIWIL4	1	Piwil4	
KCNK7	1	Kcnk7	
ALAS1	1	Alas1	
HTR2B	1	Htr2b	
PPWD1	1	Ppwd1	
NENF	1	Nenf	
TNFSF13B	1	Tnfsf13b	
SPDL1	1	Spdl1	
NEO1	1	Neo1	
BCAS2	1	Bcas2	
BOK	1	Bok	
BCAS1	1	Bcas1	
SLC36A1	1	Slc36a1	
BCAS3	1	Bcas3	
SLC36A3	1	Slc36a3	
PIANP	1	Pianp	
SLC36A2	1	Slc36a2	
VPS13C	1	Vps13c	
VPS13D	1	Vps13d	
DHPS	1	Dhps	
VPS13A	1	Vps13a	
VPS13B	1	Vps13b	
RABGGTB	1	Rabggtb	
RABGGTA	1	Rabggta	
NEMF	1	Nemf	
C1D	1	C1d	
BCAT2	1	Bcat2	
C1S	1	C1s1	
C1R	1	C1ra	
LENG9	1	Leng9	
LENG8	1	Leng8	
U2AF1	1	U2af1	
IL2RG	1	Il2rg	
DRAM1	1	Dram1	
AWAT2	1	Awat2	
U2AF2	1	U2af2	
DRAM2	1	Dram2	
BBLN	1	1110008P14Rik	
SLC36A4	1	Slc36a4	
TSPOAP1	1	Tspoap1	
KCNJ2	1	Kcnj2	
GPKOW	1	Gpkow	
KCNJ8	1	Kcnj8	
KCNJ9	1	Kcnj9	
GSTZ1	1	Gstz1	
IL2RA	1	Il2ra	
IL2RB	1	Il2rb	
KCNK2	1	Kcnk2	
KCNK3	1	Kcnk3	
BCAR1	1	Bcar1	
SLC23A3	1	Slc23a3	
SLC23A2	1	Slc23a2	
CERK	1	Cerk	
SLC23A1	1	Slc23a1	
LGALSL	1	Lgalsl	
CCP110	1	Ccp110	
PEX26	1	Pex26	
LGALS4	1	Lgals4	
C4B	1	C4b	
LGALS3	1	Lgals3	
LGALS2	1	Lgals2	
LGALS1	1	Lgals1	
BSG	1	Bsg	
LGALS9	1	Lgals9	
ATXN7L1	1	Atxn7l1	
ATXN7L2	1	Atxn7l2	
LGALS8	1	Lgals8	
ATXN7L3	1	Atxn7l3	
LIMCH1	1	Limch1	
GOLPH3L	1	Golph3l	
CFDP1	1	Cfdp1	
BTD	1	Btd	
SOAT1	1	Soat1	
CRISPLD2	1	Crispld2	
SOAT2	1	Soat2	
KCNQ1	1	Kcnq1	
SUB1	1	Sub1	
NINJ1	1	Ninj1	
BTK	1	Btk	
KCNQ3	1	Kcnq3	
KCNQ4	1	Kcnq4	
KCNQ5	1	Kcnq5	
CES2	1	Ces2g	
CES1	1	Ces1d	
DHX8	1	Dhx8	
DHX9	1	Dhx9	
RRAD	1	Rrad	
ZBTB1	1	Zbtb1	
ZBTB5	1	Zbtb5	
ZBTB4	1	Zbtb4	
CFAP126	1	Cfap126	
ZBTB3	1	Zbtb3	
ZBTB2	1	Zbtb2	
NEU3	1	Neu3	
NKAIN4	1	Nkain4	
MRNIP	1	Mrnip	
RRAS	1	Rras	
RACGAP1	1	Racgap1	
NEU1	1	Neu1	
KCNN1	1	Kcnn1	
KCNN4	1	Kcnn4	
H3C7	1	Hist1h3a	
BBS2	1	Bbs2	
NTNG2	1	Ntng2	
BBS1	1	Bbs1	
SLC10A6	1	Slc10a6	
XBP1	1	Xbp1	
YES1	1	Yes1	
SLC10A7	1	Slc10a7	
SLC10A1	1	Slc10a1	
SLC10A3	1	Slc10a3	
SUCO	1	Suco	
IL36G	1	Il1f9	
CPLANE1	1	Cplane1	
NET1	1	Net1	
ZBTB6	1	Zbtb6	
MC1R	1	Mc1r	
SPDYA	1	Spdya	
OR4D11	1	Olfr1423	
GRB2	1	Grb2	
GRAP	1	Grap	
TFB1M	1	Tfb1m	
C8G	1	C8g	
SUFU	1	Sufu	
FCER1A	1	Fcer1a	
BBS9	1	Bbs9	
BBS7	1	Bbs7	
BBS5	1	Bbs5	
BBS4	1	Bbs4	
PCYT1B	1	Pcyt1b	
ZHX2	1	Zhx2	
FCER1G	1	Fcer1g	
ZHX3	1	Zhx3	
PCYT1A	1	Pcyt1a	
AGTRAP	1	Agtrap	
CACYBP	1	Cacybp	
TFB2M	1	Tfb2m	
ZHX1	1	Zhx1	
RNF144A	1	Rnf144a	
RNF144B	1	Rnf144b	
PITPNM1	1	Pitpnm1	
PITPNM2	1	Pitpnm2	
TAX1BP1	1	Tax1bp1	
FAM32A	1	Fam32a	
TAX1BP3	1	Tax1bp3	
FAM193B	1	Fam193b	
FAM193A	1	Fam193a	
SSNA1	1	Ssna1	
NEXN	1	Nexn	
PEX16	1	Pex16	
PEX19	1	Pex19	
KLHL2	1	Klhl2	
PEX10	1	Pex10	
KLHL3	1	Klhl3	
KCNRG	1	Kcnrg	
PEX12	1	Pex12	
PEX13	1	Pex13	
PEX14	1	Pex14	
KLHL9	1	Klhl9	
ETAA1	1	Etaa1	
TFAP4	1	Tfap4	
KLHL5	1	Klhl5	
KLHL6	1	Klhl6	
KLHL7	1	Klhl7	
KCNS3	1	Kcns3	
KLHL8	1	Klhl8	
CFAP161	1	Cfap161	
MC5R	1	Mc5r	
INPPL1	1	Inppl1	
PLAT	1	Plat	
IGF1R	1	Igf1r	
TXN2	1	Txn2	
PPIP5K1	1	Ppip5k1	
PPIP5K2	1	Ppip5k2	
PLAU	1	Plau	
ENPP2	1	Enpp2	
ENPP1	1	Enpp1	
RXYLT1	1	Rxylt1	
ENPP4	1	Enpp4	
ENPP6	1	Enpp6	
ENPP5	1	Enpp5	
CARD10	1	Card10	
ADAM11	1	Adam11	
ADAM10	1	Adam10	
DHDDS	1	Dhdds	
ADAM19	1	Adam19	
ADAM17	1	Adam17	
BRMS1	1	Brms1	
ADAM15	1	Adam15	
CARD19	1	Card19	
PLAA	1	Plaa	
CARD11	1	Card11	
HTRA3	1	Htra3	
HTRA4	1	Htra4	
HTRA1	1	Htra1	
DAPP1	1	Dapp1	
HTRA2	1	Htra2	
PLD4	1	Pld4	
PLD1	1	Pld1	
PLD3	1	Pld3	
PLD2	1	Pld2	
NME1-NME2	1	Nme2	
GRK3	1	Grk3	
GRK2	1	Grk2	
GRK5	1	Grk5	
GRK4	1	Grk4	
GRK6	1	Grk6	
PIBF1	1	Pibf1	
CHCHD10	1	Chchd10	
FAM199X	1	Fam199x	
IGF2R	1	Igf2r	
BSPRY	1	Bspry	
ZMYND15	1	Zmynd15	
ZMYND19	1	Zmynd19	
PLEK	1	Plek	
PITPNC1	1	Pitpnc1	
CA2	1	Car2	
CA4	1	Car4	
CA7	1	Car7	
MYBL2	1	Mybl2	
CA9	1	Car9	
CA8	1	Car8	
MYBL1	1	Mybl1	
SUN2	1	Sun2	
SUN1	1	Sun1	
ATP6AP1	1	Atp6ap1	
ATP6AP2	1	Atp6ap2	
CAD	1	Cad	
HUNK	1	Hunk	
ELF1	1	Elf1	
ELF2	1	Elf2	
GFOD1	1	Gfod1	
ELF4	1	Elf4	
CAT	1	Cat	
GFOD2	1	Gfod2	
SPATA31D1	1	Spata31d1b	
ZMYND10	1	Zmynd10	
ZMYND11	1	Zmynd11	
ZMYND12	1	Zmynd12	
SHANK3	1	Shank3	
SHANK1	1	Shank1	
PLEC	1	Plec	
RRN3	1	Rrn3	
CBL	1	Cbl	
FBXL21P	1	Fbxl21	
SV2C	1	Sv2c	
SV2B	1	Sv2b	
SV2A	1	Sv2a	
CBS	1	Cbs	
TBX21	1	Tbx21	
RRM1	1	Rrm1	
RRM2	1	Rrm2	
ZIC5	1	Zic5	
HS3ST6	1	Hs3st6	
SUOX	1	Suox	
HS3ST1	1	Hs3st1	
CD2	1	Cd2	
CD4	1	Cd4	
CCS	1	Ccs	
NOPCHAP1	1	D10Wsu102e	
CD6	1	Cd6	
CD5	1	Cd5	
CD7	1	Cd7	
CD9	1	Cd9	
CDA	1	Cda	
VPS29	1	Vps29	
CLEC10A	2	Clec10a:Mgl2	
RRP1	1	Rrp1	
GRPR	1	Grpr	
ELK1	1	Elk1	
RRP8	1	Rrp8	
ELK3	1	Elk3	
RRP9	1	Rrp9	
ELK4	1	Elk4	
ALCAM	1	Alcam	
VPS35	1	Vps35	
VPS36	1	Vps36	
VPS39	1	Vps39	
VPS18	1	Vps18	
CLEC11A	1	Clec11a	
HUS1	1	Hus1	
CEL	1	Cel	
NUP93	1	Nup93	
BCAM	1	Bcam	
HECW2	1	Hecw2	
TARS2	1	Tars2	
SRFBP1	1	Srfbp1	
TARS3	1	Tarsl2	
NUP98	1	Nup98	
VPS25	1	Vps25	
TARS1	1	Tars	
VPS28	1	Vps28	
CFB	1	Cfb	
CFD	1	Cfd	
CFH	2	Cfh:Gm4788	
METTL25B	1	Rrnad1	
CFP	1	Cfp	
RRP7A	1	Rrp7a	
NUP85	1	Nup85	
RRS1	1	Rrs1	
ST3GAL4	1	St3gal4	
VPS11	1	Vps11	
ST3GAL5	1	St3gal5	
NUP88	1	Nup88	
ST3GAL6	1	St3gal6	
ST3GAL1	1	St3gal1	
ST3GAL2	1	St3gal2	
VPS16	1	Vps16	
ST3GAL3	1	St3gal3	
PLK4	1	Plk4	
C3orf18	1	6430571L13Rik	
ARL14EP	1	Arl14ep	
PLK3	1	Plk3	
NFE2	1	Nfe2	
APOOL	1	Apool	
MCAM	1	Mcam	
PLK2	1	Plk2	
PLK1	1	Plk1	
CGN	1	Cgn	
C3orf14	1	3830406C13Rik	
ELL2	1	Ell2	
MCAT	1	Mcat	
GTF2IRD1	1	Gtf2ird1	
MOCS2	1	Mocs2	
MOCS3	1	Mocs3	
CHM	1	Chm	
STON2	1	Ston2	
MCEE	1	Mcee	
ELOA	1	Eloa	
ELOB	1	Elob	
ELOC	1	Eloc	
RRP12	1	Rrp12	
CIC	1	Cic	
RRP15	1	Rrp15	
ZIK1	1	Zik1	
EDARADD	1	Edaradd	
EXOC8	1	Exoc8	
PLLP	1	Pllp	
EXOC7	1	Exoc7	
CIT	1	Cit	
EXOC4	1	Exoc4	
EXOC3	1	Exoc3	
PLIN3	1	Plin3	
PLIN2	1	Plin2	
EXOC6	1	Exoc6	
EXOC5	1	Exoc5	
RCCD1	1	Rccd1	
MOCS1	1	Mocs1	
EXOC2	1	Exoc2	
EXOC1	1	Exoc1	
NFIX	1	Nfix	
C1orf198	1	2310022B05Rik	
PRUNE2	1	Prune2	
PRUNE1	1	Prune1	
METTL21A	1	Mettl21a	
APOL4	1	Apol8	
METTL21C	1	Mettl21c	
RRP36	1	Rrp36	
CKB	1	Ckb	
PAIP2	1	Paip2	
APOL3	1	Apol9b	
PAIP1	1	Paip1	
APOL2	1	Apol7c	
CKM	1	Ckm	
MOCOS	1	Mocos	
ELP1	1	Elp1	
RFLNB	1	Rflnb	
G0S2	1	G0s2	
ELP2	1	Elp2	
ELP3	1	Elp3	
ELP4	1	Elp4	
RRP1B	1	Rrp1b	
HIPK1	1	Hipk1	
ELP5	1	Elp5	
ELP6	1	Elp6	
HIPK3	1	Hipk3	
RFLNA	1	Rflna	
HIPK2	1	Hipk2	
NFIA	1	Nfia	
NFIB	1	Nfib	
NFIC	1	Nfic	
PLP1	1	Plp1	
FOSB	1	Fosb	
PLP2	1	Plp2	
TMEM229A	1	Tmem229a	
TMEM229B	1	Tmem229b	
C1orf174	1	A430005L14Rik	
CLU	1	Clu	
LCLAT1	1	Lclat1	
THG1L	1	Thg1l	
CFL2	1	Cfl2	
CFL1	1	Cfl1	
PLS3	1	Pls3	
OIP5	1	Oip5	
IL13RA1	1	Il13ra1	
KCMF1	1	Kcmf1	
COL27A1	1	Col27a1	
FKBPL	1	Fkbpl	
DIO1	1	Dio1	
LEMD3	1	Lemd3	
FAM91A1	1	Fam91a1	
LEMD2	1	Lemd2	
TOM1L1	1	Tom1l1	
TOM1L2	1	Tom1l2	
FKBP8	1	Fkbp8	
FKBP7	1	Fkbp7	
FKBP9	1	Fkbp9	
FKBP4	1	Fkbp4	
FKBP3	1	Fkbp3	
FKBP6	1	Fkbp6	
FKBP5	1	Fkbp5	
FKBP2	1	Fkbp2	
CNP	1	Cnp	
CD300LB	1	Cd300lb	
CD300LD	2	Cd300ld:Cd300ld3	
CD300LF	1	Cd300lf	
PLTP	1	Pltp	
CD300LG	1	Cd300lg	
MCL1	1	Mcl1	
TCEANC	1	Tceanc	
C1orf162	1	I830077J02Rik	
BCL9	1	Bcl9	
UBOX5	1	Ubox5	
BCL6	1	Bcl6	
CPD	1	Cpd	
BCL3	1	Bcl3	
BCL2	1	Bcl2	
CPE	1	Cpe	
C1orf159	1	9430015G10Rik	
OSCP1	1	Oscp1	
SLC48A1	1	Slc48a1	
CPM	1	Cpm	
MCM7	1	Mcm7	
MCM8	1	Mcm8	
ZC3H4	1	Zc3h4	
C1orf131	1	2810004N23Rik	
CPQ	1	Cpq	
COL14A1	1	Col14a1	
MCM9	1	Mcm9	
ZC3H3	1	Zc3h3	
ZC3H8	1	Zc3h8	
ZC3H6	1	Zc3h6	
VPS72	1	Vps72	
CEP170B	1	Cep170b	
EVI5L	1	Evi5l	
CR2	1	Cr2	
GGPS1	1	Ggps1	
SGIP1	1	Sgip1	
DIS3	1	Dis3	
APOA2	1	Apoa2	
APOA1	1	Apoa1	
SAPCD2	1	Sapcd2	
SAPCD1	1	Sapcd1	
MCM3	1	Mcm3	
ST20-MTHFS	2	Mthfsl:Mthfs	
MCM4	1	Mcm4	
MCM5	1	Mcm5	
MCM6	1	Mcm6	
CRK	1	Crk	
MCM2	1	Mcm2	
HDAC4	1	Hdac4	
CEBPA	1	Cebpa	
HDAC5	1	Hdac5	
C1orf112	1	BC055324	
CEBPB	1	Cebpb	
HDAC2	1	Hdac2	
HDAC3	1	Hdac3	
CEBPD	1	Cebpd	
HDAC1	1	Hdac1	
CEBPE	1	Cebpe	
VPS4B	1	Vps4b	
CEBPG	1	Cebpg	
VPS4A	1	Vps4a	
TULP4	1	Tulp4	
TULP3	1	Tulp3	
TULP2	1	Tulp2	
TULP1	1	Tulp1	
HDAC8	1	Hdac8	
HDAC9	1	Hdac9	
HDAC6	1	Hdac6	
HDAC7	1	Hdac7	
STOX2	1	Stox2	
NFS1	1	Nfs1	
HECTD1	1	Hectd1	
VPS51	1	Vps51	
HECTD2	1	Hectd2	
HECTD3	1	Hectd3	
VPS50	1	Vps50	
SVBP	1	Svbp	
HECTD4	1	Hectd4	
VPS53	1	Vps53	
VPS52	1	Vps52	
IL21R	1	Il21r	
XIRP1	1	Xirp1	
VPS54	1	Vps54	
C1orf109	1	9930104L06Rik	
CSK	1	Csk	
BCO2	1	Bco2	
SLC35A2	1	Slc35a2	
MGME1	1	Mgme1	
SLC35A1	1	Slc35a1	
SLC35A4	1	Slc35a4	
SLC35A3	1	Slc35a3	
C1orf122	1	1110065P20Rik	
APOC4	1	Apoc4	
APOBR	1	Apobr	
KBTBD11	1	Kbtbd11	
CPPED1	1	Cpped1	
ASXL1	1	Asxl1	
MAB21L3	1	Mab21l3	
EVI2A	1	Evi2a	
CTH	1	Cth	
APOC2	1	Apoc2	
APOC1	1	Apoc1	
VPS41	1	Vps41	
ASXL2	1	Asxl2	
CEBPZ	1	Cebpz	
BCOR	1	Bcor	
VPS45	1	Vps45	
EVI2B	1	Evi2	
C1orf116	1	AA986860	
C1orf115	1	C130074G19Rik	
SLC35B3	1	Slc35b3	
SLC35B2	1	Slc35b2	
IL1RN	1	Il1rn	
SLC35B4	1	Slc35b4	
MISP3	1	2210011C24Rik	
SLC35B1	1	Slc35b1	
C6orf89	1	BC004004	
NFU1	1	Nfu1	
RPS6KA4	1	Rps6ka4	
RPS6KA3	1	Rps6ka3	
RPS6KA5	1	Rps6ka5	
NIPAL1	1	Nipal1	
NIPAL2	1	Nipal2	
RPS6KA2	1	Rps6ka2	
RPS6KA1	1	Rps6ka1	
NIPAL3	1	Nipal3	
ARFIP2	1	Arfip2	
ARFIP1	1	Arfip1	
SLC35A5	1	Slc35a5	
TANGO6	1	Tango6	
IL1R1	1	Il1r1	
IL1R2	1	Il1r2	
SLC35C2	1	Slc35c2	
TANGO2	1	Tango2	
SLC35C1	1	Slc35c1	
TWSG1	1	Twsg1	
IL23A	1	Il23a	
GSAP	1	Gsap	
SLC22A4	1	Slc22a4	
SLC22A5	2	Slc22a5:Slc22a21	
SLC35D1	1	Slc35d1	
SH2D2A	1	Sh2d2a	
SLC35D2	1	Slc35d2	
CFAP251	1	Wdr66	
GSE1	1	Gse1	
FAM43A	1	Fam43a	
ARGLU1	1	Arglu1	
XCR1	1	Xcr1	
SLC35E1	1	Slc35e1	
SLC35E4	1	Slc35e4	
SLC35E3	1	Slc35e3	
SH2D1B	1	Sh2d1b1	
MPHOSPH10	1	Mphosph10	
TECPR2	1	Tecpr2	
TECPR1	1	Tecpr1	
SLC35F6	1	Slc35f6	
CAB39L	1	Cab39l	
SLC35F5	1	Slc35f5	
MCUB	1	Mcub	
RSF1	1	Rsf1	
C6orf47	1	D17H6S53E	
SIPA1L2	1	Sipa1l2	
SIPA1L3	1	Sipa1l3	
SIPA1L1	1	Sipa1l1	
GSG1	1	Gsg1	
SLC35G2	1	Slc35g2	
TYK2	1	Tyk2	
SLC35G1	1	Slc35g1	
CFAP299	1	Cfap299	
MTSS1	1	Mtss1	
MTSS2	1	Mtss1l	
NFX1	1	Nfx1	
C1QTNF12	1	C1qtnf12	
AMER1	1	Amer1	
AMER2	1	Amer2	
MEGF6	1	Megf6	
TYMS	1	Tyms	
TCEAL8	1	Tceal8	
CFAP298	1	Cfap298	
C6orf62	1	BC005537	
EMC1	1	Emc1	
TCEAL1	1	Tceal1	
EMC2	1	Emc2	
SUSD4	1	Susd4	
EMC3	1	Emc3	
EMC4	1	Emc4	
SUSD3	1	Susd3	
SUSD6	1	Susd6	
EMC6	1	Emc6	
EMC7	1	Emc7	
EMC8	1	Emc8	
EMC9	1	Emc9	
TCEAL9	1	Tceal9	
SVIL	1	Svil	
NFYA	1	Nfya	
NFYB	1	Nfyb	
NFYC	1	Nfyc	
SUSD1	1	Susd1	
SVIP	1	Svip	
SPCS3	1	Spcs3	
SPCS2	1	Spcs2	
SPCS1	1	Spcs1	
GSTA3	1	Gsta3	
LRRN4CL	1	Lrrn4cl	
QPCT	1	Qpct	
GSTA1	1	Gsta4	
MEGF8	1	Megf8	
SIPA1	1	Sipa1	
MEGF9	1	Megf9	
SPPL2B	1	Sppl2b	
SPPL2A	1	Sppl2a	
ROGDI	1	Rogdi	
PAIP2B	1	Paip2b	
EME1	1	Eme1	
C3orf62	1	1700102P08Rik	
EME2	1	Eme2	
FPGT	1	Fpgt	
FPGS	1	Fpgs	
POSTN	1	Postn	
TRPC4AP	1	Trpc4ap	
EMCN	1	Emcn	
C3orf70	1	2510009E07Rik	
SPECC1L	1	Specc1l	
MYADM	1	Myadm	
TIMELESS	1	Timeless	
NUPR2	1	Nupr1l	
NUPR1	1	Nupr1	
PMEL	1	Pmel	
ISYNA1	1	Isyna1	
GSTCD	1	Gstcd	
CLEC16A	1	Clec16a	
CAMSAP1	1	Camsap1	
RSKR	1	Rskr	
CAMSAP2	1	Camsap2	
C3orf80	1	1110032F04Rik	
EMG1	1	Emg1	
TASOR	1	Tasor	
TASP1	1	Tasp1	
PNPT1	1	Pnpt1	
DIAPH1	1	Diaph1	
DIAPH2	1	Diaph2	
DAP	1	Dap	
DAO	1	Dao	
DIAPH3	1	Diaph3	
PXMP2	1	Pxmp2	
PXMP4	1	Pxmp4	
SKIV2L	1	Skiv2l	
COLGALT2	1	Colgalt2	
CGAS	1	Cgas	
DBI	1	Dbi	
CLEC14A	1	Clec14a	
C3orf20	1	4930590J08Rik	
DBP	1	Dbp	
NTMT1	1	Ntmt1	
DBT	1	Dbt	
COLGALT1	1	Colgalt1	
STPG1	1	Stpg1	
C3orf38	1	4930453N24Rik	
C3orf33	1	E130311K13Rik	
OXSR1	1	Oxsr1	
DCK	1	Dck	
DCN	1	Dcn	
DCT	1	Dct	
DNASE2	1	Dnase2a	
CLEC12A	1	Clec12a	
CLEC12B	1	Clec12b	
RPS6KC1	1	Rps6kc1	
DDT	1	Ddt	
TYW1	1	Tyw1	
PDSS2	1	Pdss2	
PDSS1	1	Pdss1	
ATP13A1	1	Atp13a1	
C3orf52	1	BC016579	
DEK	1	Dek	
DES	1	Des	
RPS6KB1	1	Rps6kb1	
RPS6KB2	1	Rps6kb2	
ATP13A2	1	Atp13a2	
ATP13A3	1	Atp13a3	
MT-ND6	1	mt-Nd6	
MDC1	1	Mdc1	
MT-ND4	1	mt-Nd4	
MT-ND5	1	mt-Nd5	
MT-ND2	1	mt-Nd2	
MT-ND3	1	mt-Nd3	
MT-ND1	1	mt-Nd1	
SCAMP5	1	Scamp5	
IL4I1	1	Il4i1	
LACTB	1	Lactb	
CYP2D6	1	Cyp2d22	
IGLON5	1	Iglon5	
TYW5	1	Tyw5	
TYW3	1	Tyw3	
NGDN	1	Ngdn	
SCAMP1	1	Scamp1	
HSPG2	1	Hspg2	
EML1	1	Eml1	
SCAMP3	1	Scamp3	
EML2	1	Eml2	
SCAMP2	1	Scamp2	
EML3	1	Eml3	
EML4	1	Eml4	
AR	1	Ar	
EML5	1	Eml5	
EML6	1	Eml6	
PRKAR1B	1	Prkar1b	
PRKAR1A	1	Prkar1a	
RBCK1	1	Rbck1	
CGGBP1	1	Cggbp1	
DHH	1	Dhh	
SHOX2	1	Shox2	
FPR1	1	Fpr1	
FPR2	1	Fpr2	
AAAS	1	Aaas	
C2	1	C2	
C3	1	C3	
DYNC2LI1	1	Dync2li1	
C5	1	Hc	
HSPH1	1	Hsph1	
C6	1	C6	
C7	1	C7	
PRKAR2B	1	Prkar2b	
PRKAR2A	1	Prkar2a	
C9	1	C9	
RSU1	1	Rsu1	
EXPH5	1	Exph5	
NGFR	1	Ngfr	
PMM1	1	Pmm1	
PMM2	1	Pmm2	
CP	1	Cp	
GRIN2D	1	Grin2d	
CS	1	Cs	
GRIN3B	1	Grin3b	
LAD1	1	Lad1	
LRSAM1	1	Lrsam1	
RPLP1	1	Rplp1	
RPLP0	1	Rplp0	
QPRT	1	Qprt	
ECSIT	1	Ecsit	
AACS	1	Aacs	
NIPBL	1	Nipbl	
RPLP2	1	Rplp2	
APPL2	1	Appl2	
APPL1	1	Appl1	
ACTL6A	1	Actl6a	
SIRT4	1	Sirt4	
NIPA1	1	Nipa1	
EMP1	1	Emp1	
SIRT5	1	Sirt5	
SIRT6	1	Sirt6	
EMP2	1	Emp2	
EMP3	1	Emp3	
NIPA2	1	Nipa2	
SIRT7	1	Sirt7	
F3	1	F3	
SIRT1	1	Sirt1	
FAHD2A	1	Fahd2a	
SIRT2	1	Sirt2	
F5	1	F5	
ELAPOR1	1	5330417C22Rik	
SIRT3	1	Sirt3	
F7	1	F7	
F8	1	F8	
F9	1	F9	
BDH2	1	Bdh2	
BDH1	1	Bdh1	
CDC42EP5	1	Cdc42ep5	
CDC42EP4	1	Cdc42ep4	
CDC42EP3	1	Cdc42ep3	
CDC42EP2	1	Cdc42ep2	
CDC42EP1	1	Cdc42ep1	
PICK1	1	Pick1	
DLD	1	Dld	
FH	1	Fh1	
CCNDBP1	1	Ccndbp1	
MYCT1	1	Myct1	
