Probeset_ID,Gene Symbol,LMIsW,Sample_,Sample_,Sample_
10338125,---,-76.26,-37.03,-86.32,-92.33
10338126,---,-69.44,-79.71,-98.10,-22.19
10338127,---,-82.93,-65.19,-87.47,-88.32
10338128,---,80.81,77.98,88.59,72.29
10338129,---,76.69,71.40,78.62,79.20
10338130,---,56.07,87.35,24.41,25.54
10338131,---,-6.56,-12.33,-48.24,48.01
10338132,---,87.21,72.68,67.24,97.49
10338133,---,-26.20,-15.35,-59.31,2.45
10338134,---,-64.37,-88.35,13.18,-78.08
10338135,---,-47.10,-75.73,-23.08,-41.62
10338136,---,52.47,25.57,53.13,72.09
10338137,---,73.63,72.02,79.85,67.36
10338138,---,4.37,1.41,4.87,8.27
10338139,---,-28.06,6.61,-72.09,-7.23
10338140,---,-85.24,-76.27,-98.03,-48.29
10338141,---,-60.60,-55.29,-81.91,-39.80
10338142,---,19.22,22.89,37.85,-2.58
10338143,---,-62.73,-39.14,-84.97,-66.88
10338144,---,-65.85,-61.41,-74.77,-59.88
10338145,---,30.04,-6.05,10.93,69.28
10338146,---,54.66,36.09,60.41,62.72
10338147,---,-62.23,-60.95,-67.14,-56.25
10338148,---,17.08,-14.30,38.78,24.93
10338149,---,-34.37,-40.39,-58.22,-3.13
10338150,---,83.88,68.89,91.58,87.47
10338151,---,-62.08,-69.37,-42.82,-71.75
10338152,---,70.02,79.45,83.95,33.92
10338153,---,-39.66,38.49,-29.50,-96.81
10338154,---,2.62,58.37,-29.76,-33.52
10338155,---,32.85,58.87,16.21,24.47
10338156,---,-35.48,-82.98,27.44,-25.13
10338157,---,-28.61,-36.77,-34.49,-14.86
10338158,---,-30.68,-75.66,1.02,-25.28
10338159,---,-72.36,-87.92,-37.70,-79.67
10338160,---,74.95,77.41,61.60,83.46
10338161,---,78.61,80.19,74.11,80.73
10338162,---,45.07,38.44,2.25,74.52
10338163,---,28.21,26.46,40.36,18.25
10338164,---,7.27,-51.18,10.69,61.52
10338165,---,-25.96,-37.97,17.39,-62.27
10338166,---,-65.26,-76.62,-52.52,-63.00
10338167,---,-55.14,-13.74,-70.53,-89.12
10338168,---,-89.62,-72.12,-91.99,-96.25
10338169,---,25.43,48.42,25.08,1.18
10338170,---,-33.68,-17.69,10.97,-87.60
10338171,---,-29.29,-41.53,-68.20,11.03
10338172,---,43.05,84.52,16.34,-8.06
10338173,---,30.51,61.21,2.94,6.81
10338174,---,-32.67,11.90,-14.23,-77.32
10338175,---,-50.16,-30.91,-62.20,-60.06
10338176,---,8.19,-8.03,25.39,8.94
10338177,---,80.97,93.27,11.76,93.63
10338178,---,72.70,68.78,79.20,69.21
10338179,---,25.07,25.50,20.11,30.32
10338180,---,85.99,80.49,87.81,88.84
10338181,---,-2.23,65.66,-33.69,-33.12
10338182,---,98.75,98.51,98.75,99.08
10338183,---,3.87,35.88,-21.50,6.77
10338184,---,36.73,49.65,-18.59,68.99
10338185,---,90.25,97.48,63.16,94.58
10338186,---,46.30,65.51,50.30,9.28
10338187,---,34.35,27.80,32.11,42.07
10338188,---,3.09,9.26,-10.91,13.91
10338189,---,43.86,32.53,2.53,74.38
10338190,---,-29.82,3.83,-47.37,-46.10
10338191,---,-6.36,-42.41,72.42,-55.41
10338192,---,-48.09,-22.56,3.80,-86.82
10338193,---,53.98,68.75,51.40,39.17
10338194,---,69.28,67.87,64.82,74.31
10338195,---,-14.38,5.01,-0.22,-43.37
10338196,---,24.86,30.76,17.44,27.29
10338197,---,-45.16,-42.56,-2.63,-79.01
10338198,---,-85.18,-74.13,-84.88,-94.38
10338199,---,-97.36,-99.49,-98.45,-88.57
10338200,---,-76.36,-81.56,-70.37,-76.18
10338201,---,47.78,71.39,-2.76,62.49
10338202,---,-43.93,-69.73,-46.18,-11.84
10338203,---,-30.51,17.91,-56.01,-51.08
10338204,---,79.63,91.15,66.02,73.80
10338205,---,-11.46,-14.65,11.27,-32.07
10338206,---,-47.01,-60.06,-66.57,-22.42
10338207,---,-21.13,-21.47,-22.19,-19.68
10338208,---,79.28,85.25,74.86,76.28
10338209,---,63.76,68.51,35.85,76.11
10338210,---,-12.25,-52.93,-1.61,13.62
10338211,---,-38.19,0.83,-40.94,-69.19
10338212,---,8.64,6.36,-26.85,51.24
10338213,---,-58.78,-64.38,-42.84,-67.53
10338214,---,-24.13,-19.87,-36.49,-17.20
10338215,---,33.68,27.71,-6.56,64.59
10338216,---,17.21,0.53,15.74,33.21
10338217,---,-100.00,-100.00,-99.97,-100.03
10338218,---,48.02,69.77,22.57,45.46
10338219,---,92.91,86.42,94.81,94.94
10338220,---,-39.60,-60.78,-21.56,-36.17
10338221,---,-15.36,-6.64,-18.43,-19.98
10338222,---,-68.12,-69.41,-77.63,-55.04
10338223,---,-42.89,-22.91,-77.71,-9.25
10338224,---,19.60,39.42,35.98,-20.46
10338225,---,-17.22,-11.11,-64.77,30.77
10338226,---,-84.06,-60.90,-95.91,-80.44
10338227,---,71.66,77.67,76.49,57.57
10338228,---,90.18,89.72,89.98,91.02
10338229,---,-75.64,-70.29,-91.36,-60.50
10338230,---,-19.86,-11.04,-67.23,16.51
10338231,---,-36.41,-31.97,-43.51,-33.34
10338232,---,74.10,79.26,64.93,76.16
10338233,---,-44.33,-54.08,-40.97,-38.06
10338234,---,46.60,37.10,52.27,50.33
10338235,---,-80.42,-87.44,-74.60,-78.10
10338236,---,-71.30,-23.18,-88.60,-89.38
10338237,---,64.99,-14.04,76.24,88.88
10338238,---,-88.67,-95.25,-81.65,-84.61
10338239,---,91.41,92.36,88.93,92.88
10338240,---,-73.18,-84.42,-64.21,-69.17
10338241,---,-19.57,-23.76,-23.94,-12.14
10338242,---,87.18,88.77,89.80,80.59
10338243,---,-11.36,-41.83,22.53,-13.19
10338244,---,-29.07,-21.48,-44.61,-18.09
10338245,---,-15.68,-8.58,-74.33,-2.12
10338246,---,-35.76,-30.37,-13.68,-58.90
10338247,---,9.86,46.75,-18.78,8.11
10338248,---,-26.51,-18.77,-31.23,-29.35
10338249,---,4.40,23.16,31.45,-40.01
10338250,---,52.34,-1.58,63.51,79.11
10338251,---,5.81,33.53,7.94,-18.54
10338252,---,-75.85,-46.28,-69.17,-97.40
10338253,---,51.57,55.58,43.59,55.09
10338254,---,57.89,50.72,46.79,70.02
10338255,---,-56.58,-23.29,-77.89,-76.76
10338256,---,-14.21,64.02,-57.27,-43.37
10338257,---,48.95,56.33,46.92,43.26
10338258,---,42.11,36.26,33.06,55.31
10338259,---,39.74,42.67,75.26,-12.03
10338260,---,-12.95,35.58,24.48,-82.04
10338261,---,59.53,75.71,24.29,66.85
10338262,---,-32.61,-37.66,-22.79,-39.51
10338263,---,51.35,47.27,32.29,69.42
10338264,---,94.05,95.84,93.38,92.53
10338265,---,-65.04,-47.76,-62.56,-81.56
10338266,---,-41.85,-34.10,-56.21,-36.72
10338267,---,88.49,94.91,79.35,85.90
10338268,---,33.63,91.00,21.12,-54.98
10338269,---,18.44,74.89,-7.04,-24.91
10338270,---,-38.89,-59.17,-45.29,-12.35
10338271,---,-4.68,-42.67,-4.42,33.90
10338272,---,90.56,95.38,89.27,84.50
10338273,---,-14.93,-26.16,0.97,-21.01
10338274,---,-80.96,-90.45,-75.38,-73.73
10338275,---,-13.38,-38.17,-0.55,-2.86
10338276,---,-12.80,50.36,-29.18,-56.97
10338277,---,-50.88,-46.79,-76.57,-20.72
10338278,---,15.62,-18.45,-10.42,68.02
10338279,---,-93.74,-49.60,-90.28,-99.80
10338280,---,-25.45,-27.47,-21.97,-26.29
10338281,---,97.21,97.72,95.36,98.29
10338282,---,98.85,98.89,98.07,99.39
10338283,---,83.70,76.31,87.84,85.40
10338284,---,56.23,77.30,74.04,-3.36
10338285,---,-28.58,41.98,-45.69,-72.50
10338286,---,1.22,-16.05,8.26,3.76
10338287,---,-64.24,-66.84,-82.17,-35.69
10338288,---,-78.98,-91.56,-73.38,-65.16
10338289,---,33.55,18.36,30.90,49.82
10338290,---,73.08,67.88,81.68,65.67
10338291,---,-34.64,-1.19,-33.60,-61.96
10338292,---,-10.06,-9.69,-17.18,-3.52
10338293,---,27.48,54.50,8.33,16.01
10338294,---,-44.16,-51.32,-67.38,-11.43
10338295,---,7.54,8.13,7.54,7.06
10338296,---,-47.56,-71.86,-33.48,-37.15
10338297,---,53.91,54.41,63.64,40.91
10338298,---,65.02,71.40,62.79,59.37
10338299,---,82.67,96.80,49.89,73.80
10338300,---,71.89,79.37,81.96,45.62
10338301,---,76.99,86.64,71.26,72.25
10338302,---,-79.17,-86.02,-88.89,-55.16
10338303,---,-96.42,-98.83,-96.70,-92.27
10338304,---,-58.85,-78.09,-8.25,-78.04
10338305,---,-82.69,-96.25,-83.51,-49.63
10338306,---,60.30,43.35,67.01,66.78
10338307,---,-46.34,-25.86,-48.84,-68.63
10338308,---,-63.39,-53.89,-67.38,-68.97
10338309,---,8.50,-46.06,5.08,68.52
10338310,---,-22.96,-44.54,-11.05,-12.86
10338311,---,-27.13,-55.63,6.46,-31.84
10338312,---,-30.83,-22.25,-7.66,-58.11
10338313,---,-23.31,17.13,-64.26,-23.56
10338314,---,-19.42,-46.32,2.56,-13.67
10338315,---,3.31,15.70,-0.72,-3.24
10338316,---,21.26,19.56,32.46,12.46
10338317,---,29.16,28.14,39.85,17.95
10338318,---,22.60,0.57,13.27,51.62
10338319,---,14.47,-19.96,36.81,24.63
10338320,---,63.06,74.88,60.58,50.31
10338321,---,-71.51,-88.59,-81.48,-35.70
10338322,---,36.33,29.00,57.51,19.33
10338323,---,-32.84,-65.30,14.63,-43.58
10338324,---,-12.17,4.91,-0.72,-39.03
10338325,---,6.06,-32.70,37.95,12.44
10338326,---,69.88,64.74,68.22,75.67
10338327,---,77.55,71.91,68.19,87.42
10338328,---,-69.90,-63.20,-62.83,-81.81
10338329,---,-31.94,-32.96,-9.16,-63.09
10338330,---,-81.10,-93.04,-25.28,-92.17
10338331,---,-52.66,-89.94,-15.96,-54.49
10338332,---,86.37,90.12,86.71,81.89
10338333,---,-54.04,-72.64,-51.21,-38.81
10338334,---,68.06,5.99,67.36,89.09
10338335,---,-95.35,-90.67,-95.75,-98.00
10338336,---,-15.39,-57.42,14.63,-5.60
10338337,---,-13.13,-50.42,22.26,-9.57
10338338,---,-73.01,-69.90,-48.37,-94.72
10338339,---,-73.30,-53.57,-79.02,-83.84
10338340,---,-99.33,-99.16,-99.60,-98.86
10338341,---,70.62,83.32,59.87,63.11
10338342,---,-73.98,-93.52,-25.43,-93.07
10338343,---,-53.82,-88.57,-31.99,-44.73
10338344,---,-42.63,-33.36,-33.93,-58.32
10338345,---,-82.44,-75.45,-88.72,-82.41
10338346,---,-58.60,-37.75,-79.40,-49.32
10338347,---,72.94,73.94,71.44,73.28
10338348,---,-60.76,-50.90,-53.47,-74.15
10338349,---,-54.63,-42.09,-77.41,-29.92
10338350,---,-23.11,-19.80,-11.93,-38.30
10338351,---,-57.80,-58.76,-61.70,-52.33
10338352,---,-56.82,-46.68,-65.01,-59.87
10338353,---,92.14,94.17,93.07,86.86
10338354,---,48.54,73.80,42.61,23.52
10338355,---,-3.54,43.26,42.21,-80.07
10338356,---,83.47,90.09,82.10,76.10
10338357,---,-68.27,-66.60,-65.22,-72.64
10338358,---,-20.28,-4.71,-26.69,-29.60
10338359,---,99.79,99.94,99.42,99.94
10338360,---,-57.83,1.85,-72.57,-82.79
10338361,---,92.82,93.34,88.33,95.51
10338362,---,38.95,82.33,-67.05,68.26
10338363,---,-44.41,-24.25,-69.78,-30.03
10338364,---,-75.43,-96.31,-62.14,-41.04
10338365,---,-34.27,-64.93,-31.45,-9.46
10338366,---,95.09,94.48,95.78,94.78
10338367,---,-93.88,-98.67,-95.31,-70.21
10338368,---,-84.30,-75.56,-80.10,-92.55
10338369,---,-56.17,-73.22,-45.06,-43.92
10338370,---,-7.25,33.08,31.37,-66.74
10338371,---,-34.24,-22.58,-54.64,-21.77
10338372,---,-81.31,-77.09,-70.13,-92.42
10338373,---,40.41,25.23,44.30,50.32
10338374,---,-99.61,-99.79,-99.58,-99.76
10338375,---,-16.49,-44.10,-42.60,42.95
10338376,---,-91.67,-86.89,-96.51,-89.69
10338377,---,-36.22,19.00,-82.85,-30.98
10338378,---,-74.65,-15.75,-83.09,-94.24
10338379,---,-17.00,60.28,-88.43,-22.89
10338380,---,9.61,2.68,13.07,10.79
10338381,---,-18.91,-0.81,-66.52,-8.30
10338382,---,-50.16,-24.01,-63.85,-58.57
10338383,---,11.00,34.91,8.51,-13.76
10338384,---,16.86,84.43,-1.11,-42.19
10338385,---,-57.21,-51.40,-39.11,-76.98
10338386,---,-44.97,-76.29,-74.53,2.74
10338387,---,43.22,31.11,25.21,64.03
10338388,---,26.00,57.76,-17.92,30.49
10338389,---,-94.54,-94.75,-94.57,-94.27
10338390,---,23.29,3.18,42.81,21.38
10338391,---,-34.36,-41.92,-40.59,-19.53
10338392,---,-47.42,-48.12,-76.52,-9.86
10338393,---,-3.47,-4.26,-6.22,-0.34
10338394,---,-91.99,-90.31,-93.06,-91.69
10338395,---,-93.88,-85.34,-93.77,-97.04
10338396,---,-39.30,-32.90,-69.35,-9.64
10338397,---,-12.30,-0.31,-29.04,-12.61
10338398,---,64.96,65.15,76.08,48.42
10338399,---,22.23,17.86,19.99,30.56
10338400,---,-70.78,-77.07,-59.50,-75.93
10338401,---,-38.74,-90.92,-29.14,-3.76
10338402,---,-0.71,32.18,-8.19,-15.94
10338403,---,-54.17,-79.19,-58.66,-23.00
10338404,---,36.91,33.20,48.04,27.11
10338405,---,-47.52,-24.57,-54.74,-67.91
10338406,---,-55.62,-17.52,-89.27,-38.05
10338407,---,23.81,39.86,1.64,25.81
10338408,---,25.03,25.13,82.22,-54.71
10338409,---,18.59,12.14,5.14,39.34
10338410,---,92.28,93.28,89.07,93.35
10338411,---,15.49,18.58,13.28,15.15
10338412,---,80.01,93.14,54.22,75.17
10338413,---,74.89,79.96,72.66,72.66
10338414,---,-23.27,-26.47,26.97,-64.49
10338415,---,-8.80,-54.21,-15.97,41.82
10338416,---,80.59,80.00,79.86,81.82
10338417,---,-83.55,-85.48,-87.96,-75.60
10338418,---,-60.60,-51.11,-36.63,-89.78
10338419,---,0.08,8.71,34.45,-44.78
10338420,---,-55.40,-67.11,-56.47,-40.97
10338421,---,-80.39,-82.75,-82.75,-72.75
10338422,---,-45.33,-45.36,-78.24,-0.21
10338423,---,71.94,67.50,77.83,69.99
10338424,---,53.54,49.27,61.18,50.39
10338425,---,39.50,38.60,45.02,33.25
10338426,---,-81.40,-37.13,-97.99,-81.99
10338427,---,98.53,98.82,92.34,99.48
10338428,---,-84.92,-89.95,-97.77,-53.18
10338429,---,49.54,31.67,66.85,46.63
10338430,---,-27.32,-6.06,-47.30,-34.98
10338431,---,-49.01,-65.08,-11.83,-65.66
10338432,---,-80.66,-69.72,-98.77,-54.24
10338433,---,70.16,66.71,70.25,73.08
10338434,---,-99.72,-99.98,-96.76,-98.63
10338435,---,-48.65,-29.03,-61.17,-61.21
10338436,---,-53.53,-75.07,-23.71,-73.20
10338437,---,-69.22,-64.41,-56.39,-81.48
10338438,---,-33.84,-17.89,-24.97,-60.24
10338439,---,-74.23,-87.46,-6.30,-95.86
10338440,---,40.79,60.89,-34.50,73.24
10338441,---,94.60,91.05,96.45,94.40
10338442,---,-9.16,-9.63,-8.49,-9.49
10338443,---,75.35,85.07,34.72,85.36
10338444,---,-30.72,-46.41,-90.19,-0.67
10338445,---,-15.68,-29.37,-14.03,-3.72
10338446,---,-5.19,2.89,-14.64,-11.12
10338447,---,-27.94,-20.54,-7.91,-51.32
10338448,---,-23.12,16.22,-43.84,-40.63
10338449,---,75.24,59.54,90.31,68.03
10338450,---,-39.66,63.15,-58.89,-95.94
10338451,---,-44.09,-23.51,-93.08,-23.47
10338452,---,-83.70,-88.16,-87.76,-73.77
10338453,---,57.55,74.40,16.29,68.37
10338454,---,-28.70,-38.34,-35.55,-14.36
10338455,---,47.03,38.90,44.63,55.16
10338456,---,-76.71,-88.02,-34.46,-86.90
10338457,---,-22.85,34.18,-51.50,-45.10
10338458,---,24.37,27.18,-13.68,54.74
10338459,---,-92.81,-99.35,-85.39,-84.72
10338460,---,-36.60,-13.86,-44.94,-46.05
10338461,---,75.59,64.10,81.24,78.90
10338462,---,-89.65,-98.71,-84.62,-75.45
10338463,---,-24.12,-2.62,-24.12,-44.46
10338464,---,67.61,59.16,65.78,75.03
10338465,---,23.96,81.83,-62.89,30.11
10338466,---,7.40,5.60,16.00,1.46
10338467,---,-63.83,-67.58,-55.83,-68.34
10338468,---,-44.52,-0.37,-70.72,-48.80
10338469,---,-33.82,-20.39,-58.95,-29.61
10338470,---,0.56,-23.87,39.46,-11.35
10338471,---,96.31,98.93,94.54,94.03
10338472,---,96.02,95.66,96.26,96.16
10338473,---,76.23,81.64,60.44,83.58
10338474,---,9.11,6.85,12.05,9.04
10338475,---,-67.50,-72.56,-62.02,-67.53
10338476,---,34.95,36.73,-14.22,67.95
10338477,---,-97.84,-96.53,-96.26,-99.50
10338478,---,17.50,21.60,17.34,14.41
10338479,---,-22.79,-47.24,2.26,-63.82
10338480,---,7.57,18.62,-28.16,28.26
10338481,---,27.30,-8.14,72.90,2.51
10338482,---,-27.25,-7.44,-36.63,-33.28
10338483,---,95.22,95.62,92.16,96.74
10338484,---,-71.84,-63.19,-67.42,-82.51
10338485,---,-80.22,-71.30,-93.03,-71.68
10338486,---,21.07,17.77,28.11,18.58
10338487,---,94.88,98.16,95.05,85.13
10338488,---,3.44,-6.58,-14.31,33.96
10338489,---,-16.92,-76.61,5.06,41.17
10338490,---,-34.61,-64.96,-14.41,-31.09
10338491,---,-34.91,-40.85,-22.52,-43.57
10338492,---,22.38,59.63,17.01,-16.20
10338493,---,-7.97,-12.07,-3.96,-8.70
10338494,---,-29.11,-42.45,5.44,-50.52
10338495,---,86.25,82.36,87.46,87.99
10338496,---,-79.73,-81.04,-83.39,-72.49
10338497,---,87.40,89.27,72.03,93.60
10338498,---,100.00,100.00,100.00,100.00
10338499,---,-59.01,-97.59,-8.90,-38.38
10338500,---,47.26,57.99,29.00,51.52
10338501,---,23.98,29.36,31.16,9.90
10338502,---,-92.89,-85.36,-96.78,-95.26
10338503,---,-70.13,-25.91,-98.15,-76.22
10338504,---,98.89,98.71,99.67,98.36
10338505,---,-9.59,-6.85,16.57,-37.18
10338506,---,57.14,47.31,67.58,54.61
10338507,---,97.32,98.83,90.05,97.98
10338508,---,-62.59,-68.19,-92.27,-19.47
10338509,---,66.86,75.46,78.93,39.56
10338510,---,-83.36,-91.96,-52.04,-89.95
10338511,---,-2.92,30.82,10.11,-46.65
10338512,---,-48.87,-49.41,-22.87,-68.98
10338513,---,66.30,59.25,77.85,59.59
10338514,---,-13.89,-13.01,-16.17,-12.25
10338515,---,-82.28,-87.42,-73.44,-86.16
10338516,---,73.62,91.93,57.32,52.23
10338517,---,72.31,87.68,80.02,40.36
10338518,---,-60.74,-86.92,-47.75,-30.43
10338519,---,-51.20,-53.69,-70.58,-17.26
10338520,---,-3.93,29.97,-37.62,-8.43
10338521,---,30.89,26.69,51.29,9.99
10338522,---,-88.69,-89.64,-86.48,-89.25
10338523,---,41.08,52.11,51.54,16.73
10338524,---,15.78,58.42,-43.21,25.04
10338525,---,67.31,79.89,58.90,59.53
10338526,---,-39.03,-86.53,-43.36,-0.84
10338527,---,-95.01,-94.06,-95.22,-95.64
10338528,---,15.61,8.68,40.66,-3.86
10338529,---,76.85,76.59,60.06,86.58
10338530,---,94.79,94.17,96.47,93.34
10338531,---,74.29,74.95,78.45,68.20
10338532,---,59.48,38.39,74.31,59.17
10338533,---,2.42,-47.30,17.51,35.14
10338534,---,-15.53,-11.15,-4.33,-33.60
10338535,---,-56.55,-53.76,-58.91,-56.20
10338536,---,-64.82,-52.01,-51.22,-84.61
10338537,---,-33.29,-59.46,-72.12,36.05
10338538,---,16.13,25.14,49.88,-24.19
10338539,---,-46.14,-33.26,-64.90,-40.57
10338540,---,-53.15,-41.24,-57.18,-58.76
10338541,---,-1.43,-5.30,5.70,-1.11
10338542,---,13.01,44.84,-6.20,0.28
10338543,---,-29.87,-4.48,-42.94,-47.77
10338544,---,-13.64,-2.57,-28.65,-14.19
10338545,---,-95.11,-91.22,-93.78,-98.70
10338546,---,-9.73,-0.76,28.42,-49.95
10338547,---,-75.40,-76.33,-72.04,-77.89
10338548,---,-98.37,-94.72,-94.58,-100.02
10338549,---,-20.93,-0.45,-60.99,-12.91
10338550,---,-76.93,-74.08,-87.71,-63.35
10338551,---,6.57,33.74,62.56,-65.30
10338552,---,-62.17,-83.48,-56.88,-38.35
10338553,---,53.34,-50.66,73.83,88.87
10338554,---,-83.46,-40.64,-90.09,-94.57
10338555,---,-20.14,40.47,-45.15,-46.56
10338556,---,-94.34,-91.06,-96.35,-94.50
10338557,---,2.20,29.71,3.32,-25.72
10338558,---,-40.77,-41.15,-32.71,-48.33
10338559,---,46.86,62.33,20.97,51.45
10338560,---,51.02,75.55,51.95,14.05
10338561,---,25.80,22.40,19.91,35.16
10338562,---,-56.26,-84.21,-61.36,-25.22
10338563,---,-49.09,-13.40,-61.89,-71.30
10338564,---,-3.16,49.25,20.40,-59.19
10338565,---,67.99,67.19,71.32,64.33
10338566,---,82.02,66.85,94.07,65.61
10338567,---,-36.13,-37.55,-42.45,-29.62
10338568,---,12.09,13.80,0.00,22.02
10338569,---,-41.76,-92.77,-6.70,-2.69
10338570,---,31.14,21.28,53.74,12.15
10338571,---,-55.96,-58.61,-40.07,-66.50
10338572,---,-48.49,-43.87,-15.44,-84.16
10338573,---,24.22,40.81,31.88,-3.85
10338574,---,-63.67,-63.74,-45.18,-77.68
10338575,---,-38.20,-50.18,-30.22,-35.35
10338576,---,-90.51,-97.24,-71.78,-93.34
10338577,---,-38.14,-38.24,-57.75,-17.97
10338578,---,-43.66,-28.90,-56.24,-46.13
10338579,---,-41.59,-21.55,-80.48,-28.18
10338580,---,-16.93,-9.99,-22.51,-18.05
10338581,---,-42.20,-29.25,-32.76,-61.82
10338582,---,-13.66,32.54,-51.29,-13.59
10338583,---,-50.21,-53.64,-28.52,-73.23
10338584,---,96.99,95.96,98.33,95.50
10338585,---,86.67,81.41,90.35,86.15
10338586,---,-25.26,2.39,-78.42,15.89
10338587,---,86.41,94.31,62.49,92.43
10338588,---,-5.49,-40.44,21.34,7.39
10338589,---,92.58,94.39,74.66,97.92
10338590,---,-3.66,27.67,-18.13,-11.20
10338591,---,-6.11,-33.93,23.59,-0.54
10338592,---,-33.91,-27.66,-48.69,-27.27
10338593,---,62.80,81.89,55.30,42.16
10338594,---,80.98,13.00,87.44,95.85
10338595,---,1.99,69.39,-87.78,45.36
10338596,---,-39.98,-16.71,-42.89,-66.00
10338597,---,-77.41,-97.41,-53.69,-58.44
10338598,---,-81.17,-64.71,-96.24,-75.30
10338599,---,-80.49,-73.78,-58.86,-96.05
10338600,---,-6.60,33.50,-21.68,-30.46
10338601,---,-30.77,-13.61,-49.51,-26.53
10338602,---,-48.06,-68.78,-34.69,-37.92
10338603,---,-61.07,-56.75,-66.21,-59.10
10338604,---,-28.22,-27.42,-51.68,1.10
10338605,---,9.80,11.92,24.59,-4.18
10338606,---,84.04,84.13,89.72,75.08
10338607,---,-10.42,-20.63,-13.17,1.92
10338608,---,37.68,64.08,-0.57,34.31
10338609,---,-49.41,-36.31,-19.27,-92.15
10338610,---,79.73,73.84,85.88,77.41
10338611,---,-2.14,62.81,-44.82,-19.13
10338612,---,-89.66,-92.69,-77.16,-93.50
10338613,---,-76.52,-61.48,-75.36,-88.96
10338614,---,-71.84,-69.95,-83.08,-61.94
10338615,---,-43.73,-56.93,-38.07,-34.87
10338616,---,45.50,60.03,23.96,49.44
10338617,---,-90.80,-94.75,-88.49,-88.44
10338618,---,-5.76,-27.02,-16.41,32.95
10338619,---,73.38,63.61,82.10,72.51
