Probeset_ID,Gene Symbol,MF Lu CD11b+ CD24-,Sample_,Sample_
10338161,---,-13.30,-8.93,-17.97
10338162,---,-6.76,-11.38,-2.39
10338163,---,-73.67,-88.17,-47.13
10338164,---,-6.19,-31.27,22.14
10338165,---,-88.25,-68.66,-97.44
10338166,---,-54.45,-80.33,-6.29
10338167,---,-75.97,-54.56,-90.73
10338168,---,-72.64,-88.90,-35.89
10338169,---,-82.72,-89.72,-73.33
10338170,---,-37.65,-73.17,-1.74
10338171,---,25.13,22.11,28.90
10338172,---,87.00,89.80,83.44
10338173,---,-89.72,-99.28,-47.81
10338174,---,22.97,32.49,14.32
10338175,---,-20.19,-27.12,-14.18
10338176,---,79.59,81.48,77.61
10338177,---,-23.71,-54.65,11.61
10338178,---,54.22,58.36,49.06
10338179,---,5.64,1.59,17.11
10338180,---,-42.54,-70.30,6.37
10338181,---,-81.41,-80.20,-82.74
10338182,---,47.63,67.31,19.82
10338183,---,-50.06,-74.14,-29.36
10338184,---,38.11,20.40,53.36
10338185,---,-1.70,-33.02,30.34
10338186,---,-14.80,13.37,-39.79
10338187,---,69.57,46.77,83.45
10338188,---,-61.91,-57.57,-66.28
10338189,---,60.04,89.76,-21.82
10338190,---,13.75,-39.49,68.10
10338191,---,16.14,3.02,29.42
10338192,---,69.56,65.58,73.53
10338193,---,52.12,26.63,70.83
10338194,---,-46.50,-49.03,-43.89
10338195,---,52.99,45.70,60.12
10338196,---,1.53,-18.68,13.39
10338197,---,-38.32,-69.82,-0.04
10338198,---,-3.17,-21.30,13.23
10338199,---,-33.13,-18.34,-48.13
10338200,---,-97.44,-97.39,-97.49
10338201,---,-72.26,-44.42,-87.40
10338202,---,94.05,97.49,88.28
10338203,---,46.90,-40.62,96.46
10338204,---,86.35,88.96,83.13
10338205,---,-97.02,-99.31,-85.93
10338206,---,-3.80,64.29,-73.87
10338207,---,-15.40,-9.41,-24.96
10338208,---,31.06,17.12,44.22
10338209,---,66.47,61.00,70.88
10338210,---,58.43,67.47,48.10
10338211,---,-39.80,-0.03,-73.41
10338212,---,15.19,43.35,-11.52
10338213,---,17.30,7.70,25.97
10338214,---,84.83,91.11,74.08
10338215,---,-85.99,-95.08,-70.90
10338216,---,-61.46,-70.39,-51.19
10338217,---,-27.47,-23.91,-31.81
10338218,---,70.97,3.31,95.25
10338219,---,2.95,60.86,-53.93
10338220,---,-40.45,-37.14,-43.68
10338221,---,48.44,57.36,38.38
10338222,---,-48.02,-50.77,-44.86
10338223,---,60.88,51.94,68.04
10338224,---,-3.09,-61.97,57.23
10338225,---,44.13,46.17,42.40
10338226,---,-5.18,15.43,-21.08
10338227,---,17.84,17.84,17.90
10338228,---,-82.57,-95.33,-52.97
10338229,---,-49.42,-49.37,-49.46
10338230,---,-15.95,-33.79,0.25
10338231,---,-78.75,-89.47,-57.41
10338232,---,-41.95,-49.35,-34.74
10338233,---,-68.28,-68.71,-67.91
10338234,---,-52.97,-96.75,29.53
10338235,---,-73.54,-58.46,-85.76
10338236,---,60.12,91.26,-23.87
10338237,---,87.29,94.44,74.41
10338238,---,-8.67,-18.63,-0.46
10338239,---,76.10,59.17,86.35
10338240,---,-77.42,-88.65,-62.77
10338241,---,-64.74,-37.02,-96.81
10338242,---,-63.93,-89.92,-33.08
10338243,---,-22.25,-36.13,-6.96
10338244,---,-31.42,-29.28,-33.43
10338245,---,-25.76,-17.68,-36.48
10338246,---,14.74,14.94,14.48
10338247,---,12.81,74.21,-53.57
10338248,---,19.46,36.13,-1.45
10338249,---,-41.67,-43.12,-40.46
10338250,---,-59.15,-57.65,-60.41
10338251,---,-36.62,-36.37,-36.82
10338252,---,-43.97,-53.76,-34.63
10338253,---,80.79,36.51,95.19
10338254,---,-35.12,-58.29,-10.71
10338255,---,-15.43,-31.38,-2.34
10338256,---,-82.84,-63.02,-96.66
10338257,---,77.18,75.15,79.25
10338258,---,29.29,20.52,39.91
10338259,---,-71.49,-40.92,-93.36
10338260,---,-53.70,-36.36,-69.90
10338261,---,-59.93,-61.80,-57.54
10338262,---,-72.84,-92.02,-48.40
10338263,---,-58.94,-96.13,9.18
10338264,---,-0.21,35.54,-25.06
10338265,---,-6.63,-5.08,-8.07
10338266,---,-56.62,-53.33,-59.96
10338267,---,-60.99,-64.43,-56.71
10338268,---,-54.90,-92.22,23.90
10338269,---,-76.00,-94.61,-39.49
10338270,---,87.10,95.34,66.32
10338271,---,-85.97,-95.14,-71.95
10338272,---,-4.04,-3.38,-4.65
10338273,---,-31.14,-38.08,-24.33
10338274,---,47.63,39.48,53.82
10338275,---,90.97,97.17,76.31
10338276,---,-19.09,8.98,-45.25
10338277,---,-54.68,-38.93,-67.77
10338278,---,9.70,48.23,-23.12
10338279,---,72.89,88.35,45.81
10338280,---,-37.87,-59.16,0.77
10338281,---,49.87,65.20,33.69
10338282,---,10.41,73.61,-58.31
10338283,---,-79.19,-71.69,-84.81
10338284,---,62.12,89.26,0.00
10338285,---,66.09,70.56,60.65
10338286,---,58.45,56.21,60.19
10338287,---,-29.54,-12.19,-44.19
10338288,---,9.78,-21.36,43.51
10338289,---,-59.58,-60.90,-57.97
10338290,---,77.50,75.20,79.52
10338291,---,-75.90,-67.93,-82.68
10338292,---,-65.33,-74.07,-53.61
10338293,---,40.28,66.75,6.16
10338294,---,87.60,90.55,82.81
10338295,---,-6.08,-50.80,39.20
10338296,---,-30.25,-9.84,-52.71
10338297,---,-42.87,-14.34,-71.61
10338298,---,5.24,1.98,13.54
10338299,---,51.81,46.00,56.33
10338300,---,13.97,6.90,22.11
10338301,---,-22.82,40.37,-76.75
10338302,---,-24.41,-17.06,-31.49
10338303,---,51.20,52.65,49.14
10338304,---,-24.94,19.28,-66.21
10338305,---,32.69,63.41,-6.07
10338306,---,-97.51,-98.62,-95.38
10338307,---,-28.05,-35.27,-22.00
10338308,---,-34.50,-55.90,-10.75
10338309,---,-15.19,-8.33,-22.96
10338310,---,67.13,54.66,76.11
10338311,---,90.01,95.72,78.20
10338312,---,40.37,63.26,8.12
10338313,---,6.82,66.73,-50.85
10338314,---,32.08,19.53,42.71
10338315,---,-41.63,-78.66,-6.39
10338316,---,28.63,47.21,10.05
10338317,---,87.34,87.70,86.76
10338318,---,73.56,75.42,71.93
10338319,---,-15.48,73.06,-85.49
10338320,---,-24.89,40.97,-72.06
10338321,---,-9.82,33.07,-50.57
10338322,---,-80.50,-91.76,-59.26
10338323,---,-26.47,12.48,-62.63
10338324,---,94.58,89.17,97.23
10338325,---,80.82,82.21,79.57
10338326,---,55.13,68.25,34.84
10338327,---,-95.08,-94.89,-95.45
10338328,---,-7.80,54.76,-99.08
10338329,---,-83.91,-74.77,-90.76
10338330,---,37.16,38.79,35.62
10338331,---,-40.46,-60.15,-23.64
10338332,---,-76.87,-93.05,-55.88
10338333,---,-93.77,-97.12,-87.46
10338334,---,17.89,-20.35,53.86
10338335,---,-89.06,-83.63,-92.59
10338336,---,-90.20,-83.90,-95.29
10338337,---,-19.98,-70.08,33.27
10338338,---,-75.51,-82.69,-67.19
10338339,---,-0.89,-29.20,18.16
10338340,---,-78.35,-60.56,-88.77
10338341,---,-9.70,-7.51,-11.46
10338342,---,65.59,65.47,65.76
10338343,---,-42.75,-23.29,-66.90
10338344,---,-2.55,-25.80,7.88
10338345,---,-91.80,-99.97,-71.19
10338346,---,47.13,77.90,-10.51
10338347,---,-97.77,-98.79,-96.63
10338348,---,-61.66,-72.35,-47.04
10338349,---,41.32,56.58,26.77
10338350,---,-18.95,-12.70,-25.65
10338351,---,50.84,80.06,3.51
10338352,---,-53.68,-78.34,-23.94
10338353,---,58.64,57.05,60.06
10338354,---,-72.21,-88.20,-34.14
10338355,---,-2.33,6.57,-15.46
10338356,---,64.47,90.23,6.28
10338357,---,-41.94,23.01,-96.34
10338358,---,38.52,60.34,11.99
10338359,---,-32.69,-34.59,-30.60
10338360,---,26.37,43.91,7.93
10338361,---,79.73,75.36,83.13
10338362,---,-48.05,24.25,-97.83
10338363,---,-67.54,-75.83,-57.98
10338364,---,-78.98,-48.36,-93.46
10338365,---,-45.57,-96.10,-1.02
10338366,---,-19.29,-19.25,-19.40
10338367,---,-37.61,20.57,-79.23
10338368,---,-43.91,-84.67,-0.32
10338369,---,-75.89,-83.07,-66.14
10338370,---,-84.43,-97.78,-39.95
10338371,---,-83.92,-85.43,-81.54
10338372,---,14.74,-49.95,72.25
10338373,---,73.18,51.59,85.51
10338374,---,89.75,99.10,37.43
10338375,---,29.64,38.01,20.89
10338376,---,-52.35,-23.66,-75.86
10338377,---,-36.65,-59.84,-12.05
10338378,---,17.43,36.52,-3.21
10338379,---,-85.45,-90.28,-79.03
10338380,---,-99.66,-99.85,-99.10
10338381,---,-87.83,-82.67,-92.34
10338382,---,-73.86,-63.37,-81.24
10338383,---,-39.26,-78.32,21.22
10338384,---,-77.35,-91.51,-56.43
10338385,---,81.11,82.21,80.21
10338386,---,-34.85,2.74,-83.52
10338387,---,-92.91,-84.78,-97.58
10338388,---,-29.65,-51.16,-9.72
10338389,---,35.03,92.45,-62.74
10338390,---,-80.77,-46.58,-94.62
10338391,---,-27.19,22.13,-69.01
10338392,---,-28.40,-22.67,-33.88
10338393,---,61.97,54.64,68.10
10338394,---,-23.15,-38.28,-4.61
10338395,---,75.40,83.15,62.45
10338396,---,-29.12,-33.21,-23.85
10338397,---,59.69,76.57,33.64
10338398,---,-90.09,-96.15,-72.00
10338399,---,21.22,38.65,9.65
10338400,---,-17.16,-37.92,-3.32
10338401,---,20.47,81.93,-66.80
10338402,---,-45.99,-50.39,-40.94
10338403,---,44.98,27.48,59.98
10338404,---,7.89,-5.79,25.10
10338405,---,-71.11,-95.58,-39.47
10338406,---,-74.20,-82.19,-64.83
10338407,---,41.99,53.85,29.90
10338408,---,70.36,84.18,49.02
10338409,---,3.82,-38.55,47.40
10338410,---,-45.53,-74.39,-4.99
10338411,---,56.92,48.80,63.81
10338412,---,64.18,25.86,84.69
10338413,---,-63.55,-79.93,-40.75
10338414,---,38.37,75.55,-11.79
10338415,---,-88.01,-88.70,-87.53
10338416,---,-66.32,-69.13,-63.87
10338417,---,-76.15,-91.36,-50.09
10338418,---,-69.55,-86.26,-48.97
10338419,---,-58.62,-78.62,-27.27
10338420,---,-28.00,-6.78,-48.85
10338421,---,-73.46,-89.22,-15.36
10338422,---,-34.10,41.40,-84.85
10338423,---,-33.74,-20.14,-47.27
10338424,---,51.12,61.24,38.60
10338425,---,-32.61,-23.67,-42.28
10338426,---,-85.28,-95.93,-61.52
10338427,---,-51.91,-47.44,-56.67
10338428,---,-87.95,-96.61,-72.59
10338429,---,82.09,89.71,71.10
10338430,---,60.71,88.16,-4.46
10338431,---,-14.97,-26.86,-2.20
10338432,---,-83.06,-92.62,-68.81
10338433,---,93.91,97.02,90.33
10338434,---,5.06,-6.26,18.30
10338435,---,3.48,70.19,-47.90
10338436,---,-37.97,-14.63,-78.32
10338437,---,-8.79,3.68,-22.35
10338438,---,-56.10,-74.04,-35.09
10338439,---,51.61,46.85,57.31
10338440,---,30.46,92.56,-81.51
10338441,---,-77.80,-95.44,-32.88
10338442,---,-59.62,-72.20,-45.20
10338443,---,-85.30,-26.21,-99.49
10338444,---,66.09,88.55,-2.25
10338445,---,-80.72,-51.82,-95.96
10338446,---,-22.43,-23.08,-22.15
10338447,---,-41.84,-9.25,-66.16
10338448,---,-42.03,-21.79,-60.42
10338449,---,63.58,32.78,84.10
10338450,---,-0.38,-30.50,38.87
10338451,---,-25.13,-8.38,-55.51
10338452,---,-11.42,-37.12,16.96
10338453,---,-1.91,-55.82,59.89
10338454,---,-48.59,-26.41,-72.68
10338455,---,-57.38,-50.37,-63.88
10338456,---,95.83,98.98,84.50
10338457,---,38.91,37.35,40.33
10338458,---,-38.79,-51.80,-24.06
10338459,---,-62.51,-39.17,-83.99
10338460,---,11.24,3.73,19.95
10338461,---,78.04,80.46,75.23
10338462,---,-60.09,-83.78,-35.76
10338463,---,-78.36,-89.44,-45.02
10338464,---,-44.24,-75.98,4.83
10338465,---,39.43,47.13,30.64
10338466,---,-88.71,-90.78,-85.97
10338467,---,-40.36,-28.50,-52.26
10338468,---,-32.39,-55.48,-3.64
10338469,---,-98.56,-99.50,-97.03
10338470,---,-30.41,-28.83,-32.04
10338471,---,9.65,6.21,14.45
10338472,---,92.60,92.02,93.34
10338473,---,-12.30,57.92,-74.22
10338474,---,-25.06,-44.52,2.34
10338475,---,96.62,97.30,96.31
10338476,---,-65.48,-82.40,-41.18
10338477,---,63.42,62.12,64.57
10338478,---,-63.86,-34.53,-89.21
10338479,---,-83.38,-60.52,-97.34
10338480,---,-3.58,24.26,-35.32
10338481,---,-10.33,-19.93,-0.65
10338482,---,-11.93,-53.01,31.01
10338483,---,80.02,75.84,83.28
10338484,---,1.06,17.22,-16.77
10338485,---,-17.40,-23.49,-11.76
10338486,---,-10.62,-9.98,-11.37
10338487,---,82.42,83.54,81.62
10338488,---,-24.20,-37.67,-9.75
10338489,---,24.70,24.73,24.62
10338490,---,-6.52,-0.98,-14.95
10338491,---,-3.87,6.37,-12.25
10338492,---,-78.43,-84.12,-71.70
10338493,---,-89.19,-81.13,-93.80
10338494,---,43.80,43.88,43.59
10338495,---,21.25,-13.96,50.85
10338496,---,-51.86,-66.49,-30.91
10338497,---,98.55,97.56,98.83
10338498,---,-13.02,-86.63,83.07
10338499,---,-98.68,-98.21,-99.02
10338500,---,2.53,-15.29,21.63
10338501,---,86.51,91.84,74.61
10338502,---,-28.44,-41.06,-14.50
10338503,---,-41.54,-62.15,-23.81
10338504,---,75.20,69.83,80.09
10338505,---,-15.85,0.75,-30.18
10338506,---,-70.10,-82.00,-54.49
10338507,---,26.18,-23.50,63.21
10338508,---,-47.62,-28.84,-67.48
10338509,---,-49.07,-23.98,-69.88
10338510,---,24.89,59.52,-15.85
10338511,---,4.75,35.67,-27.29
10338512,---,-46.22,-83.48,9.17
10338513,---,34.62,39.45,29.37
10338514,---,-67.27,-84.84,-33.57
10338515,---,-93.03,-95.56,-87.37
10338516,---,21.95,-7.26,47.14
10338517,---,94.62,98.97,80.47
10338518,---,-70.24,-72.75,-68.19
10338519,---,-54.57,-62.94,-44.59
10338520,---,-9.03,30.08,-48.47
10338521,---,21.20,6.15,36.71
10338522,---,8.93,-7.11,22.05
10338523,---,-44.12,-81.18,1.78
10338524,---,-19.43,-52.90,16.68
10338525,---,-46.29,-40.04,-53.21
10338526,---,-12.06,44.33,-69.41
10338527,---,-64.93,-75.44,-50.32
10338528,---,1.75,-18.14,17.94
10338529,---,-21.06,-42.08,1.65
10338530,---,70.50,61.61,78.55
10338531,---,-71.23,-69.31,-72.87
10338532,---,-57.43,-65.75,-49.14
10338533,---,56.64,67.76,43.16
10338534,---,-37.91,-40.81,-35.80
10338535,---,-72.63,-69.55,-75.39
10338536,---,-65.16,-44.36,-81.60
10338537,---,-6.37,-18.55,6.17
10338538,---,-17.59,-38.39,0.51
10338539,---,-81.51,-97.57,-42.91
10338540,---,6.00,-4.82,17.94
10338541,---,17.95,21.08,15.61
10338542,---,67.83,47.44,82.16
10338543,---,-37.54,-23.46,-50.99
10338544,---,-50.10,-28.80,-74.39
10338545,---,-18.41,-15.89,-21.08
10338546,---,30.67,77.25,-32.33
10338547,---,-37.12,-18.15,-57.60
10338548,---,-16.27,32.29,-76.77
10338549,---,-32.89,-8.90,-65.69
10338550,---,-98.51,-97.72,-99.32
10338551,---,48.64,-24.74,85.80
10338552,---,92.84,93.84,92.00
10338553,---,-79.56,-67.60,-87.69
10338554,---,-32.28,-39.64,-25.58
10338555,---,-4.53,13.22,-18.12
10338556,---,-69.44,-74.82,-63.86
10338557,---,16.59,-24.52,54.83
10338558,---,-92.05,-95.11,-86.14
10338559,---,89.01,96.30,70.56
10338560,---,21.14,28.23,12.61
10338561,---,64.74,59.02,68.99
10338562,---,-75.23,-87.48,-60.34
10338563,---,15.20,38.84,-5.21
10338564,---,9.62,76.93,-62.31
10338565,---,-42.06,-48.97,-34.89
10338566,---,-32.45,-82.97,38.79
10338567,---,21.04,16.46,26.52
10338568,---,87.28,98.05,39.76
10338569,---,-17.57,-10.27,-25.27
10338570,---,-69.26,-48.75,-84.05
10338571,---,-84.27,-89.87,-76.66
10338572,---,-53.10,-60.08,-46.19
10338573,---,-4.14,43.69,-50.29
10338574,---,93.67,84.84,97.59
10338575,---,-69.78,-74.65,-64.65
10338576,---,-37.33,-65.12,4.33
10338577,---,-20.96,7.29,-50.34
10338578,---,2.07,1.49,2.98
10338579,---,-23.50,-31.32,-16.89
10338580,---,36.79,49.83,23.56
10338581,---,-63.11,-59.53,-66.51
10338582,---,-12.14,61.26,-73.45
10338583,---,-53.00,-42.89,-63.66
10338584,---,32.07,57.58,1.88
10338585,---,91.13,89.62,92.34
10338586,---,-3.25,21.31,-25.37
10338587,---,40.00,50.94,26.41
10338588,---,-11.60,4.62,-26.97
10338589,---,-65.20,-47.15,-82.88
10338590,---,-55.25,-53.03,-57.23
10338591,---,-0.83,-0.79,-0.92
10338592,---,-19.94,-30.35,-12.29
10338593,---,23.01,27.60,17.40
10338594,---,35.44,65.65,-0.03
10338595,---,92.04,98.22,74.16
10338596,---,-73.45,-78.01,-67.54
10338597,---,-91.65,-74.61,-98.01
10338598,---,-78.32,-88.44,-66.01
10338599,---,56.14,74.91,28.42
10338600,---,70.44,94.65,-7.20
10338601,---,-95.95,-97.61,-91.04
10338602,---,-54.39,-14.48,-82.63
10338603,---,88.78,88.66,88.86
10338604,---,88.68,84.31,92.04
10338605,---,24.34,17.54,31.21
10338606,---,78.10,55.56,89.06
10338607,---,51.23,27.69,72.76
10338608,---,9.66,1.71,17.03
10338609,---,3.87,-37.52,61.80
10338610,---,-75.29,-85.59,-59.30
10338611,---,-15.13,-66.90,40.43
10338612,---,-15.79,-16.02,-15.61
10338613,---,-12.81,-31.54,6.21
10338614,---,36.97,81.64,-27.84
10338615,---,32.06,44.04,20.07
10338616,---,-55.78,-54.82,-56.90
10338617,---,17.42,7.44,26.16
10338618,---,-47.49,-23.53,-66.31
10338619,---,68.44,54.49,80.61
10338620,---,47.99,71.90,15.56
10338621,---,-55.08,-62.45,-47.77
10338622,---,18.78,44.58,-7.52
10338623,---,-14.42,-17.99,-10.58
10338624,---,45.75,23.60,63.14
10338625,---,-59.09,-88.06,-21.04
10338626,---,-31.69,-73.02,14.63
10338627,---,96.97,97.57,96.37
10338628,---,26.43,-23.10,66.25
10338629,---,40.35,74.70,-12.99
10338630,---,-6.06,55.65,-71.49
10338631,---,-61.87,-71.66,-51.37
10338632,---,-10.75,11.89,-30.53
10338633,---,61.24,58.91,63.34
10338634,---,-29.35,-61.66,6.22
10338635,---,-8.72,20.24,-34.97
10338636,---,-58.74,-52.77,-64.07
10338637,---,85.58,94.95,58.88
10338638,---,33.59,36.60,30.58
10338639,---,30.98,28.98,32.30
10338640,---,-60.64,-56.31,-64.79
10338641,---,-51.06,-56.49,-46.19
10338642,---,8.15,42.87,-24.28
10338643,---,-51.34,-40.91,-61.66
10338644,---,-54.81,-64.43,-41.92
10338645,---,-2.02,-5.33,6.45
10338646,---,78.36,74.78,81.61
10338647,---,31.40,51.24,10.44
10338648,---,28.06,55.12,-5.81
10338649,---,-37.99,-13.19,-89.31
10338650,---,58.63,91.97,-20.29
10338651,---,6.60,12.18,1.47
10338652,---,-21.10,-19.12,-22.81
10338653,---,56.68,61.41,50.44
10338654,---,-90.96,-87.62,-92.80
10338655,---,-3.39,47.57,-49.20
10338656,---,51.49,20.46,69.62
10338657,---,-3.53,1.81,-8.91
10338658,---,78.63,76.86,80.18
10338659,---,-27.48,-22.08,-32.52
10338660,---,-57.32,-14.13,-93.81
10338661,---,-75.61,-94.23,-42.07
10338662,---,86.39,91.19,77.63
10338663,---,15.40,11.09,20.17
10338664,---,1.96,9.08,-13.59
10338665,---,-72.48,-84.73,-54.68
10338666,---,-32.39,-72.46,28.72
10338667,---,-75.83,-83.94,-65.37
10338668,---,84.77,91.16,68.39
10338669,---,-26.57,-0.93,-76.36
10338670,---,-35.99,-28.67,-43.64
10338671,---,-56.16,-26.81,-74.88
10338672,---,18.83,23.83,13.37
10338673,---,98.19,96.78,98.93
10338674,---,1.42,-19.02,10.62
10338675,---,-35.76,-58.81,-10.43
10338676,---,-45.22,-35.44,-55.42
10338677,---,39.64,74.32,-12.60
10338678,---,-45.96,-90.43,30.86
10338679,---,-19.93,4.11,-48.31
10338680,---,-12.29,-22.67,-2.46
10338681,---,-78.73,-83.94,-71.78
10338682,---,39.07,75.57,-10.08
10338683,---,-33.16,-58.04,2.64
10338684,---,35.36,63.82,2.96
10338685,---,-8.84,-22.35,5.41
10338686,---,8.08,0.91,14.60
10338687,---,-91.77,-98.03,-69.74
10338688,---,95.11,98.56,84.41
10338689,---,20.75,-8.22,45.63
10338690,---,-24.27,-28.49,-20.90
10338691,---,-83.61,-87.87,-78.82
10338692,---,-65.78,-90.01,-26.36
10338693,---,-30.39,-32.60,-27.77
10338694,---,-79.69,-78.68,-80.83
10338695,---,-41.68,-24.28,-58.00
10338696,---,-29.35,-16.94,-42.87
10338697,---,-83.42,-95.94,-63.71
10338698,---,-25.38,-16.79,-34.30
10338699,---,-3.31,70.46,-89.09
10338700,---,20.98,-9.54,49.00
10338701,---,-74.65,-86.01,-59.74
10338702,---,-1.76,-46.63,48.46
10338703,---,-5.40,47.10,-47.80
10338704,---,57.06,-3.51,91.50
10338705,---,-22.42,-58.73,24.15
10338706,---,15.33,30.31,-0.42
10338707,---,17.22,89.34,-79.51
10338708,---,-86.23,-90.35,-82.27
10338709,---,8.89,10.30,7.67
10338710,---,-0.31,44.28,-31.14
10338711,---,-73.85,-75.35,-72.25
10338712,---,-65.36,-69.99,-60.18
10338713,---,-12.20,0.75,-25.72
10338714,---,-34.52,-21.81,-47.60
10338715,---,78.39,88.06,63.26
10338716,---,5.24,-9.00,18.95
10338717,---,-51.82,24.82,-88.01
10338718,---,85.64,94.06,69.20
10338719,---,-17.23,-7.70,-27.55
10338720,---,6.42,22.28,-12.97
10338721,---,-29.05,-23.36,-35.70
10338722,---,89.16,98.02,55.58
10338723,---,-97.80,-96.82,-98.69
10338724,---,11.61,8.75,14.16
10338725,---,-16.49,-23.78,-9.28
10338726,---,39.69,52.20,24.15
10338727,---,3.22,-1.83,8.19
10338728,---,-89.40,-93.29,-81.41
10338729,---,70.40,94.89,-10.34
10338730,---,-64.37,-87.30,-7.88
10338731,---,-31.07,-21.51,-40.88
10338732,---,82.89,91.75,70.32
10338733,---,39.42,55.61,21.06
10338734,---,71.02,94.53,-5.24
10338735,---,-61.99,-69.92,-53.97
10338736,---,-34.62,-87.66,40.05
10338737,---,-30.98,-70.33,22.43
10338738,---,41.01,4.82,68.74
10338739,---,20.73,10.26,31.08
10338740,---,70.20,78.05,59.45
10338741,---,-31.58,-49.43,-11.98
10338742,---,-18.13,-31.76,-4.08
10338743,---,29.39,46.50,8.12
10338744,---,92.75,87.47,96.26
10338745,---,24.69,-24.42,71.88
10338746,---,14.76,32.09,0.39
10338747,---,23.51,-24.08,63.46
10338748,---,80.52,87.50,72.00
10338749,---,7.15,-13.82,29.97
10338750,---,-47.56,-39.93,-54.65
10338751,---,56.94,45.12,67.23
