Probeset_ID,Gene Symbol,Mo Bl Ly6C- IIint,Sample_,Sample_,Sample_,Sample_,Sample_
10338115,---,42.98,77.70,25.11,52.32,12.06,25.34
10338116,---,22.71,40.92,54.26,3.20,8.94,10.28
10338117,---,17.14,-62.23,-12.32,-43.40,83.83,74.05
10338118,---,37.85,74.91,42.46,74.62,-67.43,34.07
10338119,---,90.76,88.20,94.59,83.38,92.66,91.05
10338120,---,35.35,-15.33,51.09,5.84,58.18,62.44
10338121,---,71.94,86.00,96.56,77.06,39.79,19.86
10338122,---,-22.94,45.24,-34.66,5.32,-46.13,-69.19
10338123,---,8.97,-22.36,61.22,-32.74,4.71,21.06
10338124,---,-17.09,-24.22,-7.79,-3.82,-53.85,-5.34
10338125,---,87.34,95.28,98.24,69.80,88.37,31.32
10338126,---,-3.70,-9.26,61.97,-11.08,-53.64,13.51
10338127,---,-1.18,-59.13,22.83,-40.28,50.31,31.24
10338128,---,6.67,-27.97,32.05,-13.23,32.56,6.60
10338129,---,64.05,79.43,69.60,84.52,32.88,11.00
10338130,---,48.67,63.36,55.83,72.56,-27.45,61.37
10338131,---,85.84,52.43,82.11,48.82,98.40,94.99
10338132,---,71.55,14.52,96.71,60.31,63.66,58.34
10338133,---,60.86,16.81,51.58,85.20,58.10,76.15
10338134,---,-15.25,24.43,-34.25,58.66,-75.47,-34.00
10338135,---,33.43,75.04,-29.67,73.53,33.83,-6.59
10338136,---,54.39,76.85,41.73,64.63,22.61,54.90
10338137,---,-28.10,-48.93,-58.01,31.25,-19.16,-32.29
10338138,---,35.55,15.78,55.95,15.13,45.35,52.09
10338139,---,-5.46,-23.61,33.29,27.66,-2.21,-54.86
10338140,---,5.98,44.27,-33.79,-24.20,1.92,53.64
10338141,---,-7.54,-7.94,-7.37,-11.18,-8.11,-3.22
10338142,---,44.87,47.75,-15.01,76.49,35.28,62.87
10338143,---,-25.48,-35.53,-2.52,-57.75,-67.01,-13.62
10338144,---,-43.45,-56.18,-9.90,-78.04,-40.59,-19.15
10338145,---,44.75,62.10,22.08,72.96,-3.73,47.88
10338146,---,-13.74,-7.11,-60.63,-8.15,38.27,-35.26
10338147,---,1.37,24.85,-1.75,-5.04,0.49,-34.21
10338148,---,-44.43,-57.86,-37.70,-80.32,12.07,-44.43
10338149,---,33.60,63.55,-38.19,51.82,11.09,67.96
10338150,---,40.99,-7.74,24.47,-15.30,87.13,86.47
10338151,---,93.61,94.49,90.40,86.30,97.63,92.51
10338152,---,89.47,97.07,96.40,73.31,80.88,84.57
10338153,---,78.45,69.76,88.90,73.47,66.03,86.28
10338154,---,99.07,99.27,99.31,99.67,98.58,96.03
10338155,---,52.88,54.62,90.18,63.48,27.51,15.46
10338156,---,62.01,69.24,39.73,88.38,15.20,65.73
10338157,---,77.88,90.16,81.01,76.28,35.28,86.31
10338158,---,39.31,58.75,46.25,29.26,-30.97,76.48
10338159,---,56.40,78.49,62.46,77.02,47.29,-5.42
10338160,---,96.05,97.34,94.84,97.86,95.00,94.27
10338161,---,53.86,66.93,5.54,80.40,45.70,52.76
10338162,---,92.39,96.67,93.37,97.34,83.29,85.80
10338163,---,-36.04,-7.28,-27.48,-42.02,-57.37,-50.98
10338164,---,82.18,88.26,89.56,91.11,71.02,57.24
10338165,---,-54.17,-9.74,-3.29,-95.35,-67.22,-85.43
10338166,---,-39.94,1.79,-11.00,-50.79,-70.54,-50.67
10338167,---,19.11,-16.87,85.93,-63.82,-4.70,56.81
10338168,---,41.14,33.49,54.04,3.29,52.70,63.33
10338169,---,80.27,83.74,44.25,90.31,80.34,86.42
10338170,---,95.13,98.81,92.91,93.54,96.04,91.28
10338171,---,74.52,72.32,91.41,85.78,11.03,61.46
10338172,---,7.85,50.32,19.63,-1.87,-4.26,-19.13
10338173,---,-58.06,-16.37,-71.74,-87.09,-62.51,-42.70
10338174,---,91.19,97.36,89.47,95.45,76.86,86.39
10338175,---,19.88,36.79,-65.71,20.15,48.94,66.18
10338176,---,77.50,88.59,81.50,96.26,42.17,53.23
10338177,---,63.82,82.76,42.97,55.63,72.93,55.54
10338178,---,4.73,9.03,-18.19,38.74,-5.33,14.40
10338179,---,28.74,46.76,30.15,19.77,26.58,24.52
10338180,---,12.23,13.18,11.16,9.68,21.35,7.59
10338181,---,77.55,70.44,91.67,84.00,71.31,57.54
10338182,---,31.34,78.12,72.68,72.79,-75.73,-25.96
10338183,---,-12.33,-12.06,-6.07,-15.11,-11.83,-17.39
10338184,---,78.00,90.30,77.79,83.55,62.07,69.35
10338185,---,75.72,85.82,36.97,81.87,81.17,81.55
10338186,---,29.22,47.82,6.97,45.91,-21.42,58.41
10338187,---,72.44,10.86,12.96,83.60,62.81,98.98
10338188,---,42.33,67.76,23.24,87.72,33.13,-50.00
10338189,---,44.74,71.85,46.27,24.46,24.78,41.24
10338190,---,95.42,95.94,95.70,95.09,94.71,95.42
10338191,---,45.72,42.50,2.52,65.34,56.43,50.04
10338192,---,78.17,68.98,90.41,62.15,91.94,58.04
10338193,---,80.11,82.61,74.09,89.17,76.02,73.37
10338194,---,-54.05,-42.31,-44.81,-68.73,-45.83,-68.77
10338195,---,91.81,88.92,99.00,91.17,85.79,87.72
10338196,---,14.72,18.62,32.33,9.11,10.55,7.49
10338197,---,36.53,84.58,61.59,-22.29,61.73,-43.37
10338198,---,94.11,97.60,93.96,88.59,92.11,95.90
10338199,---,17.83,24.63,36.55,48.04,15.31,-33.05
10338200,---,37.09,39.11,41.33,57.32,33.33,2.18
10338201,---,35.39,75.39,9.07,88.96,-29.60,-14.85
10338202,---,26.81,31.84,0.11,50.48,39.76,3.07
10338203,---,48.96,73.10,45.57,26.69,69.50,26.78
10338204,---,92.56,95.75,93.42,76.51,87.14,96.81
10338205,---,-61.39,-95.25,-33.57,-64.46,-46.19,-32.27
10338206,---,-44.72,-41.41,-27.27,-44.64,-59.99,-54.84
10338207,---,-33.55,-59.66,-66.82,-9.45,-68.45,-10.49
10338208,---,58.29,75.68,47.40,75.18,32.38,37.07
10338209,---,92.54,95.11,90.65,95.93,88.71,91.52
10338210,---,18.60,-7.52,42.91,38.58,-36.00,54.41
10338211,---,68.30,86.68,42.09,90.18,71.40,14.49
10338212,---,44.44,68.77,72.29,32.47,42.01,-12.09
10338213,---,12.48,15.71,-16.81,29.35,11.70,27.29
10338214,---,49.78,62.60,47.13,32.53,48.22,54.96
10338215,---,51.96,84.39,-6.07,59.82,-1.04,63.65
10338216,---,-16.66,-17.88,-45.46,-5.55,-3.83,-14.83
10338217,---,50.51,-10.29,42.64,-24.98,94.10,85.52
10338218,---,80.98,76.53,83.50,71.36,95.19,57.33
10338219,---,47.22,65.89,68.97,34.93,31.30,27.12
10338220,---,-25.76,-24.49,-28.62,-86.68,-37.57,63.26
10338221,---,67.51,47.70,80.78,79.48,61.17,62.20
10338222,---,-0.64,0.31,-14.52,80.44,43.62,-93.85
10338223,---,97.61,98.32,96.15,98.42,97.33,97.80
10338224,---,74.62,81.48,79.72,84.21,68.09,54.89
10338225,---,90.23,82.70,88.60,92.82,95.89,81.73
10338226,---,51.48,87.58,33.65,-5.38,49.92,47.30
10338227,---,68.91,92.26,33.97,40.23,69.71,76.25
10338228,---,36.22,-7.44,32.61,-2.90,77.72,62.73
10338229,---,-9.69,-58.11,-27.56,-43.56,-0.46,-0.91
10338230,---,70.79,80.05,93.76,67.73,69.99,0.80
10338231,---,-38.18,-72.44,26.05,-17.51,-39.19,-61.45
10338232,---,76.64,44.19,60.97,37.70,99.47,98.71
10338233,---,60.79,57.00,34.73,81.21,31.13,79.58
10338234,---,66.36,94.18,60.03,84.90,-27.05,49.75
10338235,---,-7.52,-12.05,-20.54,-7.54,-5.45,-1.36
10338236,---,81.54,93.35,52.13,88.69,78.35,75.64
10338237,---,60.12,73.86,70.79,68.44,31.32,41.06
10338238,---,77.13,84.42,82.58,79.88,59.80,71.24
10338239,---,55.37,77.65,61.05,60.90,-8.55,59.87
10338240,---,65.13,87.91,76.77,77.81,44.52,-8.43
10338241,---,-15.19,-28.13,-17.49,-22.09,-8.47,-5.38
10338242,---,69.44,88.36,90.41,36.26,11.38,80.67
10338243,---,16.11,22.38,69.61,68.57,-73.82,-8.34
10338244,---,40.19,28.01,46.61,51.20,34.16,40.79
10338245,---,-37.64,-41.13,-40.86,-43.86,-38.30,-27.35
10338246,---,65.50,37.03,87.00,88.94,57.85,25.38
10338247,---,73.01,58.36,64.53,77.20,84.75,71.30
10338248,---,68.06,94.62,94.52,-7.71,-4.74,43.60
10338249,---,79.78,78.84,85.25,76.02,89.07,65.66
10338250,---,73.17,85.52,72.44,74.64,76.62,48.36
10338251,---,-5.29,-19.10,-21.08,20.15,-4.68,4.63
10338252,---,58.50,94.76,78.82,49.64,-18.98,12.66
10338253,---,38.15,83.95,27.58,13.97,29.16,9.85
10338254,---,63.27,77.60,53.83,79.96,24.02,58.05
10338255,---,32.63,77.93,-3.41,10.86,23.87,29.43
10338256,---,82.10,92.97,73.23,63.79,91.90,78.11
10338257,---,80.06,85.68,79.32,79.49,75.96,79.18
10338258,---,91.55,96.33,90.60,93.63,90.44,84.28
10338259,---,57.87,85.55,79.69,84.94,-38.39,-4.44
10338260,---,56.50,95.90,49.71,41.80,-16.46,52.78
10338261,---,-10.20,-6.66,7.17,31.66,-6.83,-75.81
10338262,---,53.68,79.76,43.97,30.93,35.18,55.34
10338263,---,72.91,86.97,79.26,51.58,54.18,83.31
10338264,---,28.25,82.25,46.80,79.44,-34.08,-69.99
10338265,---,73.12,83.54,72.41,86.41,81.52,10.89
10338266,---,42.70,31.76,21.74,93.12,26.58,-21.06
10338267,---,44.13,76.42,69.14,32.56,-19.59,38.21
10338268,---,32.35,-14.23,72.97,16.98,47.61,16.85
10338269,---,85.57,98.94,86.33,95.12,65.09,6.74
10338270,---,-1.87,45.83,-28.93,-13.16,33.23,-19.00
10338271,---,97.66,98.42,97.31,85.84,99.12,98.83
10338272,---,80.98,54.59,89.62,34.97,91.91,91.84
10338273,---,53.54,72.92,71.54,62.51,-10.12,13.03
10338274,---,69.07,72.80,31.34,91.96,31.94,82.77
10338275,---,-12.39,-20.99,-37.72,-18.68,3.55,11.82
10338276,---,38.50,92.63,53.48,-34.86,22.71,12.16
10338277,---,-24.09,-62.26,-30.76,-35.53,12.47,-2.64
10338278,---,61.55,81.62,59.90,45.94,69.64,39.35
10338279,---,19.34,61.23,27.46,-6.43,-11.46,22.96
10338280,---,19.68,18.21,30.96,0.62,48.69,10.63
10338281,---,97.27,94.91,95.06,96.38,98.29,99.10
10338282,---,-18.17,-8.11,-42.25,30.20,-54.78,-10.42
10338283,---,11.98,-17.00,14.68,-16.27,5.57,68.55
10338284,---,-8.05,-11.89,-23.28,18.03,-3.00,-18.32
10338285,---,81.75,84.07,96.72,88.46,55.21,58.06
10338286,---,12.20,28.13,27.70,45.67,-28.90,-15.00
10338287,---,-20.18,-16.80,-6.18,-8.54,-2.94,-57.75
10338288,---,89.22,98.32,95.27,67.03,68.11,92.15
10338289,---,28.72,67.92,31.85,27.41,-7.59,14.73
10338290,---,28.62,63.83,44.73,48.96,-26.91,-4.62
10338291,---,-11.91,7.90,-47.33,35.93,-10.22,-40.08
10338292,---,49.85,53.05,60.63,60.73,29.43,10.38
10338293,---,72.72,86.03,69.18,53.50,33.25,90.83
10338294,---,55.36,62.14,55.32,88.21,16.93,20.89
10338295,---,92.72,94.07,96.73,90.34,91.14,87.84
10338296,---,43.55,87.10,-24.14,79.87,-6.61,34.26
10338297,---,51.95,73.59,8.82,81.64,59.91,-17.70
10338298,---,26.26,19.72,59.21,17.46,25.23,16.94
10338299,---,72.66,33.52,88.89,82.03,86.10,27.75
10338300,---,53.77,78.76,47.54,85.83,52.25,-33.04
10338301,---,56.16,89.73,12.70,54.14,67.92,3.96
10338302,---,88.39,77.53,92.31,93.23,81.91,84.69
10338303,---,80.44,89.17,78.25,68.02,76.16,85.62
10338304,---,9.51,18.52,55.00,-52.50,2.88,26.44
10338305,---,58.80,58.49,70.40,69.58,41.47,47.54
10338306,---,-19.97,-61.74,-6.70,-65.20,35.86,20.93
10338307,---,12.78,56.33,24.35,-23.09,-17.57,41.47
10338308,---,97.61,98.79,98.47,97.49,96.66,95.76
10338309,---,-1.36,42.11,-12.14,73.25,-78.98,-8.90
10338310,---,34.59,60.70,-39.20,79.09,-7.94,46.52
10338311,---,7.33,15.27,-20.23,7.71,16.45,20.28
10338312,---,62.48,70.36,65.22,75.63,39.80,52.78
10338313,---,83.63,92.74,93.23,82.78,82.83,22.20
10338314,---,74.16,90.92,81.45,82.50,49.68,43.20
10338315,---,16.47,11.27,35.63,23.36,-1.10,8.20
10338316,---,26.61,20.98,38.42,6.56,33.50,32.30
10338317,---,76.29,97.34,82.27,94.05,-23.88,51.41
10338318,---,29.77,73.56,-5.78,63.75,-11.47,6.76
10338319,---,85.15,93.79,82.55,80.29,79.15,86.50
10338320,---,36.20,57.33,-49.30,63.95,31.78,63.02
10338321,---,60.75,71.26,77.78,86.49,71.61,-34.99
10338322,---,40.77,-4.93,18.95,-12.85,80.67,84.82
10338323,---,48.03,42.38,61.18,-55.09,51.30,91.33
10338324,---,85.03,90.79,94.11,82.06,85.86,51.07
10338325,---,49.63,78.69,8.69,93.79,-48.77,41.50
10338326,---,93.83,94.57,87.76,95.21,94.75,93.79
10338327,---,-86.08,-95.83,-87.33,-83.66,-69.93,-81.40
10338328,---,-28.10,-61.73,-27.44,-0.84,-52.66,-39.00
10338329,---,-7.17,22.68,-30.06,-10.35,-14.10,-1.63
10338330,---,12.48,42.45,10.43,21.82,-52.20,41.99
10338331,---,-2.45,-4.04,-2.89,-1.84,-2.68,-1.54
10338332,---,-39.87,-97.35,-43.06,-77.13,14.06,55.43
10338333,---,-4.86,-10.10,-15.08,-18.66,1.12,-0.04
10338334,---,-12.00,-9.92,10.65,45.80,-34.32,-58.19
10338335,---,95.52,98.77,94.25,98.08,86.86,82.45
10338336,---,-0.62,58.47,-51.76,25.76,13.00,-27.58
10338337,---,5.84,-10.44,-48.28,-3.64,21.12,77.68
10338338,---,62.01,84.39,43.54,68.86,51.45,45.54
10338339,---,20.22,19.05,41.12,31.83,14.40,3.92
10338340,---,-0.94,19.24,-9.68,14.66,-17.02,-15.42
10338341,---,57.81,-14.89,57.03,78.48,74.78,64.78
10338342,---,91.44,97.51,95.32,94.51,51.88,91.73
10338343,---,10.43,83.13,-3.22,24.85,-27.55,-25.12
10338344,---,-0.02,-15.41,11.45,-23.35,2.87,-4.06
10338345,---,87.72,92.56,74.00,70.42,96.13,93.77
10338346,---,42.64,35.33,5.95,81.42,22.53,36.12
10338347,---,-9.95,-66.46,-27.84,-82.04,63.50,59.78
10338348,---,-26.50,-42.38,27.95,-36.71,-35.92,-34.87
10338349,---,96.49,98.18,90.20,96.62,96.03,98.31
10338350,---,-24.60,-34.81,-29.46,28.92,-3.06,-72.58
10338351,---,90.96,95.95,97.64,93.76,83.43,63.53
10338352,---,-32.30,-54.70,-64.39,-11.65,-1.58,-31.64
10338353,---,93.65,97.45,83.79,98.52,89.24,88.00
10338354,---,-38.39,0.80,25.03,-23.66,-76.56,-77.21
10338355,---,94.52,98.81,95.85,98.86,86.58,71.81
10338356,---,64.27,63.82,60.73,38.75,37.35,92.18
10338357,---,86.70,97.03,75.53,89.77,81.47,77.65
10338358,---,-15.12,-29.60,-19.61,-15.47,-14.41,2.82
10338359,---,88.89,97.91,97.30,94.82,37.67,64.99
10338360,---,-11.40,28.93,-51.30,-29.18,-19.18,22.09
10338361,---,88.44,88.97,86.16,89.23,88.48,89.34
10338362,---,-43.46,-26.99,-48.66,-23.75,-98.41,-2.02
10338363,---,68.22,63.38,66.90,67.95,73.75,69.07
10338364,---,-45.29,-25.85,-77.30,-76.59,-1.68,-39.57
10338365,---,-50.99,-55.43,-39.21,-55.63,-46.45,-59.43
10338366,---,76.34,84.51,77.16,81.48,65.05,67.87
10338367,---,78.49,84.98,72.27,83.34,79.62,67.97
10338368,---,-27.78,46.28,-39.69,13.15,-62.19,-79.50
10338369,---,34.72,-14.95,73.10,12.24,47.14,40.89
10338370,---,-8.00,-3.43,52.42,-2.11,-67.51,-5.38
10338371,---,-29.73,-63.74,-20.23,-22.75,-10.98,-18.88
10338372,---,80.53,85.23,80.41,81.51,68.80,83.00
10338373,---,78.05,93.04,68.60,86.23,74.33,47.98
10338374,---,-40.59,-1.84,-8.67,-50.92,-27.85,-88.45
10338375,---,60.81,86.10,79.96,67.60,44.15,-2.40
10338376,---,48.54,88.63,50.88,70.24,-16.42,19.12
10338377,---,64.27,78.58,59.92,76.74,57.53,38.16
10338378,---,81.47,69.26,89.11,53.88,80.87,94.37
10338379,---,-26.08,-18.02,-24.84,31.77,-29.98,-88.43
10338380,---,-81.93,-87.29,-93.44,-93.22,-48.71,-50.58
10338381,---,77.01,95.40,80.63,72.99,72.54,24.42
10338382,---,71.40,69.10,57.86,70.10,68.29,85.03
10338383,---,51.59,64.09,69.34,28.65,57.08,37.64
10338384,---,-7.07,28.99,12.05,-39.42,-16.66,-21.27
10338385,---,83.45,96.20,78.36,87.97,68.38,69.74
10338386,---,10.85,74.85,55.60,-25.70,30.75,-72.61
10338387,---,-0.05,9.21,11.43,26.84,-10.86,-21.08
10338388,---,93.82,96.48,94.48,94.84,90.91,91.42
10338389,---,90.72,99.10,97.33,93.42,47.08,63.41
10338390,---,65.70,26.90,15.61,82.79,97.19,26.50
10338391,---,-2.88,27.89,38.97,65.41,-9.68,-93.95
10338392,---,91.73,89.00,92.58,97.11,93.83,78.92
10338393,---,96.44,96.86,94.76,98.01,96.28,96.44
10338394,---,4.46,30.83,22.15,2.21,-3.47,-47.91
10338395,---,-62.64,-69.51,-31.68,-85.64,-73.39,-22.69
10338396,---,65.81,61.46,70.97,60.12,67.90,67.28
10338397,---,85.80,96.52,83.69,87.29,84.21,57.47
10338398,---,-26.19,-12.57,-26.53,15.50,-62.06,-37.64
10338399,---,35.33,25.20,42.07,37.89,31.50,42.41
10338400,---,30.28,32.21,27.68,19.72,25.13,45.06
10338401,---,-0.40,88.63,24.77,-22.09,-39.00,-57.36
10338402,---,47.39,-12.48,53.20,94.42,28.26,0.00
10338403,---,1.43,39.15,-5.76,49.64,-20.64,-21.63
10338404,---,17.68,38.14,-21.77,13.56,35.15,29.64
10338405,---,1.14,-23.16,-0.51,-0.62,41.80,3.79
10338406,---,46.14,62.91,60.11,11.86,42.07,40.07
10338407,---,56.17,67.44,9.83,75.89,55.65,56.76
10338408,---,61.80,12.97,13.27,57.52,87.03,88.20
10338409,---,76.91,79.16,66.02,90.62,51.99,79.64
10338410,---,29.85,51.57,54.84,17.55,29.85,-12.58
10338411,---,82.58,93.71,77.71,91.62,71.06,70.52
10338412,---,91.27,99.01,97.30,79.29,46.69,90.40
10338413,---,-10.22,15.86,-42.04,34.60,-17.78,-28.99
10338414,---,65.00,71.54,77.04,88.32,0.79,54.73
10338415,---,28.41,79.31,-17.43,26.34,75.82,-54.21
10338416,---,48.50,62.18,71.36,64.23,40.41,-29.35
10338417,---,78.40,81.30,65.28,88.07,79.64,69.88
10338418,---,-24.07,-10.83,-18.72,-14.26,-38.10,-50.09
10338419,---,48.90,86.71,28.80,83.35,16.54,2.33
10338420,---,72.18,77.39,60.39,87.71,55.90,67.82
10338421,---,26.34,8.12,53.64,13.57,9.75,53.57
10338422,---,70.44,83.12,71.04,62.09,62.97,69.66
10338423,---,16.54,39.57,33.69,13.28,37.65,-39.43
10338424,---,60.11,65.45,48.71,77.25,35.11,67.98
10338425,---,0.20,25.08,4.00,42.44,-26.62,-28.28
10338426,---,54.91,85.18,57.26,62.86,52.55,-12.15
10338427,---,93.03,92.01,91.65,95.97,85.72,95.38
10338428,---,57.61,84.72,75.86,83.15,6.59,-13.61
10338429,---,58.60,38.97,68.71,78.12,65.38,28.72
10338430,---,99.22,99.94,98.21,99.34,97.97,99.04
10338431,---,31.86,74.00,21.15,11.05,45.35,-3.71
10338432,---,33.63,16.70,46.74,-32.08,69.33,50.34
10338433,---,36.84,91.36,33.85,59.81,-70.55,25.24
10338434,---,21.55,17.78,18.39,16.14,22.03,30.64
10338435,---,-40.99,-25.54,-20.44,-68.19,-19.07,-94.07
10338436,---,-8.80,-9.02,23.33,-88.98,-41.90,52.01
10338437,---,18.68,-2.69,34.86,-40.92,42.69,52.96
10338438,---,13.85,35.72,-51.93,68.81,-26.35,49.35
10338439,---,-16.20,-22.40,-63.33,45.73,-38.17,10.31
10338440,---,-34.14,62.20,-63.77,45.54,-89.30,-66.27
10338441,---,38.37,63.44,58.88,72.69,-33.49,-0.75
10338442,---,-13.04,-9.25,-18.60,-26.32,-10.04,-7.58
10338443,---,-7.54,40.82,17.98,-41.12,-25.59,-21.87
10338444,---,-32.34,-0.55,-31.58,-45.93,-74.45,-55.33
10338445,---,93.34,97.14,95.88,95.06,77.44,91.77
10338446,---,35.01,64.16,70.65,49.86,0.24,8.34
10338447,---,12.26,-36.21,6.41,2.40,48.72,39.57
10338448,---,67.18,85.12,93.99,89.86,-64.55,22.65
10338449,---,95.06,98.40,97.43,98.70,82.96,77.65
10338450,---,44.13,44.99,50.32,53.21,37.04,34.71
10338451,---,-12.75,-11.96,30.40,-73.99,-20.65,-4.21
10338452,---,52.83,64.70,-4.99,55.11,58.96,73.63
10338453,---,37.26,72.81,-27.95,70.23,7.09,36.15
10338454,---,2.88,-66.21,36.17,13.80,71.50,-14.72
10338455,---,-45.95,-24.29,-86.30,-17.25,-39.81,-48.48
10338456,---,52.91,69.82,73.00,21.30,35.78,53.71
10338457,---,4.29,49.35,-17.61,-31.66,7.96,14.25
10338458,---,-9.44,-16.82,-39.16,-6.11,4.63,14.60
10338459,---,1.80,-9.18,54.63,-10.04,32.82,-22.03
10338460,---,68.46,75.54,89.36,84.52,40.57,34.62
10338461,---,85.53,96.13,79.65,87.36,53.99,89.20
10338462,---,-17.66,15.25,-55.40,-9.41,-12.34,-27.97
10338463,---,-20.58,-34.68,15.44,-45.57,-12.59,-38.13
10338464,---,26.62,-48.35,22.50,67.31,58.07,19.79
10338465,---,-1.50,12.51,66.40,-2.21,-16.80,-56.88
10338466,---,44.07,32.70,56.37,31.41,50.85,46.20
10338467,---,-4.17,44.41,20.64,13.51,-66.75,-13.45
10338468,---,89.26,97.43,80.22,94.80,92.17,57.36
10338469,---,-53.94,-65.15,-65.95,-48.50,-48.76,-42.50
10338470,---,44.01,-1.86,30.29,64.34,43.71,66.90
10338471,---,13.83,20.42,24.10,12.01,11.11,8.15
10338472,---,93.15,92.76,96.73,92.87,92.07,92.23
10338473,---,81.80,94.88,81.99,61.81,73.11,84.82
10338474,---,21.72,20.82,32.18,13.07,24.84,20.02
10338475,---,95.55,96.54,95.78,97.45,90.34,96.08
10338476,---,65.17,81.59,26.55,83.07,58.06,63.33
10338477,---,-17.59,-49.48,-5.21,-56.50,-15.43,42.09
10338478,---,79.84,85.21,81.49,75.96,76.49,74.89
10338479,---,-81.19,-99.68,-64.18,-85.28,-72.27,-61.71
10338480,---,85.41,98.95,78.82,98.16,44.02,57.09
10338481,---,15.61,4.30,-46.48,-19.61,76.68,47.49
10338482,---,82.67,97.76,61.32,93.75,66.73,70.62
10338483,---,92.83,95.54,94.35,84.16,94.47,89.81
10338484,---,22.67,15.86,30.37,24.62,40.27,1.89
