Probeset_ID,Gene Symbol,MF BM,Sample_,Sample_,Sample_
10338251,---,-84.51,-75.53,-66.47,-97.61
10338252,---,-45.02,-23.91,-18.98,-89.99
10338253,---,78.85,55.68,80.63,89.06
10338254,---,-72.46,-70.79,-77.95,-67.88
10338255,---,-33.90,21.72,-86.70,-52.63
10338256,---,-80.76,-80.15,-76.89,-85.43
10338257,---,9.34,37.27,-5.75,-4.57
10338258,---,34.83,42.43,19.64,43.84
10338259,---,0.95,-19.54,12.82,31.02
10338260,---,-65.12,-54.89,-52.60,-82.97
10338261,---,-34.78,11.05,-74.31,-45.90
10338262,---,-24.34,-20.48,-45.38,-11.92
10338263,---,15.34,14.71,28.11,0.69
10338264,---,18.46,-73.33,57.93,72.15
10338265,---,-10.27,-23.18,1.05,-8.92
10338266,---,-88.96,-96.75,-88.26,-77.94
10338267,---,14.27,-33.95,58.10,14.50
10338268,---,17.20,34.56,-2.51,17.49
10338269,---,-82.03,-76.70,-73.85,-91.17
10338270,---,25.74,-0.54,63.19,2.08
10338271,---,70.25,79.41,35.62,83.91
10338272,---,76.71,74.21,77.98,77.83
10338273,---,-37.22,-37.80,-38.12,-35.78
10338274,---,49.34,-8.39,-20.44,96.10
10338275,---,84.08,62.89,89.81,89.70
10338276,---,-89.73,-83.65,-75.66,-98.67
10338277,---,4.47,-12.40,19.64,9.95
10338278,---,-14.10,18.69,-31.74,-23.71
10338279,---,-55.45,-56.76,-48.82,-60.78
10338280,---,66.80,71.14,68.40,60.94
10338281,---,56.90,17.88,75.11,69.48
10338282,---,-27.82,-34.85,-11.74,-38.38
10338283,---,83.47,65.55,89.07,88.74
10338284,---,40.46,-29.87,91.57,6.07
10338285,---,69.56,41.47,73.15,83.95
10338286,---,-85.46,-55.69,-91.95,-94.01
10338287,---,-8.91,21.29,38.39,-73.22
10338288,---,35.70,2.28,14.82,73.04
10338289,---,-38.59,-47.62,-55.57,-7.87
10338290,---,-56.62,-42.27,-50.15,-73.70
10338291,---,-68.08,-40.67,-84.56,-72.93
10338292,---,-96.02,-76.58,-96.48,-97.40
10338293,---,57.32,58.30,62.02,51.56
10338294,---,-34.72,-82.59,-7.69,-5.68
10338295,---,79.56,68.09,84.69,83.22
10338296,---,-63.21,-55.23,-78.05,-55.02
10338297,---,-64.23,-23.72,-96.91,-44.71
10338298,---,41.77,32.67,48.37,44.92
10338299,---,49.98,-13.33,1.87,91.45
10338300,---,-13.10,-56.93,21.18,2.21
10338301,---,-16.96,-22.36,-15.57,-13.99
10338302,---,-0.84,-11.48,33.87,-20.91
10338303,---,-70.14,-45.69,-78.06,-83.35
10338304,---,-40.80,-1.08,-63.89,-54.59
10338305,---,-30.24,-8.67,-82.06,16.75
10338306,---,64.16,55.71,76.22,57.96
10338307,---,-73.12,-77.01,-51.40,-86.71
10338308,---,-63.84,-13.78,-92.70,-72.58
10338309,---,-41.01,-63.19,-17.54,-46.62
10338310,---,-53.81,-63.33,-59.17,-37.09
10338311,---,94.40,78.51,97.10,97.72
10338312,---,-15.12,-24.59,-46.73,31.65
10338313,---,-63.41,-18.28,-98.58,-52.92
10338314,---,-70.14,-75.41,-84.20,-39.77
10338315,---,17.12,-11.28,36.09,25.39
10338316,---,7.81,-13.38,15.52,28.09
10338317,---,-17.18,30.94,-24.08,-56.37
10338318,---,-37.81,21.88,-55.88,-66.45
10338319,---,-67.66,-87.06,-49.76,-53.02
10338320,---,-28.14,-27.15,3.22,-57.18
10338321,---,-30.08,0.90,-13.58,-73.18
10338322,---,-0.46,-23.57,16.04,5.84
10338323,---,-38.01,-35.41,-69.52,-4.51
10338324,---,-40.73,-57.25,2.04,-62.01
10338325,---,-78.68,-41.36,-88.74,-88.05
10338326,---,-32.06,-55.16,-24.43,-16.42
10338327,---,-14.08,-18.56,-23.20,-0.63
10338328,---,-19.99,31.44,-60.72,-79.82
10338329,---,-88.34,-91.68,-77.04,-93.31
10338330,---,-23.10,-14.50,-48.48,-6.28
10338331,---,-53.64,-85.76,-25.51,-50.14
10338332,---,-13.64,-27.40,0.43,-14.70
10338333,---,-20.24,-22.59,-20.94,-17.64
10338334,---,-48.63,-47.89,-81.67,-3.77
10338335,---,-60.41,-62.86,-64.61,-54.73
10338336,---,-94.09,-82.61,-98.54,-96.55
10338337,---,-6.51,-7.56,38.57,-39.06
10338338,---,-67.51,-50.27,-69.14,-83.60
10338339,---,56.67,57.20,56.84,55.74
10338340,---,8.12,-3.85,18.08,9.72
10338341,---,14.09,53.50,39.24,-47.98
10338342,---,-66.56,-89.87,-46.57,-59.46
10338343,---,-49.12,-70.76,-41.98,-36.54
10338344,---,76.08,73.43,78.46,76.10
10338345,---,46.84,72.70,27.07,35.89
10338346,---,30.08,18.01,4.25,58.96
10338347,---,-45.24,-33.58,-50.77,-50.58
10338348,---,80.24,74.53,86.24,78.39
10338349,---,-37.25,17.96,-49.23,-65.85
10338350,---,-57.25,-75.60,-33.74,-57.35
10338351,---,72.91,32.39,86.88,81.28
10338352,---,-41.56,-34.24,-53.64,-36.04
10338353,---,-37.31,-17.32,-66.77,-27.54
10338354,---,0.77,30.45,-24.02,-7.80
10338355,---,-38.89,-11.76,-44.97,-54.71
10338356,---,30.97,26.41,43.83,20.71
10338357,---,-55.30,-68.25,-31.13,-67.16
10338358,---,-11.72,-55.35,5.68,20.89
10338359,---,-78.42,-93.61,-60.81,-73.27
10338360,---,-38.58,17.77,-65.01,-55.36
10338361,---,58.53,27.45,69.56,73.45
10338362,---,6.71,44.02,-61.98,56.35
10338363,---,-55.67,-52.93,-66.23,-45.84
10338364,---,11.96,12.54,-49.80,68.72
10338365,---,-91.00,-77.92,-97.54,-94.38
10338366,---,-71.40,-32.19,-83.10,-81.91
10338367,---,-48.46,28.86,-87.45,-56.48
10338368,---,-54.31,-5.28,-60.77,-88.61
10338369,---,-34.94,2.84,-81.39,-0.51
10338370,---,-27.78,-80.97,71.38,-56.84
10338371,---,61.01,60.45,62.59,59.66
10338372,---,-68.40,-53.46,-36.40,-94.46
10338373,---,-47.10,-8.85,-61.59,-68.66
10338374,---,84.77,73.72,87.77,89.68
10338375,---,-4.97,3.20,-5.09,-13.37
10338376,---,-52.98,-9.44,-48.56,-86.59
10338377,---,50.50,66.53,-8.09,74.39
10338378,---,-20.05,-25.15,-63.44,37.73
10338379,---,-68.27,-44.42,-65.97,-90.23
10338380,---,-84.71,-86.13,-73.33,-90.24
10338381,---,-20.15,21.31,-11.85,-85.30
10338382,---,-53.20,-49.93,-83.72,-10.88
10338383,---,84.01,64.30,90.55,90.55
10338384,---,-55.87,18.61,-91.24,-67.65
10338385,---,5.09,-14.09,-2.80,28.04
10338386,---,-70.73,-54.91,-91.44,-57.87
10338387,---,-80.58,-59.41,-85.94,-91.32
10338388,---,44.43,-2.17,50.10,63.79
10338389,---,-86.28,-88.92,-91.07,-71.78
10338390,---,9.93,44.82,47.78,-59.75
10338391,---,-36.69,-21.39,-21.47,-65.10
10338392,---,-59.75,-17.64,-45.08,-92.92
10338393,---,36.20,4.03,43.74,54.85
10338394,---,-87.38,-49.82,-88.88,-92.82
10338395,---,77.26,62.99,76.38,86.80
10338396,---,58.12,46.78,73.10,49.17
10338397,---,-53.15,-76.24,-21.87,-65.25
10338398,---,-81.95,-62.47,-85.15,-87.30
10338399,---,8.78,24.42,20.25,-26.17
10338400,---,-23.90,-26.57,-23.41,-21.62
10338401,---,-4.92,-28.28,-46.70,70.01
10338402,---,-78.17,-93.43,-41.74,-83.23
10338403,---,-86.80,-87.10,-82.42,-89.70
10338404,---,19.33,14.59,14.59,28.30
10338405,---,-65.75,-98.10,-26.75,-62.86
10338406,---,-66.99,-69.06,-80.09,-47.18
10338407,---,83.36,59.65,84.77,93.25
10338408,---,49.02,18.10,75.07,43.86
10338409,---,-28.81,-17.01,-14.09,-52.15
10338410,---,-74.36,-90.74,-64.24,-58.46
10338411,---,-45.33,1.08,-63.32,-63.58
10338412,---,36.81,-57.82,83.86,55.61
10338413,---,-56.19,-56.02,-43.15,-66.95
10338414,---,-22.28,-12.69,42.02,-79.44
10338415,---,25.63,-16.66,29.67,59.63
10338416,---,-82.14,-66.89,-80.80,-93.17
10338417,---,-61.35,-15.93,-91.42,-59.42
10338418,---,-33.88,-54.02,-73.11,2.20
10338419,---,-60.12,16.25,-81.84,-81.67
10338420,---,-49.41,-36.89,-69.70,-39.93
10338421,---,10.13,3.25,5.38,24.31
10338422,---,-28.53,16.35,-90.53,24.63
10338423,---,-29.40,8.83,-63.02,-29.40
10338424,---,-10.80,5.90,-19.60,-21.65
10338425,---,-87.59,-81.34,-97.07,-75.69
10338426,---,-43.70,-55.28,-14.37,-62.77
10338427,---,-24.66,-24.44,9.82,-54.98
10338428,---,-14.43,46.38,-45.67,-35.93
10338429,---,33.85,-53.65,89.43,17.70
10338430,---,-23.73,-19.62,-41.47,-11.61
10338431,---,-87.91,-67.98,-92.26,-94.17
10338432,---,-57.32,-7.65,-71.87,-81.57
10338433,---,-13.81,-2.57,-17.85,-20.54
10338434,---,55.39,33.75,67.37,64.95
10338435,---,-15.67,-87.43,20.39,-14.92
10338436,---,-36.49,-27.83,-99.21,-5.80
10338437,---,45.58,37.98,54.18,43.61
10338438,---,-19.09,-69.77,-88.19,89.49
10338439,---,-58.63,-16.51,-74.86,-74.86
10338440,---,-26.33,-35.90,39.58,-67.43
10338441,---,-57.37,67.39,-89.56,-89.73
10338442,---,-39.75,-32.79,-60.28,-26.41
10338443,---,-60.37,-75.16,-7.94,-86.23
10338444,---,-11.29,-91.74,71.06,-57.11
10338445,---,-32.18,6.37,-88.91,2.43
10338446,---,74.53,82.02,71.45,69.46
10338447,---,-36.95,-69.45,26.10,-52.26
10338448,---,-66.53,-36.37,-83.44,-71.77
10338449,---,-8.16,-26.40,-8.03,10.66
10338450,---,34.93,-33.52,63.75,60.49
10338451,---,16.23,-1.37,69.51,-21.73
10338452,---,-42.62,-57.10,-39.92,-31.99
10338453,---,-45.46,-34.48,-77.57,-15.04
10338454,---,-1.50,0.00,-22.92,31.86
10338455,---,-34.16,-22.99,-69.90,-7.47
10338456,---,70.49,82.46,86.18,24.51
10338457,---,-56.59,-90.25,16.40,-62.29
10338458,---,-64.94,-93.04,-6.67,-74.84
10338459,---,20.98,-53.96,27.28,76.64
10338460,---,-70.15,15.07,-81.94,-89.23
10338461,---,16.48,51.18,-43.28,36.65
10338462,---,-67.12,-43.82,-71.95,-86.21
10338463,---,72.68,72.18,73.83,71.87
10338464,---,-37.94,-30.53,-41.31,-41.62
10338465,---,-37.71,-51.63,-75.87,18.26
10338466,---,-45.01,-3.16,-45.41,-73.07
10338467,---,-57.58,-73.36,-82.38,-11.08
10338468,---,46.04,27.17,63.97,44.55
10338469,---,-60.60,-54.89,-39.76,-86.66
10338470,---,-10.98,-36.20,-13.96,17.29
10338471,---,8.43,27.56,6.35,2.45
10338472,---,79.78,71.50,81.22,84.53
10338473,---,-55.95,-49.16,-87.47,-18.62
10338474,---,0.36,8.72,-14.09,-15.66
10338475,---,78.33,59.54,84.07,86.01
10338476,---,-40.94,-18.38,-33.10,-64.58
10338477,---,66.16,66.71,61.55,69.60
10338478,---,-77.95,-70.99,-70.23,-89.34
10338479,---,7.74,48.39,-6.88,-1.05
10338480,---,-76.21,-41.55,-87.75,-89.19
10338481,---,-2.03,-1.46,-19.58,17.47
10338482,---,-48.13,4.57,-56.40,-76.68
10338483,---,13.57,45.06,58.28,-60.38
10338484,---,-71.56,-47.51,-66.99,-91.57
10338485,---,-53.42,-65.06,-27.05,-70.13
10338486,---,23.58,19.80,20.79,31.15
10338487,---,67.99,29.50,81.50,76.67
10338488,---,-56.99,-44.42,-56.65,-68.42
10338489,---,-73.04,-54.03,-79.64,-80.59
10338490,---,-12.41,-24.00,-9.02,-8.36
10338491,---,-60.64,-53.36,-90.29,-31.55
10338492,---,-61.73,-66.81,-64.95,-53.06
10338493,---,-97.89,-93.93,-95.11,-99.74
10338494,---,-26.28,-48.33,-27.79,-3.72
10338495,---,-29.17,-60.53,12.82,-31.46
10338496,---,60.99,62.82,60.08,59.88
10338497,---,39.14,67.39,17.76,26.02
10338498,---,-48.18,31.19,-78.60,-68.93
10338499,---,5.21,33.39,-73.01,62.39
10338500,---,-17.30,-22.96,-37.10,7.91
10338501,---,3.48,-76.59,35.83,62.70
10338502,---,9.96,-4.91,26.13,7.32
10338503,---,36.92,36.16,-4.63,63.84
10338504,---,55.73,48.42,58.73,58.75
10338505,---,-51.64,-55.62,-63.69,-30.60
10338506,---,10.08,12.00,54.35,-31.81
10338507,---,-40.62,-58.04,-51.67,-5.35
10338508,---,-27.08,-4.21,-39.19,-42.85
10338509,---,-74.57,-44.82,-84.59,-86.76
10338510,---,-22.87,6.22,-37.41,-36.49
10338511,---,-57.38,-90.79,45.09,-78.89
10338512,---,-35.39,20.26,-64.34,-55.48
10338513,---,43.44,-7.03,75.74,43.17
10338514,---,-41.09,-36.61,-46.58,-39.61
10338515,---,48.04,35.44,57.32,50.15
10338516,---,-12.85,43.21,-7.40,-64.59
10338517,---,86.68,81.80,86.60,90.89
10338518,---,24.72,4.32,56.59,10.02
10338519,---,88.85,87.38,88.85,90.24
10338520,---,-31.61,-6.67,-66.81,-7.71
10338521,---,-0.08,16.07,-61.92,50.36
10338522,---,2.77,13.33,-6.85,-3.21
10338523,---,-85.02,-74.01,-84.82,-92.27
10338524,---,48.29,32.48,38.16,67.26
10338525,---,-71.33,-69.53,-79.17,-64.05
10338526,---,23.60,-61.50,43.11,77.34
10338527,---,-28.64,-48.38,1.06,-34.12
10338528,---,62.02,24.18,78.23,73.96
10338529,---,-96.97,-88.56,-98.13,-98.42
10338530,---,-69.68,-36.38,-74.78,-79.53
10338531,---,-74.85,-73.66,-76.22,-75.49
10338532,---,77.52,73.08,78.72,80.07
10338533,---,-21.75,-12.04,-62.61,17.03
10338534,---,-74.65,-40.33,-97.37,-53.00
10338535,---,-70.82,-68.00,-59.14,-80.88
10338536,---,9.42,77.68,-67.86,12.05
10338537,---,-61.51,-63.91,-45.36,-74.76
10338538,---,-62.92,-16.22,-92.08,-66.41
10338539,---,-61.99,-30.40,-94.96,-43.73
10338540,---,11.90,24.40,7.52,6.31
10338541,---,-7.40,-20.39,-11.32,3.59
10338542,---,-48.35,8.78,-48.58,-87.74
10338543,---,77.90,74.06,91.85,50.04
10338544,---,-50.74,-84.14,-30.02,-40.57
10338545,---,-28.02,0.49,13.35,-82.61
10338546,---,-33.22,57.67,-60.86,-78.04
10338547,---,-3.89,7.76,29.28,-35.19
10338548,---,-56.31,-13.15,-81.79,-86.06
10338549,---,-32.58,-90.44,18.79,-35.24
10338550,---,34.24,36.97,22.13,43.05
10338551,---,41.96,-19.79,54.38,71.88
10338552,---,66.85,54.77,74.01,69.38
10338553,---,47.63,26.62,44.73,65.26
10338554,---,31.92,76.70,-15.19,19.89
10338555,---,-0.04,0.72,45.84,-35.86
10338556,---,-89.99,-69.57,-89.79,-96.14
10338557,---,18.26,21.61,38.02,-5.97
10338558,---,-97.05,-94.56,-97.30,-98.26
10338559,---,18.82,-48.68,50.52,54.54
10338560,---,-53.15,26.02,-98.75,-54.68
10338561,---,-19.63,-26.36,18.31,-48.69
10338562,---,-68.36,-35.18,-90.81,-76.76
10338563,---,-9.13,-42.06,39.34,-12.18
10338564,---,33.07,31.19,48.54,17.61
10338565,---,-28.86,-12.25,-22.90,-46.53
10338566,---,-1.92,-20.87,-44.09,60.95
10338567,---,88.93,85.99,89.97,90.46
10338568,---,-76.55,-16.17,-92.80,-84.96
10338569,---,66.33,3.86,86.23,73.31
10338570,---,-61.03,-87.75,-54.56,-30.83
10338571,---,-75.49,-92.16,-76.09,-40.64
10338572,---,-34.13,-66.15,-30.99,-7.38
10338573,---,-59.04,3.06,-81.83,-76.51
10338574,---,-26.34,-54.06,-47.42,24.80
10338575,---,11.83,44.44,-40.01,38.52
10338576,---,-18.91,36.86,-57.50,-29.90
10338577,---,-12.00,-9.86,9.52,-34.56
10338578,---,41.97,30.60,50.15,46.51
10338579,---,-31.25,-9.39,-39.04,-54.62
10338580,---,-2.72,36.67,-42.92,-2.54
10338581,---,-46.48,-26.53,-39.16,-67.92
10338582,---,-10.63,-1.78,-29.41,-2.35
10338583,---,-48.93,-44.09,-35.44,-70.52
10338584,---,43.20,51.35,68.85,-0.04
10338585,---,66.95,63.13,70.61,67.51
10338586,---,4.29,13.41,64.96,-63.10
10338587,---,-10.63,-15.74,-9.42,-6.98
10338588,---,31.67,27.43,-28.41,77.46
10338589,---,-58.07,-39.51,-57.31,-77.00
10338590,---,-53.46,-16.90,-68.31,-74.12
10338591,---,-10.98,-47.54,51.57,-23.65
10338592,---,-9.54,43.55,-75.59,-4.77
10338593,---,-58.80,-59.54,-66.98,-48.11
10338594,---,-34.61,44.26,-56.12,-73.07
10338595,---,-24.68,54.40,-54.92,-62.98
10338596,---,-81.74,-84.25,-42.95,-99.28
10338597,---,-41.29,-57.42,-58.85,-8.31
10338598,---,-46.01,5.23,-58.62,-77.60
10338599,---,-81.47,-87.20,-97.38,-40.00
10338600,---,-33.41,-41.47,-57.33,4.94
10338601,---,-66.46,-28.03,-76.13,-81.83
10338602,---,-42.32,-43.71,-13.43,-66.19
10338603,---,47.53,10.44,68.87,55.97
10338604,---,-57.88,6.48,-64.35,-77.02
10338605,---,-83.39,-93.76,-81.16,-69.22
10338606,---,-34.55,-76.87,41.67,-51.78
10338607,---,62.84,55.20,17.20,92.63
10338608,---,-67.26,-34.34,-76.94,-81.92
10338609,---,-24.52,-6.97,-44.36,-27.36
10338610,---,-44.44,-38.02,-50.00,-45.31
10338611,---,-3.39,51.32,-58.06,1.64
10338612,---,-19.01,-32.42,14.64,-38.34
10338613,---,-15.25,36.44,-31.68,-47.83
10338614,---,8.41,-16.04,52.51,-4.17
10338615,---,90.25,82.79,91.82,93.41
