Probeset_ID,Gene Symbol,Mo BM Ly6C+ II-,Sample_,Sample_,Sample_
10338114,---,95.91,93.80,93.17,98.56
10338115,---,-76.88,-77.50,-89.17,-59.94
10338116,---,61.11,45.85,58.88,73.95
10338117,---,36.86,48.61,38.52,22.02
10338118,---,22.24,1.82,-13.92,65.54
10338119,---,84.33,85.24,84.14,83.41
10338120,---,58.88,70.61,46.86,55.20
10338121,---,-82.00,-65.29,-93.47,-80.37
10338122,---,-3.85,-29.96,-16.80,43.88
10338123,---,53.15,70.04,54.45,31.58
10338124,---,-1.02,-6.62,-14.26,32.93
10338125,---,-18.78,-46.20,-7.25,-5.82
10338126,---,55.21,52.32,-9.87,84.36
10338127,---,77.87,64.33,87.13,77.87
10338128,---,55.86,55.82,54.28,56.97
10338129,---,-24.27,-15.64,-40.14,-14.54
10338130,---,-0.16,-60.65,18.44,56.45
10338131,---,-33.63,63.94,-61.03,-87.70
10338132,---,-11.15,-60.84,59.47,-32.09
10338133,---,-66.00,-78.65,-29.42,-78.42
10338134,---,43.96,52.73,-2.86,71.85
10338135,---,1.75,6.12,-3.99,7.77
10338136,---,26.58,46.49,4.66,24.66
10338137,---,-42.97,-68.12,-23.68,-28.89
10338138,---,96.12,97.44,95.73,94.82
10338139,---,18.08,-18.65,32.91,40.82
10338140,---,-53.32,-58.90,-94.78,17.10
10338141,---,-35.79,-30.72,-38.56,-38.13
10338142,---,79.18,82.15,4.60,97.84
10338143,---,-20.36,-45.23,-91.71,34.41
10338144,---,64.47,73.75,57.07,62.40
10338145,---,-15.23,-58.81,-26.75,48.37
10338146,---,6.21,-25.29,-6.85,56.11
10338147,---,-79.10,-77.28,-83.40,-74.93
10338148,---,-7.99,-8.84,-25.09,11.58
10338149,---,71.57,-10.08,84.03,93.98
10338150,---,73.75,57.17,75.44,84.35
10338151,---,26.20,-7.13,-1.48,74.68
10338152,---,35.67,48.17,35.84,19.54
10338153,---,3.87,-23.52,-71.94,91.61
10338154,---,-6.06,16.19,72.88,-84.17
10338155,---,-86.46,-83.32,-87.65,-88.63
10338156,---,-57.69,-52.89,-86.75,-8.73
10338157,---,-52.94,-50.93,-55.30,-52.64
10338158,---,1.57,59.40,-52.25,11.25
10338159,---,-94.34,-79.49,-97.41,-97.59
10338160,---,96.41,96.37,95.04,97.50
10338161,---,-89.44,-73.78,-70.94,-99.35
10338162,---,-54.08,-36.65,-84.28,-26.85
10338163,---,-55.84,-56.07,-67.25,-44.14
10338164,---,-9.43,6.05,-7.84,-25.39
10338165,---,-5.16,-3.94,-40.02,40.86
10338166,---,-89.72,-87.14,-90.41,-90.12
10338167,---,-55.14,-62.36,-96.36,-8.53
10338168,---,53.50,53.64,37.94,67.87
10338169,---,65.89,55.37,42.76,85.62
10338170,---,-74.84,-44.19,-99.63,-27.56
10338171,---,-83.80,-80.14,-99.45,-56.99
10338172,---,-87.72,-27.65,-32.35,-100.02
10338173,---,-26.01,-9.82,-56.29,-15.62
10338174,---,5.48,12.61,-14.95,16.19
10338175,---,-8.80,-9.54,-34.39,19.95
10338176,---,45.81,39.61,35.24,62.81
10338177,---,-0.03,28.44,16.74,-42.58
10338178,---,-15.70,-32.08,-20.74,6.72
10338179,---,0.53,0.33,0.86,0.16
10338180,---,68.80,75.09,58.13,70.70
10338181,---,41.83,-2.18,-26.77,94.18
10338182,---,-8.35,-8.59,-9.83,-6.72
10338183,---,-42.60,-45.05,-94.69,6.18
10338184,---,21.86,52.34,-32.57,41.41
10338185,---,-63.29,-65.14,-31.20,-86.65
10338186,---,-38.91,-20.88,-38.54,-59.33
10338187,---,61.22,60.17,83.00,23.40
10338188,---,42.86,20.92,41.87,59.53
10338189,---,-1.26,-0.56,31.77,-26.14
10338190,---,97.45,97.59,97.64,97.16
10338191,---,58.49,51.45,3.33,86.46
10338192,---,-8.77,85.43,85.25,-99.74
10338193,---,-14.57,18.67,-57.99,-5.95
10338194,---,-54.57,-80.14,-23.54,-62.30
10338195,---,92.73,86.93,88.36,98.65
10338196,---,49.14,49.18,42.23,55.39
10338197,---,22.85,92.11,81.72,-97.84
10338198,---,-21.00,1.39,8.80,-64.18
10338199,---,10.06,-5.12,17.27,20.92
10338200,---,-63.90,-58.04,-69.46,-63.67
10338201,---,-28.93,-35.58,-53.04,8.64
10338202,---,87.91,73.93,89.50,93.53
10338203,---,83.48,58.40,80.61,95.46
10338204,---,52.37,4.97,72.50,66.12
10338205,---,-32.71,-36.79,-67.67,4.35
10338206,---,12.02,1.46,-92.52,86.09
10338207,---,-34.29,-42.63,-57.49,-14.84
10338208,---,-54.60,-7.57,-79.95,-65.83
10338209,---,94.23,93.12,92.59,96.03
10338210,---,58.22,41.57,58.30,71.02
10338211,---,60.41,50.65,33.20,84.22
10338212,---,-3.20,-61.04,-18.45,73.54
10338213,---,-22.71,-21.07,-30.04,-18.39
10338214,---,87.85,85.79,81.98,93.43
10338215,---,-74.94,-81.50,-96.32,-25.44
10338216,---,0.34,-18.13,-12.73,42.52
10338217,---,91.08,80.19,89.45,97.35
10338218,---,42.10,-51.04,-5.67,98.02
10338219,---,74.34,-13.96,67.45,97.76
10338220,---,-84.70,-55.09,-95.80,-90.55
10338221,---,92.73,89.34,91.17,96.19
10338222,---,-27.98,-20.30,-93.80,52.27
10338223,---,96.96,96.71,96.31,97.55
10338224,---,-15.05,-11.76,-26.98,-4.99
10338225,---,18.30,17.47,-3.58,38.05
10338226,---,52.37,78.05,-6.55,61.06
10338227,---,19.17,-37.84,67.70,19.94
10338228,---,-10.15,68.32,68.52,-97.00
10338229,---,-27.30,-24.82,-73.37,-7.48
10338230,---,-25.69,-16.52,-53.22,-11.16
10338231,---,53.02,49.22,46.95,60.75
10338232,---,-52.36,-58.87,-51.52,-46.71
10338233,---,4.76,37.74,-30.30,12.41
10338234,---,-21.92,-18.89,-25.79,-20.45
10338235,---,-42.60,-12.82,-80.70,-40.60
10338236,---,-7.65,-46.05,-9.72,41.66
10338237,---,-19.00,85.08,74.52,-99.65
10338238,---,-7.65,18.55,-33.56,-4.98
10338239,---,32.02,2.73,-6.85,75.32
10338240,---,-30.69,-27.00,-52.88,-12.26
10338241,---,-49.68,-45.42,-78.98,-31.34
10338242,---,40.45,60.39,6.47,51.48
10338243,---,23.42,9.17,41.52,18.71
10338244,---,-14.64,31.89,16.56,-78.38
10338245,---,-14.70,-54.89,-9.21,-3.09
10338246,---,-55.98,-87.13,-84.72,38.28
10338247,---,73.15,87.19,92.31,-22.95
10338248,---,-42.44,-74.48,-30.28,-26.93
10338249,---,62.60,85.43,4.07,73.77
10338250,---,44.66,57.89,31.07,44.82
10338251,---,-69.01,-75.10,-32.92,-92.50
10338252,---,-49.57,-46.95,-94.89,-1.78
10338253,---,63.53,55.95,31.76,86.00
10338254,---,-49.58,-39.27,-73.47,-32.57
10338255,---,-45.77,-27.67,-52.95,-60.83
10338256,---,-11.11,-26.76,4.18,-9.92
10338257,---,22.11,31.82,43.74,-12.27
10338258,---,67.52,57.43,67.84,75.76
10338259,---,-38.39,-13.47,-64.90,-44.11
10338260,---,-76.91,-51.19,-77.22,-91.82
10338261,---,-57.82,5.97,-90.56,-86.84
10338262,---,-7.79,-35.09,25.09,-4.69
10338263,---,47.30,30.61,67.31,36.87
10338264,---,42.91,58.47,-6.98,66.70
10338265,---,-25.07,-12.16,-37.06,-26.65
10338266,---,-68.64,-65.53,-26.61,-93.57
10338267,---,53.08,49.82,10.11,79.85
10338268,---,33.25,44.64,-1.76,50.61
10338269,---,-42.93,-81.30,-38.58,-3.44
10338270,---,36.21,40.03,5.61,57.09
10338271,---,95.82,92.34,94.68,98.36
10338272,---,95.11,93.98,94.61,96.21
10338273,---,-24.74,-15.74,-41.37,-16.30
10338274,---,-13.20,-53.67,2.89,14.98
10338275,---,73.78,69.50,64.49,84.19
10338276,---,-54.97,-26.25,-61.44,-70.27
10338277,---,3.12,-15.65,20.88,8.75
10338278,---,-21.94,1.22,-27.35,-40.44
10338279,---,-12.39,-45.15,-39.22,48.55
10338280,---,50.91,70.20,48.84,32.26
10338281,---,92.54,91.64,75.95,97.84
10338282,---,-66.61,-64.71,-37.42,-88.05
10338283,---,88.74,76.76,87.94,94.56
10338284,---,32.49,50.20,-15.82,56.41
10338285,---,70.41,17.59,75.77,92.05
10338286,---,-70.78,-53.18,-59.90,-89.80
10338287,---,4.73,3.02,-27.15,34.56
10338288,---,39.66,68.99,27.08,13.14
10338289,---,-29.82,-38.79,-66.80,25.22
10338290,---,-76.99,-44.17,-86.74,-85.54
10338291,---,-92.78,-91.72,-96.87,-88.40
10338292,---,-80.85,-67.82,-84.46,-86.49
10338293,---,59.40,26.02,25.37,92.09
10338294,---,-2.17,44.68,-32.64,-8.93
10338295,---,99.82,99.68,99.72,99.94
10338296,---,-70.95,-77.65,-84.25,-48.28
10338297,---,-20.31,-45.66,-31.80,20.05
10338298,---,56.19,62.47,48.23,57.59
10338299,---,91.63,56.29,67.17,99.27
10338300,---,18.88,2.91,19.29,33.52
10338301,---,-66.16,-30.95,-84.88,-74.53
10338302,---,-35.52,-36.39,-59.53,-8.29
10338303,---,-14.10,-9.65,-16.91,-15.69
10338304,---,4.89,48.03,2.58,-32.12
10338305,---,16.01,-44.57,-36.23,89.32
10338306,---,50.01,34.39,58.60,57.00
10338307,---,-31.52,-64.10,-50.26,-1.07
10338308,---,-51.02,12.91,-55.29,-91.49
10338309,---,-34.15,-98.56,17.15,-13.05
10338310,---,-27.67,-38.40,-63.76,28.82
10338311,---,91.22,72.05,97.51,92.47
10338312,---,34.28,40.72,-3.48,58.33
10338313,---,-20.34,9.42,-67.07,-8.96
10338314,---,-46.40,-51.39,-50.00,-38.15
10338315,---,62.68,66.33,61.87,59.83
10338316,---,61.69,53.83,35.52,82.46
10338317,---,-36.79,-12.85,-9.47,-73.25
10338318,---,-38.77,-73.26,-1.05,-30.74
10338319,---,70.22,65.33,70.86,74.26
10338320,---,25.58,-23.05,59.22,36.20
10338321,---,-64.63,-31.40,-60.28,-91.50
10338322,---,81.12,62.49,75.47,91.99
10338323,---,67.63,48.27,82.05,65.97
10338324,---,-17.85,-61.98,-2.57,19.94
10338325,---,-31.55,-25.97,-45.39,-20.07
10338326,---,59.95,62.36,49.63,66.80
10338327,---,-94.67,-80.56,-77.05,-99.72
10338328,---,-28.10,-40.62,-73.05,-4.25
10338329,---,-49.90,-61.66,-57.19,-32.66
10338330,---,-0.39,-4.01,17.61,-22.72
10338331,---,-35.07,-29.46,-45.99,-31.07
10338332,---,-64.66,-83.05,-84.08,-12.05
10338333,---,-24.80,-20.86,-42.44,-17.72
10338334,---,-56.81,61.74,-91.59,-87.52
10338335,---,14.98,34.98,-11.54,25.48
10338336,---,-77.28,-77.02,-99.51,-39.66
10338337,---,-51.72,-72.61,-80.32,-2.79
10338338,---,-26.96,-57.16,-76.77,52.50
10338339,---,27.23,41.25,26.25,16.04
10338340,---,37.33,-6.03,44.12,64.19
10338341,---,69.80,34.97,69.76,86.94
10338342,---,-10.93,-65.88,-21.22,51.94
10338343,---,-52.27,-29.82,-95.14,-34.14
10338344,---,55.39,54.16,55.86,56.02
10338345,---,94.75,94.45,92.36,97.11
10338346,---,42.80,35.46,-33.75,85.68
10338347,---,-41.43,-53.68,-16.50,-53.83
10338348,---,69.55,78.02,62.85,66.32
10338349,---,-6.08,22.56,-4.42,-38.84
10338350,---,-49.83,-69.00,-21.69,-54.51
10338351,---,70.38,65.32,18.05,94.33
10338352,---,-38.53,-30.28,-77.53,-4.01
10338353,---,-60.88,-37.12,-83.63,-56.22
10338354,---,5.85,-3.74,-23.40,41.30
10338355,---,-80.19,-98.75,-61.23,-73.79
10338356,---,47.84,31.69,38.34,68.55
10338357,---,-30.64,-24.84,-58.26,-12.80
10338358,---,-34.44,-51.87,3.53,-53.11
10338359,---,-26.85,-29.30,-4.03,-44.55
10338360,---,-39.11,-56.67,-66.54,20.59
10338361,---,93.90,93.46,94.02,94.24
10338362,---,-2.81,-73.73,-76.97,93.84
10338363,---,-67.19,-45.61,-87.20,-57.71
10338364,---,-39.52,-25.41,-78.65,-12.34
10338365,---,-24.82,60.17,-66.03,-65.23
10338366,---,-27.93,-22.88,-40.56,-17.08
10338367,---,-3.09,-45.07,7.59,36.53
10338368,---,-88.46,-67.12,-45.63,-99.89
10338369,---,-45.03,-33.89,-83.37,6.69
10338370,---,43.36,37.19,67.31,17.32
10338371,---,47.51,44.65,50.61,47.98
10338372,---,-43.27,36.83,-11.67,-95.29
10338373,---,31.83,32.59,51.48,7.82
10338374,---,63.80,81.25,29.52,71.28
10338375,---,22.56,38.63,-46.13,72.59
10338376,---,-42.15,-37.01,-45.22,-43.51
10338377,---,-34.54,-46.73,-21.56,-32.90
10338378,---,42.46,14.10,75.20,16.07
10338379,---,-52.42,-43.30,-64.44,-50.16
10338380,---,-93.05,-91.96,-95.20,-90.95
10338381,---,-47.49,-93.09,-46.96,-12.39
10338382,---,24.20,43.38,48.40,-24.84
10338383,---,88.08,83.15,84.68,93.19
10338384,---,-24.94,14.92,-18.67,-66.23
10338385,---,15.85,12.34,5.43,30.40
10338386,---,-54.37,-59.69,-94.19,-9.61
10338387,---,-78.00,-89.85,-71.86,-70.22
10338388,---,92.44,91.68,89.73,95.20
10338389,---,-93.14,-96.39,-86.47,-93.68
10338390,---,-26.19,-19.56,-6.84,-50.03
10338391,---,49.01,-10.98,-75.80,98.77
10338392,---,-59.66,-78.09,-27.87,-66.35
10338393,---,94.29,94.19,93.77,95.08
10338394,---,-85.23,-81.34,-87.14,-85.77
10338395,---,79.25,66.16,82.90,84.67
10338396,---,34.98,-5.41,35.31,63.26
10338397,---,-45.57,-44.89,-15.31,-81.00
10338398,---,-94.55,-78.44,-88.11,-99.52
10338399,---,2.00,-7.74,1.95,6.04
10338400,---,-15.57,7.49,-24.68,-37.34
10338401,---,-0.08,54.39,-64.93,39.58
10338402,---,9.86,-35.31,-67.84,92.35
10338403,---,-19.99,-37.90,-26.76,0.10
10338404,---,30.72,1.03,41.03,41.13
10338405,---,-66.22,-49.94,-73.95,-74.19
10338406,---,-79.66,-59.56,-75.80,-92.89
10338407,---,19.65,21.36,17.36,20.73
10338408,---,64.31,56.54,60.98,73.33
10338409,---,-41.75,35.68,-33.36,-87.49
10338410,---,3.14,-27.80,-54.63,82.87
10338411,---,-44.42,-18.24,-43.25,-65.92
10338412,---,53.03,88.73,31.18,-0.27
10338413,---,-67.59,-71.77,-61.71,-69.26
10338414,---,-14.44,-16.46,-75.25,58.38
10338415,---,82.84,97.19,70.94,59.08
10338416,---,-84.43,-85.79,-81.18,-86.77
10338417,---,-52.48,-21.98,-68.95,-61.43
10338418,---,-20.34,-57.03,-5.79,-11.23
10338419,---,-52.31,-45.08,-71.15,-34.12
10338420,---,-49.41,-31.29,-49.49,-64.83
10338421,---,46.53,53.17,27.96,59.79
10338422,---,-0.03,78.68,49.15,-95.09
10338423,---,-44.48,-57.36,-22.21,-52.36
10338424,---,-7.00,-0.37,-18.88,-4.25
10338425,---,-53.05,-31.77,-66.67,-57.98
10338426,---,-89.51,-46.63,-95.98,-98.58
10338427,---,80.81,85.76,39.72,92.89
10338428,---,-39.74,-94.87,-40.77,18.74
10338429,---,66.78,-13.70,73.17,92.56
10338430,---,2.39,14.06,-38.95,52.99
10338431,---,-82.98,-83.61,-85.30,-80.37
10338432,---,-48.07,-68.28,-51.13,-23.84
10338433,---,-7.79,-36.47,-4.69,17.72
10338434,---,39.38,39.46,14.97,64.00
10338435,---,-11.59,-59.56,-28.18,44.26
10338436,---,-59.87,-99.36,-54.81,-20.65
10338437,---,83.35,86.86,77.85,84.91
10338438,---,-13.39,-49.88,47.90,-28.65
10338439,---,52.55,19.49,85.57,23.91
10338440,---,-59.78,-79.42,-16.40,-69.60
10338441,---,-51.02,-40.56,-58.59,-52.54
10338442,---,-38.15,-71.29,-40.22,-12.75
10338443,---,-26.86,-20.60,-56.04,-6.83
10338444,---,-22.04,17.28,-70.63,-45.79
10338445,---,6.37,45.36,-23.79,0.82
10338446,---,67.29,77.69,60.16,63.80
10338447,---,-0.30,-44.42,-9.61,50.12
10338448,---,-68.19,-60.75,-21.12,-95.69
10338449,---,28.17,59.41,-56.21,69.80
10338450,---,46.64,6.19,58.80,63.60
10338451,---,34.17,47.62,-8.34,58.03
10338452,---,20.54,-7.16,56.24,9.32
10338453,---,-77.98,-73.52,-97.75,-30.76
10338454,---,-8.54,-41.15,-12.12,39.32
10338455,---,-39.76,-40.33,-46.07,-33.66
10338456,---,80.10,66.44,47.44,96.88
10338457,---,-62.68,-78.97,-47.54,-56.15
10338458,---,-60.67,-90.39,-43.09,-36.73
10338459,---,64.22,62.74,45.04,78.38
10338460,---,-73.29,-45.52,-81.37,-78.54
10338461,---,56.05,50.99,56.16,60.62
10338462,---,-78.81,-76.21,-83.51,-76.06
10338463,---,49.24,50.58,52.97,43.58
10338464,---,76.50,68.67,85.31,74.29
10338465,---,-22.01,-21.09,-48.73,3.01
10338466,---,-20.81,8.94,-31.12,-37.70
10338467,---,-78.21,-90.67,-66.03,-74.46
10338468,---,63.97,75.84,42.75,69.34
10338469,---,-68.15,-60.98,-76.27,-67.40
10338470,---,13.52,-8.61,32.71,19.16
10338471,---,9.40,14.79,10.30,5.18
10338472,---,96.11,95.47,95.38,97.24
10338473,---,44.46,-1.99,39.47,81.70
10338474,---,-4.70,2.52,-17.90,-13.87
10338475,---,94.64,94.03,92.40,97.30
10338476,---,-47.51,-39.42,-57.42,-44.56
10338477,---,79.29,76.73,78.15,82.98
10338478,---,6.54,-7.26,-19.97,55.37
10338479,---,-61.24,-77.40,-47.83,-60.69
10338480,---,-79.69,-92.46,-70.19,-69.85
10338481,---,1.38,-39.64,21.77,28.16
10338482,---,-42.54,-11.11,-54.51,-59.00
10338483,---,79.74,7.40,85.11,94.98
10338484,---,-83.95,-70.22,-99.84,-52.30
10338485,---,-17.67,-69.27,-6.45,22.96
10338486,---,22.34,31.59,25.78,14.07
10338487,---,50.41,4.10,54.36,78.29
10338488,---,-42.98,-42.72,-25.67,-57.05
10338489,---,-81.19,-29.96,-89.05,-94.61
10338490,---,44.09,38.53,27.31,63.46
10338491,---,-6.77,-2.44,-22.26,-2.54
10338492,---,4.08,-7.63,-25.85,48.07
10338493,---,-99.33,-99.47,-99.93,-94.60
10338494,---,8.92,31.89,-13.36,11.54
10338495,---,-27.93,-40.12,-33.03,-10.60
10338496,---,71.48,70.57,72.24,71.66
10338497,---,-35.52,26.13,60.13,-97.42
10338498,---,41.53,44.06,32.17,48.23
10338499,---,93.28,91.50,87.57,97.26
10338500,---,-30.13,-11.85,-58.62,-15.95
10338501,---,34.64,-14.31,-71.83,96.68
10338502,---,-16.22,31.78,-64.08,-7.59
10338503,---,-39.30,-27.61,-32.15,-60.11
10338504,---,93.42,92.66,94.10,93.28
10338505,---,-35.34,-19.97,-43.09,-40.78
10338506,---,-52.28,-32.69,-52.07,-68.66
10338507,---,45.88,49.01,23.68,61.26
10338508,---,3.89,64.17,-19.44,-22.45
10338509,---,-78.66,-88.60,-65.48,-79.82
10338510,---,-38.00,-24.59,-25.48,-57.02
10338511,---,35.08,-5.69,13.70,79.19
10338512,---,-18.79,-27.54,-26.73,-0.65
10338513,---,74.55,91.45,19.11,82.79
10338514,---,-57.94,-37.88,-66.98,-63.98
10338515,---,5.11,0.79,5.20,9.86
10338516,---,3.54,12.76,-54.57,56.53
10338517,---,94.07,93.19,97.72,88.41
10338518,---,10.47,30.00,8.76,-6.81
10338519,---,79.09,72.06,78.04,85.52
10338520,---,-81.16,-71.37,0.55,-97.64
10338521,---,19.54,-20.49,45.20,31.45
10338522,---,12.79,32.38,1.58,7.44
10338523,---,-66.53,-22.13,-82.97,-83.83
10338524,---,90.46,86.32,88.67,95.22
10338525,---,-26.40,-8.78,-42.72,-25.57
10338526,---,-5.93,5.67,-92.44,67.35
10338527,---,70.16,56.68,50.40,90.27
10338528,---,72.10,40.14,69.77,91.16
10338529,---,-96.68,-93.37,-97.55,-97.51
10338530,---,-56.50,-22.50,-46.92,-78.47
10338531,---,-38.35,-25.15,-9.40,-67.97
10338532,---,80.46,81.85,73.46,85.48
10338533,---,17.43,32.87,-22.73,38.95
10338534,---,-32.94,-18.41,-23.46,-59.83
10338535,---,-74.61,-81.92,-83.24,-48.40
10338536,---,98.18,98.67,96.49,98.77
10338537,---,-69.32,-58.26,-83.37,-62.95
10338538,---,-45.69,-66.66,-68.90,-3.76
10338539,---,-61.97,-78.95,-6.51,-91.50
10338540,---,11.57,11.64,4.19,20.42
10338541,---,26.39,18.50,18.74,37.86
10338542,---,-17.27,20.95,-43.84,-28.65
10338543,---,10.75,-1.90,-1.17,35.45
10338544,---,-51.98,-85.83,-62.90,-15.95
10338545,---,20.36,50.10,14.24,-6.25
10338546,---,-40.50,-7.92,-58.86,-50.34
10338547,---,39.95,-16.25,13.98,83.73
10338548,---,-61.95,-47.45,-86.99,-50.94
10338549,---,-36.88,-60.67,-58.16,-4.44
10338550,---,53.22,78.98,28.24,36.11
10338551,---,65.91,21.47,90.80,55.33
10338552,---,45.38,-27.82,65.36,71.17
10338553,---,16.38,-11.66,38.02,22.74
10338554,---,8.24,-45.67,32.95,42.87
10338555,---,45.67,19.19,-13.75,86.78
10338556,---,-89.05,-88.31,-94.95,-73.01
10338557,---,33.03,38.52,14.46,46.27
10338558,---,-92.44,-86.83,-89.73,-96.25
10338559,---,70.56,7.72,79.46,90.77
10338560,---,-49.48,-31.34,-65.39,-50.94
10338561,---,-67.45,-2.67,33.42,-100.03
10338562,---,-54.47,-47.78,-50.95,-65.13
10338563,---,64.92,36.46,2.50,90.68
10338564,---,51.27,43.01,48.93,59.97
10338565,---,19.84,17.84,35.07,5.22
10338566,---,47.02,39.52,27.62,66.23
10338567,---,85.00,84.04,72.66,93.60
10338568,---,-65.04,-61.24,-53.56,-76.69
10338569,---,4.67,-26.19,45.70,0.93
10338570,---,-35.04,-1.27,-61.88,-39.70
10338571,---,-24.40,12.60,-84.73,32.15
10338572,---,-14.24,-51.21,-5.39,18.19
10338573,---,43.09,62.16,62.84,-8.28
10338574,---,81.50,41.77,99.16,57.39
10338575,---,-9.10,-33.30,-27.50,38.93
10338576,---,77.54,72.88,78.27,80.72
10338577,---,-47.83,-49.34,-58.22,-35.60
10338578,---,32.15,40.19,25.99,29.37
10338579,---,-12.84,3.66,-19.24,-30.11
10338580,---,7.79,-26.62,-55.42,85.87
10338581,---,-67.41,-68.44,-57.02,-74.45
10338582,---,-9.84,-0.38,-69.26,51.52
10338583,---,0.00,-2.35,2.14,4.28
10338584,---,64.17,13.57,72.61,84.62
10338585,---,94.38,94.05,95.00,94.20
10338586,---,52.48,30.50,30.11,79.46
10338587,---,84.42,83.48,83.04,86.41
10338588,---,11.70,-7.39,22.88,20.35
10338589,---,-67.40,-86.71,-38.35,-75.57
10338590,---,-24.64,-18.45,-69.61,8.09
10338591,---,9.72,31.15,-66.86,72.03
10338592,---,38.58,-46.84,63.15,77.26
10338593,---,14.83,31.11,22.67,-8.39
10338594,---,-40.85,-11.07,-74.69,-22.95
10338595,---,20.08,43.21,32.42,-20.64
10338596,---,-67.43,-70.36,-91.05,-29.71
10338597,---,34.62,73.83,-31.91,45.60
10338598,---,-37.71,-54.89,-82.76,35.70
10338599,---,26.38,-22.86,5.41,75.16
10338600,---,23.47,-23.54,-17.84,81.95
10338601,---,-61.71,-38.62,-77.81,-63.77
10338602,---,44.31,29.84,50.99,50.63
10338603,---,-19.53,3.38,62.77,-88.50
10338604,---,-68.79,-25.60,-63.44,-87.49
10338605,---,-75.80,-68.92,-43.51,-96.52
10338606,---,-10.78,-26.58,-28.71,26.52
10338607,---,81.51,82.45,56.72,93.35
10338608,---,-65.22,-75.38,-60.26,-60.32
10338609,---,-42.19,-27.61,-91.83,-11.34
10338610,---,-24.90,26.62,22.26,-84.48
10338611,---,0.82,2.69,-7.11,9.21
10338612,---,52.74,67.69,19.73,62.03
10338613,---,41.32,39.42,55.99,26.65
10338614,---,-13.08,-22.57,-57.30,45.13
10338615,---,88.04,89.43,86.54,87.93
10338616,---,35.02,-2.72,15.70,78.50
10338617,---,-31.41,-57.37,-62.79,38.05
10338618,---,-35.89,-31.99,-63.56,-8.95
10338619,---,75.04,67.01,71.42,84.26
10338620,---,-61.90,-82.47,-47.98,-52.18
10338621,---,-40.07,-91.39,-63.62,32.09
10338622,---,-54.74,-72.79,-52.44,-37.04
