Probeset_ID,Gene Symbol,MF CNS,Sample_,Sample_,Sample_
10338100,---,-40.58,-69.44,-52.77,-11.24
10338101,---,-54.97,-51.04,14.02,-88.20
10338102,---,-45.85,-32.63,-63.11,-43.36
10338103,---,32.88,-20.62,74.11,27.70
10338104,---,-96.36,-98.05,-93.93,-96.41
10338105,---,-53.59,-84.26,18.93,-86.99
10338106,---,9.40,78.50,-56.98,-26.38
10338107,---,45.23,63.57,46.12,19.13
10338108,---,57.23,80.91,60.06,14.04
10338109,---,-47.34,-37.59,-16.81,-83.70
10338110,---,-55.76,-71.26,-32.88,-61.87
10338111,---,47.62,-9.20,64.21,72.09
10338112,---,71.44,89.48,49.21,58.86
10338113,---,30.81,51.58,75.34,-47.25
10338114,---,48.72,61.53,10.02,60.90
10338115,---,-48.83,-71.13,-34.96,-39.67
10338116,---,5.95,5.95,4.91,7.05
10338117,---,-17.92,70.84,-80.72,-33.60
10338118,---,89.20,64.70,99.36,64.26
10338119,---,63.87,93.97,-31.02,66.79
10338120,---,-82.41,-83.48,-91.17,-53.69
10338121,---,-69.48,-59.04,-77.44,-70.04
10338122,---,-10.89,26.84,-40.82,-11.88
10338123,---,-28.60,-47.93,10.65,-47.42
10338124,---,-14.84,-24.02,4.91,-26.96
10338125,---,-37.40,-51.67,-39.79,-21.01
10338126,---,21.53,52.41,-47.83,65.35
10338127,---,52.82,83.22,36.33,23.98
10338128,---,-29.26,42.42,-74.81,-39.36
10338129,---,84.17,34.70,98.69,82.14
10338130,---,-41.19,-43.71,-56.63,-23.91
10338131,---,-70.65,-99.34,-30.85,-17.55
10338132,---,-9.08,25.70,-3.97,-47.80
10338133,---,-72.09,-85.25,0.56,-93.23
10338134,---,52.16,83.87,-8.52,57.29
10338135,---,-3.75,34.29,8.57,-44.59
10338136,---,90.99,96.44,83.65,88.35
10338137,---,-86.02,16.03,-59.20,-99.86
10338138,---,31.14,55.97,6.82,38.37
10338139,---,35.85,-6.62,35.16,68.35
10338140,---,-76.93,-56.36,-67.73,-92.03
10338141,---,-27.19,-17.40,-23.32,-44.94
10338142,---,38.13,42.92,67.63,-5.74
10338143,---,-16.56,-20.59,-37.45,-3.93
10338144,---,-18.84,36.73,-50.68,-37.24
10338145,---,-75.23,-74.92,-78.19,-71.72
10338146,---,-56.82,-32.10,-69.23,-66.11
10338147,---,-80.44,-93.08,22.18,-88.91
10338148,---,-49.89,-74.30,-54.80,-17.34
10338149,---,-32.51,3.55,-87.42,4.15
10338150,---,-13.74,32.61,-69.72,0.12
10338151,---,12.29,-14.57,-0.58,50.81
10338152,---,41.10,5.43,72.21,34.38
10338153,---,35.22,-39.01,83.30,49.43
10338154,---,96.87,98.74,98.87,86.92
10338155,---,-89.40,-98.04,-57.13,-91.56
10338156,---,24.23,13.76,82.70,-57.46
10338157,---,-49.85,-28.69,-52.51,-65.36
10338158,---,80.69,86.53,82.50,71.71
10338159,---,-42.68,-82.79,-36.05,-2.57
10338160,---,71.44,90.00,52.84,57.56
10338161,---,-11.57,-32.78,51.74,-54.32
10338162,---,-6.05,-56.01,80.10,-53.77
10338163,---,-68.20,-93.61,-15.79,-57.19
10338164,---,24.19,-63.09,85.82,22.50
10338165,---,-89.18,-94.91,-49.87,-98.94
10338166,---,-90.29,-93.59,-15.64,-93.75
10338167,---,-62.06,-24.35,-74.27,-86.47
10338168,---,-76.96,-48.32,-42.25,-97.72
10338169,---,-4.19,71.73,-57.31,-29.06
10338170,---,-10.68,-82.95,78.13,-29.54
10338171,---,-31.58,-57.18,-0.70,-50.36
10338172,---,51.99,34.97,40.43,72.83
10338173,---,-68.27,-70.79,-82.43,-46.49
10338174,---,-28.95,-87.15,9.87,23.92
10338175,---,52.38,-4.30,-17.20,92.67
10338176,---,44.49,4.67,85.30,49.38
10338177,---,18.67,-31.37,63.25,15.63
10338178,---,-30.73,-7.67,-27.46,-58.82
10338179,---,0.69,-32.37,5.09,1.58
10338180,---,50.92,3.16,73.38,77.03
10338181,---,-24.61,24.04,-53.37,-42.70
10338182,---,2.17,51.16,-48.70,11.38
10338183,---,-53.16,-98.99,-34.46,-17.85
10338184,---,84.78,95.44,67.24,78.49
10338185,---,-26.67,5.70,-50.78,-32.55
10338186,---,-13.29,-18.91,31.27,-45.38
10338187,---,86.39,94.55,90.10,62.51
10338188,---,-11.52,17.26,22.41,-63.63
10338189,---,90.24,97.87,85.78,75.58
10338190,---,44.28,58.60,27.98,45.09
10338191,---,87.53,90.59,77.54,91.20
10338192,---,46.00,42.83,8.96,75.17
10338193,---,-8.90,-44.45,17.99,-1.49
10338194,---,-85.91,-91.78,-96.52,-47.87
10338195,---,62.66,86.70,39.46,51.39
10338196,---,0.87,1.14,2.01,-3.13
10338197,---,26.97,86.13,26.50,-60.35
10338198,---,24.99,-60.22,91.58,27.74
10338199,---,-57.44,-82.68,22.95,-97.15
10338200,---,-76.31,-67.07,-76.03,-83.99
10338201,---,-79.17,-92.67,-8.55,-93.15
10338202,---,89.94,98.41,73.34,79.84
10338203,---,76.34,99.09,31.29,49.41
10338204,---,48.01,48.35,73.11,12.17
10338205,---,-82.23,-98.41,-90.74,2.38
10338206,---,-7.41,21.03,-18.95,-15.66
10338207,---,-15.46,-10.00,-2.34,-67.76
10338208,---,-17.85,-53.22,46.95,-42.13
10338209,---,59.69,86.24,56.25,0.44
10338210,---,77.60,94.81,14.23,82.87
10338211,---,-72.41,-76.80,-47.43,-84.87
10338212,---,-46.71,-56.49,-22.43,-63.78
10338213,---,38.22,33.94,57.04,19.28
10338214,---,90.04,98.21,77.40,80.05
10338215,---,-34.98,15.35,-22.78,-87.33
10338216,---,-51.77,-50.74,-74.44,-26.34
10338217,---,13.09,79.71,-79.85,31.80
10338218,---,51.95,-19.62,55.59,88.43
10338219,---,57.26,90.53,65.44,-26.99
10338220,---,-81.61,-83.19,-68.22,-90.60
10338221,---,97.57,98.33,97.64,96.28
10338222,---,-45.75,-76.89,-17.36,-38.69
10338223,---,79.86,92.55,84.89,37.92
10338224,---,-59.65,-61.58,-28.39,-79.94
10338225,---,-15.88,-82.10,4.70,46.10
10338226,---,-17.36,38.61,-26.69,-65.02
10338227,---,84.36,75.19,81.67,92.23
10338228,---,-81.14,-5.65,-85.84,-97.62
10338229,---,-39.07,-66.09,-47.81,-13.97
10338230,---,-42.01,-96.59,53.27,-81.73
10338231,---,-15.46,60.18,-62.00,-47.06
10338232,---,-17.35,-9.84,-33.39,-11.61
10338233,---,-31.47,57.97,-71.72,-72.06
10338234,---,-41.77,14.36,-47.08,-80.24
10338235,---,-63.12,-81.83,-43.69,-61.14
10338236,---,-40.40,-8.43,-75.53,-35.29
10338237,---,86.08,91.89,63.36,91.30
10338238,---,-48.34,-98.86,54.95,-46.49
10338239,---,-28.42,14.64,-13.20,-74.61
10338240,---,-7.29,34.82,-0.77,-48.60
10338241,---,-27.11,-48.50,-12.57,-25.17
10338242,---,-56.74,-48.52,-77.40,-42.51
10338243,---,8.32,-41.65,36.66,30.17
10338244,---,0.41,-0.35,43.31,-55.66
10338245,---,-26.26,-11.92,-88.87,-11.56
10338246,---,42.71,18.88,70.26,29.81
10338247,---,38.42,83.92,2.21,-10.46
10338248,---,-62.56,-3.96,-55.65,-99.70
10338249,---,16.24,65.42,46.30,-65.04
10338250,---,41.31,66.54,35.12,17.77
10338251,---,-60.93,-67.45,-34.10,-79.71
10338252,---,-15.98,31.22,-49.74,-21.55
10338253,---,64.28,94.07,-29.07,72.55
10338254,---,-4.94,-78.45,60.99,17.27
10338255,---,-35.63,-83.49,-2.95,-36.50
10338256,---,-74.68,-71.28,-65.42,-84.66
10338257,---,97.26,96.38,99.59,89.03
10338258,---,47.51,50.90,66.83,21.14
10338259,---,-49.54,-14.98,-87.23,-50.48
10338260,---,-72.35,-95.52,-65.10,-36.45
10338261,---,-75.70,-72.61,-95.11,-50.03
10338262,---,-86.29,-93.66,-75.88,-85.38
10338263,---,-9.92,29.59,-19.23,-36.21
10338264,---,59.37,89.05,-1.35,48.14
10338265,---,-10.79,-3.47,64.22,-85.55
10338266,---,-61.29,-82.05,-40.25,-53.68
10338267,---,-44.85,-63.18,7.78,-68.94
10338268,---,-54.29,16.40,-21.17,-96.57
10338269,---,-62.79,-79.78,-27.99,-75.79
10338270,---,54.71,-22.05,83.43,69.89
10338271,---,83.62,94.41,61.54,84.41
10338272,---,-36.62,39.89,-38.27,-82.08
10338273,---,-39.05,-67.05,-9.19,-40.66
10338274,---,59.10,70.82,77.21,12.76
10338275,---,95.03,98.11,94.74,88.39
10338276,---,-73.41,-86.27,-19.09,-89.05
10338277,---,-76.39,-79.58,-88.69,-50.27
10338278,---,-21.87,-32.63,-48.43,21.14
10338279,---,-27.14,-41.96,-10.65,-26.78
10338280,---,4.66,20.76,1.99,-13.31
10338281,---,84.46,98.92,96.50,-68.69
10338282,---,18.81,59.47,-6.02,-5.33
10338283,---,21.44,78.63,-63.73,48.85
10338284,---,45.27,90.21,6.25,-7.57
10338285,---,24.27,79.75,62.62,-83.13
10338286,---,-26.20,-95.79,80.15,10.39
10338287,---,-11.92,-36.99,-25.34,26.37
10338288,---,29.73,-1.24,79.89,-13.55
10338289,---,-22.82,-40.82,13.66,-38.45
10338290,---,21.40,-25.94,70.64,-0.88
10338291,---,-86.81,-97.19,-84.84,-71.21
10338292,---,-83.01,-96.76,-46.52,-23.76
10338293,---,50.84,91.77,-13.12,30.95
10338294,---,96.97,83.20,97.36,99.43
10338295,---,83.74,74.60,91.41,82.31
10338296,---,-40.84,-39.57,-17.56,-66.92
10338297,---,41.32,39.14,76.91,-16.66
10338298,---,3.96,3.78,4.32,3.89
10338299,---,49.20,92.00,-11.20,-6.95
10338300,---,13.44,-93.44,73.90,82.46
10338301,---,-9.85,42.02,-8.78,-54.84
10338302,---,-91.57,-98.31,-92.97,-71.88
10338303,---,-52.65,-68.38,-66.53,-23.18
10338304,---,-51.56,-79.40,-12.41,-53.98
10338305,---,18.31,54.66,-36.42,36.96
10338306,---,-95.69,-83.89,-99.33,-84.29
10338307,---,-28.95,-61.02,-1.50,-42.77
10338308,---,-70.18,-83.23,-86.96,-34.79
10338309,---,-25.62,-2.33,-42.74,-41.55
10338310,---,28.36,26.38,-49.17,81.23
10338311,---,97.17,99.52,90.95,95.96
10338312,---,-18.90,26.62,-18.13,-57.58
10338313,---,-23.51,-14.01,-80.94,26.68
10338314,---,-4.66,-82.18,71.70,9.92
10338315,---,44.32,31.74,60.37,42.71
10338316,---,36.12,28.74,30.55,47.38
10338317,---,71.88,36.72,85.86,78.05
10338318,---,-31.56,10.50,-84.12,12.42
10338319,---,-21.87,-7.43,-11.06,-45.31
10338320,---,-41.18,-26.63,-11.80,-75.09
10338321,---,-53.84,30.61,-98.03,-59.98
10338322,---,-44.48,46.19,-80.41,-68.25
10338323,---,-23.90,-47.19,-14.43,-10.82
10338324,---,-77.42,-63.54,-65.71,-92.56
10338325,---,68.61,37.48,90.81,54.36
10338326,---,-1.82,57.54,-0.82,-56.67
10338327,---,-88.62,-91.50,-93.63,-73.47
10338328,---,-15.77,-40.67,13.34,-39.10
10338329,---,-39.79,-58.54,-0.75,-82.62
10338330,---,0.82,-64.38,25.15,34.43
10338331,---,-10.89,-80.58,-1.42,-3.12
10338332,---,-41.32,25.27,-92.82,-28.57
10338333,---,-11.42,-9.41,-12.20,-12.61
10338334,---,-54.76,-84.11,-23.81,-43.68
10338335,---,-63.31,-67.24,-54.20,-68.97
10338336,---,-85.80,-85.18,-75.43,-94.01
10338337,---,20.76,70.70,-15.51,-3.52
10338338,---,-94.94,-98.32,-95.01,-89.14
10338339,---,10.41,10.70,20.11,3.46
10338340,---,-34.68,-64.78,19.88,-46.11
10338341,---,19.85,-51.67,76.24,21.17
10338342,---,-26.66,-11.46,-37.83,-32.75
10338343,---,-12.32,-34.93,62.64,-73.57
10338344,---,-2.36,22.21,-25.33,-26.09
10338345,---,-1.90,45.48,-36.82,-14.54
10338346,---,73.28,93.19,26.25,69.92
10338347,---,-93.30,-85.62,-96.34,-94.19
10338348,---,-22.17,69.73,-36.79,-78.41
10338349,---,37.69,-83.53,96.49,81.03
10338350,---,32.24,58.84,80.19,-68.03
10338351,---,-0.85,32.76,38.66,-65.05
10338352,---,28.14,-3.29,-1.32,67.33
10338353,---,40.50,49.19,68.23,-5.29
10338354,---,-95.36,-95.94,-87.01,-98.68
10338355,---,-63.61,-91.79,69.04,-98.15
10338356,---,53.94,90.43,73.87,-55.01
10338357,---,-68.52,-88.99,-47.09,-61.36
10338358,---,95.30,91.42,99.61,77.90
10338359,---,-38.38,-79.60,-4.54,-14.80
10338360,---,-8.50,46.70,-20.52,-49.39
10338361,---,59.87,85.60,50.07,31.00
10338362,---,-38.34,-1.68,-60.12,-57.13
10338363,---,-75.67,-92.33,-25.29,-81.73
10338364,---,-67.70,-98.43,-17.25,-39.16
10338365,---,-89.20,-97.14,-75.84,-92.32
10338366,---,-48.93,-83.89,-35.89,2.26
10338367,---,-30.85,-32.67,63.20,-89.58
10338368,---,-58.23,-98.17,45.01,-70.48
10338369,---,-94.90,-97.48,-79.38,-98.71
10338370,---,-24.16,-94.84,36.18,49.98
10338371,---,-18.10,-1.15,7.84,-55.03
10338372,---,-33.32,-57.44,36.02,-62.80
10338373,---,37.92,-13.26,73.86,38.93
10338374,---,33.11,95.03,19.58,-68.05
10338375,---,8.23,-3.12,49.97,-21.55
10338376,---,-63.74,-72.58,-41.07,-75.95
10338377,---,-25.24,-39.44,28.03,-58.68
10338378,---,77.92,98.94,71.30,-27.09
10338379,---,-52.18,-16.27,-76.18,-67.88
10338380,---,-99.55,-99.96,-98.41,-99.46
10338381,---,-66.79,-94.90,-66.50,-36.11
10338382,---,-33.82,-13.30,-2.36,-74.65
10338383,---,62.53,99.35,14.00,18.36
10338384,---,-41.57,-88.36,-26.64,12.13
10338385,---,49.85,17.84,62.85,69.30
10338386,---,-32.22,-58.22,-79.35,37.40
10338387,---,-86.25,-93.22,-92.75,-65.41
10338388,---,6.08,53.17,61.64,-80.21
10338389,---,-78.75,-91.26,-89.53,-30.05
10338390,---,-30.50,-45.63,30.17,-65.76
10338391,---,-2.88,-62.96,-7.71,64.41
10338392,---,-51.88,-92.02,-15.84,-22.95
10338393,---,75.54,82.24,87.48,37.30
10338394,---,-88.28,-94.14,-81.94,-72.85
10338395,---,80.80,85.96,55.69,88.76
10338396,---,-39.70,3.73,-67.13,-46.83
10338397,---,73.20,-85.55,97.72,93.04
10338398,---,-80.25,-94.86,-32.90,-66.38
10338399,---,14.44,-26.70,35.17,40.29
10338400,---,5.10,-46.51,28.39,40.93
10338401,---,-40.29,-72.40,-69.33,9.47
10338402,---,-64.99,-28.33,-85.10,-75.34
10338403,---,41.76,17.66,73.03,22.88
10338404,---,78.87,80.93,81.24,73.30
10338405,---,-31.52,-56.28,-21.39,-20.32
10338406,---,-85.89,-85.60,-45.45,-98.51
10338407,---,95.61,99.71,86.11,73.89
10338408,---,89.77,98.33,95.10,18.82
10338409,---,42.61,65.35,26.78,29.67
10338410,---,-26.80,-54.84,-58.06,49.47
10338411,---,26.65,11.92,69.27,-4.23
10338412,---,-20.49,-7.64,12.42,-61.27
10338413,---,-75.05,-87.80,-66.01,-67.16
10338414,---,-38.71,-65.39,51.17,-80.37
10338415,---,11.25,54.69,-29.24,3.10
10338416,---,-76.58,-88.36,2.68,-98.05
10338417,---,-55.96,-52.48,-44.21,-71.34
10338418,---,-47.01,-0.83,-69.18,-89.25
10338419,---,-15.18,-58.27,62.00,-47.86
10338420,---,30.47,-46.96,93.18,0.29
10338421,---,-57.58,-41.70,-6.80,-82.68
10338422,---,45.07,35.41,50.25,49.75
10338423,---,-91.84,-95.46,-77.56,-96.58
10338424,---,62.47,41.35,84.27,52.92
10338425,---,-52.91,-57.96,-36.48,-62.43
10338426,---,-2.43,-4.07,57.09,-52.87
10338427,---,-7.35,73.12,66.01,-96.57
10338428,---,-36.79,-69.58,-3.98,-44.66
10338429,---,61.34,62.89,51.54,67.59
10338430,---,-12.95,69.38,-33.85,-88.61
10338431,---,-75.99,-88.75,-59.86,-72.10
10338432,---,-72.94,-93.90,-61.27,-38.80
10338433,---,61.14,21.08,76.22,71.99
10338434,---,50.06,53.27,59.71,38.55
10338435,---,-30.27,-41.54,-9.72,-54.26
10338436,---,-19.00,-4.57,-78.05,-8.80
10338437,---,-17.64,-50.23,14.81,-19.09
10338438,---,-52.75,-44.67,-20.44,-85.69
10338439,---,66.87,58.43,50.49,82.68
10338440,---,43.79,-60.66,75.06,79.94
10338441,---,-63.28,-95.67,5.06,-49.97
10338442,---,-21.36,-17.69,-23.47,-24.44
10338443,---,-22.29,-11.91,21.46,-73.83
10338444,---,-19.72,34.56,-90.76,-35.49
10338445,---,-60.69,-12.88,-86.36,-70.26
10338446,---,-65.06,-63.11,-55.05,-73.03
10338447,---,-50.79,-2.38,-84.89,-34.54
10338448,---,5.47,37.15,-65.46,55.89
10338449,---,89.14,87.94,93.25,84.33
10338450,---,51.63,2.51,-12.66,94.56
10338451,---,-12.04,-27.24,-18.59,4.57
10338452,---,-40.92,-83.14,16.88,-68.76
10338453,---,19.42,8.20,57.91,-10.41
10338454,---,36.44,65.37,-5.20,38.09
10338455,---,-41.08,-53.93,-52.61,-16.91
10338456,---,67.14,97.39,-43.46,72.68
10338457,---,-70.44,-68.57,-74.27,-68.83
10338458,---,-18.09,-57.79,13.39,-7.35
10338459,---,77.86,91.18,58.30,64.93
10338460,---,-74.79,-97.53,42.50,-52.32
10338461,---,71.33,78.32,92.12,11.94
10338462,---,-52.07,-26.39,-52.95,-78.42
10338463,---,-80.85,-12.91,-87.78,-90.68
10338464,---,-60.25,-39.78,-84.42,-42.59
10338465,---,-27.23,-68.97,55.17,-60.84
10338466,---,-96.41,-98.55,-94.73,-93.02
10338467,---,-27.06,-44.78,-41.64,-0.52
10338468,---,3.24,3.02,-29.85,31.52
10338469,---,-64.44,-69.79,-93.52,-26.24
10338470,---,11.30,37.62,45.61,-44.90
10338471,---,15.27,0.36,57.54,54.16
10338472,---,92.67,92.83,93.33,91.91
10338473,---,-42.03,-85.97,-1.01,-22.95
10338474,---,-26.62,-49.44,29.65,-48.32
10338475,---,98.06,96.46,98.94,97.83
10338476,---,-20.02,-65.48,23.08,-5.86
10338477,---,38.72,82.53,-32.09,50.24
10338478,---,-72.03,-57.70,-69.49,-85.61
10338479,---,-59.04,-32.28,-96.96,-49.18
10338480,---,-60.24,-60.48,17.45,-96.56
10338481,---,72.46,88.27,74.62,34.59
10338482,---,1.89,-18.47,49.32,-35.33
10338483,---,84.47,77.75,88.73,84.99
10338484,---,-70.97,-94.87,-24.05,-74.83
10338485,---,-84.53,-95.31,-60.41,-89.68
10338486,---,-5.55,2.83,-35.17,6.76
10338487,---,-5.88,62.80,-60.35,-24.41
10338488,---,-63.69,-77.01,37.40,-94.29
10338489,---,-21.91,-51.43,23.80,-34.98
10338490,---,-15.38,-4.23,-15.50,-39.08
10338491,---,39.43,-9.65,62.87,54.20
10338492,---,-43.96,-73.67,-35.61,-14.26
10338493,---,-96.96,-96.55,-98.60,-93.95
10338494,---,40.89,48.51,16.50,53.79
10338495,---,77.51,-21.26,98.53,76.24
10338496,---,65.13,79.44,51.11,61.72
10338497,---,23.90,-78.02,89.11,55.08
10338498,---,43.95,-82.54,95.37,95.94
10338499,---,23.96,62.56,82.73,-83.65
10338500,---,-60.32,-92.54,-1.18,-60.09
10338501,---,57.69,97.23,-35.12,27.35
10338502,---,-63.97,-64.31,-52.62,-73.14
10338503,---,-15.49,31.01,-28.41,-42.20
10338504,---,69.85,75.91,71.89,61.71
10338505,---,55.85,44.96,78.05,36.67
10338506,---,-32.90,-41.26,-68.95,20.20
10338507,---,59.24,93.50,39.22,-6.11
10338508,---,1.44,-68.31,2.76,70.43
10338509,---,-43.77,-52.84,-21.86,-55.52
10338510,---,-29.99,-89.19,-11.44,57.28
10338511,---,-10.52,-75.04,74.37,-28.10
10338512,---,-52.94,-78.35,28.22,-81.51
10338513,---,86.61,98.81,91.65,-4.99
10338514,---,-41.68,-95.52,26.88,60.83
10338515,---,-86.59,-45.10,-89.94,-96.60
10338516,---,47.50,66.94,61.69,-0.59
10338517,---,58.49,84.85,14.02,67.00
10338518,---,-44.30,-83.01,-24.87,-0.70
10338519,---,-10.29,39.41,-31.13,-41.06
10338520,---,-27.37,-58.92,4.44,-18.53
10338521,---,83.50,72.95,74.93,94.05
10338522,---,-46.08,-95.15,13.31,21.14
10338523,---,-64.57,-71.25,-51.96,-70.45
10338524,---,23.67,68.89,-50.40,35.53
10338525,---,-92.72,-99.88,-13.08,-99.23
10338526,---,3.56,6.25,-12.65,29.85
10338527,---,-22.14,48.75,-50.88,-56.50
10338528,---,11.04,49.81,39.27,-58.26
10338529,---,-83.62,-98.18,34.07,-69.61
10338530,---,58.08,18.36,90.98,63.30
10338531,---,26.49,-43.19,66.61,40.20
10338532,---,92.12,96.33,80.11,92.04
10338533,---,22.75,58.15,4.12,4.66
10338534,---,65.15,-17.89,94.08,60.23
10338535,---,-65.87,-78.03,-50.48,-66.18
10338536,---,-18.74,36.52,16.24,-86.45
10338537,---,-45.23,-60.98,-50.85,-23.35
10338538,---,6.96,11.33,69.24,-61.34
10338539,---,-59.91,-49.83,-72.05,-56.66
10338540,---,17.17,-72.07,71.12,68.91
10338541,---,4.22,21.16,-1.16,-1.84
10338542,---,-59.56,-71.96,-15.28,-81.50
10338543,---,76.62,74.45,76.58,78.80
10338544,---,-39.73,-82.40,-29.54,-17.08
10338545,---,-79.16,-85.75,-36.86,-92.72
10338546,---,-65.97,14.80,-87.98,-91.98
10338547,---,-17.78,-2.62,-23.24,-30.45
10338548,---,-22.67,-37.97,-3.21,-37.25
10338549,---,26.87,69.30,50.03,-39.59
10338550,---,-37.27,-3.35,-28.46,-72.46
10338551,---,29.18,75.42,-0.94,-15.41
10338552,---,93.69,98.86,87.62,90.56
10338553,---,58.49,59.45,57.21,58.04
10338554,---,-29.43,-8.56,-18.82,-64.16
10338555,---,59.06,81.11,31.64,48.57
10338556,---,-96.10,-99.34,-79.90,-94.67
10338557,---,78.92,81.93,88.71,57.09
10338558,---,-96.14,-99.34,-69.69,-65.94
10338559,---,58.35,90.59,11.49,35.76
10338560,---,-26.87,-55.74,-19.29,-6.26
10338561,---,84.51,84.96,89.75,77.40
10338562,---,-90.36,-99.52,-93.06,-61.38
10338563,---,15.13,77.99,-26.56,-10.11
10338564,---,10.33,30.47,30.34,-14.45
10338565,---,7.85,-82.21,37.51,76.52
10338566,---,35.23,-5.24,81.80,-4.51
10338567,---,24.07,74.95,17.09,4.69
10338568,---,-30.97,-73.15,-59.23,50.73
10338569,---,89.43,60.20,94.56,95.64
10338570,---,-29.73,-47.55,-48.00,10.07
10338571,---,-20.83,49.43,-24.37,-74.36
10338572,---,-42.89,-95.24,-71.05,55.84
10338573,---,29.69,16.16,38.09,33.69
10338574,---,90.65,97.68,92.25,66.42
10338575,---,-1.77,41.50,-12.44,-24.13
10338576,---,68.75,90.46,97.07,-42.99
10338577,---,-26.12,-53.94,24.76,-43.13
10338578,---,-0.27,9.26,-7.11,-13.95
10338579,---,-25.56,-75.24,-11.60,-8.27
10338580,---,1.80,43.25,-27.50,-9.99
10338581,---,-93.48,-93.11,-90.63,-95.67
10338582,---,49.54,71.46,15.58,45.40
10338583,---,-57.66,-40.44,-55.29,-77.82
10338584,---,78.14,96.00,31.04,71.93
10338585,---,87.96,88.62,89.71,84.20
10338586,---,43.81,84.66,9.22,9.32
10338587,---,-16.99,18.23,-44.70,-26.08
10338588,---,81.94,92.37,83.00,55.30
10338589,---,-56.76,-47.48,-70.32,-51.59
10338590,---,-59.20,-50.63,-45.87,-77.38
10338591,---,23.92,67.83,71.47,-74.98
10338592,---,-0.48,-10.55,-39.09,74.11
10338593,---,-5.92,19.22,-14.62,-17.22
10338594,---,11.38,-5.97,82.48,-58.12
10338595,---,70.90,95.93,67.16,17.49
10338596,---,-37.07,-91.63,-1.92,-22.28
10338597,---,-27.84,25.34,-76.02,-28.65
10338598,---,-82.01,-72.32,-87.51,-85.15
10338599,---,-37.57,-98.10,-15.35,31.63
10338600,---,42.61,6.70,63.87,49.09
10338601,---,-91.01,-90.58,-84.38,-95.46
10338602,---,-48.94,-93.90,57.35,-71.90
10338603,---,79.55,83.89,72.37,80.88
10338604,---,78.39,37.61,96.20,77.11
10338605,---,50.87,27.34,74.97,32.90
10338606,---,54.43,19.30,87.96,20.99
10338607,---,98.62,95.62,99.46,98.75
10338608,---,-61.44,-92.80,33.77,-86.57
10338609,---,-60.24,-86.39,-19.06,-76.01
10338610,---,-12.70,-36.24,-66.95,71.56
10338611,---,39.87,-46.29,82.25,65.80
10338612,---,-39.98,-41.55,-47.03,-29.92
10338613,---,33.97,-0.14,78.52,2.41
10338614,---,-14.95,70.21,-63.85,-57.26
10338615,---,23.75,90.87,-3.86,-51.27
10338616,---,21.19,74.37,20.34,-35.88
10338617,---,0.28,26.62,-24.22,3.28
10338618,---,-31.62,-33.19,-14.37,-47.54
10338619,---,15.96,39.64,47.07,-41.91
10338620,---,-37.33,-3.93,0.53,-96.04
10338621,---,-20.59,-87.30,24.91,-4.26
