Probeset_ID,Gene Symbol,MF SP,Sample_,Sample_,Sample_
10338135,---,-47.60,-24.27,-47.34,-71.44
10338136,---,85.95,97.95,57.35,77.76
10338137,---,33.60,93.05,-60.70,7.69
10338138,---,7.25,1.48,14.65,11.09
10338139,---,5.12,82.48,-51.44,-33.52
10338140,---,18.27,-29.35,50.25,39.09
10338141,---,-30.96,-74.13,-15.12,-16.56
10338142,---,60.93,83.69,27.68,61.15
10338143,---,-23.87,-72.35,-2.89,-32.07
10338144,---,-26.90,-31.26,-22.06,-27.73
10338145,---,16.73,31.47,-11.64,28.73
10338146,---,-21.15,-12.80,-49.66,-7.30
10338147,---,29.07,58.26,7.70,27.35
10338148,---,65.13,82.92,8.88,82.42
10338149,---,47.26,1.43,93.66,-4.46
10338150,---,65.24,60.19,71.70,62.84
10338151,---,84.36,96.82,29.63,90.04
10338152,---,99.77,99.94,99.07,99.83
10338153,---,79.99,45.48,95.18,82.00
10338154,---,99.20,96.96,99.56,99.45
10338155,---,19.64,-5.71,63.93,6.65
10338156,---,46.59,12.06,39.73,72.59
10338157,---,5.26,23.87,-8.43,1.22
10338158,---,24.44,-9.78,48.10,31.94
10338159,---,45.50,84.90,-11.06,35.21
10338160,---,98.87,98.27,99.56,98.14
10338161,---,74.14,96.28,52.22,47.18
10338162,---,32.60,45.67,32.63,18.81
10338163,---,-21.48,-33.90,-8.79,-24.11
10338164,---,83.12,69.98,95.54,69.73
10338165,---,-36.49,52.77,-67.55,-89.57
10338166,---,-30.27,-18.14,-31.28,-40.31
10338167,---,50.26,80.96,51.09,-7.01
10338168,---,-55.67,-94.07,8.78,-9.06
10338169,---,-25.06,-74.91,27.82,-21.60
10338170,---,82.96,88.71,81.81,77.38
10338171,---,50.55,0.17,76.44,44.69
10338172,---,66.88,96.30,13.09,27.48
10338173,---,-40.36,-51.34,-53.33,-18.71
10338174,---,99.12,98.31,99.61,99.14
10338175,---,45.90,-78.93,77.48,84.68
10338176,---,73.86,71.85,83.84,63.91
10338177,---,48.81,29.42,84.87,13.46
10338178,---,23.80,27.24,1.61,37.29
10338179,---,21.82,10.53,30.04,29.88
10338180,---,38.81,12.11,46.15,59.02
10338181,---,56.66,17.21,64.91,74.54
10338182,---,-26.72,-46.59,-42.85,13.62
10338183,---,-3.20,-27.19,-14.69,45.65
10338184,---,76.71,68.61,95.32,43.45
10338185,---,64.98,34.45,43.53,93.34
10338186,---,-20.53,-36.64,-63.69,42.90
10338187,---,86.09,83.66,82.56,90.87
10338188,---,61.65,71.25,82.84,10.36
10338189,---,52.37,60.56,23.45,64.98
10338190,---,98.72,98.11,99.24,98.54
10338191,---,6.89,7.54,-10.17,26.51
10338192,---,90.29,99.05,43.87,93.20
10338193,---,92.01,94.24,95.42,84.09
10338194,---,-73.11,-88.97,-61.69,-62.56
10338195,---,-46.77,-57.30,-1.39,-63.43
10338196,---,-4.56,-21.39,-12.68,8.98
10338197,---,29.72,67.85,-4.86,10.46
10338198,---,99.42,97.80,99.80,99.27
10338199,---,59.29,74.98,40.61,55.68
10338200,---,58.07,38.89,61.37,67.19
10338201,---,48.44,46.44,-11.73,87.01
10338202,---,24.26,79.18,-70.37,50.55
10338203,---,34.61,66.08,-19.78,55.46
10338204,---,63.92,36.59,67.35,79.94
10338205,---,-69.78,-71.55,-52.82,-80.49
10338206,---,-39.46,-11.87,-82.50,-38.21
10338207,---,-17.53,-18.69,-0.54,-71.07
10338208,---,39.66,63.21,19.35,26.23
10338209,---,98.30,97.92,99.27,96.80
10338210,---,27.03,50.69,-8.78,36.72
10338211,---,10.79,6.79,-37.91,57.94
10338212,---,-9.17,-18.68,23.14,-26.24
10338213,---,49.22,71.97,41.87,24.42
10338214,---,58.65,90.64,26.39,32.23
10338215,---,-3.32,-36.51,-10.99,50.39
10338216,---,-20.28,-41.20,-21.37,-0.35
10338217,---,-4.28,-34.94,26.24,-9.70
10338218,---,83.71,85.07,70.85,90.75
10338219,---,-18.85,15.51,-19.59,-48.22
10338220,---,-44.77,-85.03,0.80,-41.46
10338221,---,44.36,40.32,44.58,48.06
10338222,---,-1.23,-45.41,68.47,-22.44
10338223,---,98.79,98.11,99.22,99.07
10338224,---,89.24,84.24,93.96,87.13
10338225,---,77.21,72.27,82.91,75.24
10338226,---,-7.84,-8.46,20.78,-30.10
10338227,---,84.17,77.30,83.90,89.32
10338228,---,-88.94,-95.89,-67.75,-91.29
10338229,---,-31.52,-95.30,-3.20,-38.55
10338230,---,29.51,78.58,26.03,-30.07
10338231,---,-73.30,-90.48,-48.13,-66.47
10338232,---,-28.76,-36.69,-25.64,-23.58
10338233,---,6.96,-35.67,-24.43,73.55
10338234,---,54.44,-2.33,81.65,61.08
10338235,---,-59.33,-70.56,-37.04,-69.91
10338236,---,42.46,26.04,46.18,53.02
10338237,---,50.66,88.50,-23.45,44.10
10338238,---,84.07,62.72,94.67,77.65
10338239,---,55.48,78.16,56.81,12.73
10338240,---,12.31,48.53,-32.19,30.72
10338241,---,-13.78,-25.19,-13.03,-6.54
10338242,---,91.13,87.98,89.92,94.14
10338243,---,99.54,98.84,99.91,98.96
10338244,---,9.38,-11.33,27.78,10.86
10338245,---,-24.04,-26.72,-18.74,-27.34
10338246,---,59.46,72.03,88.02,-10.73
10338247,---,54.95,34.09,75.54,47.95
10338248,---,66.77,24.57,67.74,85.48
10338249,---,-54.02,-45.17,-43.93,-68.12
10338250,---,71.87,71.32,63.54,78.95
10338251,---,-10.93,-26.44,-24.01,22.82
10338252,---,-64.91,-79.49,-35.41,-77.45
10338253,---,8.37,72.78,-51.08,-3.95
10338254,---,31.51,76.11,-17.63,1.95
10338255,---,14.61,-86.55,-0.28,89.59
10338256,---,9.81,-86.40,80.52,33.60
10338257,---,80.81,66.59,95.67,61.21
10338258,---,94.07,74.26,99.05,93.44
10338259,---,59.99,80.57,57.87,23.04
10338260,---,-17.34,-11.09,2.65,-44.70
10338261,---,-33.33,-13.31,-8.66,-82.18
10338262,---,-14.49,18.65,-42.18,-18.42
10338263,---,89.07,89.96,77.68,94.73
10338264,---,-11.22,16.18,-16.78,-28.84
10338265,---,92.15,53.92,98.48,92.91
10338266,---,62.88,0.09,92.20,53.68
10338267,---,72.33,62.02,85.23,67.14
10338268,---,47.64,50.89,9.96,70.55
10338269,---,72.12,85.06,29.92,81.05
10338270,---,72.12,84.57,77.38,40.43
10338271,---,93.48,96.02,87.45,94.30
10338272,---,-43.54,-76.38,32.60,-63.23
10338273,---,30.36,37.85,63.64,-19.52
10338274,---,77.15,85.90,72.60,68.66
10338275,---,31.27,88.03,-28.19,2.07
10338276,---,45.36,71.97,36.33,19.86
10338277,---,-17.80,28.05,-40.48,-35.91
10338278,---,58.48,4.34,78.31,68.53
10338279,---,-0.04,21.25,29.06,-43.02
10338280,---,-9.44,-37.02,2.69,2.71
10338281,---,81.04,87.54,96.56,7.01
10338282,---,-8.11,48.24,-73.57,17.99
10338283,---,-23.04,-24.15,-16.35,-27.04
10338284,---,49.75,-24.26,77.98,73.04
10338285,---,37.38,0.73,59.26,43.44
10338286,---,-10.56,-64.65,47.95,-10.47
10338287,---,29.31,55.76,13.87,14.87
10338288,---,82.45,-0.63,94.63,95.95
10338289,---,18.26,1.01,82.59,-49.45
10338290,---,56.88,76.35,21.58,54.39
10338291,---,67.10,62.90,87.97,32.29
10338292,---,54.82,39.52,70.82,48.97
10338293,---,34.38,-9.63,64.48,40.73
10338294,---,68.25,50.48,76.21,74.14
10338295,---,90.64,87.59,95.04,87.17
10338296,---,43.00,33.53,54.21,40.07
10338297,---,42.68,35.05,56.00,33.55
10338298,---,21.03,9.72,41.15,19.89
10338299,---,23.14,-13.49,70.10,-4.28
10338300,---,72.97,84.99,25.40,87.37
10338301,---,0.62,-21.43,46.72,-12.25
10338302,---,68.98,67.13,80.80,56.27
10338303,---,39.34,27.10,57.83,30.86
10338304,---,73.67,71.06,28.37,93.90
10338305,---,52.09,87.15,31.88,8.21
10338306,---,-87.84,-96.27,-64.40,-87.39
10338307,---,-27.54,-37.36,-39.51,-11.42
10338308,---,97.29,97.67,95.22,98.18
10338309,---,-42.46,-12.26,-66.61,-55.65
10338310,---,25.84,-56.09,49.89,72.02
10338311,---,39.77,81.24,-22.63,43.57
10338312,---,-1.73,-14.14,22.36,-8.69
10338313,---,57.44,80.09,14.17,61.21
10338314,---,83.73,91.16,75.95,80.86
10338315,---,21.62,8.89,30.20,23.47
10338316,---,6.78,8.80,-1.82,13.55
10338317,---,76.93,95.59,53.71,60.04
10338318,---,29.11,28.76,41.62,16.69
10338319,---,91.92,94.76,90.16,89.25
10338320,---,92.17,94.77,92.44,84.92
10338321,---,64.40,46.65,76.63,65.62
10338322,---,-74.88,-83.55,-51.17,-82.51
10338323,---,-5.73,-77.69,14.63,58.89
10338324,---,78.08,10.39,95.29,83.50
10338325,---,79.28,73.75,87.50,72.15
10338326,---,62.33,35.51,66.69,76.09
10338327,---,-80.90,-64.38,-82.85,-88.18
10338328,---,-79.44,-62.40,-81.35,-91.10
10338329,---,-48.35,-14.80,-52.82,-85.60
10338330,---,37.18,79.92,-8.41,37.03
10338331,---,-10.02,-9.83,-15.96,-5.87
10338332,---,-46.98,-48.81,-38.72,-53.28
10338333,---,-68.00,-88.38,-88.44,-20.17
10338334,---,57.60,70.72,34.49,59.33
10338335,---,71.30,40.57,74.87,87.32
10338336,---,-2.54,-4.87,-12.30,14.63
10338337,---,61.97,82.07,49.64,24.73
10338338,---,-0.30,-1.06,-0.05,0.20
10338339,---,11.19,24.75,6.36,6.84
10338340,---,56.71,69.96,17.06,72.86
10338341,---,34.51,91.50,-91.38,65.74
10338342,---,36.67,-51.79,74.61,66.80
10338343,---,-5.20,-33.88,7.98,15.95
10338344,---,0.04,-29.49,5.19,5.55
10338345,---,82.05,76.00,80.52,87.31
10338346,---,15.22,42.07,-9.01,10.20
10338347,---,-89.47,-96.28,-72.31,-90.95
10338348,---,-53.79,-70.79,-43.50,-39.78
10338349,---,99.80,99.60,99.87,99.75
10338350,---,-25.85,9.07,-78.01,-1.12
10338351,---,62.11,95.68,71.69,-42.48
10338352,---,-2.05,60.55,-31.85,-19.78
10338353,---,83.55,74.09,66.02,95.27
10338354,---,-70.66,-81.37,-60.38,-66.47
10338355,---,84.96,69.34,92.62,86.85
10338356,---,27.67,3.46,-0.19,66.32
10338357,---,94.53,66.71,97.83,99.10
10338358,---,-24.54,-64.65,-13.30,8.23
10338359,---,74.80,49.55,77.53,85.95
10338360,---,64.35,52.10,68.16,72.45
10338361,---,95.55,94.76,97.08,94.95
10338362,---,-37.70,-88.50,30.00,-42.80
10338363,---,81.31,84.85,82.03,76.74
10338364,---,20.49,3.36,-26.63,73.24
10338365,---,-52.15,-17.22,-89.80,-51.65
10338366,---,95.01,97.86,96.41,84.64
10338367,---,48.10,52.17,17.87,66.41
10338368,---,-25.69,-31.46,15.65,-57.06
10338369,---,19.27,-61.99,9.53,85.16
10338370,---,-76.83,-77.50,-93.15,-43.27
10338371,---,-50.91,-50.41,-17.82,-70.38
10338372,---,95.06,93.99,96.70,94.40
10338373,---,61.79,77.94,-9.29,83.96
10338374,---,-5.58,-7.42,-56.71,50.90
10338375,---,42.95,-21.67,83.31,48.65
10338376,---,18.35,18.87,60.21,-25.89
10338377,---,63.22,19.16,89.29,50.80
10338378,---,74.78,85.97,65.90,65.82
10338379,---,-32.71,-26.79,-60.71,-13.41
10338380,---,-88.91,-95.35,-80.96,-84.41
10338381,---,-34.08,-53.12,-0.06,-70.15
10338382,---,82.35,81.92,68.97,92.00
10338383,---,22.25,20.19,34.26,11.58
10338384,---,-78.00,-96.88,-30.17,-79.77
10338385,---,97.47,99.34,91.43,97.18
10338386,---,0.64,-18.15,-44.15,74.97
10338387,---,-38.67,-52.04,-15.20,-46.82
10338388,---,96.48,95.91,97.45,95.40
10338389,---,-2.48,-82.14,74.14,3.77
10338390,---,93.86,92.10,99.04,80.29
10338391,---,71.03,91.56,83.23,-2.04
10338392,---,98.98,83.06,99.90,99.70
10338393,---,97.28,96.65,97.33,97.75
10338394,---,21.10,-9.81,34.43,38.93
10338395,---,-63.59,-58.73,-48.42,-79.38
10338396,---,-76.32,-85.85,-74.68,-64.73
10338397,---,89.57,28.56,99.37,83.47
10338398,---,-6.71,10.35,-12.57,-18.39
10338399,---,82.76,68.35,88.90,87.43
10338400,---,-13.42,-19.55,-4.95,-16.67
10338401,---,6.21,48.00,-18.06,0.68
10338402,---,1.40,56.80,21.96,-62.80
10338403,---,34.24,76.51,-16.29,30.81
10338404,---,38.97,43.09,26.65,43.35
10338405,---,46.88,65.99,-11.15,70.09
10338406,---,-19.09,-52.40,6.25,-8.57
10338407,---,96.79,98.26,93.71,96.95
10338408,---,36.99,29.48,47.84,32.61
10338409,---,82.43,88.89,84.75,68.18
10338410,---,-6.42,-20.40,50.64,-43.13
10338411,---,90.34,95.41,82.64,88.16
10338412,---,99.17,99.92,96.31,98.85
10338413,---,60.72,74.77,46.33,46.62
10338414,---,92.13,97.96,82.58,88.48
10338415,---,44.89,44.57,38.14,53.07
10338416,---,1.50,-36.00,61.55,-10.42
10338417,---,77.28,86.57,69.27,71.38
10338418,---,-10.07,-36.65,10.64,-6.77
10338419,---,47.06,25.03,77.92,33.41
10338420,---,74.71,45.58,94.63,61.60
10338421,---,-26.54,-71.76,20.33,-7.52
10338422,---,93.09,98.87,69.59,97.00
10338423,---,14.84,30.68,-18.05,31.77
10338424,---,74.66,93.48,57.36,58.15
10338425,---,0.98,-2.33,33.25,-21.45
10338426,---,11.79,-23.80,71.37,-17.44
10338427,---,-6.05,-5.91,21.91,-31.11
10338428,---,-15.12,-10.64,-7.19,-30.16
10338429,---,50.18,79.85,-0.75,49.72
10338430,---,39.23,-15.55,88.70,-5.49
10338431,---,-13.72,-53.57,26.82,-11.83
10338432,---,62.55,54.11,65.92,67.22
10338433,---,55.95,80.70,16.63,54.83
10338434,---,26.78,24.45,22.63,32.32
10338435,---,-23.92,-47.78,-0.17,-62.70
10338436,---,-48.24,-14.71,-98.72,-39.52
10338437,---,28.85,4.32,54.06,32.53
10338438,---,17.71,48.68,-5.42,8.76
10338439,---,84.33,90.74,87.82,65.40
10338440,---,17.47,66.24,-23.03,-2.72
10338441,---,45.34,70.84,60.79,-14.08
10338442,---,-32.56,-31.01,-57.19,-16.32
10338443,---,-39.03,-68.06,-10.18,-38.41
10338444,---,-37.75,-40.09,-98.89,-4.63
10338445,---,82.31,72.29,96.78,55.82
10338446,---,0.13,-25.02,9.39,1.43
10338447,---,47.31,54.07,10.60,68.19
10338448,---,-0.43,-5.81,-53.53,63.58
10338449,---,81.36,85.90,82.43,76.21
10338450,---,6.38,73.25,-4.67,-52.52
10338451,---,-20.72,-23.53,-23.40,-16.14
10338452,---,-4.17,-22.10,-16.55,36.77
10338453,---,46.41,80.02,-17.56,52.28
10338454,---,-9.52,44.81,33.72,-91.20
10338455,---,-21.24,-12.28,-19.25,-32.48
10338456,---,82.94,94.94,81.79,57.27
10338457,---,44.25,67.20,38.98,17.35
10338458,---,7.27,-0.45,28.61,-5.71
10338459,---,-11.03,10.75,-9.60,-36.06
10338460,---,34.21,-12.01,70.68,55.77
10338461,---,84.78,82.86,88.48,82.44
10338462,---,-30.56,-51.17,-47.03,-0.82
10338463,---,-74.05,-87.74,-57.37,-54.85
10338464,---,85.45,92.96,59.89,91.52
10338465,---,14.54,28.69,-20.93,42.93
10338466,---,31.72,31.47,39.20,23.65
10338467,---,-41.10,-33.81,-41.03,-48.05
10338468,---,81.43,84.92,66.96,88.82
10338469,---,-30.73,-39.82,-5.27,-80.29
10338470,---,35.56,42.80,20.66,41.52
10338471,---,18.11,8.72,28.77,24.52
10338472,---,94.60,92.72,95.18,95.73
10338473,---,58.91,51.91,50.22,72.18
10338474,---,34.39,40.51,34.45,28.54
10338475,---,96.08,96.69,95.25,96.16
10338476,---,39.04,53.48,19.65,40.37
10338477,---,37.15,78.54,17.79,4.39
10338478,---,83.24,74.52,84.04,87.02
10338479,---,-54.66,-68.24,-18.89,-92.77
10338480,---,87.08,86.30,93.73,77.87
10338481,---,58.25,64.37,61.42,47.52
10338482,---,60.29,81.66,45.54,47.70
10338483,---,99.48,99.88,97.41,99.48
10338484,---,6.46,-53.17,65.24,4.30
10338485,---,-52.94,-53.34,-79.63,-26.29
10338486,---,-9.93,-19.80,2.32,-15.47
10338487,---,65.75,84.93,76.00,9.52
10338488,---,68.94,64.16,56.67,79.93
10338489,---,67.93,22.67,89.89,71.86
10338490,---,46.57,47.77,43.79,47.67
10338491,---,25.86,4.33,29.68,39.62
10338492,---,36.19,61.91,0.77,37.32
10338493,---,-85.10,-79.25,-76.57,-94.04
10338494,---,56.82,38.56,73.39,49.65
10338495,---,54.54,95.04,17.08,0.51
10338496,---,31.72,3.17,58.44,33.72
10338497,---,95.90,64.23,99.59,93.36
10338498,---,26.67,-42.34,69.90,42.56
10338499,---,84.51,90.01,67.70,89.82
10338500,---,97.69,99.74,93.98,94.87
10338501,---,67.59,81.62,43.34,68.79
10338502,---,26.13,24.62,7.71,45.82
10338503,---,-6.51,-25.08,-15.15,42.46
10338504,---,91.27,88.02,92.97,91.90
10338505,---,97.77,99.46,88.54,97.71
10338506,---,52.26,69.90,33.72,46.80
10338507,---,90.40,86.86,96.08,83.90
10338508,---,-0.72,35.83,-4.86,-21.41
10338509,---,73.95,76.82,71.44,73.31
10338510,---,29.14,8.99,56.41,17.69
10338511,---,84.29,84.82,75.85,88.98
10338512,---,59.58,47.38,73.33,55.69
10338513,---,48.52,88.25,7.33,13.08
10338514,---,-81.12,-89.65,-56.84,-83.61
10338515,---,-81.58,-83.06,-76.19,-85.68
10338516,---,67.37,59.04,28.76,90.18
10338517,---,50.90,43.94,22.23,79.44
10338518,---,4.65,68.68,-87.26,57.04
10338519,---,-0.88,-33.73,11.43,11.85
10338520,---,85.09,97.87,78.49,33.67
10338521,---,28.94,79.20,-58.93,48.35
10338522,---,-29.04,-76.20,8.49,-4.55
10338523,---,51.31,27.53,53.66,68.75
10338524,---,7.55,-38.72,35.23,24.90
10338525,---,19.99,26.03,1.87,32.16
10338526,---,47.84,42.76,77.04,-1.08
10338527,---,31.28,26.36,2.42,62.79
10338528,---,-65.44,-93.09,-4.33,-51.12
10338529,---,-57.34,-82.50,26.20,-75.04
10338530,---,91.59,95.17,92.10,85.97
10338531,---,80.50,91.98,69.11,70.49
10338532,---,35.77,72.04,6.64,14.33
10338533,---,-28.52,21.07,-15.86,-75.17
10338534,---,55.22,66.06,65.92,25.97
10338535,---,4.35,-23.13,47.53,-11.94
10338536,---,79.04,63.65,66.73,93.83
10338537,---,79.78,66.12,89.17,78.35
10338538,---,55.35,60.19,64.52,35.88
10338539,---,12.72,43.20,-57.37,60.73
10338540,---,0.20,-56.22,26.08,6.75
10338541,---,24.04,17.88,23.03,29.82
10338542,---,96.46,92.54,98.53,95.45
10338543,---,-16.26,-25.62,-50.21,34.17
10338544,---,-20.27,18.32,-61.49,-25.58
10338545,---,84.34,69.75,94.16,82.25
10338546,---,39.44,89.44,-19.28,5.56
10338547,---,-19.16,-34.90,0.86,-27.94
10338548,---,3.20,-1.93,-9.16,35.42
10338549,---,25.07,85.70,-2.61,-41.60
10338550,---,58.71,71.15,-16.87,84.91
10338551,---,55.96,91.90,-28.26,47.82
10338552,---,67.59,81.81,56.61,54.37
10338553,---,66.54,85.10,19.74,74.21
10338554,---,86.67,88.70,83.26,87.01
10338555,---,-1.13,-5.82,27.76,-16.99
10338556,---,-0.53,-37.41,4.56,19.94
10338557,---,50.19,69.35,36.67,38.64
10338558,---,6.24,-20.04,26.89,14.58
10338559,---,-6.05,33.46,-47.37,5.75
10338560,---,24.32,-38.31,22.28,76.15
10338561,---,92.04,99.32,65.45,76.82
10338562,---,-11.98,-31.39,42.86,-38.41
10338563,---,1.75,52.97,69.23,-84.40
10338564,---,-57.13,3.51,-99.76,-49.34
10338565,---,49.45,5.24,72.60,65.55
10338566,---,65.14,48.36,44.51,86.94
10338567,---,35.68,12.75,40.21,65.34
10338568,---,27.67,83.87,-90.44,78.78
10338569,---,70.50,35.44,61.63,90.82
10338570,---,-24.58,-10.30,-14.79,-48.52
10338571,---,-3.27,9.71,-41.64,28.67
10338572,---,-9.11,-6.37,39.67,-53.22
10338573,---,75.75,47.91,84.66,86.41
10338574,---,22.92,-46.54,70.72,33.26
10338575,---,45.84,53.21,9.23,64.09
10338576,---,90.01,79.62,94.17,92.41
10338577,---,42.13,-0.40,46.47,63.55
10338578,---,7.28,4.67,8.40,10.17
10338579,---,-22.63,-17.38,-17.86,-35.26
10338580,---,94.35,85.63,97.52,95.03
10338581,---,22.47,34.72,50.14,-16.23
10338582,---,-7.31,-41.24,31.66,-3.14
10338583,---,0.69,-9.59,68.85,-36.12
10338584,---,75.48,64.78,93.76,43.87
10338585,---,92.03,92.48,91.92,91.81
10338586,---,5.29,-29.57,70.37,-30.96
10338587,---,92.87,87.24,97.07,88.73
10338588,---,-36.09,35.77,-80.96,-42.72
10338589,---,-22.19,0.68,20.68,-84.75
10338590,---,-5.75,-79.42,9.67,55.58
10338591,---,-62.98,17.47,-99.37,-26.24
10338592,---,-36.83,-54.81,-25.24,-34.89
10338593,---,93.89,96.69,93.72,87.87
10338594,---,46.91,86.85,-7.36,30.67
10338595,---,83.59,87.76,49.31,94.84
10338596,---,23.13,-56.55,43.45,73.46
10338597,---,49.50,34.75,21.79,78.25
10338598,---,45.08,56.54,-25.85,87.60
10338599,---,78.94,96.05,62.71,47.40
10338600,---,32.16,78.29,50.24,-50.47
10338601,---,-84.82,-95.03,-54.48,-88.59
10338602,---,-13.03,-68.75,28.54,19.69
10338603,---,40.47,77.64,-9.37,39.63
10338604,---,31.38,-32.23,87.43,11.62
10338605,---,11.24,59.36,-28.88,12.42
10338606,---,93.93,97.39,87.87,93.90
10338607,---,67.62,65.03,77.98,58.87
10338608,---,69.40,69.20,64.23,73.89
10338609,---,-9.44,13.00,-4.45,-37.19
10338610,---,51.36,60.65,57.14,31.05
10338611,---,97.43,97.50,98.62,94.63
10338612,---,86.10,94.39,57.12,88.86
10338613,---,94.84,89.96,95.60,97.75
10338614,---,-23.84,-1.95,12.51,-93.60
10338615,---,-27.33,-66.94,18.45,-22.18
10338616,---,43.01,77.72,15.47,24.11
10338617,---,64.46,47.92,81.28,59.31
10338618,---,1.18,-13.85,0.83,21.39
10338619,---,10.16,31.51,4.86,-4.35
10338620,---,69.01,20.39,90.25,69.40
10338621,---,56.40,6.33,68.36,74.64
10338622,---,74.43,34.30,98.35,-38.87
10338623,---,-16.09,-31.99,70.47,-80.99
10338624,---,85.10,73.48,98.08,56.45
10338625,---,6.04,-26.23,50.71,-5.82
10338626,---,99.78,99.96,99.30,99.78
10338627,---,77.13,94.85,40.95,71.88
10338628,---,81.90,87.78,80.45,75.64
10338629,---,54.24,63.28,68.21,23.27
10338630,---,-57.10,-50.91,-20.05,-97.37
10338631,---,-29.43,-3.63,-77.92,-27.29
10338632,---,86.17,90.78,54.16,95.68
10338633,---,-23.20,20.59,-67.18,-12.74
10338634,---,-39.73,6.10,-22.26,-87.33
10338635,---,-12.74,-14.84,-4.39,-18.64
10338636,---,-23.87,-55.19,-73.94,59.72
10338637,---,0.93,41.96,15.58,-48.94
10338638,---,-41.52,-19.68,-58.02,-44.38
10338639,---,80.11,59.09,87.68,85.63
10338640,---,-18.99,20.04,-93.74,13.89
10338641,---,-1.63,14.56,-1.08,-12.29
10338642,---,75.27,91.29,37.91,78.11
10338643,---,68.56,42.12,65.36,88.06
