Probeset_ID,Gene Symbol,Mo Bl Ly6C- II-,Sample_,Sample_
10338158,---,66.53,81.30,40.88
10338159,---,2.69,52.35,-42.76
10338160,---,93.34,97.06,88.83
10338161,---,64.10,78.61,45.81
10338162,---,89.13,97.41,66.65
10338163,---,-59.67,-64.16,-55.58
10338164,---,80.71,94.64,44.06
10338165,---,-69.74,-44.81,-88.74
10338166,---,-66.59,-58.81,-72.51
10338167,---,-22.95,-45.52,-8.75
10338168,---,-27.74,8.67,-56.19
10338169,---,14.07,22.89,6.18
10338170,---,96.24,98.81,90.21
10338171,---,11.09,74.41,-52.34
10338172,---,43.91,42.51,45.17
10338173,---,-64.40,-74.36,-52.52
10338174,---,79.28,85.41,70.84
10338175,---,-4.81,30.91,-29.67
10338176,---,77.28,91.55,54.71
10338177,---,66.83,73.85,58.16
10338178,---,10.48,-9.67,33.69
10338179,---,16.66,22.72,12.13
10338180,---,-0.45,21.49,-40.76
10338181,---,-48.46,-29.11,-66.03
10338182,---,49.02,80.72,-5.53
10338183,---,-40.81,-38.32,-43.74
10338184,---,78.90,58.47,91.06
10338185,---,-2.68,26.77,-30.68
10338186,---,45.64,-0.28,70.56
10338187,---,84.11,67.00,93.60
10338188,---,5.58,57.67,-49.69
10338189,---,40.68,64.06,2.65
10338190,---,93.43,94.19,92.20
10338191,---,92.27,90.63,93.42
10338192,---,80.59,16.27,97.98
10338193,---,79.09,83.79,72.20
10338194,---,-93.86,-97.14,-86.15
10338195,---,89.65,89.01,90.09
10338196,---,0.96,7.51,-14.37
10338197,---,68.25,81.86,47.10
10338198,---,88.19,92.36,82.27
10338199,---,22.70,17.41,27.86
10338200,---,9.76,53.49,-35.08
10338201,---,8.24,19.54,-3.83
10338202,---,73.82,39.87,90.42
10338203,---,-11.24,-17.21,-5.76
10338204,---,75.75,86.83,59.74
10338205,---,-82.78,-85.64,-79.22
10338206,---,-26.70,-18.89,-35.67
10338207,---,-53.24,-34.16,-75.49
10338208,---,56.10,78.55,10.34
10338209,---,88.86,94.77,80.81
10338210,---,85.99,70.67,93.51
10338211,---,21.01,63.24,-29.89
10338212,---,80.69,82.08,78.80
10338213,---,55.21,39.54,67.96
10338214,---,67.28,78.26,53.93
10338215,---,37.93,24.10,49.82
10338216,---,-24.95,4.32,-56.80
10338217,---,-3.56,-59.21,47.57
10338218,---,24.91,30.14,20.49
10338219,---,73.25,76.37,69.01
10338220,---,-1.75,-64.23,66.09
10338221,---,88.58,94.56,79.22
10338222,---,-24.84,-5.48,-46.00
10338223,---,97.46,98.01,96.99
10338224,---,57.69,70.07,42.28
10338225,---,90.68,83.11,94.65
10338226,---,36.66,52.92,15.71
10338227,---,56.89,39.05,71.11
10338228,---,27.53,-39.39,78.46
10338229,---,-4.94,-19.34,-1.05
10338230,---,58.09,82.69,16.93
10338231,---,-39.31,-17.15,-55.54
10338232,---,52.41,20.16,92.12
10338233,---,11.95,-4.95,29.43
10338234,---,-36.36,-16.75,-56.34
10338235,---,-5.55,-11.83,-2.19
10338236,---,33.76,70.63,-17.03
10338237,---,55.21,54.49,56.08
10338238,---,43.17,84.55,-28.06
10338239,---,34.23,-0.64,59.54
10338240,---,55.71,84.53,-7.72
10338241,---,-4.39,-12.00,-1.07
10338242,---,39.57,50.57,28.77
10338243,---,8.93,-17.99,35.13
10338244,---,38.60,38.43,38.87
10338245,---,-8.57,-23.12,-1.24
10338246,---,16.64,55.55,-24.94
10338247,---,67.90,47.17,81.21
10338248,---,77.10,85.22,63.28
10338249,---,86.89,85.97,88.10
10338250,---,66.12,69.00,62.87
10338251,---,-16.81,-7.88,-26.37
10338252,---,40.93,65.97,3.57
10338253,---,-41.08,3.56,-77.26
10338254,---,69.03,66.38,71.10
10338255,---,30.28,33.53,27.13
10338256,---,42.03,93.24,-50.25
10338257,---,88.12,88.96,87.47
10338258,---,69.23,92.73,25.21
10338259,---,60.33,55.62,65.10
10338260,---,44.28,65.16,14.21
10338261,---,-33.83,-43.70,-24.91
10338262,---,25.47,32.30,16.83
10338263,---,13.92,41.71,-15.75
10338264,---,31.78,92.04,-78.62
10338265,---,-20.23,72.53,-95.09
10338266,---,-7.84,17.69,-29.25
10338267,---,78.82,82.97,73.93
10338268,---,72.65,81.08,62.44
10338269,---,2.70,48.43,-36.79
10338270,---,65.38,57.14,72.22
10338271,---,97.19,97.02,97.40
10338272,---,85.17,68.12,92.39
10338273,---,65.38,70.77,56.62
10338274,---,77.18,91.48,43.66
10338275,---,59.85,-5.64,90.86
10338276,---,44.71,41.94,47.18
10338277,---,4.84,-27.06,39.58
10338278,---,61.00,29.02,81.03
10338279,---,65.65,51.64,75.59
10338280,---,0.64,-6.85,4.89
10338281,---,97.93,97.96,97.93
10338282,---,-3.46,-8.88,2.83
10338283,---,16.92,-30.96,63.68
10338284,---,33.85,-1.45,60.99
10338285,---,79.28,86.50,69.75
10338286,---,15.25,48.79,-16.64
10338287,---,-43.68,-15.33,-66.26
10338288,---,79.89,97.36,20.15
10338289,---,-29.65,9.90,-62.14
10338290,---,-0.95,45.01,-36.12
10338291,---,1.85,23.80,-18.91
10338292,---,41.83,60.29,-8.48
10338293,---,73.53,57.52,83.44
10338294,---,71.15,77.18,63.68
10338295,---,92.17,98.77,72.28
10338296,---,-23.26,52.06,-87.71
10338297,---,49.68,72.95,6.45
10338298,---,12.14,22.44,6.88
10338299,---,-25.12,-13.60,-37.36
10338300,---,52.40,94.47,-40.93
10338301,---,15.59,81.24,-70.72
10338302,---,66.20,73.93,57.09
10338303,---,-1.15,62.41,-63.54
10338304,---,-10.62,22.84,-43.47
10338305,---,47.78,40.56,54.90
10338306,---,-66.93,-88.37,-29.65
10338307,---,-1.95,-5.99,5.44
10338308,---,94.35,99.51,63.95
10338309,---,-86.07,-71.66,-95.07
10338310,---,77.71,74.58,80.81
10338311,---,57.01,71.49,41.33
10338312,---,52.78,31.75,67.65
10338313,---,79.24,63.59,88.83
10338314,---,80.86,89.69,65.32
10338315,---,34.13,40.36,27.32
10338316,---,39.84,20.44,55.85
10338317,---,90.71,95.64,83.20
10338318,---,-20.99,1.89,-41.66
10338319,---,57.13,47.82,65.07
10338320,---,60.08,13.57,80.97
10338321,---,31.20,64.93,-6.88
10338322,---,3.03,-54.08,62.11
10338323,---,29.72,33.11,26.48
10338324,---,60.11,80.31,29.69
10338325,---,21.52,36.33,8.10
10338326,---,97.16,96.81,97.38
10338327,---,-87.30,-88.40,-86.27
10338328,---,-20.44,-10.43,-36.19
10338329,---,1.65,-12.36,27.87
10338330,---,-4.98,57.46,-66.60
10338331,---,-2.48,-8.21,-0.34
10338332,---,-49.57,-90.37,11.04
10338333,---,-2.45,-12.26,2.24
10338334,---,43.40,38.23,47.54
10338335,---,79.85,99.08,-9.58
10338336,---,-32.14,-12.01,-53.77
10338337,---,47.05,15.28,67.03
10338338,---,-20.02,58.61,-93.70
10338339,---,28.40,4.83,62.60
10338340,---,-41.69,-41.82,-41.62
10338341,---,93.42,86.94,96.87
10338342,---,31.69,84.56,-49.35
10338343,---,-5.33,-2.37,-8.36
10338344,---,-15.78,-17.86,-12.38
10338345,---,57.26,74.94,35.57
10338346,---,74.21,66.00,80.69
10338347,---,-11.53,-45.73,30.72
10338348,---,-70.32,-67.47,-73.65
10338349,---,94.90,97.40,91.26
10338350,---,16.91,54.86,-21.19
10338351,---,82.08,93.96,57.96
10338352,---,39.34,23.71,51.38
10338353,---,96.21,98.86,91.58
10338354,---,-52.10,-2.51,-80.43
10338355,---,82.61,90.34,71.98
10338356,---,82.61,93.04,60.05
10338357,---,75.01,88.45,50.45
10338358,---,57.33,-5.70,86.72
10338359,---,88.49,92.10,83.10
10338360,---,10.54,8.96,12.51
10338361,---,88.00,88.26,87.66
10338362,---,-6.39,18.17,-25.77
10338363,---,38.91,72.16,3.14
10338364,---,-57.28,-30.24,-79.90
10338365,---,-12.42,-23.18,-2.72
10338366,---,63.98,83.82,33.50
10338367,---,66.64,82.52,37.27
10338368,---,-52.73,-11.39,-87.51
10338369,---,-36.84,-76.73,22.56
10338370,---,-2.41,-28.50,29.14
10338371,---,-18.07,-12.61,-24.12
10338372,---,72.25,77.31,64.99
10338373,---,87.92,92.79,81.47
10338374,---,-83.08,-70.99,-91.15
10338375,---,61.60,62.07,61.08
10338376,---,32.23,45.67,18.60
10338377,---,40.67,75.10,-9.82
10338378,---,82.04,81.02,82.76
10338379,---,-28.40,-19.56,-38.55
10338380,---,-92.97,-92.47,-93.57
10338381,---,44.17,84.33,-30.24
10338382,---,75.45,93.07,41.89
10338383,---,6.28,9.52,3.31
10338384,---,-76.34,-61.66,-88.08
10338385,---,89.34,96.37,75.54
10338386,---,30.22,58.81,-7.85
10338387,---,-33.88,20.02,-77.10
10338388,---,89.99,92.59,87.69
10338389,---,0.21,79.72,-81.97
10338390,---,-3.51,-4.13,-2.62
10338391,---,7.77,-41.59,57.49
10338392,---,83.09,93.11,64.97
10338393,---,96.39,96.91,95.81
10338394,---,-40.85,-13.94,-60.47
10338395,---,-65.94,-80.03,-46.58
10338396,---,49.36,49.10,49.62
10338397,---,76.17,94.64,26.74
10338398,---,-9.81,16.89,-37.64
10338399,---,16.02,40.96,3.09
10338400,---,40.57,38.79,42.25
10338401,---,-35.79,-94.26,24.22
10338402,---,-75.50,-62.64,-85.29
10338403,---,54.91,60.29,49.64
10338404,---,53.61,66.96,35.21
10338405,---,-85.51,-71.56,-94.00
10338406,---,26.25,56.60,-11.02
10338407,---,57.55,86.87,-1.55
10338408,---,94.38,93.14,95.33
10338409,---,42.68,78.39,-16.32
10338410,---,7.38,-40.46,57.19
10338411,---,87.09,93.77,77.17
10338412,---,87.86,96.11,67.39
10338413,---,-22.90,-19.29,-26.86
10338414,---,75.89,76.16,75.59
10338415,---,19.17,56.63,-22.81
10338416,---,17.05,61.27,-27.24
10338417,---,57.59,65.32,50.13
10338418,---,-39.23,-40.54,-37.53
10338419,---,22.48,60.48,-19.42
10338420,---,32.01,75.92,-25.18
10338421,---,9.18,-9.54,25.08
10338422,---,71.78,84.85,53.21
10338423,---,-2.01,-15.49,12.64
10338424,---,78.54,75.28,81.97
10338425,---,-9.98,7.15,-25.01
10338426,---,63.79,80.04,36.84
10338427,---,23.87,93.71,-86.06
10338428,---,18.74,55.78,-14.07
10338429,---,84.16,90.62,75.49
10338430,---,75.84,99.58,-33.12
10338431,---,7.63,36.19,-20.74
10338432,---,-7.33,49.08,-61.75
10338433,---,77.43,81.10,73.95
10338434,---,26.78,23.37,29.81
10338435,---,-39.74,-24.13,-60.56
10338436,---,-1.08,-82.24,72.96
10338437,---,2.14,-9.73,8.88
10338438,---,46.08,65.13,17.79
10338439,---,-39.51,-3.99,-69.27
10338440,---,26.46,-13.32,58.77
10338441,---,-39.12,79.86,-96.88
10338442,---,-14.80,-23.26,-9.07
10338443,---,42.11,-23.91,83.12
10338444,---,-19.40,-9.19,-32.96
10338445,---,40.06,65.91,3.19
10338446,---,14.17,30.25,3.04
10338447,---,55.65,0.61,86.83
10338448,---,25.17,74.02,-35.57
10338449,---,97.76,98.23,96.89
10338450,---,84.92,80.86,88.14
10338451,---,-10.38,-25.13,-1.29
10338452,---,57.36,74.67,33.79
10338453,---,16.37,17.20,15.30
10338454,---,-19.69,-50.45,8.47
10338455,---,-69.27,-65.25,-73.19
10338456,---,63.71,12.38,89.65
10338457,---,27.64,21.82,31.85
10338458,---,41.25,62.95,14.66
10338459,---,-35.39,15.51,-90.30
10338460,---,54.04,85.40,19.03
10338461,---,98.27,99.30,95.91
10338462,---,-64.34,-52.31,-77.48
10338463,---,-75.01,-68.40,-79.60
10338464,---,20.08,-46.32,73.20
10338465,---,-38.31,-41.00,-35.59
10338466,---,38.08,50.60,22.75
10338467,---,-71.97,-37.83,-93.32
10338468,---,30.19,81.05,-37.37
10338469,---,-49.44,-59.94,-40.53
10338470,---,34.18,62.08,-3.80
10338471,---,7.57,13.13,3.74
10338472,---,91.98,93.73,89.64
10338473,---,56.37,29.38,78.23
10338474,---,17.91,42.12,4.17
10338475,---,97.79,97.64,98.06
10338476,---,47.88,77.92,1.24
10338477,---,12.96,2.54,24.62
10338478,---,34.47,70.00,-11.36
10338479,---,-40.14,-96.36,-9.54
10338480,---,87.33,99.35,40.88
10338481,---,54.81,65.92,41.23
10338482,---,70.42,94.69,28.57
10338483,---,93.35,91.92,94.39
10338484,---,-9.65,16.72,-35.94
10338485,---,-63.58,-36.45,-87.84
10338486,---,2.39,-13.87,18.70
10338487,---,16.07,34.62,-2.28
10338488,---,63.40,90.95,-15.09
10338489,---,20.72,71.39,-40.18
10338490,---,28.90,26.42,31.38
10338491,---,44.65,33.06,54.14
10338492,---,57.94,81.24,15.60
10338493,---,-83.10,-84.98,-80.93
10338494,---,82.93,90.67,71.84
10338495,---,94.22,97.63,84.53
10338496,---,2.52,6.19,-1.16
10338497,---,41.01,49.25,31.36
10338498,---,-6.83,88.61,-86.43
10338499,---,80.62,75.15,85.10
10338500,---,80.49,86.96,72.80
10338501,---,54.27,71.23,32.14
10338502,---,-10.92,48.56,-63.40
10338503,---,8.42,-18.88,53.37
10338504,---,89.07,89.99,87.55
10338505,---,76.03,86.52,60.05
10338506,---,75.50,49.37,89.30
10338507,---,93.37,92.45,94.25
10338508,---,-14.07,20.52,-46.69
10338509,---,56.36,83.81,3.94
10338510,---,-54.94,-36.09,-70.63
10338511,---,93.99,98.36,83.41
10338512,---,36.22,28.46,44.42
10338513,---,91.65,97.10,79.18
10338514,---,-65.92,-34.71,-83.19
10338515,---,-89.99,-91.34,-87.98
10338516,---,29.16,25.98,33.06
10338517,---,18.30,-28.14,58.49
10338518,---,-27.68,-31.29,-24.20
10338519,---,-51.14,-46.05,-55.72
10338520,---,73.65,89.00,47.39
10338521,---,47.85,8.23,75.33
10338522,---,6.47,13.12,-1.13
10338523,---,-45.36,-44.09,-46.72
10338524,---,28.34,18.61,36.29
10338525,---,35.40,37.20,33.53
10338526,---,61.45,68.75,51.87
10338527,---,-5.31,84.34,-85.31
10338528,---,66.65,71.58,61.45
10338529,---,-17.04,41.82,-71.39
10338530,---,91.72,99.62,61.23
10338531,---,17.90,37.76,-4.14
10338532,---,94.05,87.60,96.83
10338533,---,36.82,-65.43,94.68
10338534,---,73.49,71.44,75.13
10338535,---,-11.07,12.33,-31.62
10338536,---,88.40,83.72,91.20
10338537,---,66.26,80.83,46.32
10338538,---,79.27,98.15,18.37
10338539,---,3.70,18.61,-5.48
10338540,---,0.27,25.37,-43.70
10338541,---,36.14,4.37,72.91
10338542,---,75.60,90.18,51.93
10338543,---,48.42,62.80,29.86
10338544,---,73.30,76.43,68.68
10338545,---,66.59,92.99,20.71
10338546,---,-25.85,-22.15,-29.35
10338547,---,67.47,22.55,85.22
10338548,---,17.71,45.08,-6.20
10338549,---,-10.03,50.51,-66.73
10338550,---,65.68,55.12,74.24
10338551,---,-43.49,-64.68,-19.91
10338552,---,60.54,57.95,63.42
10338553,---,86.80,82.79,89.77
10338554,---,-0.15,40.50,-35.46
10338555,---,51.73,22.00,72.11
10338556,---,-91.96,-77.73,-97.29
10338557,---,91.56,93.22,89.65
10338558,---,-58.05,-34.09,-75.66
10338559,---,70.27,27.65,90.34
10338560,---,23.47,88.58,-74.21
10338561,---,95.13,96.49,91.76
10338562,---,-57.05,-62.95,-51.53
10338563,---,37.34,18.51,52.72
10338564,---,-37.62,-27.39,-48.31
10338565,---,-55.65,14.70,-87.29
10338566,---,63.79,86.86,16.34
10338567,---,37.79,35.11,40.57
10338568,---,39.65,46.38,33.87
10338569,---,94.52,78.36,98.11
10338570,---,16.61,-8.07,40.14
10338571,---,71.19,74.53,68.09
10338572,---,-47.48,-34.67,-61.23
10338573,---,63.53,47.09,76.06
10338574,---,25.24,39.53,9.99
10338575,---,-14.44,-20.05,-9.41
10338576,---,97.95,99.40,88.81
10338577,---,-59.39,-43.69,-74.55
10338578,---,1.92,4.17,0.45
10338579,---,18.42,-9.30,52.06
10338580,---,74.11,53.99,87.83
10338581,---,-44.29,-19.18,-64.32
10338582,---,-10.52,-68.98,58.96
10338583,---,-10.11,-64.86,45.31
10338584,---,73.74,55.85,85.05
10338585,---,92.43,94.02,90.42
10338586,---,68.79,77.95,57.48
10338587,---,67.18,58.51,74.31
10338588,---,37.18,-36.31,83.52
10338589,---,-30.91,-55.42,-8.50
10338590,---,-12.99,17.02,-41.70
10338591,---,-13.98,-14.95,-12.96
10338592,---,-58.41,-42.09,-76.05
10338593,---,86.35,98.58,18.28
10338594,---,14.68,31.08,-0.15
10338595,---,77.59,75.81,79.37
10338596,---,-41.77,-45.75,-37.90
10338597,---,-0.81,10.20,-7.89
10338598,---,27.55,6.50,50.78
10338599,---,-11.75,-21.63,-2.86
10338600,---,63.16,75.70,45.34
10338601,---,-63.77,-56.55,-70.51
10338602,---,50.47,84.14,-12.32
10338603,---,73.07,65.49,78.97
10338604,---,23.00,61.18,-21.97
10338605,---,-9.05,-10.61,-7.65
10338606,---,59.62,91.89,-22.28
10338607,---,94.15,87.49,97.68
10338608,---,35.92,68.33,-13.63
10338609,---,-3.78,-8.15,2.20
10338610,---,50.36,-12.87,82.51
10338611,---,90.68,94.26,85.79
10338612,---,0.00,-80.60,78.21
10338613,---,77.88,97.88,31.50
10338614,---,-52.94,-55.46,-50.54
10338615,---,-37.62,-57.30,-13.53
10338616,---,81.30,92.87,54.62
10338617,---,25.67,51.97,-5.12
10338618,---,30.80,71.50,-25.71
10338619,---,92.74,94.30,90.48
10338620,---,10.63,72.92,-51.59
10338621,---,-32.99,0.45,-78.19
10338622,---,-68.32,-43.90,-86.22
10338623,---,83.87,95.46,59.20
10338624,---,62.71,89.87,10.81
10338625,---,4.71,26.18,-13.37
10338626,---,-16.29,-18.07,-14.11
10338627,---,85.83,96.80,56.43
10338628,---,15.21,-4.32,35.20
10338629,---,92.95,85.81,96.37
10338630,---,-80.65,-98.12,-46.11
10338631,---,-1.23,-5.55,0.20
10338632,---,39.84,74.28,-10.18
10338633,---,72.39,77.98,64.97
10338634,---,-22.65,-55.46,13.90
10338635,---,27.58,-18.11,66.58
10338636,---,-33.86,-52.34,-16.47
10338637,---,57.94,-16.31,91.99
10338638,---,24.68,49.63,-4.89
10338639,---,86.42,94.92,64.37
10338640,---,-32.69,-15.21,-51.93
10338641,---,2.00,38.33,-24.70
10338642,---,75.20,68.99,80.30
10338643,---,28.37,69.82,-24.63
10338644,---,-57.26,-50.38,-62.01
10338645,---,31.96,26.84,36.35
10338646,---,81.35,88.80,70.74
10338647,---,-0.65,-24.18,26.36
10338648,---,84.82,72.44,92.24
10338649,---,-37.89,-45.98,-31.00
10338650,---,49.16,69.04,20.99
10338651,---,70.28,93.81,18.84
10338652,---,53.58,67.49,36.30
10338653,---,46.49,71.69,14.23
10338654,---,-89.93,-62.48,-96.99
10338655,---,23.14,37.34,7.44
10338656,---,59.18,82.53,-1.22
10338657,---,4.37,13.76,-4.48
10338658,---,91.82,55.71,98.75
10338659,---,99.70,99.81,99.44
10338660,---,-12.17,-23.17,-2.79
10338661,---,16.24,36.43,-4.22
10338662,---,62.07,20.74,83.04
10338663,---,43.39,72.84,-1.73
10338664,---,1.63,23.95,-34.77
10338665,---,-85.64,-45.63,-96.74
10338666,---,11.99,9.03,15.57
10338667,---,-60.18,-44.10,-76.22
10338668,---,-9.01,-15.71,-3.95
10338669,---,-12.82,16.06,-47.68
10338670,---,-8.82,29.95,-42.78
10338671,---,83.63,85.21,81.39
10338672,---,80.31,89.71,66.51
10338673,---,94.68,96.73,92.19
10338674,---,0.39,4.33,-19.51
10338675,---,79.63,94.79,30.83
10338676,---,-50.09,-62.87,-39.03
10338677,---,-22.29,-90.13,42.62
10338678,---,-55.56,-44.17,-67.20
10338679,---,-63.44,-40.98,-83.66
10338680,---,86.32,97.32,38.54
10338681,---,-39.51,-48.56,-28.56
10338682,---,76.13,89.29,54.63
10338683,---,11.80,41.46,-22.17
10338684,---,83.42,77.45,88.23
10338685,---,23.27,-4.83,46.59
10338686,---,49.75,73.99,10.73
10338687,---,19.10,11.68,26.45
10338688,---,76.59,62.55,86.71
10338689,---,17.68,-6.86,40.33
10338690,---,1.92,68.08,-65.29
10338691,---,-47.14,-0.52,-93.23
10338692,---,58.40,79.26,16.79
10338693,---,84.92,98.32,10.99
10338694,---,-25.30,-24.07,-26.53
10338695,---,92.98,97.72,85.47
10338696,---,36.50,-13.25,72.58
10338697,---,-20.08,-35.13,-8.96
10338698,---,15.50,45.56,-15.43
10338699,---,-85.45,-76.67,-92.92
10338700,---,91.10,97.87,70.64
10338701,---,7.19,9.04,5.62
10338702,---,95.47,98.71,82.67
10338703,---,-39.08,-38.39,-39.71
10338704,---,64.19,61.93,67.10
10338705,---,84.99,84.24,85.41
10338706,---,27.01,57.58,-3.42
10338707,---,42.02,-6.77,73.41
10338708,---,-36.20,-50.15,-19.23
10338709,---,94.35,99.59,78.10
10338710,---,71.94,80.37,58.35
10338711,---,-13.44,14.82,-42.59
10338712,---,-83.84,-64.59,-91.51
10338713,---,77.66,87.10,64.39
10338714,---,58.39,77.92,26.63
10338715,---,65.88,68.21,63.19
10338716,---,36.82,86.86,-40.34
10338717,---,19.35,-34.00,63.55
10338718,---,-40.75,-4.68,-69.39
10338719,---,-28.48,-17.52,-41.19
10338720,---,82.24,87.27,74.73
10338721,---,-53.75,-71.37,-37.63
10338722,---,54.45,7.12,84.75
10338723,---,97.51,98.37,95.31
10338724,---,58.04,-30.27,93.11
10338725,---,-2.04,40.79,-43.33
10338726,---,14.59,-19.60,51.06
10338727,---,12.17,26.80,4.09
10338728,---,-58.67,-50.74,-65.48
10338729,---,6.67,2.42,10.57
10338730,---,-4.13,-35.63,16.53
10338731,---,-34.25,-28.02,-41.04
10338732,---,66.76,90.30,21.80
10338733,---,75.32,75.66,74.95
10338734,---,62.83,65.08,60.28
10338735,---,-64.66,-72.63,-56.43
10338736,---,-4.67,1.05,-9.94
10338737,---,15.29,82.29,-67.08
10338738,---,77.76,79.38,76.23
10338739,---,30.67,35.82,25.41
10338740,---,63.86,80.27,34.14
10338741,---,45.31,38.06,51.32
10338742,---,33.36,5.19,54.39
10338743,---,85.73,88.16,83.17
10338744,---,65.90,83.88,35.44
10338745,---,82.51,97.91,39.79
10338746,---,40.26,51.52,28.30
10338747,---,18.48,39.25,-3.37
10338748,---,80.72,84.11,77.10
10338749,---,46.39,57.31,33.19
10338750,---,82.43,87.10,77.09
10338751,---,59.96,62.68,56.53
10338752,---,64.68,89.14,8.66
10338753,---,-37.87,-27.91,-48.63
10338754,---,67.36,31.58,87.48
10338755,---,21.06,-35.35,71.86
10338756,---,69.89,96.27,9.18
10338757,---,-41.10,-10.53,-68.36
10338758,---,27.22,67.45,-15.17
10338759,---,47.79,61.94,34.48
10338760,---,8.56,19.43,0.89
10338761,---,-55.49,-63.16,-47.43
10338762,---,75.71,86.82,55.68
10338763,---,-16.78,-34.82,2.71
10338764,---,82.19,88.35,72.71
10338765,---,-5.39,59.98,-63.57
10338766,---,89.07,94.95,80.40
10338767,---,-27.28,-20.95,-34.49
10338768,---,43.30,92.19,-43.08
10338769,---,63.11,71.54,52.22
10338770,---,-81.80,6.22,-99.51
10338771,---,57.10,36.84,72.08
10338772,---,10.47,0.47,22.43
10338773,---,1.41,-5.09,4.76
10338774,---,51.34,63.50,37.20
10338775,---,80.70,94.33,42.16
10338776,---,90.70,93.18,86.57
10338777,---,23.67,-30.51,71.89
10338778,---,86.56,75.91,91.65
