Probeset_ID,Gene Symbol,DCLuLN CD103+,Sample_,Sample_,Sample_
10338099,---,-14.83,-54.51,27.21,-14.01
10338100,---,-8.01,39.30,-55.61,-3.50
10338101,---,47.25,63.13,51.75,25.92
10338102,---,-13.54,51.80,-23.89,-69.52
10338103,---,55.54,43.24,16.26,84.93
10338104,---,-73.72,-69.13,-25.21,-94.64
10338105,---,50.58,23.57,21.71,87.57
10338106,---,-66.11,-57.97,-68.07,-70.90
10338107,---,61.86,53.62,56.90,72.45
10338108,---,18.75,17.59,55.09,-15.50
10338109,---,19.96,-18.11,47.41,33.24
10338110,---,-36.04,-49.55,-9.72,-44.77
10338111,---,48.14,26.65,50.89,61.96
10338112,---,42.72,48.88,41.58,35.80
10338113,---,-11.19,-16.90,-10.40,-5.95
10338114,---,-28.83,-47.32,-5.77,-33.60
10338115,---,17.34,8.36,-19.46,61.08
10338116,---,74.94,67.87,88.54,62.17
10338117,---,-54.84,-50.82,-34.26,-72.85
10338118,---,-28.93,-42.35,-44.65,-4.97
10338119,---,-17.24,-22.64,-28.17,-1.68
10338120,---,11.38,-4.97,20.02,19.12
10338121,---,61.46,34.41,93.15,35.40
10338122,---,30.52,-36.85,45.52,70.56
10338123,---,1.86,-57.20,28.84,22.52
10338124,---,-46.54,-6.43,-92.87,-37.62
10338125,---,60.57,78.94,28.49,62.76
10338126,---,-33.25,-12.08,-63.02,-38.15
10338127,---,74.25,90.70,92.59,-16.94
10338128,---,-61.14,-54.81,-26.62,-86.66
10338129,---,18.41,27.88,41.07,-13.35
10338130,---,17.30,23.79,2.42,25.69
10338131,---,-3.31,-32.82,-0.53,30.41
10338132,---,-21.08,-31.28,-69.31,30.90
10338133,---,6.11,40.60,-56.92,38.40
10338134,---,95.35,91.20,93.08,98.27
10338135,---,59.05,46.67,68.67,60.70
10338136,---,54.71,32.63,9.17,90.65
10338137,---,-13.92,13.83,-55.22,9.22
10338138,---,17.21,18.71,35.92,4.41
10338139,---,-34.88,-50.57,14.29,-60.91
10338140,---,-11.27,-31.70,-50.90,52.68
10338141,---,-13.40,-8.41,-17.74,-15.52
10338142,---,-43.41,-92.50,47.06,-44.78
10338143,---,-36.76,-17.70,-21.40,-93.63
10338144,---,-74.45,-97.14,-44.02,-41.58
10338145,---,16.83,-8.05,40.77,14.87
10338146,---,-23.66,-4.28,-25.58,-47.08
10338147,---,73.68,89.57,74.36,49.73
10338148,---,-64.99,-91.35,-75.70,-9.02
10338149,---,-54.45,-87.97,32.84,-78.67
10338150,---,80.67,82.20,88.34,68.55
10338151,---,7.98,-18.63,32.20,11.86
10338152,---,98.40,92.54,99.01,99.18
10338153,---,44.80,59.72,55.50,17.98
10338154,---,98.69,97.36,99.53,97.12
10338155,---,31.85,38.64,61.06,0.73
10338156,---,-11.07,-51.50,1.99,20.55
10338157,---,11.33,-2.26,24.03,10.98
10338158,---,65.56,95.79,63.89,-28.36
10338159,---,-1.70,-25.83,-12.29,40.73
10338160,---,60.63,55.18,71.60,50.22
10338161,---,28.51,47.51,-2.19,36.91
10338162,---,-10.87,24.62,24.24,-65.84
10338163,---,-79.44,-43.42,-83.42,-91.42
10338164,---,-0.05,2.59,34.77,-33.52
10338165,---,-76.98,-71.89,-75.83,-83.40
10338166,---,73.28,92.87,56.61,56.34
10338167,---,-26.21,-27.88,-57.04,-7.31
10338168,---,19.08,34.11,54.06,-37.22
10338169,---,-25.38,-46.71,61.38,-82.05
10338170,---,68.74,65.89,90.45,25.32
10338171,---,-11.98,-34.26,-30.84,37.78
10338172,---,35.29,38.63,-39.20,80.78
10338173,---,-25.53,14.45,-92.40,19.00
10338174,---,71.43,41.67,98.41,33.59
10338175,---,11.10,-11.80,51.92,0.86
10338176,---,95.47,95.47,94.55,96.26
10338177,---,59.50,96.40,44.31,-20.57
10338178,---,-2.02,-36.25,9.94,37.02
10338179,---,31.07,32.55,46.09,18.41
10338180,---,73.74,81.61,86.67,42.16
10338181,---,-24.09,-44.05,12.10,-41.09
10338182,---,45.64,72.82,39.20,11.74
10338183,---,-52.02,-14.84,-81.68,-65.89
10338184,---,63.35,-16.05,95.30,64.58
10338185,---,61.85,55.48,77.31,47.71
10338186,---,59.19,66.07,59.54,50.00
10338187,---,48.74,-14.06,36.03,88.27
10338188,---,-76.77,-60.13,-67.95,-93.02
10338189,---,19.16,0.92,-9.74,55.54
10338190,---,49.48,17.91,80.29,15.88
10338191,---,-1.68,72.11,-39.40,-44.59
10338192,---,53.00,93.92,58.15,-47.32
10338193,---,34.47,16.63,65.42,9.51
10338194,---,-87.20,-97.39,-90.17,-51.64
10338195,---,13.57,-24.86,31.11,26.54
10338196,---,21.46,12.98,30.39,22.42
10338197,---,27.52,48.99,-65.97,82.19
10338198,---,97.95,96.26,99.24,97.12
10338199,---,72.49,62.09,84.48,67.80
10338200,---,-48.76,-49.11,-12.15,-73.97
10338201,---,16.22,-32.30,21.60,51.67
10338202,---,93.20,95.49,83.65,96.01
10338203,---,68.74,63.48,87.38,45.84
10338204,---,12.24,-56.31,70.64,18.07
10338205,---,-64.46,-79.86,-68.02,-40.87
10338206,---,-3.71,-0.13,50.73,-61.17
10338207,---,-13.41,-1.70,-5.72,-68.33
10338208,---,73.09,82.97,66.85,66.30
10338209,---,47.43,38.61,61.72,39.29
10338210,---,49.31,65.48,45.24,33.78
10338211,---,16.85,46.42,-16.93,20.48
10338212,---,-6.16,-24.52,50.94,-33.17
10338213,---,41.25,55.05,27.49,39.62
10338214,---,62.30,-22.82,86.09,85.96
10338215,---,-34.98,-49.14,8.28,-65.06
10338216,---,-65.24,-36.89,-94.80,-34.99
10338217,---,76.38,49.66,93.62,69.47
10338218,---,60.25,42.79,64.30,70.61
10338219,---,-9.15,9.54,-55.52,27.97
10338220,---,-48.52,-63.40,-61.44,-17.45
10338221,---,87.56,90.41,91.99,78.61
10338222,---,-61.09,-37.56,-74.44,-69.46
10338223,---,68.66,73.75,75.80,51.60
10338224,---,25.58,44.26,31.49,-5.07
10338225,---,76.21,81.49,92.54,25.97
10338226,---,17.10,94.04,-5.26,-92.79
10338227,---,73.21,86.53,75.13,47.17
10338228,---,-69.61,-44.48,-63.05,-90.08
10338229,---,-64.36,-80.96,-83.38,-29.49
10338230,---,-5.69,-47.23,85.50,-69.48
10338231,---,-89.99,-91.27,-70.18,-96.02
10338232,---,-39.82,-54.04,-30.80,-36.45
10338233,---,16.94,29.89,-44.15,60.94
10338234,---,-40.56,-88.41,-3.60,-13.85
10338235,---,-67.15,-94.25,-77.09,-19.32
10338236,---,-27.16,30.08,-90.97,-5.22
10338237,---,58.43,58.98,38.95,71.10
10338238,---,-22.87,-52.58,-2.55,-16.76
10338239,---,44.74,85.61,15.09,-4.83
10338240,---,-9.20,-28.00,-25.47,33.60
10338241,---,-41.21,-37.33,-44.58,-41.46
10338242,---,18.19,48.21,37.86,-30.62
10338243,---,-21.86,-6.24,-17.63,-40.06
10338244,---,30.46,75.61,32.16,-11.40
10338245,---,-24.08,-6.22,-42.47,-38.85
10338246,---,37.00,56.20,31.58,18.81
10338247,---,3.92,44.86,68.59,-85.14
10338248,---,-24.44,-0.78,-0.67,-87.06
10338249,---,6.80,21.04,3.49,-2.66
10338250,---,-9.82,-59.09,-10.66,50.49
10338251,---,7.21,-16.97,29.81,16.20
10338252,---,-37.20,-91.25,-11.32,-8.90
10338253,---,39.08,-61.19,11.47,95.68
10338254,---,75.86,87.54,55.82,76.73
10338255,---,81.83,37.14,89.89,94.44
10338256,---,38.72,42.90,46.02,26.97
10338257,---,48.88,65.40,44.04,36.76
10338258,---,24.08,3.00,41.64,27.01
10338259,---,-62.79,-33.41,-60.71,-90.35
10338260,---,53.89,77.75,28.17,45.48
10338261,---,-33.41,-81.16,-13.25,-9.90
10338262,---,-24.68,33.74,-11.10,-98.30
10338263,---,-28.76,-51.65,24.16,-53.00
10338264,---,29.64,-16.39,59.23,44.08
10338265,---,-28.90,-61.21,29.83,-54.44
10338266,---,-41.48,36.99,-67.92,-87.10
10338267,---,-30.18,-68.94,35.35,-45.07
10338268,---,-25.09,-84.10,52.33,-17.40
10338269,---,-18.41,-19.96,14.94,-46.69
10338270,---,95.54,91.47,98.02,95.09
10338271,---,17.84,31.59,-14.90,32.70
10338272,---,-7.58,-6.58,20.74,-39.85
10338273,---,-85.44,-94.50,-83.23,-71.89
10338274,---,43.52,3.90,71.36,42.38
10338275,---,68.26,81.90,65.00,52.05
10338276,---,48.54,-19.62,57.46,84.10
10338277,---,-29.06,-14.18,-42.96,-30.76
10338278,---,25.47,65.22,55.24,-50.07
10338279,---,74.79,82.44,55.48,80.24
10338280,---,94.88,95.32,96.79,91.05
10338281,---,44.06,51.36,76.85,-6.83
10338282,---,41.11,58.57,4.39,51.80
10338283,---,-76.50,-84.15,-36.08,-89.46
10338284,---,16.63,42.77,8.74,-3.75
10338285,---,36.84,-28.82,62.11,62.65
10338286,---,-40.24,-40.92,-26.20,-51.21
10338287,---,-0.68,-11.68,76.62,-71.69
10338288,---,65.42,63.18,66.71,66.43
10338289,---,-2.40,-49.48,50.96,-4.46
10338290,---,70.46,42.52,77.50,80.49
10338291,---,-7.00,13.47,-35.39,1.53
10338292,---,-72.89,-73.48,-60.34,-80.74
10338293,---,22.49,75.15,32.50,-51.31
10338294,---,74.89,79.51,71.55,72.47
10338295,---,9.20,1.63,33.91,0.02
10338296,---,-28.14,-45.32,-24.48,-15.61
10338297,---,-40.47,-94.53,34.00,-37.34
10338298,---,16.23,12.44,34.19,9.47
10338299,---,59.12,30.91,65.11,71.60
10338300,---,64.10,62.50,67.21,62.79
10338301,---,-19.16,31.09,-53.36,-28.25
10338302,---,13.92,-16.88,68.41,-20.54
10338303,---,62.93,33.01,86.26,58.65
10338304,---,-22.67,-50.20,-2.85,-15.10
10338305,---,68.09,76.33,61.55,64.97
10338306,---,-89.30,-96.14,-55.30,-94.63
10338307,---,33.95,26.72,25.85,45.75
10338308,---,-33.71,-80.33,0.06,-7.88
10338309,---,-18.86,29.97,-60.26,-26.40
10338310,---,52.37,63.46,-26.07,83.94
10338311,---,57.12,83.14,11.85,60.82
10338312,---,-25.78,-65.31,-8.32,2.39
10338313,---,5.02,-79.02,3.27,81.30
10338314,---,43.86,56.73,59.68,7.57
10338315,---,-20.14,13.04,-29.40,-46.34
10338316,---,-3.12,10.71,0.11,-16.81
10338317,---,80.68,78.49,68.21,89.61
10338318,---,-0.93,-41.52,19.81,22.45
10338319,---,34.00,26.21,16.75,54.96
10338320,---,1.51,-29.86,1.78,42.52
10338321,---,57.91,39.47,30.80,87.89
10338322,---,-84.59,-93.46,-70.30,-82.66
10338323,---,-3.24,75.49,-42.55,-49.02
10338324,---,75.79,57.41,77.54,85.95
10338325,---,62.49,68.76,69.11,45.20
10338326,---,58.21,55.37,63.46,56.01
10338327,---,-97.24,-97.62,-93.23,-98.56
10338328,---,-4.25,-8.37,71.93,-99.15
10338329,---,-38.72,6.83,-81.07,-65.49
10338330,---,65.55,55.46,57.90,79.94
10338331,---,-37.41,-19.53,-55.32,-40.42
10338332,---,-35.36,-48.44,-17.42,-38.65
10338333,---,-84.53,-70.54,-88.22,-90.16
10338334,---,32.72,31.53,27.21,39.11
10338335,---,45.44,-2.30,47.43,77.39
10338336,---,-36.47,-33.20,-62.82,-16.46
10338337,---,-18.51,-41.71,-13.65,-5.48
10338338,---,24.10,46.09,-7.65,32.82
10338339,---,13.01,20.07,27.58,0.98
10338340,---,55.22,49.28,64.52,50.86
10338341,---,35.11,65.46,-55.34,72.57
10338342,---,58.01,70.39,64.37,36.15
10338343,---,24.17,56.44,48.96,-27.45
10338344,---,9.95,0.70,31.89,5.82
10338345,---,19.10,-31.98,38.67,49.79
10338346,---,-19.88,-83.12,-36.92,72.81
10338347,---,-75.03,-74.28,-65.21,-83.27
10338348,---,-78.23,-94.40,-51.88,-76.17
10338349,---,96.14,93.56,96.24,97.52
10338350,---,-29.03,29.77,-42.80,-63.62
10338351,---,20.75,-11.28,50.94,19.33
10338352,---,1.46,22.62,35.59,-32.49
10338353,---,33.11,39.46,29.94,29.46
10338354,---,-60.96,-73.34,-27.24,-71.47
10338355,---,66.98,65.89,71.47,63.12
10338356,---,90.74,95.51,66.84,94.82
10338357,---,-45.08,-73.20,10.61,-78.42
10338358,---,-17.09,-0.69,-47.48,-3.95
10338359,---,-4.81,-67.34,73.59,-17.77
10338360,---,-43.30,-64.51,14.83,-65.85
10338361,---,58.45,52.54,70.68,50.82
10338362,---,-42.80,-87.68,-22.89,-12.36
10338363,---,45.09,71.64,32.08,27.79
10338364,---,-41.06,-96.23,-0.30,5.14
10338365,---,-60.33,-62.95,-31.99,-85.40
10338366,---,34.95,24.34,70.06,8.50
10338367,---,89.28,90.26,90.18,87.49
10338368,---,-64.58,-51.72,-95.09,-25.15
10338369,---,-17.80,-59.11,14.47,1.83
10338370,---,50.64,63.23,-18.44,79.33
10338371,---,-78.93,-82.91,-83.05,-70.47
10338372,---,36.77,-65.38,85.14,69.43
10338373,---,28.37,59.66,2.60,15.28
10338374,---,-4.13,21.80,-42.70,10.41
10338375,---,-27.89,-42.00,-8.78,-31.95
10338376,---,-16.87,-23.36,38.96,-58.90
10338377,---,-23.93,-27.99,-38.73,-7.90
10338378,---,-29.89,32.82,54.93,-98.28
10338379,---,-70.33,-88.39,-41.56,-77.45
10338380,---,-98.41,-97.51,-98.61,-98.78
10338381,---,-26.73,-45.81,-17.96,-19.79
10338382,---,-6.25,-34.27,-12.73,30.32
10338383,---,15.25,-43.37,62.43,15.68
10338384,---,-32.66,-76.24,22.64,-31.97
10338385,---,97.01,94.69,97.61,97.78
10338386,---,-78.05,-47.12,-69.19,-99.20
10338387,---,-64.91,-69.91,-46.28,-76.22
10338388,---,22.47,7.71,69.87,-33.02
10338389,---,-77.89,-82.24,-54.21,-89.00
10338390,---,20.08,-17.69,18.66,54.38
10338391,---,35.44,-52.95,80.48,54.41
10338392,---,36.87,52.99,51.18,-0.20
10338393,---,60.40,68.10,67.78,38.03
10338394,---,5.78,5.53,10.86,1.22
10338395,---,-7.15,42.68,-54.47,-9.02
10338396,---,-46.55,-56.05,-30.34,-52.13
10338397,---,45.55,72.35,78.85,-41.30
10338398,---,-34.40,-46.66,-13.45,-41.86
10338399,---,52.64,44.63,71.13,41.86
10338400,---,-6.83,34.30,-31.48,-19.75
10338401,---,51.20,22.37,70.31,45.61
10338402,---,0.27,-90.58,86.63,-3.12
10338403,---,39.25,34.08,28.10,52.97
10338404,---,8.61,9.18,15.00,0.67
10338405,---,21.96,-8.78,72.64,-8.50
10338406,---,-59.80,-56.12,-72.92,-48.78
10338407,---,83.52,60.79,89.62,89.35
10338408,---,79.25,89.51,41.70,87.88
10338409,---,-13.60,5.81,45.05,-73.57
10338410,---,7.38,50.64,5.07,-32.20
10338411,---,73.10,79.89,67.74,68.93
10338412,---,41.85,-15.40,91.55,-8.98
10338413,---,-31.09,-14.05,-43.08,-36.07
10338414,---,16.45,36.58,43.39,-32.05
10338415,---,-29.27,-48.12,9.86,-46.18
10338416,---,-70.63,-84.11,-53.56,-68.27
10338417,---,27.38,28.88,51.37,-0.69
10338418,---,-40.46,-70.56,-44.47,-13.09
10338419,---,-17.95,-48.30,-27.17,23.43
10338420,---,-13.73,17.79,-23.78,-33.31
10338421,---,27.82,42.81,51.30,-8.30
10338422,---,69.77,55.57,77.48,74.31
10338423,---,19.45,13.28,44.02,0.29
10338424,---,53.03,67.87,30.11,58.93
10338425,---,-11.57,-3.90,-17.58,-13.64
10338426,---,67.83,65.56,34.48,86.95
10338427,---,58.64,51.24,43.65,75.11
10338428,---,11.93,55.18,-19.58,8.59
10338429,---,19.80,4.32,63.87,-19.37
10338430,---,43.78,-8.63,39.71,76.20
10338431,---,23.75,27.42,32.55,10.32
10338432,---,17.20,54.65,-17.84,9.16
10338433,---,91.98,94.96,79.73,97.14
10338434,---,27.52,42.93,15.84,23.02
10338435,---,-25.67,-22.95,-15.93,-42.74
10338436,---,-42.85,-8.87,-99.24,-35.34
10338437,---,13.82,-5.90,47.98,1.11
10338438,---,20.72,31.90,51.84,-21.72
10338439,---,42.84,86.24,-54.65,61.96
10338440,---,73.14,75.46,6.40,92.22
10338441,---,45.64,66.09,-28.33,74.43
10338442,---,-33.51,-82.74,-34.83,-5.73
10338443,---,-28.94,-25.82,22.37,-78.33
10338444,---,-58.42,-40.69,-92.83,-43.01
10338445,---,-33.83,-73.75,-12.82,-11.75
10338446,---,13.01,-23.73,47.57,19.76
10338447,---,-14.37,-63.42,52.75,-29.65
10338448,---,83.55,92.54,74.75,76.93
10338449,---,2.00,-53.42,-11.93,67.93
10338450,---,-7.84,-70.97,66.00,-16.01
10338451,---,-53.00,-39.16,-36.70,-84.48
10338452,---,4.88,68.88,-47.63,-3.12
10338453,---,33.89,40.90,18.31,41.02
10338454,---,-44.83,-94.57,-43.39,-0.11
10338455,---,-70.73,-70.90,-75.53,-65.56
10338456,---,65.01,91.79,34.48,44.29
10338457,---,46.22,10.44,26.36,79.05
10338458,---,18.41,-8.99,-10.38,66.24
10338459,---,-60.25,-52.53,-79.35,-47.21
10338460,---,62.17,69.02,68.88,47.27
10338461,---,87.00,83.11,81.88,93.49
10338462,---,-51.06,-35.33,-41.98,-76.10
10338463,---,-25.03,-40.88,10.14,-49.93
10338464,---,-19.25,15.28,-52.34,-17.07
10338465,---,-31.05,-1.01,-31.47,-62.22
10338466,---,-34.24,-67.70,14.74,-38.52
10338467,---,-33.72,-82.40,14.31,-27.67
10338468,---,-32.99,-89.87,39.49,-8.26
10338469,---,-83.95,-59.85,-96.63,-75.40
10338470,---,-22.16,-24.41,-3.46,-37.64
10338471,---,9.70,14.56,9.17,6.58
10338472,---,88.95,90.33,89.72,85.15
10338473,---,82.30,86.98,97.01,33.13
10338474,---,50.41,54.55,55.01,41.39
10338475,---,90.15,94.11,87.22,89.09
10338476,---,40.01,32.88,27.79,56.17
10338477,---,10.72,10.42,6.93,15.10
10338478,---,-8.65,-39.21,21.70,-5.50
10338479,---,-75.51,-99.15,-48.18,-65.09
10338480,---,-13.08,-52.32,0.32,16.89
10338481,---,-28.37,-24.63,-28.69,-31.40
10338482,---,9.54,11.90,9.76,6.66
10338483,---,98.33,98.53,98.13,97.97
10338484,---,9.88,-4.01,5.72,27.95
10338485,---,-73.67,-99.02,-43.92,-60.25
10338486,---,7.80,-16.65,20.75,31.28
10338487,---,42.33,-2.21,35.69,78.49
10338488,---,38.61,39.66,29.79,45.01
10338489,---,33.28,11.71,23.94,59.22
10338490,---,-11.61,-37.58,-3.02,-8.64
10338491,---,-0.52,26.11,-5.60,-5.02
10338492,---,81.24,89.63,78.92,67.67
10338493,---,-95.88,-99.12,-80.69,-96.74
10338494,---,-10.57,-38.84,23.78,-10.04
10338495,---,73.03,91.91,73.45,33.00
10338496,---,-18.31,-43.72,2.26,-11.69
10338497,---,79.24,84.42,73.25,78.77
10338498,---,11.37,2.85,26.15,8.04
10338499,---,21.79,18.33,45.48,-2.88
10338500,---,49.89,54.41,19.71,68.57
10338501,---,-2.94,60.63,-54.54,-7.09
10338502,---,-76.66,-51.55,-82.03,-87.70
10338503,---,6.60,58.15,-35.54,24.49
10338504,---,55.82,52.20,65.25,48.01
10338505,---,76.92,70.06,85.90,71.94
10338506,---,10.70,51.03,21.43,-34.93
10338507,---,-10.47,-26.14,-40.30,39.72
10338508,---,50.18,82.37,-26.30,70.87
10338509,---,-30.56,19.46,-37.61,-68.31
10338510,---,1.18,68.48,-33.42,-42.16
10338511,---,69.62,74.12,83.97,42.25
10338512,---,-5.48,-35.34,38.59,-17.85
10338513,---,85.01,90.49,89.64,65.38
10338514,---,17.32,34.52,23.50,-4.73
10338515,---,-55.33,-28.78,-61.56,-75.40
10338516,---,55.93,38.88,83.50,25.88
10338517,---,87.56,89.51,68.58,95.62
10338518,---,-49.19,23.70,-55.85,-85.67
10338519,---,-55.30,-69.85,-29.68,-58.84
10338520,---,14.79,-22.40,49.08,11.09
10338521,---,43.06,4.27,8.86,86.44
10338522,---,12.38,12.05,16.12,9.44
10338523,---,9.22,27.33,-11.04,14.29
10338524,---,-2.64,-10.72,0.73,0.70
10338525,---,-2.12,-5.48,9.59,-10.31
10338526,---,5.67,58.12,38.96,-61.85
10338527,---,7.50,-6.18,-47.89,68.03
10338528,---,9.94,-2.30,30.12,2.35
10338529,---,-91.75,-77.36,-87.52,-97.43
10338530,---,88.99,86.03,93.00,86.63
10338531,---,-23.48,-20.07,-8.55,-40.15
10338532,---,-31.54,-58.43,-39.73,0.58
10338533,---,42.74,35.80,30.59,59.71
10338534,---,47.11,23.42,47.47,65.56
10338535,---,-58.86,-24.68,-34.84,-89.26
10338536,---,-3.09,47.47,-39.26,-13.83
10338537,---,-19.30,30.87,-45.20,-39.50
10338538,---,28.21,-76.35,88.67,41.94
10338539,---,-56.88,-57.20,-28.75,-81.49
10338540,---,22.57,31.42,21.45,16.86
10338541,---,-9.16,0.78,-12.75,-29.56
10338542,---,17.69,-27.89,51.77,29.54
10338543,---,-20.67,-5.80,-17.86,-41.93
10338544,---,-14.19,-3.90,-30.21,-12.67
10338545,---,22.83,-41.75,63.93,41.72
10338546,---,-10.86,-48.82,23.93,-1.47
10338547,---,39.95,86.93,76.83,-94.60
10338548,---,17.84,77.68,31.37,-63.73
10338549,---,-11.25,-83.49,73.01,-30.21
10338550,---,-19.70,-55.06,-2.51,3.23
10338551,---,-5.07,-53.14,-3.13,50.18
10338552,---,72.22,85.44,9.29,79.22
10338553,---,30.21,37.19,-33.18,70.34
10338554,---,19.77,48.89,31.72,-21.85
10338555,---,-32.97,-69.00,-2.96,-25.23
10338556,---,-39.99,-41.67,-1.68,-66.41
10338557,---,4.96,-10.39,17.03,7.62
10338558,---,-91.08,-83.91,-89.15,-95.25
10338559,---,54.54,25.53,-11.31,93.25
10338560,---,72.75,84.08,39.98,82.39
10338561,---,32.98,51.02,-28.49,66.17
10338562,---,-29.87,-19.10,-31.51,-40.95
10338563,---,-59.72,-29.36,-89.32,-53.62
10338564,---,-16.22,-24.93,-6.34,-19.54
10338565,---,31.76,17.11,30.68,47.69
10338566,---,19.83,26.97,-40.57,65.25
10338567,---,36.80,11.14,73.64,38.53
10338568,---,11.67,56.79,-0.72,-26.12
10338569,---,63.25,-17.52,75.24,87.54
10338570,---,-55.83,-65.03,-21.92,-76.03
10338571,---,21.79,24.13,23.99,15.97
10338572,---,78.31,86.14,91.23,36.16
10338573,---,63.78,40.34,90.16,43.91
10338574,---,88.73,57.68,96.89,91.34
10338575,---,31.53,-59.01,70.87,65.70
10338576,---,86.53,78.59,96.37,72.41
10338577,---,-36.62,-25.02,-26.91,-57.89
10338578,---,4.88,0.69,25.14,0.22
10338579,---,-51.31,-25.16,-25.47,-95.03
10338580,---,24.03,29.59,-14.77,54.61
10338581,---,-21.34,-57.36,18.86,-12.68
10338582,---,-4.33,22.24,-43.09,22.84
10338583,---,-3.89,6.36,-12.36,-3.17
10338584,---,17.26,73.10,-22.70,-9.41
10338585,---,79.00,79.37,82.09,74.99
10338586,---,-31.36,-80.39,27.95,-22.60
10338587,---,-7.65,27.35,-27.92,-14.85
10338588,---,-14.86,-50.87,15.70,-4.67
10338589,---,-63.69,-9.20,-84.47,-93.60
10338590,---,2.37,-0.04,26.84,-11.36
10338591,---,-7.78,37.37,-11.02,-37.58
10338592,---,-49.28,-74.04,-73.71,-16.74
10338593,---,13.61,-81.84,65.00,64.26
10338594,---,-17.66,13.22,-38.73,-28.31
10338595,---,83.02,59.41,92.49,86.37
10338596,---,46.35,37.59,51.22,48.69
10338597,---,-9.74,-6.39,46.65,-62.25
10338598,---,4.81,-48.59,59.64,5.99
10338599,---,37.70,82.06,-0.24,-1.55
10338600,---,66.59,72.97,55.69,68.55
10338601,---,32.08,52.33,44.90,-9.18
10338602,---,-32.27,-74.60,51.64,-57.08
10338603,---,40.56,0.12,71.02,42.20
10338604,---,12.06,20.76,25.91,-13.15
10338605,---,43.76,51.12,12.17,59.99
10338606,---,38.03,4.18,65.34,38.03
10338607,---,56.86,24.79,81.42,56.86
10338608,---,-41.63,-23.22,-53.21,-47.51
10338609,---,-39.42,-34.00,-60.28,-26.44
10338610,---,-71.25,-88.08,-63.20,-52.40
10338611,---,87.43,90.23,93.92,72.96
10338612,---,-65.71,-10.91,-40.25,-97.64
10338613,---,59.70,23.35,74.90,69.42
10338614,---,-22.29,-79.17,4.56,-6.23
10338615,---,-14.78,-23.98,6.84,-28.94
10338616,---,28.63,18.31,45.27,21.04
10338617,---,15.02,17.35,-5.23,32.44
10338618,---,-38.38,-39.76,-38.98,-35.81
10338619,---,24.81,46.23,24.96,3.97
10338620,---,42.99,3.10,62.96,56.20
10338621,---,31.39,-69.54,74.94,66.52
10338622,---,-26.96,-19.96,-5.10,-58.54
10338623,---,47.61,63.16,65.65,-0.76
10338624,---,54.35,58.30,80.48,2.77
10338625,---,29.31,-18.16,81.18,3.42
10338626,---,-22.08,-37.14,-49.50,24.18
10338627,---,95.64,93.35,86.07,98.88
10338628,---,48.96,46.35,65.12,31.87
10338629,---,-3.89,27.64,-30.76,-1.40
10338630,---,-54.09,-51.99,-27.60,-86.74
10338631,---,-77.12,-82.14,-84.67,-60.06
