Probeset_ID,Gene Symbol,MF SI,Sample_,Sample_,Sample_,Sample_,Sample_,Sample_,Sample_
10338072,---,-23.26,26.32,32.28,61.31,46.19,-67.02,-86.97,-97.41
10338073,---,-25.67,47.70,-33.74,-82.53,-86.98,75.52,-48.61,-10.73
10338074,---,-60.29,-68.18,-77.64,-50.40,-52.18,-81.54,-54.82,-3.32
10338075,---,-78.50,-83.24,-76.72,-71.91,-74.53,-90.51,-66.49,-77.98
10338076,---,-30.40,-60.28,-6.41,-20.22,-26.93,-36.57,-40.80,-31.16
10338077,---,97.79,95.26,93.60,96.74,99.18,98.87,98.98,98.21
10338078,---,7.56,4.83,-27.41,26.99,-34.98,40.52,56.00,-5.22
10338079,---,2.59,-81.62,-0.30,-14.16,12.09,-27.53,58.18,78.20
10338080,---,13.02,63.21,28.88,11.59,12.82,22.89,-31.97,-13.30
10338081,---,70.67,86.41,70.87,57.73,49.97,76.09,69.29,74.45
10338082,---,42.16,23.24,17.12,27.17,68.04,45.48,54.06,56.14
10338083,---,86.50,89.55,91.45,97.77,26.46,71.64,97.60,58.08
10338084,---,66.04,76.87,-26.88,48.55,75.26,63.32,90.81,79.66
10338085,---,96.76,94.76,94.24,96.99,96.53,97.18,96.78,98.78
10338086,---,-24.83,-21.92,-11.04,-55.84,-70.11,-9.25,0.35,6.48
10338087,---,50.43,24.90,57.86,49.54,46.43,59.92,52.43,56.19
10338088,---,-34.36,-29.18,-71.65,4.94,-39.56,69.60,-78.04,-97.83
10338089,---,-21.43,46.50,-6.80,-61.02,5.10,-25.42,-18.28,-68.08
10338090,---,54.34,85.63,-8.07,38.07,10.83,56.18,82.70,73.10
10338091,---,-40.75,38.90,-89.62,41.69,-17.14,-86.24,-81.38,-16.12
10338092,---,84.27,91.96,76.95,81.02,84.61,86.97,74.97,90.70
10338093,---,13.14,80.93,41.70,-51.79,21.72,4.88,25.00,-42.52
10338094,---,-34.90,-30.06,-24.98,-72.39,-12.27,-38.14,-50.76,-24.39
10338095,---,-91.37,-85.32,-90.10,-93.42,-84.28,-96.93,-93.52,-93.30
10338096,---,58.40,-21.92,86.14,55.52,81.54,61.75,59.45,43.56
10338097,---,-32.31,-87.92,-38.23,-2.52,-22.13,-8.10,37.41,-84.19
10338098,---,55.09,60.41,5.70,49.23,76.24,77.58,45.79,44.87
10338099,---,-48.59,-29.86,-68.03,-78.15,-51.41,-36.50,-42.01,-21.25
10338100,---,-19.39,-15.82,-28.04,-36.12,-48.73,9.49,16.50,-45.01
10338101,---,41.50,24.16,65.26,40.40,40.64,61.73,46.44,4.34
10338102,---,-10.71,70.44,61.53,-34.76,-79.32,-50.55,-8.26,-38.68
10338103,---,47.33,21.90,5.97,63.92,-16.42,43.44,90.17,61.08
10338104,---,-66.01,-72.98,-78.86,-67.98,-66.46,-61.44,-56.84,-50.54
10338105,---,99.68,99.27,99.31,99.46,99.62,99.84,99.81,99.75
10338106,---,-22.82,3.20,-44.68,-15.68,-11.83,-6.71,-53.26,-16.84
10338107,---,10.29,18.75,10.70,11.93,37.84,3.39,-9.38,-3.24
10338108,---,20.93,48.29,-50.12,4.67,-37.07,-11.50,34.85,95.46
10338109,---,44.92,-26.70,76.97,52.89,39.61,32.02,71.41,60.73
10338110,---,38.62,66.89,53.78,-51.49,45.84,65.80,16.63,50.57
10338111,---,19.61,8.85,38.90,22.42,26.80,12.46,-4.84,31.96
10338112,---,94.50,93.24,94.06,95.04,94.99,93.68,94.22,96.13
10338113,---,99.26,97.21,97.34,99.88,99.51,99.75,99.96,98.77
10338114,---,93.53,93.17,90.11,87.19,94.83,92.58,96.40,95.82
10338115,---,-4.17,26.59,32.48,16.04,-5.93,-9.59,0.18,-77.13
10338116,---,-25.97,-6.75,-17.24,-13.01,-14.64,-39.59,-62.26,-12.39
10338117,---,-63.47,-46.94,-86.96,-44.58,-52.15,-67.52,-73.21,-47.40
10338118,---,-32.26,-11.75,-31.98,-89.32,-72.03,-18.65,39.13,-25.76
10338119,---,99.31,99.60,98.87,99.23,99.49,99.52,98.94,99.09
10338120,---,-4.02,-44.21,-29.87,-7.38,5.74,18.94,19.02,3.53
10338121,---,4.98,-44.39,-34.99,-18.87,-12.07,-64.67,89.94,86.86
10338122,---,-63.37,-95.42,-90.57,51.72,-75.86,-41.18,-61.35,-59.69
10338123,---,34.54,9.46,40.73,34.83,33.84,22.40,59.34,45.32
10338124,---,-35.75,-18.39,-65.56,-65.20,-13.76,-20.27,-23.12,-52.57
10338125,---,77.52,50.11,58.60,94.42,68.08,92.54,65.81,76.28
10338126,---,-15.85,-12.15,56.08,19.11,-20.81,-53.50,-52.59,-70.29
10338127,---,-23.77,-76.41,-27.16,-15.66,-89.32,-24.70,26.19,71.23
10338128,---,-40.07,-67.16,-17.82,-42.55,-50.72,-22.39,-32.37,-38.72
10338129,---,98.86,98.17,98.01,98.53,99.12,99.48,99.15,97.94
10338130,---,78.96,75.31,97.16,70.14,93.51,-6.69,41.52,88.48
10338131,---,11.03,-29.05,18.89,28.48,20.66,-37.27,39.75,52.71
10338132,---,36.34,-9.53,47.22,69.99,63.48,73.34,21.76,-38.90
10338133,---,-18.81,-72.65,-23.83,23.45,-75.40,54.81,-75.16,69.48
10338134,---,-41.32,26.99,-73.81,-49.12,-36.21,-12.88,-29.20,-80.48
10338135,---,-41.44,-52.48,-22.14,-9.95,-17.50,-71.70,-64.19,-54.07
10338136,---,81.35,37.26,84.13,70.71,93.45,96.03,80.88,69.57
10338137,---,-3.44,12.22,31.03,-73.56,50.40,61.44,76.03,-95.30
10338138,---,27.28,22.11,28.58,20.49,33.94,21.81,34.10,29.43
10338139,---,-4.36,-38.16,19.66,-8.48,53.84,18.53,-31.95,-38.11
10338140,---,65.76,95.32,41.05,92.64,-20.22,68.35,44.11,52.51
10338141,---,-33.31,-43.96,-24.55,-44.02,-42.72,-39.03,-22.04,-23.75
10338142,---,28.18,-18.58,82.84,33.06,41.61,-20.60,-0.73,52.97
10338143,---,-13.63,-7.73,-3.95,-4.93,-29.90,-22.86,-19.14,-23.80
10338144,---,-34.90,-65.85,25.42,-22.97,-25.94,-48.80,-43.58,-53.27
10338145,---,-33.95,-63.33,-64.49,4.04,-47.09,-12.18,-24.72,-14.01
10338146,---,-8.76,-9.76,-3.95,17.05,31.86,-52.37,-16.83,-18.97
10338147,---,9.55,5.22,17.96,5.74,10.96,3.67,12.13,15.42
10338148,---,5.15,23.47,-56.60,-4.80,20.28,-11.98,-19.00,78.12
10338149,---,71.57,53.82,47.67,94.74,-4.52,71.95,82.44,90.71
10338150,---,50.28,44.70,15.74,56.27,56.33,51.81,61.69,60.97
10338151,---,99.47,98.91,99.15,98.87,99.75,99.61,99.79,99.61
10338152,---,71.82,75.99,44.20,63.85,77.11,67.15,55.60,94.51
10338153,---,56.85,-9.82,74.15,80.43,63.08,63.81,84.76,15.76
10338154,---,99.91,99.69,99.60,99.96,99.98,99.78,99.82,99.89
10338155,---,-30.26,-65.57,-44.21,-51.72,-28.77,14.37,1.03,-21.67
10338156,---,9.44,-53.35,39.36,35.15,-10.27,-65.26,61.79,58.02
10338157,---,-27.66,-20.53,-60.44,-7.53,-47.84,-39.31,-22.01,1.37
10338158,---,30.51,72.69,23.84,23.70,-57.62,51.16,77.13,-12.03
10338159,---,-22.11,30.41,-3.04,-2.41,-78.07,-62.51,-43.78,9.68
10338160,---,95.40,95.48,94.63,96.57,94.39,94.31,93.91,98.43
10338161,---,28.21,-18.84,-10.34,68.42,25.83,54.84,33.15,30.00
10338162,---,70.51,81.49,65.46,75.20,77.29,63.28,66.32,49.98
10338163,---,-56.73,-52.46,-72.24,-39.23,-40.10,-80.20,-44.27,-62.81
10338164,---,98.81,96.65,94.74,99.53,99.60,99.46,99.35,97.62
10338165,---,-7.90,-65.74,-23.18,41.04,-37.32,49.32,-0.53,-2.56
10338166,---,-37.73,-37.81,-10.72,-67.63,-51.23,-60.70,-10.04,-4.59
10338167,---,-25.83,11.81,-11.65,-7.92,-78.83,-8.05,-94.20,-38.79
10338168,---,14.74,0.38,2.82,11.52,-29.73,37.00,60.46,17.83
10338169,---,95.80,56.96,98.92,97.53,97.85,96.42,93.64,97.88
10338170,---,12.04,74.80,39.58,5.03,-0.02,-15.92,-0.66,-37.48
10338171,---,61.58,-4.67,84.62,75.62,56.06,78.58,78.64,-12.21
10338172,---,-18.61,-22.00,40.93,37.86,-71.25,-38.84,-25.06,-35.38
10338173,---,-83.08,-60.39,-67.22,-85.17,-88.04,-98.55,-72.00,-85.98
10338174,---,54.11,42.51,28.53,41.04,73.46,57.49,81.93,47.87
10338175,---,53.76,88.64,23.91,60.44,-8.50,18.82,85.54,1.78
10338176,---,83.08,74.46,90.88,83.86,67.36,90.38,80.95,84.37
10338177,---,37.61,58.22,96.84,20.76,32.46,2.86,49.73,-64.44
10338178,---,8.76,-9.42,14.40,-11.49,-2.72,41.11,38.90,-3.48
10338179,---,30.68,30.91,26.96,23.82,31.32,36.58,32.19,34.32
10338180,---,22.30,19.03,-9.21,53.62,26.66,8.67,20.54,44.30
10338181,---,29.69,39.11,-12.11,-18.26,42.67,-51.54,80.86,83.08
10338182,---,-23.77,-86.43,-66.03,12.06,0.71,68.77,-70.94,4.84
10338183,---,-45.43,-12.80,-60.46,-47.81,-5.54,-48.38,-63.74,-93.70
10338184,---,71.01,-68.15,97.14,95.00,87.70,67.12,62.80,60.40
10338185,---,0.35,55.67,41.62,3.47,-72.03,-31.03,20.30,-5.59
10338186,---,-17.89,-23.57,-55.01,-20.28,21.65,-3.90,-24.32,-17.33
10338187,---,99.19,99.88,99.28,99.04,90.45,99.40,99.52,99.46
10338188,---,84.20,93.29,62.12,82.17,95.62,73.57,88.48,76.46
10338189,---,-18.44,19.44,-9.69,41.73,-23.10,-54.03,-72.13,-14.67
10338190,---,95.23,96.31,93.38,95.60,94.85,94.61,94.71,96.60
10338191,---,-53.43,-55.41,-81.59,-60.65,32.75,-76.65,-56.41,-35.40
10338192,---,38.34,88.80,49.05,-55.49,-3.25,70.42,9.07,59.45
10338193,---,98.98,98.48,98.98,99.28,98.83,98.52,98.90,99.36
10338194,---,-25.22,-21.64,-20.57,-80.84,17.29,-24.86,-9.56,-43.98
10338195,---,46.51,38.55,57.19,44.26,46.09,21.18,18.04,86.35
10338196,---,13.70,11.21,12.59,9.57,15.49,19.66,17.13,11.03
10338197,---,-25.47,-82.78,-48.78,-69.04,42.25,25.71,-2.39,-6.45
10338198,---,87.10,88.04,92.11,92.62,70.23,76.25,94.06,85.94
10338199,---,-19.14,-33.74,-82.76,-5.52,-64.93,-34.62,15.14,68.11
10338200,---,12.01,31.91,21.92,-14.03,-2.64,39.86,-19.89,29.09
10338201,---,12.13,-65.90,-62.01,75.42,77.91,-9.00,51.22,-5.34
10338202,---,54.84,80.70,50.04,61.69,76.33,65.05,34.91,-13.20
10338203,---,85.78,93.34,75.49,96.07,95.73,59.27,80.70,68.41
10338204,---,99.07,97.81,98.66,98.94,96.67,99.38,99.90,99.52
10338205,---,-71.58,-88.05,-87.55,-44.20,-74.96,-62.52,-39.94,-76.87
10338206,---,-18.82,71.24,-45.40,-42.40,-58.13,-30.14,-15.38,-32.66
10338207,---,-25.89,-16.20,-13.77,-20.31,-10.24,-28.31,-91.34,-36.75
10338208,---,27.82,-11.61,20.58,29.42,32.74,40.98,30.51,46.99
10338209,---,94.82,93.46,94.53,95.98,93.36,94.09,93.75,96.51
10338210,---,-19.19,-8.20,-24.01,-2.91,-71.26,-13.74,-6.75,-16.77
10338211,---,56.48,26.41,52.35,-52.87,77.59,78.62,74.29,80.25
10338212,---,-21.38,48.51,-27.64,46.38,-98.11,31.73,-79.62,-41.62
10338213,---,-22.38,-20.62,-49.93,-22.61,-26.65,-12.02,-4.46,-25.98
10338214,---,46.63,71.22,20.08,15.30,18.98,58.35,76.47,43.31
10338215,---,-1.47,-39.71,12.83,-21.42,-34.85,32.22,-14.65,73.07
10338216,---,-82.91,-91.53,-84.31,-90.97,-86.41,-83.42,-67.52,-59.74
10338217,---,61.63,65.35,30.93,71.02,75.73,54.99,33.24,82.20
10338218,---,51.23,27.64,25.24,48.95,98.68,68.99,-33.86,23.23
10338219,---,96.88,96.20,88.97,98.81,99.19,83.98,96.81,98.91
10338220,---,-58.63,-71.12,-95.99,-76.79,54.32,-97.07,-83.23,45.00
10338221,---,69.47,67.69,76.61,70.61,83.52,71.90,47.48,61.84
10338222,---,72.93,9.82,77.43,85.80,93.47,26.80,-30.59,98.63
10338223,---,96.87,95.59,98.05,97.49,95.75,96.40,97.33,97.15
10338224,---,99.16,99.02,98.64,99.09,99.25,99.19,98.83,99.45
10338225,---,25.69,22.13,71.37,40.78,49.59,28.11,-74.91,38.92
10338226,---,-18.77,7.86,-35.71,11.31,-81.38,-1.14,-7.73,-46.08
10338227,---,98.08,86.90,96.28,98.39,95.48,99.23,98.73,99.16
10338228,---,-24.93,-8.94,-10.80,-37.47,-65.60,-16.84,-13.22,-8.75
10338229,---,-47.14,-43.30,-33.75,-98.92,-60.93,-36.37,-30.28,-17.00
10338230,---,67.35,76.91,91.66,75.06,91.41,43.04,3.81,23.64
10338231,---,-56.15,-56.95,-53.37,-53.95,-36.80,-56.34,-78.63,-48.96
10338232,---,-21.58,-10.21,-26.10,-14.42,-30.84,-25.59,-12.28,-36.18
10338233,---,26.60,48.11,52.82,-80.30,45.67,26.88,78.77,-4.03
10338234,---,29.88,60.07,-0.22,28.87,17.66,8.38,61.20,14.47
10338235,---,-69.20,-97.95,-39.57,-78.24,-81.67,-49.85,-44.56,-64.25
10338236,---,-18.77,-89.15,-34.81,-48.78,-10.48,33.27,30.61,13.93
10338237,---,8.11,-62.51,-6.15,-9.33,8.46,70.96,-27.74,66.68
10338238,---,97.60,87.12,94.19,99.21,98.38,98.04,98.91,98.95
10338239,---,96.72,96.61,96.27,96.24,94.69,93.80,99.34,95.35
10338240,---,-38.51,-74.23,-76.87,-56.60,-31.46,-23.86,-53.77,53.04
10338241,---,-39.43,-28.88,-2.21,-25.47,-98.31,-73.44,-36.67,-51.18
10338242,---,-46.88,-39.19,-35.27,-71.62,-80.04,-57.26,-46.15,0.34
10338243,---,96.88,99.85,83.00,21.09,95.54,91.23,99.45,99.66
10338244,---,12.72,11.59,17.04,16.34,22.78,3.32,13.90,7.02
10338245,---,-16.59,-9.67,-5.56,-16.22,-21.22,-26.48,-21.17,-23.05
10338246,---,48.16,59.23,40.58,41.20,-18.43,80.14,-3.34,87.66
10338247,---,38.05,29.76,-1.29,-0.54,-43.13,85.35,-27.80,95.07
10338248,---,-8.95,53.44,-29.16,-34.11,64.62,-71.62,65.11,-92.31
10338249,---,-0.03,-10.14,19.76,11.02,-10.14,6.13,-12.11,-6.94
10338250,---,24.72,15.98,35.63,29.35,52.85,-18.70,0.29,51.67
10338251,---,-48.23,-44.87,-68.72,-9.95,-69.06,-30.26,-54.45,-59.56
10338252,---,7.66,83.67,0.52,-28.04,6.66,29.32,-0.80,-55.05
10338253,---,4.55,1.61,-64.04,68.47,2.17,-11.93,31.96,4.84
10338254,---,-4.70,-1.74,0.46,27.87,-10.90,-3.17,-12.46,-27.08
10338255,---,50.35,29.33,29.73,55.56,-14.67,-8.72,91.09,92.79
10338256,---,-6.55,-67.41,29.32,-13.65,-42.73,-13.82,56.36,18.84
10338257,---,99.26,98.92,99.49,99.63,99.46,99.56,99.86,93.87
10338258,---,99.79,99.47,99.42,99.91,99.98,99.72,99.86,99.79
10338259,---,20.52,87.59,-26.68,-18.70,-3.54,38.24,50.44,-6.13
10338260,---,16.16,35.29,66.36,-47.11,45.61,-31.30,-18.56,57.21
10338261,---,-16.23,-18.45,-29.19,-45.31,2.29,-13.33,-12.88,-5.33
10338262,---,-48.40,-78.00,-45.28,-31.91,-12.18,-31.59,-66.96,-84.98
10338263,---,53.29,34.76,63.69,22.12,54.64,63.20,77.35,43.45
10338264,---,88.91,92.80,54.31,86.54,87.93,83.42,94.81,94.14
10338265,---,99.03,93.42,96.96,99.49,99.62,98.69,99.54,98.65
10338266,---,65.71,4.58,71.90,86.71,-17.70,53.99,92.64,81.18
10338267,---,45.46,-48.21,23.88,-42.60,84.57,1.16,91.59,87.93
10338268,---,-22.72,30.31,-98.85,14.26,52.49,11.49,-79.00,40.40
10338269,---,67.53,38.12,56.23,84.55,37.72,84.95,88.41,31.96
10338270,---,41.12,33.43,29.27,20.73,4.51,32.09,72.72,66.52
10338271,---,-60.94,-82.21,-77.63,-48.26,-62.00,-77.16,-20.46,-46.44
10338272,---,11.91,17.20,33.97,3.92,-18.35,6.09,22.49,18.60
10338273,---,59.74,52.21,-4.77,63.28,73.44,62.97,54.31,71.08
10338274,---,95.15,88.72,92.83,97.00,86.13,98.59,94.92,97.85
10338275,---,-7.87,27.13,36.42,-25.90,-38.89,-11.43,-36.68,-1.38
10338276,---,18.73,39.09,-76.71,35.14,23.84,32.28,40.31,48.31
10338277,---,-71.90,-83.13,-82.07,-71.95,-74.59,-67.06,-74.61,-37.08
10338278,---,96.10,84.98,94.24,95.54,85.53,98.26,98.86,97.00
10338279,---,-21.36,10.62,-11.51,-36.41,-42.99,-44.87,-24.55,0.50
10338280,---,21.43,28.04,45.09,24.43,27.97,5.86,13.95,12.78
10338281,---,99.79,99.76,99.61,99.85,99.94,99.70,99.73,99.97
10338282,---,5.45,-9.15,-26.62,2.95,4.18,23.65,27.87,27.01
10338283,---,44.41,44.98,-0.81,53.69,64.00,28.03,43.96,71.32
10338284,---,29.32,39.10,-32.94,65.88,-18.87,62.98,46.58,26.42
10338285,---,9.92,90.08,-18.46,-48.13,-7.15,-50.42,-26.56,77.04
10338286,---,78.39,57.25,72.73,81.85,71.01,79.14,82.62,91.04
10338287,---,-2.46,-24.45,-48.26,-12.91,-31.35,22.95,41.35,32.63
10338288,---,99.56,94.23,91.39,99.84,99.48,99.68,99.92,99.56
10338289,---,58.02,66.51,6.17,71.41,57.73,59.92,77.75,46.16
10338290,---,61.48,39.02,63.00,62.95,55.50,56.56,80.35,62.91
10338291,---,41.03,-3.53,21.93,59.52,7.75,46.70,61.81,69.86
10338292,---,63.73,61.22,65.70,63.78,71.90,66.19,64.91,51.92
10338293,---,71.35,70.54,22.85,74.63,49.74,58.10,78.06,95.63
10338294,---,19.39,27.09,44.06,50.97,48.46,-38.69,-14.50,6.38
10338295,---,90.42,90.42,94.33,95.64,94.57,83.68,86.87,79.97
10338296,---,-29.50,-1.24,-45.29,-19.82,-26.67,-46.22,-14.84,-56.79
10338297,---,75.36,81.55,-5.47,93.64,85.36,64.64,75.59,75.55
10338298,---,45.12,36.84,45.72,47.18,45.12,43.00,38.71,59.34
10338299,---,24.05,-4.19,-36.00,77.78,-32.63,-9.41,26.11,84.45
10338300,---,53.13,18.85,54.32,-0.50,58.57,76.84,75.44,64.36
10338301,---,44.12,-35.18,87.51,-7.29,80.37,88.08,-6.00,-21.29
10338302,---,82.19,67.31,88.03,62.22,88.68,89.57,74.82,89.89
10338303,---,-16.39,51.63,-18.50,-46.32,-32.51,-18.31,-22.27,-28.27
10338304,---,37.35,-27.66,56.14,38.64,44.39,-10.19,38.94,85.98
10338305,---,-7.85,4.68,61.72,-58.35,-17.97,-74.49,-4.68,52.83
10338306,---,-70.53,-56.37,-90.55,-74.30,-44.47,-71.82,-79.32,-62.18
10338307,---,-10.13,27.65,-6.81,-16.88,23.37,-21.80,-42.05,-32.75
10338308,---,11.27,38.33,-52.36,-5.17,39.34,11.76,25.27,23.49
10338309,---,-28.07,-52.78,-18.28,-53.57,-26.07,-5.50,-47.88,-8.49
10338310,---,-14.94,-37.87,66.90,14.64,21.37,-48.35,-33.76,-70.35
10338311,---,-24.30,-15.92,-30.68,-22.04,1.83,4.08,-56.12,-53.66
10338312,---,4.36,-17.92,38.82,-0.04,4.99,-8.98,-13.80,38.85
10338313,---,7.17,-20.93,-65.42,-59.67,69.37,77.49,32.24,23.77
10338314,---,51.33,34.68,34.54,57.96,74.12,53.75,45.83,54.77
10338315,---,27.97,33.51,50.29,30.90,34.94,19.16,-1.87,9.97
10338316,---,-9.02,-19.56,-0.71,-4.31,-22.01,-6.66,-31.22,15.08
10338317,---,30.12,10.44,-4.33,34.15,17.13,39.93,75.28,23.76
10338318,---,32.60,-1.58,72.37,38.20,64.23,-4.99,59.10,-25.31
10338319,---,-30.30,-55.66,27.70,-81.67,-82.11,5.36,-25.07,50.16
10338320,---,65.19,90.78,10.70,87.64,-3.13,25.27,67.33,75.31
10338321,---,-6.50,59.63,6.40,-66.92,13.60,-26.49,-36.61,9.89
10338322,---,-39.38,-37.77,-82.74,-38.75,-53.33,-49.44,-26.07,43.76
10338323,---,62.27,-49.89,64.32,71.40,81.38,51.97,70.24,89.42
10338324,---,99.46,98.88,98.79,99.75,98.95,99.24,99.78,99.55
10338325,---,90.39,91.49,88.65,95.68,89.54,84.72,87.38,91.72
10338326,---,98.55,98.76,98.58,98.01,98.79,98.37,98.55,98.26
10338327,---,-84.70,-93.07,-82.16,-78.33,-88.77,-80.31,-90.78,-69.08
10338328,---,-42.51,-2.04,-74.41,-84.52,-50.68,-38.09,-28.08,-89.21
10338329,---,-12.77,-40.25,-31.84,-17.24,-25.71,-10.37,-1.19,30.06
10338330,---,4.21,30.55,57.88,-2.61,-18.99,-33.49,-1.79,-11.45
10338331,---,-11.67,-8.92,-4.86,-10.70,-6.69,-8.18,-26.32,-32.87
10338332,---,-6.83,-40.62,-50.20,-8.34,19.30,35.07,-31.30,56.88
10338333,---,-23.39,-82.43,-6.35,-39.75,-49.24,-12.42,-25.17,-8.68
10338334,---,40.18,-39.55,33.94,74.68,38.85,45.21,57.56,48.91
10338335,---,-61.26,-61.06,-92.99,-76.68,-64.96,-58.46,-50.65,-9.88
10338336,---,-20.11,-9.84,7.43,-41.72,-34.09,-9.16,-26.43,-31.45
10338337,---,-3.66,83.51,-80.50,-18.69,12.76,9.63,-27.63,-6.59
10338338,---,-50.52,-65.90,-29.09,-66.59,-55.06,-79.53,-33.68,-26.05
10338339,---,21.75,20.94,30.40,42.38,37.22,11.28,11.94,7.87
10338340,---,17.17,2.15,25.23,15.07,17.89,-30.26,2.84,68.91
10338341,---,51.58,73.75,-36.73,18.07,68.13,71.15,70.08,55.96
10338342,---,-13.92,-16.96,-6.68,-16.10,-49.40,-20.22,21.75,-14.02
10338343,---,40.25,-36.68,12.21,92.02,-45.66,16.38,47.91,91.23
10338344,---,6.71,8.87,10.18,3.15,4.63,-1.23,8.13,14.71
10338345,---,-50.16,-54.69,-87.66,-34.65,-39.09,-51.99,-40.55,-30.27
10338346,---,68.83,-9.04,82.05,80.96,63.41,55.90,83.12,78.36
10338347,---,-75.32,-62.38,-77.84,-75.24,-89.10,-78.42,-81.48,-54.66
10338348,---,-17.47,-35.13,11.37,-24.66,-15.92,-20.65,-37.94,6.28
10338349,---,93.28,94.17,92.93,92.65,88.61,96.54,94.97,92.85
10338350,---,-45.79,-68.50,18.69,-63.15,-18.15,-37.00,-87.92,-39.12
10338351,---,87.15,83.70,88.87,85.73,82.46,67.61,96.42,92.24
10338352,---,-3.84,-28.31,-27.25,-14.64,-27.86,40.65,-5.82,62.27
10338353,---,83.51,87.62,90.27,66.92,87.93,79.41,86.65,76.47
10338354,---,-55.93,-68.38,-56.87,-58.87,-45.87,-64.83,-52.06,-40.46
10338355,---,93.38,91.29,98.71,96.39,93.52,86.34,91.15,88.84
10338356,---,-8.40,-57.10,-47.75,0.72,-3.47,9.40,30.14,19.72
10338357,---,53.37,18.39,-31.95,34.89,91.42,79.49,-30.01,96.84
10338358,---,-23.41,-61.32,48.94,13.28,-52.52,-0.91,-8.29,-82.26
10338359,---,89.64,84.83,94.31,94.43,92.13,79.89,82.62,91.85
10338360,---,-56.58,21.94,-82.10,-65.48,-33.96,14.24,-89.63,-89.13
10338361,---,90.88,90.31,91.92,91.17,89.42,90.80,89.75,92.93
10338362,---,40.32,-11.28,-44.59,-3.40,4.25,63.24,73.79,92.92
10338363,---,41.15,56.93,44.37,76.87,22.96,40.60,0.92,39.56
10338364,---,-11.66,-72.42,-4.01,-13.43,-11.74,-15.16,15.72,29.39
10338365,---,-34.49,-54.05,-92.96,-50.57,-34.11,-0.62,0.25,-21.34
10338366,---,87.18,63.29,85.78,89.32,86.72,91.12,87.87,94.94
10338367,---,-40.31,-86.24,25.85,-24.77,60.42,-72.71,-69.30,-67.47
10338368,---,-74.70,-87.27,-65.33,-47.22,-93.71,-44.72,-75.04,-84.56
10338369,---,-20.71,-69.29,53.13,1.83,-56.32,13.59,-17.86,-43.98
10338370,---,-8.99,-71.93,-66.47,-19.16,47.47,-29.03,70.16,31.06
10338371,---,-36.96,-40.40,-65.62,-34.52,7.38,-4.46,-58.00,-42.08
10338372,---,99.88,99.88,99.61,99.73,99.85,99.94,99.91,100.00
10338373,---,76.32,91.20,68.35,79.81,29.34,90.70,71.16,73.00
10338374,---,-42.73,27.52,-53.38,10.72,-82.16,-58.22,-69.69,-42.76
10338375,---,74.85,36.49,70.59,63.31,64.95,83.78,82.55,94.80
10338376,---,9.02,-41.73,0.00,-15.75,74.97,-1.02,-22.58,60.46
10338377,---,-7.09,4.90,-0.69,-19.19,47.99,-15.44,14.85,-66.13
10338378,---,70.55,60.34,77.58,85.71,38.90,30.55,90.93,63.33
10338379,---,-54.10,-70.02,-76.24,-17.13,-51.46,-44.10,-98.48,-10.01
10338380,---,-85.76,-94.42,-89.00,-77.49,-85.21,-79.18,-75.66,-87.67
10338381,---,44.82,3.95,74.61,91.39,-38.74,40.87,-1.62,49.42
10338382,---,71.46,63.65,8.33,74.21,72.69,86.69,86.62,76.51
