Probeset_ID,Gene Symbol,DC Lu CD103+,Sample_,Sample_,Sample_,Sample_,Sample_
10338107,---,22.22,57.72,42.02,30.54,-20.23,-6.14
10338108,---,-18.31,-25.71,42.08,1.20,-14.17,-87.85
10338109,---,19.32,52.84,-5.15,-45.47,37.67,62.11
10338110,---,-77.05,-34.37,-68.89,-93.11,-73.94,-92.45
10338111,---,26.38,-4.95,14.36,21.95,47.56,53.28
10338112,---,65.07,80.38,62.40,-2.03,82.34,60.05
10338113,---,-15.03,30.97,-79.76,-16.47,-4.13,-4.90
10338114,---,39.28,43.82,-29.97,56.40,45.39,63.46
10338115,---,21.18,50.63,-1.51,21.76,5.63,27.08
10338116,---,-9.22,-5.29,-16.01,9.15,-16.58,-23.32
10338117,---,-39.89,-15.98,-24.12,-25.39,-50.09,-69.98
10338118,---,29.31,23.96,-3.46,-10.20,24.20,78.84
10338119,---,10.41,-22.00,-48.98,53.16,56.08,17.17
10338120,---,-13.23,-22.37,17.31,-9.41,0.25,-47.34
10338121,---,-12.21,-0.34,8.06,-73.98,-37.89,50.74
10338122,---,-21.72,8.76,8.52,-32.20,-66.34,-20.85
10338123,---,31.98,67.03,66.76,69.66,-13.09,-42.80
10338124,---,-23.87,30.14,-7.93,13.91,-85.29,-78.58
10338125,---,-27.65,-19.58,-35.02,-40.70,23.51,-62.22
10338126,---,-29.52,-58.08,-38.76,-29.44,-39.91,-3.77
10338127,---,38.80,22.91,89.63,79.27,-18.13,-43.31
10338128,---,-28.69,-40.15,-31.13,-25.77,-30.89,-15.57
10338129,---,35.16,8.06,18.41,4.15,81.13,30.62
10338130,---,10.43,26.78,-96.51,3.32,29.62,87.30
10338131,---,-23.29,-33.92,-20.88,-17.89,-45.32,-1.29
10338132,---,-25.64,-72.90,36.64,-26.52,-60.92,-17.25
10338133,---,-11.92,50.93,2.14,-69.43,-15.29,-16.32
10338134,---,75.57,40.41,73.84,35.49,78.53,97.55
10338135,---,-4.60,4.81,-13.38,-2.08,-52.35,44.56
10338136,---,-22.85,-21.51,-53.31,41.67,-56.22,-17.63
10338137,---,14.78,33.27,64.17,38.61,-13.88,-57.94
10338138,---,37.61,44.52,33.66,34.53,34.60,40.52
10338139,---,52.10,54.73,89.44,65.51,-7.35,14.29
10338140,---,-2.82,-30.33,-82.49,-35.24,64.38,74.37
10338141,---,-7.33,21.25,6.40,-6.99,-50.62,-16.50
10338142,---,-6.10,-16.21,-1.93,-72.19,86.04,-43.41
10338143,---,-40.10,-50.82,-79.79,-21.30,-24.74,-42.40
10338144,---,-33.29,-43.58,-59.98,-11.28,-41.19,-8.24
10338145,---,-56.78,-50.99,-92.29,-61.64,-15.00,-35.11
10338146,---,-56.16,-63.77,-78.40,-14.35,-85.18,-21.81
10338147,---,26.83,27.51,24.15,14.20,19.25,53.30
10338148,---,-32.98,-35.20,-75.59,-81.87,39.17,14.24
10338149,---,0.00,-17.33,-42.25,-16.20,50.55,32.33
10338150,---,85.47,87.87,84.45,71.45,89.37,91.30
10338151,---,44.39,77.68,-13.20,-10.81,85.91,46.82
10338152,---,97.47,93.86,92.62,36.91,99.69,99.97
10338153,---,-5.12,59.34,-6.94,3.14,-96.91,48.00
10338154,---,30.74,21.85,20.31,-55.13,95.76,50.83
10338155,---,15.68,35.75,38.64,8.58,9.29,-10.65
10338156,---,5.05,-35.53,-18.59,-13.68,-4.18,76.36
10338157,---,-25.53,-11.40,-46.69,-60.09,3.43,-15.94
10338158,---,-1.44,-39.27,13.15,-62.55,0.32,81.81
10338159,---,7.89,24.35,-34.56,-21.09,-12.44,77.45
10338160,---,79.19,85.48,78.46,51.19,88.34,82.29
10338161,---,8.28,21.75,20.52,-35.06,20.46,13.46
10338162,---,-51.31,-48.67,-76.15,-83.26,11.80,-35.61
10338163,---,-33.54,-21.10,-52.85,-26.97,-56.35,-11.42
10338164,---,1.69,35.49,-38.53,-30.17,23.18,29.19
10338165,---,-70.79,-79.72,-72.48,-95.13,-26.12,-65.52
10338166,---,42.57,63.44,36.15,59.83,16.22,31.32
10338167,---,-60.92,-72.26,-82.53,-50.94,-86.07,-16.94
10338168,---,22.06,74.92,26.20,-32.43,7.76,27.17
10338169,---,-40.41,4.13,-20.90,-69.01,-66.51,-42.77
10338170,---,36.01,64.66,45.56,13.67,-13.96,56.18
10338171,---,59.32,82.99,-13.37,-31.91,24.78,96.52
10338172,---,71.89,69.72,93.59,38.94,63.27,66.43
10338173,---,-76.23,-64.70,-71.17,-82.71,-75.15,-83.98
10338174,---,9.82,2.11,-25.77,-25.69,48.38,44.81
10338175,---,-11.33,-66.30,-53.97,64.53,-0.41,-14.32
10338176,---,68.96,71.78,65.19,43.70,84.11,74.99
10338177,---,-0.52,-54.46,-10.07,-81.65,73.97,72.10
10338178,---,-17.05,-28.79,-58.67,-15.30,-15.38,40.52
10338179,---,23.71,25.30,11.96,6.00,56.84,44.62
10338180,---,54.90,55.30,42.82,30.35,66.63,76.55
10338181,---,-50.17,-34.21,17.67,-57.30,-89.62,-71.15
10338182,---,-45.30,-11.52,-77.26,-71.75,3.31,-57.15
10338183,---,-46.46,-33.43,-95.49,-19.81,-52.34,-33.16
10338184,---,21.80,31.03,-37.53,-34.39,70.08,64.17
10338185,---,-5.45,-34.03,-24.63,-63.93,38.34,59.02
10338186,---,-5.78,-19.77,-48.52,-24.11,36.89,46.47
10338187,---,18.52,40.28,68.46,24.00,21.63,-64.46
10338188,---,-17.64,-55.48,-1.47,-45.21,41.43,-20.48
10338189,---,43.65,28.03,44.90,26.55,80.16,3.61
10338190,---,67.34,81.47,-6.46,8.70,85.40,84.07
10338191,---,43.04,-9.77,84.93,59.60,41.70,-2.18
10338192,---,0.06,27.22,-44.38,-72.18,56.57,37.93
10338193,---,86.36,88.52,80.04,63.03,94.13,92.58
10338194,---,-82.89,-89.26,-90.71,-96.98,-21.69,-87.18
10338195,---,10.41,38.78,0.89,-17.34,18.39,9.04
10338196,---,11.80,8.00,7.41,18.48,20.69,8.00
10338197,---,-12.30,-73.62,79.94,-59.16,33.74,-30.57
10338198,---,63.83,73.82,44.33,23.47,87.05,74.25
10338199,---,-8.85,-18.55,3.43,-87.10,11.07,52.24
10338200,---,-77.83,-72.45,-77.65,-86.43,-81.94,-65.65
10338201,---,-64.61,-33.88,-88.75,-95.05,29.99,-65.54
10338202,---,51.92,76.59,58.51,-3.59,28.70,76.48
10338203,---,66.48,13.80,58.09,84.78,55.79,92.38
10338204,---,91.60,92.25,89.71,31.89,96.12,98.01
10338205,---,-75.43,-57.45,-57.63,-76.73,-83.73,-86.37
10338206,---,-10.13,-30.10,-17.64,-34.42,-14.70,56.91
10338207,---,-52.06,-88.67,-40.21,-35.77,-47.71,-50.97
10338208,---,-4.08,-8.12,-0.86,-89.64,46.36,62.02
10338209,---,62.16,70.74,54.02,7.27,81.40,66.33
10338210,---,33.52,2.90,89.23,51.43,-10.32,-8.27
10338211,---,-51.46,-57.95,-54.73,-97.59,27.97,-0.08
10338212,---,-31.25,-52.07,-60.19,-19.38,-6.64,-22.26
10338213,---,-5.83,15.05,-1.29,-38.52,-4.56,2.26
10338214,---,37.44,4.51,69.63,50.48,46.13,-0.25
10338215,---,-33.92,-38.49,-48.63,-23.95,-15.22,-43.56
10338216,---,-73.40,-68.41,-49.26,-47.21,-71.81,-97.31
10338217,---,66.34,70.03,70.63,34.34,84.26,59.09
10338218,---,7.87,-46.22,-43.38,61.33,68.87,-11.13
10338219,---,-49.10,-80.74,-75.33,-46.50,-70.85,55.09
10338220,---,-77.02,-78.65,-77.95,-89.00,-77.14,-58.77
10338221,---,30.93,5.84,22.39,30.04,44.83,58.68
10338222,---,-65.70,-90.00,-30.15,-92.59,-49.65,-41.56
10338223,---,87.34,90.63,81.07,67.08,92.43,93.11
10338224,---,53.53,72.12,12.32,-34.12,86.35,74.26
10338225,---,-59.92,-32.96,-83.75,-97.47,-48.76,24.72
10338226,---,-31.01,4.62,-89.03,-88.53,-24.76,33.37
10338227,---,43.51,31.74,-16.52,92.78,45.40,12.20
10338228,---,26.96,67.02,29.08,6.41,10.95,15.44
10338229,---,-37.43,-12.56,-15.16,-61.16,-51.83,-70.86
10338230,---,-28.77,-83.58,-51.11,-39.48,-33.13,59.05
10338231,---,-29.06,-36.65,-41.37,-9.25,-57.13,8.44
10338232,---,21.98,79.69,71.57,54.90,-58.70,-45.51
10338233,---,-12.59,-75.37,16.32,-52.91,41.88,21.46
10338234,---,-6.65,-22.88,-32.12,-28.07,-41.77,84.52
10338235,---,-46.22,-17.00,-30.32,-28.76,-77.30,-82.65
10338236,---,-58.69,-29.41,-81.78,-40.53,-30.58,-92.76
10338237,---,20.58,10.08,-2.26,89.50,32.01,-71.48
10338238,---,7.03,58.14,-6.72,-31.33,47.58,-20.09
10338239,---,72.56,61.49,44.74,78.90,74.07,87.13
10338240,---,-38.69,-58.76,-15.93,-98.52,20.30,14.12
10338241,---,-29.36,-36.65,-20.29,-3.16,-52.28,-53.14
10338242,---,-59.90,-54.78,-71.67,-74.99,-55.56,-42.46
10338243,---,32.28,77.16,84.44,33.32,-44.77,-20.99
10338244,---,39.78,58.69,51.22,57.23,3.24,37.96
10338245,---,-31.30,-68.33,-57.80,-0.94,-64.33,-23.57
10338246,---,53.02,31.71,85.65,46.65,62.94,16.22
10338247,---,30.03,29.85,-12.94,9.12,68.22,42.47
10338248,---,-43.28,-36.37,-96.86,-61.40,39.35,-54.19
10338249,---,64.12,77.78,80.60,40.71,8.59,81.51
10338250,---,-50.22,-46.85,-99.42,-65.26,24.50,-10.46
10338251,---,-41.55,-28.62,-41.73,-75.97,-32.26,-27.71
10338252,---,-44.68,-97.36,-69.17,-56.14,-10.08,20.56
10338253,---,58.09,70.21,77.23,24.48,65.47,41.19
10338254,---,-15.84,-30.06,-28.66,-28.51,-21.16,34.58
10338255,---,21.17,6.21,-47.63,-81.14,77.53,92.39
10338256,---,11.24,47.52,-51.24,31.96,29.58,3.65
10338257,---,61.07,45.06,36.36,41.44,79.99,86.43
10338258,---,64.50,71.28,56.76,47.99,82.66,53.79
10338259,---,-7.41,-15.14,-6.48,19.29,-16.27,-9.42
10338260,---,-21.45,-3.46,-41.44,-40.34,-45.61,28.46
10338261,---,-28.82,-30.15,-49.73,-36.76,-49.40,24.49
10338262,---,-52.24,-81.50,-84.94,-46.76,-54.19,-8.45
10338263,---,-3.03,20.05,-21.92,-22.37,-9.70,23.04
10338264,---,-46.14,-74.71,31.11,-43.76,-41.98,-89.65
10338265,---,4.09,59.24,-32.63,-13.98,-4.39,24.09
10338266,---,-65.65,-1.16,-24.84,-96.45,-62.70,-94.83
10338267,---,-16.00,-38.84,-8.22,37.38,-42.73,-20.98
10338268,---,-46.37,-25.84,36.95,-5.04,-89.31,-87.64
10338269,---,-67.14,-49.95,-83.58,-53.81,-85.78,-50.98
10338270,---,45.73,81.85,-14.58,36.11,67.31,27.58
10338271,---,-40.41,-69.47,-66.08,-89.52,10.12,58.23
10338272,---,81.23,91.96,83.85,69.02,69.40,81.60
10338273,---,-28.18,17.18,-49.63,-37.54,-12.76,-54.49
10338274,---,-42.97,-24.10,-48.58,-28.64,-18.90,-77.61
10338275,---,40.08,-7.64,60.61,51.58,32.75,56.51
10338276,---,-8.76,-0.12,31.27,-41.61,-7.99,-25.26
10338277,---,-77.73,-81.44,-83.21,-35.56,-79.08,-88.94
10338278,---,60.69,65.42,81.39,84.11,69.24,-37.52
10338279,---,24.75,-9.05,45.01,-2.96,13.02,65.50
10338280,---,0.19,-27.87,-25.73,-16.57,30.09,9.70
10338281,---,22.13,37.95,-16.96,-50.75,60.74,69.78
10338282,---,-20.81,-11.69,-9.31,-26.74,-23.96,-33.89
10338283,---,-39.15,11.08,-32.81,-7.58,-76.88,-64.96
10338284,---,0.91,-23.55,-47.83,93.25,-6.87,-52.88
10338285,---,22.07,-2.17,69.71,55.56,-31.27,-2.89
10338286,---,16.50,7.51,10.14,-22.45,32.20,59.90
10338287,---,-10.28,-35.86,-76.64,-31.45,31.54,67.92
10338288,---,50.24,43.11,-33.84,85.86,25.12,81.61
10338289,---,41.33,16.76,-2.79,46.42,52.24,76.28
10338290,---,54.86,16.20,38.84,57.85,68.75,71.24
10338291,---,-13.10,-59.86,-51.45,-33.89,55.12,36.81
10338292,---,-57.39,-50.44,-61.52,-55.97,-42.74,-72.69
10338293,---,-14.77,-4.94,-83.38,8.52,-3.15,32.96
10338294,---,53.87,51.93,68.29,45.25,32.72,66.71
10338295,---,76.34,61.85,63.95,77.04,82.29,88.90
10338296,---,-46.06,38.75,-50.50,-58.05,-54.12,-93.89
10338297,---,-3.93,5.77,-1.93,45.86,-3.70,-56.29
10338298,---,33.59,55.69,40.27,35.25,19.33,20.97
10338299,---,71.51,24.55,90.95,90.03,40.37,56.10
10338300,---,32.15,62.93,37.36,-5.52,50.42,9.19
10338301,---,-25.59,-21.38,-33.20,19.34,-13.23,-73.36
10338302,---,-42.05,-38.36,8.73,-88.20,-6.03,-64.11
10338303,---,-20.75,-35.67,-36.39,-58.10,6.98,14.17
10338304,---,-49.92,-44.96,-95.54,8.79,-57.79,-25.01
10338305,---,21.74,72.63,22.58,-17.01,15.77,-0.68
10338306,---,-77.94,-71.99,-60.54,-88.06,-61.56,-94.23
10338307,---,5.61,35.05,-19.13,-0.25,-2.38,28.74
10338308,---,-49.78,-37.44,-50.35,-51.37,-40.05,-66.52
10338309,---,-59.23,-76.44,-98.80,-73.64,7.54,-44.19
10338310,---,16.63,-2.68,-5.19,-27.24,7.22,79.66
10338311,---,59.88,51.17,72.87,86.77,23.64,46.41
10338312,---,-57.02,-57.26,-46.28,-50.03,-46.46,-79.35
10338313,---,-40.54,-24.15,-77.49,-50.25,-50.39,-5.00
10338314,---,40.39,58.73,37.17,20.93,34.05,45.16
10338315,---,-9.76,-18.87,-30.55,-5.32,-14.28,25.09
10338316,---,16.12,9.23,43.17,50.93,-11.43,-3.54
10338317,---,79.53,82.54,75.42,87.50,69.77,79.61
10338318,---,-38.34,-52.18,-29.08,-26.77,-17.14,-61.61
10338319,---,-41.84,-91.51,51.68,-42.81,-74.99,12.39
10338320,---,-17.46,33.45,-40.81,-6.68,14.26,-68.41
10338321,---,-1.97,-14.26,-27.46,-69.98,23.87,76.16
10338322,---,-71.91,-24.55,-57.27,-61.80,-80.24,-95.25
10338323,---,-8.59,-39.89,-30.34,82.30,-78.49,24.33
10338324,---,83.12,71.77,70.95,-32.71,98.50,95.83
10338325,---,-18.86,-52.56,-84.39,-80.70,34.02,93.47
10338326,---,-6.52,-27.07,-21.07,-61.05,57.86,30.54
10338327,---,-94.92,-94.04,-98.75,-81.31,-94.54,-94.86
10338328,---,-26.76,-72.13,-44.50,-2.56,-59.16,-10.99
10338329,---,-57.07,-30.75,-79.30,-89.39,-72.61,-17.96
10338330,---,45.76,38.95,71.72,-8.89,34.94,81.93
10338331,---,-37.44,-45.49,-29.21,-17.10,-31.86,-70.96
10338332,---,-66.17,-81.31,-54.61,-61.92,-69.12,-59.78
10338333,---,-49.45,-21.43,-21.99,-55.66,-57.13,-91.82
10338334,---,-15.23,-53.27,-18.25,-0.38,-3.28,2.70
10338335,---,-18.24,-56.66,-22.75,-33.63,-27.08,49.43
10338336,---,-17.56,18.70,-33.75,-46.60,-25.55,-2.76
10338337,---,15.28,-1.92,38.33,77.50,3.73,-57.44
10338338,---,-62.27,-44.52,-65.38,-67.33,-64.27,-71.26
10338339,---,17.24,34.01,3.12,66.55,5.85,2.15
10338340,---,-28.75,-33.04,-49.16,-81.33,58.06,-10.42
10338341,---,45.82,67.63,51.51,24.05,44.57,32.62
10338342,---,25.22,2.95,33.89,25.80,-1.27,53.27
10338343,---,40.98,-9.93,15.95,-18.23,-14.81,98.59
10338344,---,16.80,18.98,10.89,22.40,21.72,11.30
10338345,---,-48.66,-93.72,-79.37,-30.05,-47.67,43.86
10338346,---,-26.19,45.33,21.67,-11.12,-92.58,-39.98
10338347,---,-51.98,-17.00,-5.06,-59.57,-75.36,-91.51
10338348,---,-26.64,-38.99,-23.61,7.40,-66.82,10.61
10338349,---,69.46,65.45,74.41,29.78,71.51,90.38
10338350,---,-24.73,-41.16,-26.44,-16.58,-12.62,-27.89
10338351,---,23.45,60.70,4.18,5.23,-5.05,44.67
10338352,---,-44.02,-52.25,-20.65,69.93,-90.14,-89.20
10338353,---,-5.66,20.35,-3.43,-33.23,-21.45,13.69
10338354,---,-53.06,-32.91,-66.70,-47.29,-51.64,-62.48
10338355,---,22.61,20.26,17.20,-65.38,63.76,81.51
10338356,---,61.25,82.20,82.96,23.35,15.84,67.18
10338357,---,-22.92,53.80,-29.83,-67.00,-41.27,-36.72
10338358,---,44.28,-2.34,34.44,45.06,52.31,72.84
10338359,---,-24.76,-8.72,24.77,-57.29,-43.61,-29.66
10338360,---,-52.45,-46.64,-34.08,-87.13,-33.05,-41.61
10338361,---,60.21,63.01,27.00,29.92,84.93,78.27
10338362,---,-37.36,-80.41,-0.86,-1.54,-30.96,-75.75
10338363,---,-36.51,11.52,-44.76,-87.82,-30.38,15.23
10338364,---,-40.44,-1.06,-67.78,-57.12,-21.78,-55.52
10338365,---,-71.13,-40.31,-67.89,-95.96,-63.63,-91.36
10338366,---,-30.17,-6.62,-75.44,-58.24,16.48,9.39
10338367,---,-51.02,-58.76,-42.28,-15.26,0.47,-94.89
10338368,---,-81.76,-80.79,-71.73,-97.70,-81.05,-50.73
10338369,---,-70.97,-48.00,-80.49,-89.79,-79.44,-33.05
10338370,---,36.49,10.28,80.62,4.29,4.88,45.10
10338371,---,-59.26,-52.17,-47.88,-39.23,-49.20,-84.11
10338372,---,83.57,69.28,39.39,49.42,98.81,89.52
10338373,---,1.98,18.82,-24.40,-21.14,-3.84,48.27
10338374,---,38.94,66.86,81.62,53.74,-15.53,-27.08
10338375,---,10.81,5.99,16.25,9.58,14.25,6.93
10338376,---,-42.99,-51.77,-61.27,-45.52,-34.22,-18.82
10338377,---,-6.85,11.92,-58.78,-36.22,-9.37,67.74
10338378,---,-25.50,45.22,-39.71,-51.15,18.71,-79.35
10338379,---,-65.93,-92.38,-58.18,-34.29,-75.14,-64.15
10338380,---,-92.77,-83.00,-91.62,-90.35,-93.93,-98.18
10338381,---,-66.04,-54.35,-91.74,-71.28,-80.26,-32.83
10338382,---,-85.17,-74.71,-96.65,-99.74,-63.88,-28.30
10338383,---,34.88,65.52,47.81,47.49,-21.64,28.43
10338384,---,-18.81,-31.87,-23.45,-45.48,-40.56,51.06
10338385,---,42.38,31.01,30.74,15.09,62.32,71.08
10338386,---,-40.99,-43.62,-88.80,13.01,-72.00,-22.08
10338387,---,-60.57,-52.56,-48.77,-82.53,-31.65,-77.29
10338388,---,65.37,79.11,58.78,13.33,71.71,75.64
10338389,---,-83.13,-70.14,-88.19,-94.65,-74.74,-65.83
10338390,---,-61.44,-48.10,-32.55,-48.93,-92.66,-55.56
10338391,---,-10.85,-58.69,-63.72,-34.85,78.50,25.33
10338392,---,21.90,60.70,74.82,-53.06,65.76,-61.54
10338393,---,77.63,75.85,52.28,58.36,88.53,90.99
10338394,---,29.33,58.27,37.68,22.27,33.75,0.41
10338395,---,55.44,31.47,42.30,16.33,68.56,87.35
10338396,---,-18.49,-26.95,-37.72,-33.72,-0.08,11.05
10338397,---,41.05,77.77,-75.00,73.60,67.05,20.87
10338398,---,-15.80,25.97,-32.39,-40.19,-19.01,-12.57
10338399,---,2.95,3.74,-21.09,6.08,16.77,-12.95
10338400,---,4.08,37.36,14.12,18.81,-14.23,-15.14
10338401,---,-48.16,-91.34,-58.71,-50.31,-25.41,-16.59
10338402,---,-3.63,0.14,-22.17,-3.79,-6.23,17.24
10338403,---,13.82,10.54,39.15,-12.58,-6.53,48.11
10338404,---,49.33,45.10,61.55,56.49,45.77,34.38
10338405,---,-31.11,-35.79,-53.55,-17.67,-40.71,-11.24
10338406,---,-0.67,66.84,-35.62,-25.08,22.95,-30.17
10338407,---,48.90,56.57,84.47,63.74,45.63,-38.87
10338408,---,39.41,56.83,72.03,56.96,-38.78,31.01
10338409,---,-28.38,57.42,4.50,-74.57,-89.63,29.70
10338410,---,14.03,6.24,-16.57,62.77,-17.41,31.92
10338411,---,49.08,66.19,44.10,24.61,50.44,61.99
10338412,---,96.11,99.01,95.56,73.82,97.98,97.02
10338413,---,-56.16,-35.29,-65.27,-91.62,-9.30,-46.91
10338414,---,34.27,27.85,4.35,-33.43,83.03,61.30
10338415,---,-26.28,-8.51,-44.87,-64.09,53.46,-60.82
10338416,---,-44.60,-47.00,-19.59,-65.43,-37.34,-49.02
10338417,---,14.04,17.10,-5.96,-52.68,39.95,64.29
10338418,---,-63.98,-83.09,-83.77,-45.17,-66.89,-38.80
10338419,---,-49.61,-15.83,-65.40,-93.35,-13.26,-8.53
10338420,---,5.08,15.10,-14.60,-46.45,4.42,65.92
10338421,---,12.92,10.38,-14.44,31.62,-2.16,43.54
10338422,---,37.46,79.70,33.76,33.62,15.89,-1.54
10338423,---,-16.41,24.66,11.80,-99.77,49.74,9.37
10338424,---,38.09,55.00,56.40,61.52,7.58,10.22
10338425,---,-17.80,-22.85,-9.31,-60.51,0.08,4.90
10338426,---,10.95,-55.59,-55.71,-17.80,82.36,74.40
10338427,---,-41.30,3.14,-98.34,-78.10,32.45,52.62
10338428,---,-29.03,-4.21,-79.15,-15.00,-35.00,-21.73
10338429,---,33.43,39.64,21.03,-56.68,65.80,71.42
10338430,---,-24.67,-5.09,-63.05,-80.16,-14.94,17.22
10338431,---,40.88,24.41,-1.89,-19.23,69.44,92.37
10338432,---,-64.49,-69.95,-65.65,-79.97,-50.67,-47.36
10338433,---,70.34,61.39,82.87,94.03,36.87,58.16
10338434,---,39.33,57.85,62.74,75.08,0.30,-1.98
10338435,---,-16.46,-90.41,-55.14,26.06,-12.93,-3.98
10338436,---,-67.15,-97.35,-18.61,-89.08,-51.93,-84.26
10338437,---,37.21,73.27,56.15,59.53,28.16,-32.90
10338438,---,-27.83,-15.95,-74.62,65.73,-63.97,-46.41
10338439,---,53.45,93.14,45.95,39.43,-66.15,81.07
10338440,---,-7.76,-74.14,6.56,66.38,13.53,-34.20
10338441,---,20.61,13.37,-35.59,22.55,36.66,56.23
10338442,---,-21.57,-36.06,-18.97,-13.55,-28.20,-18.44
10338443,---,-74.27,-97.83,-77.05,-71.30,-53.16,-39.23
10338444,---,-21.62,-36.80,-34.77,-28.86,-39.31,13.61
10338445,---,18.22,31.65,-49.54,52.88,73.93,-27.62
10338446,---,36.49,71.92,15.34,46.08,26.99,22.85
10338447,---,-55.61,-38.19,-89.25,-45.16,-8.58,-59.87
10338448,---,-16.38,-21.57,-1.48,-6.59,41.85,-80.84
10338449,---,37.89,52.66,60.41,31.27,-28.45,61.68
10338450,---,-2.28,90.54,13.25,-18.85,-17.58,-89.88
10338451,---,-12.78,-58.68,-50.39,-55.67,26.73,57.04
10338452,---,-26.67,-21.08,-89.34,-95.69,2.76,52.57
10338453,---,56.24,69.68,63.18,71.07,19.74,46.41
10338454,---,-20.96,14.44,-2.41,-65.15,-16.16,-43.96
10338455,---,-49.52,-51.38,-58.07,-82.97,23.51,-61.75
10338456,---,34.22,0.64,11.72,28.78,23.46,81.22
10338457,---,-23.96,-21.08,-52.18,36.87,-38.72,-38.56
10338458,---,-19.34,1.53,9.32,-54.51,-2.35,-50.55
10338459,---,-16.79,-28.74,-45.70,-97.84,32.05,63.38
10338460,---,42.11,28.54,20.46,29.14,56.51,77.54
10338461,---,91.51,95.30,96.97,95.71,81.80,67.88
10338462,---,-64.16,-46.34,-72.63,-44.60,-65.67,-90.94
10338463,---,-5.70,19.64,1.04,-29.44,-17.18,-21.68
10338464,---,-19.78,-11.12,-58.22,28.30,-68.63,30.27
