Probeset_ID,Gene Symbol,DCLuLN CD11b+,Sample_,Sample_,Sample_
10338251,---,-2.68,16.88,-11.61,-6.93
10338252,---,-44.84,-36.38,-69.08,-30.77
10338253,---,53.48,60.36,23.62,69.85
10338254,---,56.36,71.80,38.76,49.90
10338255,---,90.44,97.45,76.28,88.69
10338256,---,65.86,78.48,51.17,61.78
10338257,---,72.88,81.14,79.55,53.45
10338258,---,64.38,78.60,75.00,27.63
10338259,---,-3.56,21.34,4.98,-25.45
10338260,---,58.00,62.76,56.92,53.15
10338261,---,-1.76,8.56,-11.40,1.34
10338262,---,-63.40,-68.03,-74.03,-49.46
10338263,---,6.12,44.44,8.00,-32.34
10338264,---,-62.71,-28.36,-48.36,-96.34
10338265,---,9.70,49.96,27.38,-41.12
10338266,---,-5.57,31.50,-10.74,-28.72
10338267,---,-27.59,14.67,-25.17,-64.30
10338268,---,6.22,49.71,-67.43,43.75
10338269,---,58.78,-15.12,72.38,85.57
10338270,---,36.11,12.95,64.24,20.63
10338271,---,3.89,70.75,-34.11,-32.63
10338272,---,6.44,20.59,-0.08,2.00
10338273,---,-39.63,-44.50,-34.00,-40.55
10338274,---,-32.32,4.54,-43.25,-54.97
10338275,---,-42.30,-42.04,-66.43,-17.23
10338276,---,30.29,39.48,48.60,-0.99
10338277,---,-62.36,-58.89,-39.34,-80.29
10338278,---,-3.96,-8.55,-5.53,2.68
10338279,---,40.37,18.96,30.24,66.03
10338280,---,73.50,74.95,78.68,66.39
10338281,---,73.67,88.41,74.21,45.34
10338282,---,33.24,21.76,33.61,41.97
10338283,---,-49.38,-23.08,-44.42,-73.23
10338284,---,-24.01,-43.24,-53.92,23.61
10338285,---,45.33,38.12,40.47,57.25
10338286,---,-11.52,-8.50,3.87,-32.10
10338287,---,52.23,77.68,3.83,62.70
10338288,---,-8.78,-4.53,21.88,-40.22
10338289,---,56.55,42.14,54.52,69.75
10338290,---,62.31,60.06,69.58,55.41
10338291,---,16.82,47.20,15.00,-10.50
10338292,---,-20.86,-4.90,-18.63,-41.93
10338293,---,-9.66,-5.68,10.47,-30.91
10338294,---,43.05,45.38,-5.19,72.30
10338295,---,62.82,64.64,58.79,65.56
10338296,---,-15.00,-51.72,41.72,-26.40
10338297,---,-13.44,-25.53,-39.54,31.91
10338298,---,20.97,23.89,20.86,18.40
10338299,---,-22.36,-15.77,-14.96,-37.72
10338300,---,27.26,-37.08,74.28,28.57
10338301,---,-6.48,52.37,35.79,-82.99
10338302,---,52.28,67.91,35.22,50.07
10338303,---,72.69,70.42,61.82,83.30
10338304,---,-10.94,19.09,-88.05,53.79
10338305,---,22.79,4.34,-8.72,63.95
10338306,---,-68.66,-46.25,-52.11,-92.01
10338307,---,11.16,32.74,-0.78,-1.00
10338308,---,28.67,50.95,-8.16,40.12
10338309,---,-53.92,-85.30,-9.03,-74.57
10338310,---,46.90,49.69,21.56,61.89
10338311,---,34.97,-23.60,13.51,87.53
10338312,---,40.93,46.24,38.64,38.43
10338313,---,63.14,78.30,68.03,31.57
10338314,---,49.09,74.72,49.58,14.06
10338315,---,-9.31,-5.64,-14.87,-7.41
10338316,---,22.46,18.63,2.35,46.56
10338317,---,78.57,74.16,82.13,79.31
10338318,---,46.05,35.96,30.74,65.80
10338319,---,14.06,57.51,13.65,-34.60
10338320,---,-60.23,-87.48,-59.26,-17.34
10338321,---,49.05,64.37,39.44,42.53
10338322,---,-68.14,-53.10,-69.43,-78.45
10338323,---,38.75,-15.76,65.30,55.57
10338324,---,88.63,83.72,91.21,90.00
10338325,---,45.20,46.62,46.47,42.74
10338326,---,67.54,79.74,79.35,25.26
10338327,---,-96.21,-96.46,-97.40,-93.54
10338328,---,-24.06,6.50,-44.19,-82.26
10338329,---,-46.01,-19.96,-49.21,-75.84
10338330,---,43.18,37.40,38.62,52.88
10338331,---,-57.61,-65.84,-59.49,-48.58
10338332,---,-74.34,-40.90,-92.25,-82.34
10338333,---,-66.60,-92.07,-52.37,-43.45
10338334,---,54.38,71.02,53.90,27.21
10338335,---,80.04,90.77,65.10,79.89
10338336,---,-35.90,-19.69,-33.09,-55.89
10338337,---,-21.26,-24.96,-23.00,-16.18
10338338,---,16.08,38.54,74.10,-65.11
10338339,---,14.64,1.79,29.78,20.60
10338340,---,43.46,58.53,38.85,29.04
10338341,---,36.11,-54.47,62.82,75.92
10338342,---,50.67,84.15,-16.59,58.88
10338343,---,9.82,40.86,36.99,-29.78
10338344,---,40.23,50.96,32.46,38.79
10338345,---,9.18,62.22,-47.58,12.07
10338346,---,-32.25,-32.22,-39.00,-25.13
10338347,---,-83.17,-80.98,-78.17,-89.43
10338348,---,-47.62,-56.43,-28.74,-55.56
10338349,---,95.45,98.86,95.68,87.85
10338350,---,-24.78,-8.02,-32.82,-34.26
10338351,---,69.47,82.25,54.49,66.26
10338352,---,-68.98,-77.70,-53.77,-72.14
10338353,---,75.89,76.54,76.65,74.96
10338354,---,-30.88,-26.14,-2.19,-57.45
10338355,---,56.26,74.84,28.75,62.79
10338356,---,46.71,59.91,18.79,57.75
10338357,---,17.35,42.90,-4.93,13.39
10338358,---,-12.16,-34.29,-26.22,30.17
10338359,---,39.40,65.14,36.43,12.24
10338360,---,1.82,-1.16,-35.93,43.00
10338361,---,77.82,79.96,81.34,71.54
10338362,---,-22.10,-34.69,-54.23,24.43
10338363,---,42.72,49.15,56.23,21.41
10338364,---,-64.44,-41.52,-50.66,-88.74
10338365,---,-73.05,-77.62,-70.73,-71.89
10338366,---,63.83,76.60,66.01,44.70
10338367,---,65.39,73.05,76.69,35.28
10338368,---,-42.87,-56.12,-9.37,-63.63
10338369,---,27.73,51.39,41.62,-16.15
10338370,---,-2.62,41.83,-24.67,-20.60
10338371,---,-57.64,-64.47,-62.79,-40.96
10338372,---,90.00,84.16,93.66,90.86
10338373,---,63.77,35.94,65.00,79.88
10338374,---,-8.55,-6.80,3.12,-21.53
10338375,---,-2.19,28.55,-9.74,-24.36
10338376,---,41.92,59.85,21.98,39.91
10338377,---,32.76,77.91,10.59,-14.47
10338378,---,9.98,39.89,-39.26,36.64
10338379,---,-82.28,-55.45,-93.13,-89.99
10338380,---,-95.95,-94.49,-94.81,-97.81
10338381,---,-29.81,-0.06,-21.14,-91.13
10338382,---,39.46,50.11,46.55,17.17
10338383,---,53.73,73.84,64.21,21.17
10338384,---,-16.04,-42.22,8.90,-12.26
10338385,---,84.93,91.09,73.71,86.32
10338386,---,-27.68,-19.75,-42.40,-22.94
10338387,---,-34.33,-33.93,-5.64,-62.97
10338388,---,62.77,64.45,52.09,68.90
10338389,---,-26.55,-74.58,39.84,-36.97
10338390,---,40.96,83.96,1.67,5.37
10338391,---,53.70,55.67,54.00,51.39
10338392,---,60.08,87.00,65.33,9.59
10338393,---,78.68,86.49,76.74,70.67
10338394,---,13.78,39.81,2.90,4.48
10338395,---,-26.88,-42.06,-13.07,-23.04
10338396,---,-12.38,-12.60,-14.66,-9.61
10338397,---,57.87,73.26,92.70,-46.02
10338398,---,2.26,6.32,-8.55,9.05
10338399,---,76.69,84.79,68.19,75.94
10338400,---,-25.60,-40.87,-34.73,-7.99
10338401,---,57.47,79.41,63.18,-1.18
10338402,---,-31.80,-23.70,2.12,-75.48
10338403,---,-5.89,33.06,-5.55,-37.12
10338404,---,-3.84,-38.43,22.63,17.22
10338405,---,37.90,69.11,-22.48,57.48
10338406,---,4.88,-6.36,39.79,-15.73
10338407,---,73.37,80.35,62.14,75.40
10338408,---,30.00,-9.98,69.51,19.67
10338409,---,28.48,21.87,-3.44,60.57
10338410,---,3.76,17.17,-9.37,5.00
10338411,---,74.60,77.32,66.58,78.79
10338412,---,68.50,0.32,79.10,88.10
10338413,---,26.88,26.88,31.05,21.94
10338414,---,60.23,71.27,59.71,47.73
10338415,---,-28.22,12.57,-8.23,-74.97
10338416,---,-33.20,-25.85,-27.44,-45.48
10338417,---,54.50,70.87,26.93,59.44
10338418,---,-30.78,-65.42,-24.38,-11.93
10338419,---,19.88,33.28,39.92,-14.77
10338420,---,0.59,-18.94,21.26,1.54
10338421,---,27.80,43.38,41.57,3.15
10338422,---,81.82,92.71,67.27,74.31
10338423,---,28.25,55.12,5.34,21.47
10338424,---,36.74,13.43,52.64,45.39
10338425,---,-6.64,-1.71,4.74,-21.98
10338426,---,80.00,93.68,90.57,15.12
10338427,---,79.21,83.50,44.43,91.45
10338428,---,-19.16,17.12,-56.10,-21.08
10338429,---,45.05,68.57,10.85,45.93
10338430,---,59.87,29.19,83.73,48.33
10338431,---,60.39,60.73,64.41,56.62
10338432,---,12.08,26.94,-2.15,8.94
10338433,---,54.90,36.00,55.52,69.44
10338434,---,12.94,13.07,-0.23,24.32
10338435,---,-10.98,-26.27,-5.99,-6.62
10338436,---,-64.67,-58.44,-64.45,-71.50
10338437,---,24.22,38.16,22.90,12.26
10338438,---,26.51,85.82,3.30,-42.04
10338439,---,-0.38,-51.88,67.77,-13.48
10338440,---,-4.76,-22.39,-42.48,54.83
10338441,---,65.01,88.91,22.62,56.00
10338442,---,-49.02,-57.47,-74.17,-17.63
10338443,---,-29.96,-5.06,-16.30,-69.86
10338444,---,-49.14,-24.63,-87.29,-47.38
10338445,---,33.55,35.02,36.73,29.61
10338446,---,30.27,53.16,25.44,15.40
10338447,---,-10.25,19.83,-13.84,-38.36
10338448,---,-25.10,-26.15,38.37,-76.30
10338449,---,-1.74,4.38,-4.40,-5.40
10338450,---,-34.79,35.50,-74.73,-55.32
10338451,---,-62.05,-52.03,-63.05,-71.03
10338452,---,31.89,40.48,44.41,8.03
10338453,---,30.00,-4.51,52.64,35.75
10338454,---,-29.12,-22.03,-21.36,-45.30
10338455,---,-78.05,-83.01,-62.72,-84.95
10338456,---,51.70,76.35,14.29,51.58
10338457,---,-12.81,-22.28,30.58,-40.90
10338458,---,24.37,-7.83,7.72,63.99
10338459,---,-13.28,-35.63,-18.47,13.45
10338460,---,70.08,80.28,64.25,62.98
10338461,---,60.48,75.48,64.68,36.35
10338462,---,-48.79,-76.60,7.80,-84.72
10338463,---,10.93,16.03,15.49,2.87
10338464,---,68.35,69.29,67.31,68.46
10338465,---,-41.85,-55.43,-75.71,7.74
10338466,---,10.45,28.50,-6.06,8.80
10338467,---,-7.35,-4.51,-23.83,6.57
10338468,---,38.21,64.44,38.10,10.07
10338469,---,-86.89,-90.37,-69.74,-92.58
10338470,---,18.01,32.81,-9.52,33.07
10338471,---,22.30,27.89,14.82,26.37
10338472,---,93.08,93.84,92.58,92.90
10338473,---,66.42,75.97,61.04,60.34
10338474,---,42.65,59.05,26.66,43.90
10338475,---,89.09,86.84,90.46,89.96
10338476,---,39.72,74.61,-13.64,41.37
10338477,---,-53.03,-75.74,-52.41,-18.47
10338478,---,8.03,26.22,-13.88,20.59
10338479,---,-54.98,-45.91,-58.65,-61.09
10338480,---,78.33,83.87,66.90,81.36
10338481,---,-17.47,-13.63,-23.53,-16.12
10338482,---,32.65,28.89,27.39,41.63
10338483,---,94.82,95.38,95.94,92.91
10338484,---,34.14,55.60,30.63,13.24
10338485,---,-18.09,-5.86,34.01,-78.29
10338486,---,9.91,18.93,11.03,3.09
10338487,---,78.76,68.74,74.51,88.19
10338488,---,62.31,58.87,46.19,76.65
10338489,---,82.36,93.46,70.71,74.09
10338490,---,-3.21,-7.02,-0.45,-2.30
10338491,---,-7.49,-12.21,-9.09,-2.56
10338492,---,-32.53,41.81,-11.94,-90.72
10338493,---,-83.81,-92.16,-66.62,-85.98
10338494,---,36.84,53.58,55.26,-8.62
10338495,---,33.57,31.29,-1.31,63.95
10338496,---,12.33,24.20,32.71,-28.05
10338497,---,86.24,90.90,86.78,78.51
10338498,---,70.92,59.51,59.77,87.48
10338499,---,28.68,77.03,-2.38,-4.20
10338500,---,40.82,70.91,35.21,6.22
10338501,---,-36.86,-11.92,-81.12,-21.75
10338502,---,-33.41,-38.60,-24.92,-37.47
10338503,---,-29.60,-15.32,-31.62,-46.76
10338504,---,86.85,90.26,88.10,80.70
10338505,---,91.50,95.26,82.73,92.92
10338506,---,-2.55,8.46,-5.91,-8.05
10338507,---,65.90,59.30,79.19,53.77
10338508,---,-6.39,53.32,-38.10,-23.36
10338509,---,-0.52,11.29,5.73,-15.12
10338510,---,-4.91,-19.71,-9.69,14.84
10338511,---,58.82,71.00,59.35,44.62
10338512,---,-15.06,-9.29,-16.95,-19.11
10338513,---,69.40,86.10,46.98,65.72
10338514,---,-7.60,8.78,-13.09,-20.57
10338515,---,-46.80,-40.49,-40.75,-60.86
10338516,---,24.93,46.35,-8.10,32.69
10338517,---,86.38,83.68,84.70,90.19
10338518,---,-25.08,-37.73,-52.43,19.02
10338519,---,-2.13,-5.35,4.19,-8.06
10338520,---,21.62,11.44,20.13,33.64
10338521,---,2.88,-22.95,-23.26,52.94
10338522,---,30.68,43.01,22.40,28.29
10338523,---,30.05,53.09,9.76,23.27
10338524,---,7.27,11.22,1.96,8.59
10338525,---,5.64,32.91,-20.80,6.32
10338526,---,-36.06,-10.85,-96.55,-7.66
10338527,---,63.64,64.76,84.73,25.72
10338528,---,47.59,55.45,56.93,27.82
10338529,---,-58.83,-30.85,-67.21,-69.73
10338530,---,89.10,91.92,81.38,92.25
10338531,---,1.24,9.46,21.73,-27.01
10338532,---,-30.47,-32.66,-49.54,-11.18
10338533,---,11.69,35.97,-22.27,18.57
10338534,---,48.38,61.41,17.45,60.32
10338535,---,-22.42,-44.39,-17.98,-5.59
10338536,---,-14.65,56.08,-39.51,-54.56
10338537,---,-23.53,-10.05,-24.23,-36.33
10338538,---,62.86,55.90,82.02,44.96
10338539,---,-17.32,-70.49,44.76,-18.67
10338540,---,15.45,19.62,11.38,15.04
10338541,---,-7.36,-3.04,-16.32,-5.99
10338542,---,79.55,79.12,81.62,78.27
10338543,---,-42.33,-77.15,-6.24,-38.53
10338544,---,-74.18,-49.58,-78.44,-91.22
10338545,---,40.45,55.48,54.39,11.77
10338546,---,-35.93,-62.73,-36.93,-3.66
10338547,---,-27.46,-21.16,-1.81,-67.72
10338548,---,58.36,91.08,-8.71,51.05
10338549,---,40.51,67.98,37.94,-1.38
10338550,---,-12.37,-0.97,-32.93,-3.09
10338551,---,49.74,-4.82,79.20,49.12
10338552,---,-5.07,-20.35,-6.49,20.97
10338553,---,-46.30,-66.04,-70.48,9.64
10338554,---,51.46,79.04,56.70,3.18
10338555,---,-70.01,-58.67,-47.08,-91.79
10338556,---,6.45,28.67,0.07,-10.91
10338557,---,37.89,0.63,62.77,44.32
10338558,---,-76.26,-67.87,-74.72,-84.18
10338559,---,-13.29,-40.28,-36.82,43.05
10338560,---,52.42,49.70,68.93,36.93
10338561,---,35.57,43.02,16.98,43.26
10338562,---,-17.43,-12.93,-3.33,-43.74
10338563,---,-56.98,-93.13,-25.06,-39.34
10338564,---,-8.01,-85.26,-15.49,74.20
10338565,---,79.43,85.80,68.49,80.68
10338566,---,41.41,28.31,67.83,16.19
10338567,---,60.69,59.70,66.28,55.50
10338568,---,-4.58,25.71,-58.03,25.44
10338569,---,67.91,-11.29,81.37,88.47
10338570,---,-60.77,-67.69,-76.25,-35.18
10338571,---,31.91,61.17,-2.51,22.07
10338572,---,46.56,-28.11,51.05,85.11
10338573,---,74.31,66.84,66.91,86.31
10338574,---,87.71,86.70,80.89,92.97
10338575,---,49.98,65.83,11.71,60.82
10338576,---,71.11,85.18,70.38,53.05
10338577,---,-43.46,-70.64,-2.83,-58.47
10338578,---,19.06,27.63,25.41,7.46
10338579,---,-68.39,-76.26,-48.66,-79.05
10338580,---,28.94,53.71,-30.84,58.52
10338581,---,16.98,37.00,-2.43,16.46
10338582,---,-9.21,49.72,-59.41,-6.12
10338583,---,-12.56,22.97,-8.75,-54.14
10338584,---,-35.15,-21.78,-59.54,-23.12
10338585,---,92.43,91.81,94.36,91.01
10338586,---,29.76,21.24,50.10,19.15
10338587,---,45.52,43.43,42.76,50.22
10338588,---,-66.40,-91.42,-91.69,46.79
10338589,---,-48.99,-35.60,-75.95,-32.83
10338590,---,-15.55,-29.44,-41.43,27.02
10338591,---,19.63,17.19,29.35,11.15
10338592,---,-25.19,34.72,-44.46,-85.55
10338593,---,37.43,50.78,44.86,14.70
10338594,---,57.89,44.20,78.43,40.77
10338595,---,59.23,58.23,42.67,73.88
10338596,---,47.43,40.96,61.94,34.22
10338597,---,-29.04,-14.19,7.13,-79.91
10338598,---,23.62,45.70,0.56,25.21
10338599,---,0.08,-39.26,-12.51,60.84
10338600,---,14.62,32.64,11.96,-0.52
10338601,---,27.22,38.65,-0.11,40.73
10338602,---,-22.40,18.85,-24.44,-54.41
10338603,---,32.54,34.48,10.73,49.00
10338604,---,75.04,77.40,82.18,62.66
10338605,---,-15.27,-10.99,-29.12,-7.71
10338606,---,76.90,55.59,85.64,80.33
10338607,---,41.40,52.48,19.92,49.17
10338608,---,18.98,-1.34,42.75,10.69
10338609,---,-37.25,-90.07,-39.21,8.53
10338610,---,-62.00,-71.69,-52.12,-61.19
10338611,---,97.76,99.29,94.85,96.49
10338612,---,-42.98,-29.73,-23.98,-69.92
10338613,---,80.67,91.64,65.72,81.50
10338614,---,25.23,78.31,32.05,-49.61
10338615,---,-7.80,-21.77,12.25,-17.87
10338616,---,34.36,43.16,38.61,20.18
10338617,---,30.43,60.05,-1.64,25.28
10338618,---,18.45,48.13,10.37,-10.44
10338619,---,2.16,8.73,6.92,-11.90
10338620,---,18.63,26.87,1.65,28.87
10338621,---,39.41,31.19,52.42,33.13
10338622,---,-16.62,-24.28,-7.29,-19.20
10338623,---,26.29,39.00,18.19,20.42
10338624,---,63.21,68.29,67.40,53.57
10338625,---,46.09,49.87,62.69,21.98
10338626,---,5.00,2.94,10.22,-0.03
10338627,---,91.82,79.23,95.59,95.28
10338628,---,56.16,46.20,45.38,71.02
10338629,---,-24.80,-26.36,-43.11,-6.10
10338630,---,-30.05,-18.35,-68.75,-16.70
10338631,---,-64.84,-60.91,-60.64,-72.82
10338632,---,81.11,95.60,73.83,54.73
10338633,---,38.32,57.31,15.00,40.01
10338634,---,60.68,92.28,-9.86,57.44
10338635,---,-16.78,-5.09,-18.64,-27.05
