Probeset_ID,Gene Symbol,AMs,Sample_,Sample_,Sample_
10338129,---,-27.43,-16.23,-33.53,-31.41
10338130,---,-22.98,-44.80,43.08,-66.30
10338131,---,-72.62,-26.28,-84.95,-90.98
10338132,---,77.53,-3.63,96.35,76.63
10338133,---,-27.59,-38.14,27.05,-63.13
10338134,---,-52.47,-41.75,-58.35,-55.52
10338135,---,-28.02,-60.98,5.51,-37.30
10338136,---,52.25,85.83,11.12,38.17
10338137,---,72.48,94.71,34.14,42.30
10338138,---,4.28,2.93,3.00,7.81
10338139,---,-28.06,-20.71,-18.94,-44.53
10338140,---,-93.19,-78.76,-84.41,-100.02
10338141,---,-32.92,-34.10,-25.46,-40.44
10338142,---,-56.71,-78.25,31.09,-85.81
10338143,---,-47.88,-73.91,-28.26,-48.52
10338144,---,-48.60,-77.86,-25.52,-31.99
10338145,---,-61.61,-96.55,41.81,-68.90
10338146,---,25.97,16.99,54.53,-4.59
10338147,---,-63.17,-61.16,-63.98,-64.65
10338148,---,21.38,19.96,56.00,-17.68
10338149,---,-22.20,-3.13,38.83,-83.48
10338150,---,79.96,85.13,55.98,91.12
10338151,---,-42.18,-74.40,0.39,-48.70
10338152,---,84.52,25.25,95.66,94.71
10338153,---,-39.01,-21.46,-56.01,-38.22
10338154,---,-80.64,-63.66,-64.33,-98.95
10338155,---,39.87,15.23,30.67,72.23
10338156,---,-34.45,-52.25,-0.23,-50.86
10338157,---,-25.68,-21.64,-41.59,-15.06
10338158,---,-32.52,35.79,-82.59,-50.18
10338159,---,-68.59,-90.86,-38.04,-63.61
10338160,---,30.09,17.91,62.12,0.00
10338161,---,72.98,68.13,83.94,61.54
10338162,---,-16.36,42.00,-5.00,-71.30
10338163,---,12.15,37.57,-41.86,42.77
10338164,---,-6.79,-8.54,-11.55,0.00
10338165,---,-8.42,6.73,-22.81,-7.90
10338166,---,-47.16,-65.94,-51.47,-17.29
10338167,---,-89.18,-80.73,-67.14,-99.79
10338168,---,-79.85,-77.10,-97.44,-20.01
10338169,---,-31.23,4.76,-41.32,-57.12
10338170,---,-74.99,-91.74,-66.68,-56.96
10338171,---,-28.59,-29.26,32.56,-93.86
10338172,---,26.31,29.74,23.06,25.95
10338173,---,9.50,-31.53,52.64,16.55
10338174,---,-28.71,-27.20,-33.19,-25.10
10338175,---,-43.32,-89.96,-33.01,-9.05
10338176,---,3.72,-24.10,0.65,27.37
10338177,---,31.72,-62.32,9.08,95.00
10338178,---,-31.46,-62.70,-21.54,-12.05
10338179,---,9.69,5.59,15.91,9.30
10338180,---,31.13,27.32,31.96,34.07
10338181,---,-51.11,-58.96,-64.98,-27.17
10338182,---,93.03,97.05,92.71,85.38
10338183,---,-61.97,-77.63,-30.99,-79.93
10338184,---,-1.04,-45.45,-0.16,40.42
10338185,---,-19.92,-59.20,35.05,-30.94
10338186,---,-7.52,25.09,-40.97,0.30
10338187,---,44.22,-2.51,46.23,74.42
10338188,---,-4.17,-20.40,34.66,-23.04
10338189,---,61.16,7.71,72.01,78.31
10338190,---,-41.92,-48.91,-29.33,-47.84
10338191,---,-20.52,-3.76,-66.96,15.11
10338192,---,-80.70,-58.33,-65.00,-96.36
10338193,---,-14.70,-35.12,-12.91,0.72
10338194,---,57.87,75.01,61.63,26.21
10338195,---,-42.53,-23.30,-66.67,-19.57
10338196,---,17.94,24.78,-9.64,51.61
10338197,---,-3.62,77.99,-20.01,-66.26
10338198,---,-94.65,-93.63,-87.86,-98.68
10338199,---,-98.27,-93.55,-99.49,-98.69
10338200,---,-97.89,-99.19,-96.07,-98.15
10338201,---,-44.42,49.56,-64.35,-84.22
10338202,---,-49.10,-72.99,-9.35,-58.76
10338203,---,-49.80,-41.50,-36.47,-69.34
10338204,---,95.64,92.63,93.52,98.22
10338205,---,16.25,-42.40,21.64,63.44
10338206,---,-47.77,-50.62,-57.23,-37.03
10338207,---,-17.26,25.88,-59.81,-47.34
10338208,---,51.68,50.09,30.97,67.49
10338209,---,-0.59,12.11,42.83,-45.16
10338210,---,-69.75,-24.06,-75.55,-92.31
10338211,---,-58.01,-6.72,-20.32,-95.81
10338212,---,-36.72,-12.37,14.20,-97.43
10338213,---,-46.11,-25.76,-46.16,-66.19
10338214,---,-28.64,25.52,-30.56,-71.83
10338215,---,61.45,79.36,49.92,44.05
10338216,---,-38.13,-64.02,-64.63,14.61
10338217,---,-99.77,-99.77,-99.77,-99.87
10338218,---,-15.28,-23.37,-10.59,-11.32
10338219,---,-31.61,7.94,-69.95,-25.16
10338220,---,-21.89,-46.04,26.02,-42.60
10338221,---,-54.71,-38.83,-53.02,-66.16
10338222,---,-35.41,-42.54,18.11,-77.26
10338223,---,-86.93,-96.66,-81.44,-77.15
10338224,---,-38.25,-30.41,-32.96,-49.36
10338225,---,-38.65,-64.37,15.33,-62.70
10338226,---,-56.89,-55.12,-37.81,-76.41
10338227,---,84.39,93.87,69.15,81.94
10338228,---,78.88,78.88,88.82,60.56
10338229,---,-50.42,-79.48,-19.56,-60.14
10338230,---,-49.46,-44.48,-93.25,-11.30
10338231,---,-25.44,-38.85,-36.99,0.51
10338232,---,68.37,67.51,74.68,62.73
10338233,---,-67.59,-80.07,1.39,-93.96
10338234,---,-7.17,12.69,35.08,-58.45
10338235,---,-85.67,-91.93,-74.44,-87.12
10338236,---,-45.70,-52.57,-20.11,-63.76
10338237,---,73.48,79.14,86.12,41.06
10338238,---,-88.41,-98.28,-72.42,-75.18
10338239,---,61.27,62.67,62.49,58.80
10338240,---,-50.10,-18.43,-40.10,-87.90
10338241,---,-23.08,-19.89,-46.29,-9.82
10338242,---,-34.94,-15.54,-40.77,-50.63
10338243,---,-51.33,13.85,-69.81,-80.72
10338244,---,-34.32,-19.96,-22.86,-52.97
10338245,---,-25.83,-53.33,22.72,-97.54
10338246,---,-53.90,-58.40,-95.76,35.65
10338247,---,-74.75,-64.37,-44.98,-97.75
10338248,---,-88.77,-91.32,-98.34,-61.78
10338249,---,-25.33,-24.25,6.19,-54.53
10338250,---,23.19,61.40,28.01,-24.49
10338251,---,-27.74,-0.68,-41.12,-44.23
10338252,---,-93.27,-92.96,-69.46,-99.98
10338253,---,16.84,-60.26,77.73,22.08
10338254,---,27.54,-11.43,57.02,30.10
10338255,---,-53.02,-71.09,-61.09,-31.34
10338256,---,-72.06,-59.62,-66.83,-86.35
10338257,---,45.09,24.04,65.94,42.21
10338258,---,-9.59,-35.36,44.64,-44.64
10338259,---,-34.50,-30.84,-27.05,-48.18
10338260,---,-65.36,-59.38,-59.95,-75.57
10338261,---,18.77,55.40,-50.86,54.50
10338262,---,-32.08,-67.07,-3.99,-39.40
10338263,---,-82.37,-89.04,-94.17,-51.06
10338264,---,-65.46,-43.19,-61.73,-87.32
10338265,---,-68.65,-42.80,-81.99,-76.91
10338266,---,-42.19,-16.14,-34.86,-76.85
10338267,---,1.60,-51.60,55.17,5.75
10338268,---,66.30,70.48,70.13,57.47
10338269,---,-39.23,-85.03,-31.23,10.71
10338270,---,-26.38,-2.33,-29.65,-53.16
10338271,---,-41.20,-60.09,-14.59,-43.55
10338272,---,72.77,60.61,65.25,86.42
10338273,---,-2.06,-29.36,45.79,-5.43
10338274,---,-25.36,-76.23,51.63,-37.91
10338275,---,-12.50,-7.20,-4.52,-26.32
10338276,---,-17.12,-13.76,53.18,-77.91
10338277,---,-4.13,-10.50,-1.32,-0.33
10338278,---,-1.40,34.23,-34.10,9.58
10338279,---,-87.79,-95.45,-56.43,-94.12
10338280,---,-26.91,-16.85,-55.17,4.21
10338281,---,8.06,-22.62,-3.73,47.95
10338282,---,96.39,96.68,98.89,87.05
10338283,---,92.66,92.44,91.96,93.48
10338284,---,69.32,50.20,92.84,29.36
10338285,---,-95.84,-86.00,-88.96,-99.83
10338286,---,-35.57,-54.00,-7.96,-37.27
10338287,---,-81.93,-93.37,-40.37,-90.64
10338288,---,-31.36,-17.13,-33.02,-44.28
10338289,---,-4.57,-40.54,26.59,4.48
10338290,---,5.34,-2.23,41.92,-15.84
10338291,---,-96.94,-99.88,-75.30,-99.28
10338292,---,-80.26,-88.13,-84.22,-60.06
10338293,---,16.79,60.99,17.98,-33.35
10338294,---,-57.78,-48.55,-26.15,-87.19
10338295,---,44.95,26.43,59.47,48.07
10338296,---,-78.64,-87.22,-96.11,-40.84
10338297,---,-3.63,18.68,-1.48,-22.38
10338298,---,76.14,74.86,88.08,63.25
10338299,---,88.07,3.75,98.31,92.50
10338300,---,38.96,-21.33,86.73,22.37
10338301,---,76.29,93.15,1.57,85.61
10338302,---,-54.87,-81.15,-46.18,-30.41
10338303,---,-87.33,-94.03,-48.76,-98.15
10338304,---,-66.57,-80.23,-15.76,-86.11
10338305,---,-90.87,-89.39,-95.65,-83.51
10338306,---,63.04,71.51,31.45,78.22
10338307,---,-64.18,-80.99,-89.32,-19.89
10338308,---,-78.54,-75.19,-94.10,-61.42
10338309,---,-44.46,-2.54,-95.84,-38.13
10338310,---,-7.44,-39.40,35.67,-12.06
10338311,---,-9.35,21.11,-33.11,-14.09
10338312,---,-18.34,34.28,-28.44,-53.11
10338313,---,-39.74,-76.26,36.77,-77.92
10338314,---,-15.48,-12.71,-31.09,-3.38
10338315,---,40.86,30.55,53.98,38.55
10338316,---,38.63,11.20,50.98,50.11
10338317,---,13.15,-5.51,52.59,-10.15
10338318,---,4.18,0.75,64.10,-55.18
10338319,---,-33.81,42.64,-87.40,-19.56
10338320,---,0.81,76.51,-29.14,-48.66
10338321,---,-42.40,46.49,-83.21,-77.62
10338322,---,-55.23,-37.86,-95.79,28.68
10338323,---,-25.04,-11.01,-12.10,-51.80
10338324,---,-74.13,-58.64,-78.48,-81.89
10338325,---,-73.84,-76.82,-72.01,-72.32
10338326,---,25.86,58.21,31.61,-15.90
10338327,---,88.94,75.10,95.70,86.51
10338328,---,-13.32,-44.90,40.60,-59.11
10338329,---,-19.65,-24.55,-22.73,-12.50
10338330,---,-68.73,-42.92,-98.60,6.17
10338331,---,-8.92,-15.61,-9.60,-4.51
10338332,---,89.73,88.84,89.73,90.67
10338333,---,-7.20,-14.35,-6.71,-4.23
10338334,---,46.17,90.06,-32.61,11.68
10338335,---,7.85,8.97,54.14,-36.46
10338336,---,-75.76,-88.65,-57.73,-77.50
10338337,---,-28.03,-56.21,-7.14,-25.95
10338338,---,78.87,76.41,67.72,87.87
10338339,---,-49.20,-44.73,-57.41,-46.61
10338340,---,-97.22,-84.01,-98.86,-99.43
10338341,---,29.92,-26.77,33.19,69.09
10338342,---,-78.47,-94.59,-74.12,-60.14
10338343,---,-86.98,-72.97,-82.54,-98.19
10338344,---,-22.02,-19.19,-34.88,-12.10
10338345,---,-93.35,-88.81,-88.28,-99.60
10338346,---,-31.86,54.47,-70.31,-62.89
10338347,---,82.89,82.56,80.39,84.56
10338348,---,-17.94,-39.89,-28.88,18.67
10338349,---,-65.21,-69.55,-20.44,-85.23
10338350,---,-26.57,60.35,-66.36,-62.33
10338351,---,-54.48,-71.86,-86.00,22.77
10338352,---,-44.21,-27.97,-58.44,-43.91
10338353,---,91.24,90.89,93.20,88.69
10338354,---,3.34,-22.92,22.09,8.42
10338355,---,18.87,5.85,67.90,-19.24
10338356,---,67.18,31.24,92.94,45.75
10338357,---,-18.71,-0.58,-16.59,-44.93
10338358,---,-8.71,-26.52,25.59,-18.38
10338359,---,98.43,98.91,98.79,96.73
10338360,---,-52.76,-18.68,-75.16,-56.20
10338361,---,83.13,79.36,88.18,77.49
10338362,---,28.08,-44.07,95.75,-68.25
10338363,---,-65.15,-76.56,-90.82,14.58
10338364,---,-44.13,-78.68,-37.46,-12.64
10338365,---,-75.62,-96.44,-73.77,-59.73
10338366,---,66.62,46.30,55.33,86.16
10338367,---,-32.25,-27.78,-4.49,-61.52
10338368,---,-73.56,-88.80,-47.74,-76.23
10338369,---,-62.80,-54.85,-52.18,-76.85
10338370,---,17.43,-50.17,15.09,74.66
10338371,---,-35.53,-12.05,-51.05,-41.61
10338372,---,-71.94,-68.68,-69.05,-77.64
10338373,---,39.22,72.82,42.36,-9.97
10338374,---,-98.78,-78.89,-99.82,-99.47
10338375,---,-9.15,43.13,-13.21,-52.62
10338376,---,-86.62,-91.07,-97.26,-62.63
10338377,---,-71.85,-85.39,-69.35,-56.62
10338378,---,-87.28,-32.16,-96.57,-95.66
10338379,---,-27.77,-14.25,-44.70,-26.21
10338380,---,20.71,20.55,22.28,18.43
10338381,---,5.89,-14.76,70.40,-21.81
10338382,---,-80.48,-63.60,-90.82,-80.05
10338383,---,17.38,-0.04,-22.67,67.51
10338384,---,63.81,-0.07,76.36,91.37
10338385,---,-73.50,-89.79,-34.43,-77.54
10338386,---,-81.93,-86.47,-79.72,-79.35
10338387,---,12.19,-8.20,-6.80,47.11
10338388,---,-38.62,-11.79,-22.74,-79.43
10338389,---,-94.24,-97.55,-92.60,-92.14
10338390,---,-18.61,-59.19,20.48,-10.97
10338391,---,-24.64,-20.04,-21.24,-32.70
10338392,---,-60.65,-85.45,-80.70,6.57
10338393,---,-25.65,-13.54,-20.97,-45.50
10338394,---,-92.64,-89.89,-95.33,-86.00
10338395,---,-97.75,-99.15,-98.43,-95.47
10338396,---,-56.86,-70.14,-45.95,-52.83
10338397,---,-22.94,-20.75,-64.04,1.48
10338398,---,17.14,34.71,40.00,-25.24
10338399,---,0.55,-16.69,-37.25,22.83
10338400,---,-57.41,-34.88,-90.27,-39.02
10338401,---,-90.16,-99.88,-50.57,-94.26
10338402,---,-26.85,16.83,-30.77,-69.48
10338403,---,-23.09,-22.27,-14.36,-34.85
10338404,---,40.05,42.68,46.86,30.52
10338405,---,-49.40,-70.83,-9.47,-80.28
10338406,---,-67.84,-68.53,-73.19,-60.81
10338407,---,-54.80,-99.47,70.62,-14.16
10338408,---,-16.84,14.87,-6.18,-53.92
10338409,---,-81.21,-91.90,-88.83,-38.57
10338410,---,92.18,94.00,79.18,94.69
10338411,---,-56.94,-65.20,-56.98,-47.61
10338412,---,40.02,24.63,-28.76,86.16
10338413,---,59.16,26.16,63.71,71.52
10338414,---,-11.79,11.92,-18.51,-27.40
10338415,---,-65.18,47.35,-79.47,-95.81
10338416,---,46.77,44.09,73.09,-5.88
10338417,---,-89.80,-90.75,-95.10,-81.74
10338418,---,-74.09,-60.64,-63.68,-91.04
10338419,---,1.08,-56.77,54.95,3.66
10338420,---,-64.01,-85.03,-9.79,-83.23
10338421,---,-86.93,-88.82,-91.63,-75.36
10338422,---,-88.16,-84.26,-81.00,-95.91
10338423,---,58.35,42.77,62.83,66.73
10338424,---,10.79,-0.66,14.38,17.64
10338425,---,-3.05,31.09,-34.15,-0.79
10338426,---,-85.84,-76.27,-98.09,-67.34
10338427,---,78.91,-7.32,89.33,94.86
10338428,---,-52.21,-80.29,-28.27,-47.31
10338429,---,33.85,57.51,40.98,-8.04
10338430,---,-40.90,-75.48,-13.21,-44.83
10338431,---,-75.99,-79.81,-50.64,-87.36
10338432,---,-75.54,-80.09,-58.21,-81.82
10338433,---,51.66,61.24,34.75,56.36
10338434,---,-88.03,-93.36,-91.20,-73.25
10338435,---,-44.14,-20.89,-91.39,-32.07
10338436,---,-27.41,-54.76,-0.25,-71.85
10338437,---,-1.14,-48.01,15.07,15.15
10338438,---,-53.67,-22.23,-37.08,-89.14
10338439,---,-30.85,-22.93,-48.76,-20.92
10338440,---,50.02,31.24,74.25,32.88
10338441,---,-31.58,-83.46,-59.86,73.69
10338442,---,-10.23,-14.43,-23.96,-2.67
10338443,---,60.56,-2.33,73.63,81.16
10338444,---,-86.30,-82.75,-75.65,-95.88
10338445,---,-30.21,-18.62,-40.23,-31.45
10338446,---,-33.46,-41.24,-31.51,-24.93
10338447,---,15.85,-25.83,68.54,-6.47
10338448,---,-40.23,72.65,-64.95,-94.99
10338449,---,27.66,61.31,-4.26,17.98
10338450,---,27.77,43.45,-3.40,40.86
10338451,---,-72.46,-36.71,-98.25,-71.59
10338452,---,-59.24,-68.10,-36.70,-76.26
10338453,---,36.62,46.21,11.85,47.09
10338454,---,-63.37,-72.34,-32.37,-86.61
10338455,---,30.68,-44.67,78.34,42.94
10338456,---,-59.34,18.08,-62.86,-91.80
10338457,---,-13.62,-26.24,49.60,-58.04
10338458,---,-8.28,-44.42,-3.73,28.02
10338459,---,-27.10,-63.54,1.80,-30.38
10338460,---,-9.01,-47.55,-11.79,21.40
10338461,---,56.19,49.71,65.02,53.49
10338462,---,-58.55,-37.75,-85.60,-51.08
10338463,---,10.93,12.89,-0.05,22.85
10338464,---,14.13,30.39,80.51,-72.99
10338465,---,9.73,-22.63,64.90,-10.36
10338466,---,8.18,-20.48,49.87,-11.72
10338467,---,-88.16,-97.83,-60.54,-87.71
10338468,---,-91.01,-78.34,-49.97,-99.90
10338469,---,-17.16,-26.55,-11.29,-16.60
10338470,---,-23.87,3.27,20.40,-79.11
10338471,---,97.50,94.49,98.11,98.77
10338472,---,93.72,94.55,91.66,95.89
10338473,---,12.48,74.76,-62.88,20.85
10338474,---,26.12,15.52,31.43,34.36
10338475,---,-42.83,-62.68,-52.87,-14.01
10338476,---,-58.07,-81.78,-39.32,-41.65
10338477,---,-97.03,-98.26,-99.73,-80.79
10338478,---,-36.44,-75.86,-15.93,-19.28
10338479,---,-31.22,-22.40,-22.72,-56.67
10338480,---,-58.11,-51.26,-72.32,-47.30
10338481,---,60.01,41.06,46.80,80.91
10338482,---,-41.83,-63.10,-29.34,-32.57
10338483,---,85.67,88.42,68.23,91.72
10338484,---,-70.97,-86.40,-29.84,-84.16
10338485,---,-83.27,-96.82,-71.45,-73.64
10338486,---,42.14,58.73,20.67,53.38
10338487,---,-38.84,-23.64,-35.36,-53.73
10338488,---,-31.44,17.20,-40.09,-60.17
10338489,---,-12.81,9.12,-28.72,-20.93
10338490,---,-67.05,-42.15,-40.70,-96.54
10338491,---,-9.65,-5.86,-10.21,-13.96
10338492,---,-45.03,-54.12,-45.51,-34.36
10338493,---,-4.01,-24.79,31.49,-20.47
10338494,---,-84.10,-31.42,-82.54,-98.85
10338495,---,82.05,97.52,81.76,27.25
10338496,---,-73.87,-81.94,-74.34,-61.60
10338497,---,8.32,40.05,18.40,-38.76
10338498,---,100.00,100.00,100.00,100.00
10338499,---,-38.27,77.88,-94.74,-75.00
10338500,---,-61.66,-66.69,-48.03,-68.69
10338501,---,-51.06,-76.42,-51.04,-26.20
10338502,---,-91.42,-98.76,-94.89,-71.98
10338503,---,-69.21,-74.96,-77.68,-54.68
10338504,---,98.89,99.16,98.91,98.71
10338505,---,35.22,77.27,13.21,-0.21
10338506,---,-20.79,-61.55,35.53,-26.93
10338507,---,42.12,77.27,23.93,4.26
10338508,---,-31.92,-22.50,-26.81,-49.05
10338509,---,-11.38,-33.50,-25.43,29.95
10338510,---,-88.37,-78.15,-98.42,-52.44
10338511,---,8.78,32.18,42.70,-48.05
10338512,---,4.48,-3.43,-43.57,58.92
10338513,---,41.02,48.04,48.04,23.07
10338514,---,-22.38,-54.48,-36.06,21.59
10338515,---,-47.80,-46.02,-63.21,-34.35
10338516,---,64.33,47.21,55.54,82.28
10338517,---,85.25,49.20,97.75,85.80
10338518,---,-81.70,-90.86,-71.10,-79.77
10338519,---,-49.43,-83.32,-37.73,-5.04
10338520,---,-40.67,-60.11,-31.71,-26.49
10338521,---,38.96,56.38,35.71,19.41
10338522,---,-90.20,-91.94,-90.55,-87.91
10338523,---,84.41,47.05,92.35,93.66
10338524,---,66.00,43.93,75.32,73.62
10338525,---,96.67,95.64,99.22,90.38
10338526,---,-83.65,-76.75,-94.09,-74.79
10338527,---,-80.78,-91.18,-88.90,-33.80
10338528,---,39.43,39.65,-11.48,76.97
10338529,---,41.44,12.04,71.24,35.43
10338530,---,70.15,69.15,56.33,83.23
10338531,---,69.17,52.02,81.65,69.62
10338532,---,61.30,86.48,27.77,54.35
10338533,---,-20.36,30.48,-4.73,-72.45
10338534,---,24.24,-4.17,14.21,56.54
10338535,---,-24.50,-43.50,-13.13,-19.07
10338536,---,-65.19,-17.89,-78.34,-85.46
10338537,---,-73.67,-40.27,-85.98,-87.93
10338538,---,-5.91,2.36,32.97,-45.72
10338539,---,-68.00,-93.01,-57.41,-42.68
10338540,---,-60.60,-81.17,-69.70,0.27
10338541,---,9.06,7.81,3.12,16.32
10338542,---,-20.75,-28.33,13.01,-46.42
10338543,---,-33.27,-13.66,-55.07,-33.72
10338544,---,95.07,58.89,99.84,57.56
10338545,---,-90.09,-92.21,-67.99,-97.81
10338546,---,42.33,64.94,94.22,-81.96
10338547,---,-28.16,-37.62,-23.94,-23.40
10338548,---,-92.09,-92.93,-85.16,-96.16
10338549,---,-53.78,-41.86,-67.27,-52.71
10338550,---,-72.48,-47.29,-23.20,-98.14
10338551,---,-18.07,-52.52,39.01,-31.11
10338552,---,-50.07,-59.56,-8.88,-78.08
10338553,---,57.31,72.31,85.10,-23.08
10338554,---,-79.15,-85.79,-23.20,-95.80
10338555,---,66.35,77.10,89.00,-18.45
10338556,---,-91.80,-89.66,-91.96,-93.11
10338557,---,38.46,73.12,10.26,22.11
10338558,---,-79.55,-78.00,-92.82,-53.24
10338559,---,51.56,41.58,89.80,-16.85
10338560,---,15.15,32.09,76.61,-69.25
10338561,---,21.17,12.90,27.91,22.70
10338562,---,-33.06,-12.60,-7.44,-93.27
10338563,---,-59.62,-47.99,-56.08,-75.35
10338564,---,15.85,8.97,-9.95,50.16
10338565,---,97.52,94.33,98.17,98.44
10338566,---,32.61,66.70,-9.54,27.84
10338567,---,-32.64,-23.68,-64.81,-14.15
10338568,---,1.29,27.32,23.24,-39.75
10338569,---,-60.13,-70.32,-68.60,-36.53
10338570,---,65.63,56.24,18.56,86.11
10338571,---,-32.48,-18.45,-18.54,-56.44
10338572,---,-34.93,-36.31,-39.31,-29.35
10338573,---,5.03,85.81,-69.08,-23.14
10338574,---,-63.64,-70.60,-13.94,-85.49
10338575,---,-14.56,47.50,-30.70,-57.84
10338576,---,-92.19,-93.87,-91.92,-91.35
10338577,---,-78.69,-90.83,-45.21,-88.58
10338578,---,-46.13,-52.23,-48.68,-36.55
10338579,---,16.36,-2.62,-5.57,55.84
10338580,---,7.45,27.13,31.39,-35.45
10338581,---,-87.76,-91.19,-85.84,-84.45
10338582,---,-0.36,49.82,58.69,-78.83
10338583,---,-48.14,-45.13,-10.74,-94.36
10338584,---,89.83,94.72,95.64,61.41
10338585,---,82.45,86.99,59.45,90.26
10338586,---,-70.41,-17.04,-92.01,-77.48
10338587,---,45.86,54.97,52.76,24.48
10338588,---,70.18,70.79,70.76,68.60
10338589,---,52.80,44.36,83.18,14.09
10338590,---,-57.63,-79.29,-86.40,-2.74
10338591,---,-54.98,-26.65,-91.23,-25.68
10338592,---,-17.81,-47.87,42.74,-54.14
10338593,---,-12.10,47.26,-59.49,-19.28
10338594,---,23.91,37.75,49.69,-15.63
10338595,---,10.34,8.14,-57.75,71.26
10338596,---,-50.85,-88.28,-54.59,-9.26
10338597,---,-80.65,-55.26,-72.18,-96.95
10338598,---,-47.75,-30.44,-34.92,-75.15
10338599,---,-80.18,-97.45,-41.09,-82.25
10338600,---,89.55,79.87,91.95,93.36
10338601,---,-14.86,-21.43,-12.68,-11.24
10338602,---,-85.35,-78.97,-79.28,-93.81
10338603,---,-26.83,3.64,-30.80,-50.17
10338604,---,-75.57,-78.35,-76.38,-70.87
10338605,---,-18.23,-29.22,-10.89,-15.57
10338606,---,37.78,92.55,-88.03,70.62
10338607,---,-4.10,11.70,-7.97,-10.99
10338608,---,-45.64,-50.54,17.62,-87.45
10338609,---,-6.31,74.00,-43.89,-44.03
10338610,---,83.33,92.53,-5.25,93.29
10338611,---,-19.62,-16.05,-48.74,6.71
10338612,---,-87.88,-79.79,-98.15,-69.25
