Probeset_ID,Gene Symbol,DC Lu CD24+,Sample_,Sample_
10338305,---,-32.79,-25.49,-39.70
10338306,---,-64.00,-73.50,-52.24
10338307,---,-7.59,10.64,-23.66
10338308,---,-36.93,-60.91,-9.09
10338309,---,-65.83,-47.88,-81.24
10338310,---,12.39,-45.66,65.29
10338311,---,60.06,55.98,64.82
10338312,---,56.75,58.51,55.20
10338313,---,-80.76,-82.75,-78.82
10338314,---,9.43,6.91,11.22
10338315,---,-8.91,-7.29,-10.46
10338316,---,-2.22,-6.72,4.59
10338317,---,79.04,62.43,89.34
10338318,---,-20.32,-23.77,-17.20
10338319,---,-74.87,-61.45,-83.77
10338320,---,16.05,27.56,3.10
10338321,---,-36.96,-38.14,-35.93
10338322,---,-63.50,-57.79,-69.46
10338323,---,44.15,31.91,53.46
10338324,---,97.36,98.47,94.87
10338325,---,45.61,-20.91,83.98
10338326,---,21.50,12.81,29.98
10338327,---,-96.90,-96.17,-97.43
10338328,---,-52.37,-53.27,-51.11
10338329,---,-85.30,-85.68,-84.98
10338330,---,35.62,52.48,19.35
10338331,---,-87.71,-96.42,-68.82
10338332,---,-63.82,-97.32,-9.34
10338333,---,-64.83,-59.87,-69.74
10338334,---,-18.07,-29.61,-6.28
10338335,---,-12.36,1.30,-27.28
10338336,---,-55.36,-57.53,-52.98
10338337,---,-41.97,-74.13,-10.68
10338338,---,-75.98,-45.60,-96.57
10338339,---,11.74,5.14,20.74
10338340,---,-78.42,-62.50,-87.94
10338341,---,-91.54,-95.31,-84.40
10338342,---,-17.70,-0.14,-42.92
10338343,---,-1.39,36.32,-22.53
10338344,---,18.62,19.86,17.52
10338345,---,-93.57,-97.76,-87.69
10338346,---,-36.67,-24.52,-48.57
10338347,---,-82.81,-77.51,-87.60
10338348,---,-47.47,-45.05,-50.07
10338349,---,29.93,45.57,13.82
10338350,---,-39.17,-41.28,-36.65
10338351,---,-5.00,49.29,-55.68
10338352,---,-66.20,-69.83,-62.26
10338353,---,-19.58,-28.06,-11.36
10338354,---,-64.02,-80.53,-37.98
10338355,---,24.02,32.41,16.64
10338356,---,11.83,31.76,-8.62
10338357,---,-64.28,-76.39,-48.43
10338358,---,2.12,-11.27,18.18
10338359,---,-45.31,-34.87,-55.93
10338360,---,-38.30,-32.43,-43.24
10338361,---,39.08,48.20,27.19
10338362,---,-82.81,-79.60,-86.01
10338363,---,-49.54,-39.94,-58.67
10338364,---,-61.49,-41.20,-78.28
10338365,---,-72.57,-58.39,-90.20
10338366,---,19.87,27.80,11.19
10338367,---,-89.40,-98.69,-50.80
10338368,---,-85.40,-96.15,-58.23
10338369,---,-56.38,10.29,-89.61
10338370,---,11.92,17.53,6.94
10338371,---,-71.62,-80.22,-58.76
10338372,---,96.40,97.77,92.53
10338373,---,12.94,23.50,3.10
10338374,---,77.05,82.64,69.46
10338375,---,23.15,24.18,22.09
10338376,---,-47.96,-52.16,-44.17
10338377,---,-77.54,-56.71,-90.75
10338378,---,-10.93,-19.16,-3.33
10338379,---,-57.16,-56.64,-57.50
10338380,---,-98.65,-98.07,-98.99
10338381,---,-53.58,-68.31,-39.92
10338382,---,-44.56,-49.45,-38.76
10338383,---,31.17,37.71,25.27
10338384,---,-34.57,-46.62,-22.27
10338385,---,46.71,29.72,64.24
10338386,---,-38.45,-39.10,-37.61
10338387,---,-87.17,-72.88,-95.78
10338388,---,-53.49,-62.35,-45.40
10338389,---,-76.73,-85.42,-66.99
10338390,---,-5.44,59.87,-67.06
10338391,---,52.77,62.29,41.32
10338392,---,-30.48,-0.62,-58.82
10338393,---,-36.73,-20.54,-53.31
10338394,---,10.07,19.13,2.82
10338395,---,51.81,62.37,40.69
10338396,---,-30.08,-19.90,-39.30
10338397,---,51.88,80.73,-0.37
10338398,---,-22.55,-2.28,-40.91
10338399,---,0.39,-3.47,2.15
10338400,---,-41.71,-46.94,-36.41
10338401,---,-25.25,-34.30,-17.65
10338402,---,-11.72,5.54,-26.69
10338403,---,55.07,34.80,70.06
10338404,---,26.19,26.39,25.88
10338405,---,31.15,14.28,45.85
10338406,---,21.65,56.95,-19.38
10338407,---,58.83,-16.80,91.84
10338408,---,63.17,75.82,45.20
10338409,---,-62.43,-11.51,-87.31
10338410,---,-1.62,-12.06,10.44
10338411,---,48.12,41.04,56.27
10338412,---,85.12,96.39,50.46
10338413,---,-12.06,-15.93,-8.45
10338414,---,27.30,19.70,34.27
10338415,---,-57.32,-48.41,-65.12
10338416,---,-67.36,-66.36,-68.47
10338417,---,-61.55,-37.53,-82.23
10338418,---,-93.05,-96.07,-87.99
10338419,---,-79.07,-89.31,-64.51
10338420,---,-9.71,23.72,-41.50
10338421,---,13.02,18.81,8.79
10338422,---,-20.20,-3.11,-38.06
10338423,---,-6.72,17.34,-28.94
10338424,---,37.53,35.11,40.06
10338425,---,-10.44,-20.56,-1.11
10338426,---,12.00,54.69,-28.62
10338427,---,30.26,77.80,-38.60
10338428,---,-76.40,-96.99,-44.47
10338429,---,91.22,82.34,95.44
10338430,---,-11.82,-12.30,-11.31
10338431,---,29.99,40.63,18.24
10338432,---,-79.54,-56.29,-91.82
10338433,---,63.88,49.36,74.85
10338434,---,3.16,-1.77,8.26
10338435,---,-41.86,-21.66,-72.46
10338436,---,-78.05,-72.93,-82.32
10338437,---,11.83,19.92,4.79
10338438,---,-65.81,-42.14,-83.85
10338439,---,77.85,78.15,77.21
10338440,---,-49.93,-13.42,-76.26
10338441,---,-70.26,-85.26,-50.00
10338442,---,-42.48,-40.30,-45.02
10338443,---,-91.82,-93.50,-89.95
10338444,---,-0.42,-25.12,50.65
10338445,---,-59.24,-34.59,-79.18
10338446,---,12.10,19.34,6.30
10338447,---,-64.72,-48.68,-75.61
10338448,---,-31.41,5.78,-65.46
10338449,---,12.33,65.99,-46.72
10338450,---,-37.73,34.03,-90.74
10338451,---,-3.41,-5.72,-1.46
10338452,---,-56.70,-54.46,-59.31
10338453,---,64.29,61.51,66.94
10338454,---,-84.10,-58.81,-97.12
10338455,---,-29.22,1.85,-60.62
10338456,---,47.82,40.46,54.44
10338457,---,-5.45,-44.99,39.13
10338458,---,-44.39,-10.06,-75.43
10338459,---,-20.17,-4.20,-41.51
10338460,---,31.47,36.12,26.47
10338461,---,72.47,82.52,57.53
10338462,---,-93.90,-96.24,-90.81
10338463,---,2.10,5.49,-1.56
10338464,---,39.96,56.12,19.85
10338465,---,-35.18,-4.86,-66.14
10338466,---,-61.11,-42.84,-74.22
10338467,---,-75.20,-65.16,-83.77
10338468,---,60.27,56.72,64.19
10338469,---,-77.82,-78.47,-77.24
10338470,---,-36.01,-13.71,-56.84
10338471,---,19.23,17.86,20.78
10338472,---,94.65,95.04,94.25
10338473,---,-19.14,-16.08,-22.46
10338474,---,15.44,27.81,6.32
10338475,---,94.30,93.84,94.87
10338476,---,-92.13,-82.34,-96.93
10338477,---,66.66,78.67,49.91
10338478,---,-62.91,-84.81,-39.67
10338479,---,-67.11,-86.77,-49.00
10338480,---,-13.63,41.02,-62.86
10338481,---,-13.52,9.11,-33.86
10338482,---,35.78,38.38,32.60
10338483,---,97.05,97.01,97.05
10338484,---,-51.80,-45.30,-56.75
10338485,---,-10.53,-7.31,-14.13
10338486,---,4.35,4.18,4.42
10338487,---,94.60,95.50,93.41
10338488,---,-36.14,-12.84,-55.03
10338489,---,52.51,32.65,69.50
10338490,---,-62.90,-77.39,-46.28
10338491,---,-15.71,-25.24,-9.11
10338492,---,-90.48,-84.49,-94.10
10338493,---,-92.05,-96.86,-80.36
10338494,---,64.59,63.69,65.33
10338495,---,-26.36,32.86,-70.67
10338496,---,11.87,19.44,3.64
10338497,---,67.91,87.61,37.01
10338498,---,74.94,70.25,78.50
10338499,---,-84.66,-72.34,-93.37
10338500,---,-7.32,-12.31,-2.12
10338501,---,79.06,78.52,79.45
10338502,---,-40.94,-37.70,-44.58
10338503,---,-18.59,-65.61,23.58
10338504,---,89.07,90.03,87.42
10338505,---,-59.61,-78.54,-34.61
10338506,---,-51.19,-33.68,-66.50
10338507,---,-20.27,-33.56,-4.16
10338508,---,24.63,7.87,39.68
10338509,---,-82.49,-79.27,-85.48
10338510,---,-12.52,-26.73,2.21
10338511,---,-20.32,-35.25,-2.54
10338512,---,-85.88,-81.45,-89.96
10338513,---,35.09,73.08,-20.89
10338514,---,13.71,15.81,11.61
10338515,---,-69.09,-61.65,-75.05
10338516,---,-46.61,-44.96,-48.09
10338517,---,91.11,83.85,95.79
10338518,---,-86.50,-88.27,-84.57
10338519,---,-4.94,-11.23,0.75
10338520,---,-55.90,-49.01,-62.66
10338521,---,31.45,27.15,35.71
10338522,---,34.80,30.77,38.82
10338523,---,-36.70,-47.60,-25.80
10338524,---,10.63,22.64,-0.66
10338525,---,-82.65,-84.38,-80.88
10338526,---,-44.34,-60.77,-29.14
10338527,---,-52.81,-6.29,-81.69
10338528,---,27.68,43.21,12.98
10338529,---,-11.28,5.94,-30.64
10338530,---,55.52,60.02,50.91
10338531,---,-44.62,-44.07,-45.44
10338532,---,-26.59,-24.97,-28.06
10338533,---,66.90,85.70,38.21
10338534,---,-25.87,-11.36,-42.19
10338535,---,-51.47,-58.51,-43.25
10338536,---,-69.19,-79.99,-54.76
10338537,---,-23.59,-24.71,-22.55
10338538,---,-15.80,-15.77,-15.80
10338539,---,-69.00,-58.74,-78.10
10338540,---,20.63,24.76,17.30
10338541,---,-2.18,-0.09,-4.81
10338542,---,94.48,93.85,94.98
10338543,---,-24.75,-14.24,-37.02
10338544,---,-85.03,-69.11,-95.93
10338545,---,23.05,26.37,20.11
10338546,---,-95.16,-90.24,-98.32
10338547,---,-21.28,-62.77,19.29
10338548,---,-68.15,-59.98,-75.76
10338549,---,-40.36,-58.99,-24.38
10338550,---,-87.37,-81.72,-91.52
10338551,---,55.84,-6.74,85.45
10338552,---,55.86,50.45,59.39
10338553,---,-20.85,37.19,-67.87
10338554,---,-51.58,-33.53,-69.52
10338555,---,15.82,-39.36,66.87
10338556,---,-1.39,6.84,-13.29
10338557,---,14.43,34.91,-7.87
10338558,---,-90.67,-91.08,-90.15
10338559,---,64.24,63.55,64.85
10338560,---,-56.45,-50.19,-63.69
10338561,---,40.81,50.99,29.14
10338562,---,-41.93,-48.36,-35.58
10338563,---,-30.24,-31.04,-29.24
10338564,---,-37.16,-28.46,-46.30
10338565,---,12.14,19.29,5.69
10338566,---,8.52,19.61,-1.87
10338567,---,63.22,62.89,63.67
10338568,---,46.45,42.40,49.93
10338569,---,-44.78,2.66,-82.23
10338570,---,-66.53,-81.07,-47.74
10338571,---,-39.15,-43.37,-34.67
10338572,---,33.25,58.75,-2.72
10338573,---,-18.09,31.16,-62.07
10338574,---,96.25,97.36,94.31
10338575,---,-41.20,-54.57,-28.57
10338576,---,16.17,63.09,-37.21
10338577,---,-57.52,-37.18,-76.69
10338578,---,11.76,20.91,5.63
10338579,---,-18.30,-3.89,-42.36
10338580,---,-18.82,43.90,-72.88
10338581,---,-54.59,-50.86,-58.55
10338582,---,40.40,56.11,18.11
10338583,---,-66.39,-31.43,-94.72
10338584,---,47.48,59.64,33.81
10338585,---,95.40,96.15,94.49
10338586,---,39.52,48.68,29.21
10338587,---,43.04,33.31,52.10
10338588,---,7.76,24.62,-8.47
10338589,---,-86.84,-88.48,-84.92
10338590,---,-71.88,-39.79,-94.03
10338591,---,42.76,68.39,-0.47
10338592,---,-42.79,-69.97,-23.70
10338593,---,-53.10,-39.44,-65.17
10338594,---,-53.35,-59.80,-44.97
10338595,---,59.32,89.81,5.37
10338596,---,-47.72,-52.51,-42.55
10338597,---,-81.02,-81.65,-80.19
10338598,---,-90.80,-92.36,-88.66
10338599,---,-15.96,-7.16,-25.08
10338600,---,-16.55,10.90,-39.32
10338601,---,-33.43,-10.35,-52.99
10338602,---,-49.42,-13.65,-77.24
10338603,---,76.25,75.50,76.97
10338604,---,89.52,89.04,89.99
10338605,---,37.70,35.08,40.57
10338606,---,60.72,71.15,47.30
10338607,---,26.89,22.33,31.80
10338608,---,-19.07,-39.17,-0.46
10338609,---,-29.93,-69.13,-3.43
10338610,---,-51.84,-57.62,-44.64
10338611,---,-34.11,-11.49,-58.27
10338612,---,-13.27,-34.10,8.11
10338613,---,-28.49,-36.43,-20.84
10338614,---,-12.84,-8.38,-17.25
10338615,---,-23.72,10.78,-53.25
10338616,---,8.02,20.37,-3.96
10338617,---,21.02,7.40,33.50
10338618,---,-66.54,-69.42,-64.08
10338619,---,61.55,71.72,49.85
10338620,---,-55.20,-23.31,-84.94
10338621,---,-20.92,-20.37,-21.42
10338622,---,-52.80,-73.98,-30.80
10338623,---,-27.16,-3.79,-50.67
10338624,---,29.51,53.71,0.85
10338625,---,-77.22,-77.31,-77.17
10338626,---,9.52,-25.59,45.06
10338627,---,92.03,90.56,93.20
10338628,---,44.37,17.32,64.93
10338629,---,-74.52,-72.24,-76.43
10338630,---,-71.40,-63.01,-78.82
10338631,---,-57.67,-62.01,-53.03
10338632,---,-37.98,-38.82,-37.14
10338633,---,77.32,71.93,82.00
10338634,---,-72.52,-77.12,-67.79
10338635,---,34.57,67.37,-7.06
10338636,---,-25.63,2.01,-57.00
10338637,---,37.32,67.20,-3.83
10338638,---,-32.71,38.34,-80.77
10338639,---,3.03,29.77,-23.80
10338640,---,-22.96,-24.82,-21.33
10338641,---,-26.86,-3.76,-55.57
10338642,---,-57.16,-21.11,-83.59
10338643,---,57.20,78.83,30.37
10338644,---,25.23,12.00,37.04
10338645,---,-2.71,-4.57,-0.73
10338646,---,80.19,80.95,79.06
10338647,---,31.44,20.02,42.78
10338648,---,-7.54,37.65,-50.23
10338649,---,-83.42,-84.32,-82.50
10338650,---,-24.67,18.47,-61.74
10338651,---,34.82,5.41,60.32
10338652,---,-32.25,-31.77,-32.73
10338653,---,78.26,81.06,75.12
10338654,---,-92.20,-93.87,-89.40
10338655,---,-17.68,16.67,-52.85
10338656,---,83.90,86.44,81.70
10338657,---,-26.44,-21.09,-31.82
10338658,---,88.28,88.80,87.84
10338659,---,-73.08,-46.47,-89.28
10338660,---,-66.09,-48.73,-80.00
10338661,---,-64.29,-78.43,-44.49
10338662,---,74.84,65.19,82.15
10338663,---,-3.31,-18.32,20.01
10338664,---,0.46,2.61,-7.59
10338665,---,-76.82,-65.16,-85.22
10338666,---,60.05,74.21,43.24
10338667,---,-70.94,-47.86,-89.51
10338668,---,-5.95,36.35,-36.27
10338669,---,-56.40,-77.69,-35.31
10338670,---,-32.77,-47.49,-19.10
10338671,---,-89.55,-75.99,-96.80
10338672,---,-4.77,14.39,-22.85
10338673,---,98.59,97.11,99.61
10338674,---,8.72,9.50,8.36
10338675,---,-29.63,-8.64,-50.55
10338676,---,-41.74,-27.01,-57.38
10338677,---,-23.73,-11.21,-39.21
10338678,---,-72.33,-90.79,-38.26
10338679,---,22.20,53.68,-12.19
10338680,---,51.68,24.08,71.66
10338681,---,-52.36,-32.55,-64.53
10338682,---,-37.82,-47.01,-28.74
10338683,---,25.22,37.37,15.63
10338684,---,26.52,42.60,8.28
10338685,---,-30.14,-37.82,-21.80
10338686,---,-8.01,23.06,-32.90
10338687,---,-76.30,-79.85,-71.62
10338688,---,84.30,77.60,89.00
10338689,---,-8.55,27.87,-38.31
10338690,---,-12.78,-11.15,-14.93
10338691,---,-96.76,-93.56,-98.63
10338692,---,-43.56,-4.23,-82.34
10338693,---,-86.46,-91.37,-80.40
10338694,---,-84.42,-89.45,-77.70
10338695,---,-65.06,-35.62,-84.36
10338696,---,-60.20,-42.19,-77.23
10338697,---,-84.24,-60.08,-97.71
10338698,---,-62.39,-67.40,-57.32
10338699,---,-37.30,-29.14,-45.98
10338700,---,-43.99,-17.21,-65.10
10338701,---,-63.88,-55.14,-70.68
10338702,---,27.45,61.14,-17.42
10338703,---,-67.01,-54.83,-76.88
10338704,---,96.17,97.11,94.75
10338705,---,34.81,30.11,39.08
10338706,---,7.06,-0.87,16.27
10338707,---,16.88,52.47,-21.67
10338708,---,-76.45,-76.20,-76.61
10338709,---,25.62,19.62,31.27
10338710,---,6.38,63.81,-47.55
10338711,---,-50.31,-44.58,-55.40
10338712,---,-53.34,-51.74,-55.16
10338713,---,-68.58,-35.31,-86.65
10338714,---,-12.11,12.06,-33.79
10338715,---,71.43,81.33,58.96
10338716,---,-4.84,28.55,-37.21
10338717,---,25.85,57.65,-13.18
10338718,---,69.56,65.95,73.08
10338719,---,-63.30,-56.23,-69.02
10338720,---,6.61,7.70,5.28
10338721,---,-62.91,-46.66,-79.28
10338722,---,27.22,72.57,-31.98
10338723,---,-89.11,-83.53,-94.32
10338724,---,9.88,29.93,-9.39
10338725,---,-24.74,-5.92,-44.00
10338726,---,17.72,47.17,-11.32
10338727,---,18.70,18.86,18.49
10338728,---,-41.88,-40.11,-43.58
10338729,---,24.23,60.95,-16.78
10338730,---,19.46,26.18,12.07
10338731,---,-70.13,-48.18,-87.52
10338732,---,81.25,13.61,98.11
10338733,---,5.95,-15.10,27.80
10338734,---,89.84,91.18,88.63
10338735,---,-52.38,-21.66,-88.12
10338736,---,-37.81,-25.84,-49.48
10338737,---,-85.76,-95.87,-66.09
10338738,---,71.15,89.75,35.40
10338739,---,-9.15,38.68,-53.80
10338740,---,55.00,56.31,54.05
10338741,---,13.13,1.14,25.66
10338742,---,-55.87,-66.56,-43.85
10338743,---,-16.91,17.99,-47.50
10338744,---,96.93,98.86,90.38
10338745,---,61.28,75.34,45.11
10338746,---,33.36,38.39,28.02
10338747,---,-12.14,14.73,-36.46
10338748,---,50.68,28.04,66.54
10338749,---,17.72,6.34,27.73
