Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II+,Sample_,Sample_,Sample_
10338437,---,1.86,-11.12,-35.13,34.62
10338438,---,67.25,89.12,46.38,51.69
10338439,---,-34.18,-85.40,65.89,-63.31
10338440,---,20.03,27.13,90.78,-85.56
10338441,---,45.14,36.46,28.89,64.98
10338442,---,-29.89,-30.26,-36.97,-23.96
10338443,---,-21.60,-16.26,-68.86,21.98
10338444,---,-21.74,-92.11,2.92,-18.38
10338445,---,83.42,97.89,73.97,46.76
10338446,---,45.47,63.34,67.58,7.94
10338447,---,-2.11,18.83,-53.74,29.58
10338448,---,51.99,81.18,46.14,6.85
10338449,---,78.52,96.99,89.98,10.69
10338450,---,6.00,-78.58,75.01,26.53
10338451,---,-4.77,-82.10,-5.12,65.47
10338452,---,32.71,86.45,-4.13,-11.03
10338453,---,22.87,8.05,14.31,45.22
10338454,---,-27.76,-61.07,-14.89,-13.53
10338455,---,-36.40,-56.70,-80.84,47.96
10338456,---,45.94,13.24,20.25,82.94
10338457,---,-37.76,-50.03,-4.51,-56.66
10338458,---,-18.91,-39.86,-0.96,-17.87
10338459,---,-17.83,-91.41,-25.81,61.45
10338460,---,59.00,63.90,65.63,46.46
10338461,---,76.59,96.27,86.89,-9.59
10338462,---,6.75,28.17,8.38,-7.51
10338463,---,-64.72,-72.39,-61.46,-54.85
10338464,---,13.31,-11.65,13.66,39.28
10338465,---,19.76,52.83,-67.89,70.78
10338466,---,59.79,40.24,64.64,70.50
10338467,---,-15.13,64.40,-70.58,-40.90
10338468,---,68.01,91.15,43.77,50.83
10338469,---,-54.61,-53.29,-38.37,-75.08
10338470,---,40.73,72.95,-6.48,42.31
10338471,---,28.29,64.60,39.39,7.17
10338472,---,95.36,95.54,96.16,94.21
10338473,---,63.75,84.85,34.91,61.08
10338474,---,17.23,24.34,10.18,18.41
10338475,---,98.97,99.39,99.73,96.73
10338476,---,13.97,-47.32,49.69,38.06
10338477,---,12.29,6.20,36.01,-2.12
10338478,---,32.13,-0.51,12.61,67.55
10338479,---,-85.27,-95.31,-85.53,-69.78
10338480,---,75.44,81.30,87.03,51.26
10338481,---,17.57,-11.03,1.00,57.46
10338482,---,75.63,93.71,84.46,31.52
10338483,---,89.93,62.18,91.08,96.97
10338484,---,-41.69,15.77,-83.70,-39.27
10338485,---,-23.13,0.49,-41.30,-33.41
10338486,---,-4.11,-16.81,-23.91,30.79
10338487,---,6.69,-68.90,51.28,42.70
10338488,---,72.76,82.00,81.62,36.80
10338489,---,63.59,78.02,72.60,34.57
10338490,---,70.90,72.99,72.19,68.22
10338491,---,46.05,52.99,50.96,32.55
10338492,---,50.46,82.75,50.00,-10.53
10338493,---,-68.73,-68.31,-92.03,-30.81
10338494,---,74.09,85.55,83.83,28.98
10338495,---,71.67,94.53,76.69,4.28
10338496,---,16.86,29.72,-0.11,22.48
10338497,---,90.20,92.56,95.62,76.13
10338498,---,48.23,92.70,65.64,-33.82
10338499,---,14.80,22.41,1.52,19.61
10338500,---,-1.18,-29.12,-62.70,78.02
10338501,---,78.36,96.41,-4.72,80.97
10338502,---,-23.70,-40.55,-21.73,-6.49
10338503,---,-4.65,2.27,53.22,-58.12
10338504,---,91.37,86.58,91.22,94.49
10338505,---,68.44,90.85,62.79,35.16
10338506,---,55.80,12.00,82.98,52.22
10338507,---,75.91,32.68,81.59,90.56
10338508,---,6.43,-10.09,54.55,-16.99
10338509,---,51.56,58.62,36.04,56.50
10338510,---,-18.66,10.78,-13.38,-48.35
10338511,---,92.47,90.59,94.77,91.91
10338512,---,3.58,28.81,23.23,-35.58
10338513,---,81.47,-9.26,84.80,98.19
10338514,---,-62.04,-42.95,-62.20,-74.24
10338515,---,-78.89,-80.89,-84.72,-70.05
10338516,---,83.50,88.66,79.44,79.83
10338517,---,24.21,0.78,30.47,44.12
10338518,---,-32.11,7.38,-68.87,-24.44
10338519,---,-18.14,5.10,-2.60,-48.02
10338520,---,38.17,70.00,70.12,-41.27
10338521,---,45.93,74.11,34.16,19.35
10338522,---,2.72,1.07,0.54,6.02
10338523,---,43.13,87.83,-41.45,58.58
10338524,---,38.47,28.76,24.12,59.85
10338525,---,30.70,55.64,27.71,2.83
10338526,---,21.32,34.46,72.61,-48.14
10338527,---,14.87,64.52,2.63,-26.92
10338528,---,2.00,6.33,-9.17,6.24
10338529,---,-19.53,-24.30,32.81,-65.71
10338530,---,90.89,96.93,97.95,61.96
10338531,---,28.15,-3.13,53.35,28.66
10338532,---,54.58,74.16,22.21,57.16
10338533,---,70.46,2.81,95.51,72.16
10338534,---,8.25,66.51,4.46,-47.09
10338535,---,-11.22,25.71,-27.04,-29.15
10338536,---,69.27,33.43,53.74,92.59
10338537,---,59.46,64.89,32.31,76.24
10338538,---,80.45,97.80,86.94,8.62
10338539,---,48.46,67.65,-1.95,60.15
10338540,---,13.42,26.48,8.57,7.85
10338541,---,69.48,79.94,46.99,82.51
10338542,---,88.93,87.36,93.45,84.07
10338543,---,-4.97,-79.85,-38.20,86.13
10338544,---,34.46,92.87,-81.50,-5.25
10338545,---,77.33,78.23,86.68,62.19
10338546,---,88.41,95.58,70.90,87.30
10338547,---,42.35,67.47,-4.35,52.91
10338548,---,-37.63,-15.96,-21.65,-83.03
10338549,---,-13.35,4.91,-43.06,-8.69
10338550,---,26.12,8.59,-11.69,66.40
10338551,---,-19.37,-33.20,33.70,-50.28
10338552,---,66.25,71.57,78.58,33.35
10338553,---,45.07,85.90,77.26,-71.40
10338554,---,44.10,69.16,70.84,-20.04
10338555,---,7.68,73.30,-88.22,51.81
10338556,---,-82.94,-90.65,-74.65,-74.12
10338557,---,59.13,27.51,68.13,73.49
10338558,---,-30.91,-27.13,-21.86,-43.78
10338559,---,70.52,76.30,86.36,35.04
10338560,---,80.65,97.71,66.60,25.30
10338561,---,77.94,87.98,88.46,40.16
10338562,---,-10.37,-17.46,-6.83,-7.71
10338563,---,53.22,78.11,-15.18,71.67
10338564,---,-42.47,-59.74,-35.11,-33.61
10338565,---,24.76,28.02,40.79,4.06
10338566,---,-1.37,-44.14,44.65,1.16
10338567,---,31.30,31.21,26.31,37.05
10338568,---,46.52,92.30,-46.07,41.99
10338569,---,90.09,96.26,81.41,85.58
10338570,---,-29.61,14.66,-47.93,-51.01
10338571,---,9.74,29.33,-3.89,4.68
10338572,---,-24.17,-16.30,-63.13,4.36
10338573,---,35.59,-27.07,72.72,46.19
10338574,---,35.29,59.54,63.75,-27.60
10338575,---,-35.12,-43.81,-40.46,-22.11
10338576,---,98.02,96.14,98.82,98.00
10338577,---,-17.47,0.39,-26.62,-29.99
10338578,---,2.31,0.71,1.69,5.43
10338579,---,27.23,-10.87,26.32,64.19
10338580,---,-7.92,-55.54,67.87,-41.68
10338581,---,-31.64,3.48,-39.67,-52.15
10338582,---,-42.87,-4.47,-52.08,-69.50
10338583,---,-5.34,66.71,-8.39,-73.73
10338584,---,55.28,35.61,57.83,69.06
10338585,---,94.11,96.02,97.01,89.53
10338586,---,88.68,89.20,77.14,93.65
10338587,---,93.15,84.48,89.50,97.57
10338588,---,7.05,-23.57,4.27,40.15
10338589,---,-30.11,7.95,-52.85,-46.29
10338590,---,-1.19,-4.13,-2.65,7.07
10338591,---,11.01,62.07,33.46,-51.58
10338592,---,-32.20,-34.12,-34.12,-28.54
10338593,---,70.74,91.18,82.03,-1.12
10338594,---,-52.88,-97.29,59.35,-43.26
10338595,---,56.69,87.24,80.91,-33.28
10338596,---,-2.24,71.68,-12.95,-61.41
10338597,---,18.86,58.47,-97.13,88.53
10338598,---,34.54,77.97,43.40,-23.89
10338599,---,-29.31,1.50,-45.87,-44.94
10338600,---,77.75,96.06,63.64,36.42
10338601,---,-51.36,-51.28,-62.98,-38.24
10338602,---,57.35,70.06,38.63,58.61
10338603,---,71.59,79.38,83.16,41.71
10338604,---,17.87,26.57,58.39,-45.75
10338605,---,-12.05,-13.03,-13.49,-10.13
10338606,---,87.08,86.93,87.62,86.33
10338607,---,86.02,78.20,86.51,90.67
10338608,---,35.97,71.99,36.55,-21.59
10338609,---,-12.51,37.13,-25.17,-39.37
10338610,---,45.54,33.63,-29.56,87.04
10338611,---,80.53,93.99,90.90,31.89
10338612,---,-39.79,-10.87,-64.95,-41.46
10338613,---,72.81,87.29,78.42,44.71
10338614,---,-14.48,52.77,-48.09,-43.58
10338615,---,34.76,26.34,31.03,45.51
10338616,---,78.81,77.09,77.72,81.18
10338617,---,55.99,87.16,8.39,48.34
10338618,---,-43.64,-3.82,-88.30,-20.13
10338619,---,93.55,95.19,91.99,93.08
10338620,---,-22.76,-6.98,-24.32,-37.76
10338621,---,-16.11,5.48,-10.09,-47.21
10338622,---,-18.25,20.66,-71.21,-4.07
10338623,---,89.52,94.31,92.58,74.50
10338624,---,42.84,78.74,49.24,-18.67
10338625,---,-35.78,-57.73,-1.14,-46.27
10338626,---,-30.45,-33.44,-41.78,-15.68
10338627,---,74.86,95.28,94.56,-44.55
10338628,---,52.33,62.22,12.79,70.58
10338629,---,68.99,84.34,47.75,63.67
10338630,---,-10.34,-0.88,-4.52,-36.13
10338631,---,-4.17,-13.22,-14.74,1.97
10338632,---,-0.04,32.02,-43.03,25.19
10338633,---,34.22,61.50,41.06,-4.70
10338634,---,-32.96,-42.89,21.05,-69.60
10338635,---,52.48,76.91,-3.88,66.81
10338636,---,-22.51,11.50,-14.07,-64.27
10338637,---,41.53,17.38,37.63,64.45
10338638,---,24.78,55.09,63.82,-51.24
10338639,---,80.11,72.17,75.08,88.72
10338640,---,-20.18,-0.12,-22.18,-45.78
10338641,---,-9.13,-13.46,-6.03,-8.17
