Probeset_ID,Gene Symbol,L+WT,Sample_,Sample_,Sample_
10338113,---,-20.77,-0.26,-23.60,-41.46
10338114,---,-7.37,61.35,27.19,-88.70
10338115,---,-49.79,-31.87,-85.42,-26.72
10338116,---,95.76,95.92,95.14,96.06
10338117,---,-51.24,-63.83,-32.78,-54.42
10338118,---,-22.96,-24.99,-17.38,-26.94
10338119,---,81.15,90.14,59.04,84.00
10338120,---,75.29,79.88,71.54,73.89
10338121,---,-54.91,11.83,-80.96,-85.57
10338122,---,-83.24,-94.84,-40.04,-93.08
10338123,---,-48.86,-45.97,-47.23,-52.91
10338124,---,-61.91,-35.59,-41.42,-95.39
10338125,---,-54.64,-70.43,-64.07,-27.91
10338126,---,-74.08,-50.68,-89.84,-77.36
10338127,---,-19.87,-12.22,-45.42,-2.80
10338128,---,95.25,95.25,94.51,95.76
10338129,---,36.96,27.98,44.50,37.81
10338130,---,-45.62,-46.66,-4.65,-86.03
10338131,---,59.29,55.03,8.58,84.88
10338132,---,61.63,59.71,91.39,-10.52
10338133,---,-35.30,28.94,-56.83,-64.75
10338134,---,-69.72,-81.22,-73.87,-46.51
10338135,---,12.73,38.40,24.41,-18.87
10338136,---,36.69,8.50,70.49,19.24
10338137,---,90.76,73.08,97.30,89.36
10338138,---,17.85,10.02,19.96,26.43
10338139,---,13.72,1.61,2.40,37.37
10338140,---,-96.11,-91.58,-95.99,-99.15
10338141,---,-22.43,-52.58,-14.06,-13.51
10338142,---,13.90,-59.96,26.96,68.75
10338143,---,-88.54,-98.62,-99.01,-46.48
10338144,---,-13.41,11.60,-25.57,-24.61
10338145,---,-84.12,-60.51,-99.66,-41.50
10338146,---,84.47,88.90,75.81,87.71
10338147,---,-62.23,-53.29,-69.42,-59.14
10338148,---,-3.22,-67.63,-5.70,65.73
10338149,---,-62.88,-73.98,-63.40,-47.75
10338150,---,91.77,91.12,91.49,92.55
10338151,---,-84.21,-56.28,-66.03,-99.28
10338152,---,99.89,99.97,99.61,99.83
10338153,---,-7.86,-60.89,-22.63,62.80
10338154,---,5.08,17.10,-35.72,23.84
10338155,---,53.55,46.00,46.11,68.43
10338156,---,-39.31,-30.65,9.70,-79.02
10338157,---,-40.86,13.69,-88.98,-32.00
10338158,---,-43.30,15.65,-73.80,-74.72
10338159,---,-72.91,-73.75,-87.69,-48.49
10338160,---,84.27,86.37,82.17,83.54
10338161,---,77.93,71.25,78.79,82.16
10338162,---,-52.25,21.99,-93.17,-45.14
10338163,---,15.01,17.65,9.92,16.54
10338164,---,-40.10,-66.67,-3.47,-48.09
10338165,---,-85.22,-87.72,-86.32,-80.82
10338166,---,-66.34,-40.27,-84.56,-56.43
10338167,---,-58.75,-75.18,-95.81,-8.26
10338168,---,-83.17,-60.69,-85.16,-92.60
10338169,---,85.45,97.53,81.24,59.81
10338170,---,-57.03,-61.27,-66.44,-44.41
10338171,---,-34.30,-30.94,-33.42,-39.05
10338172,---,10.83,-22.55,-17.56,68.55
10338173,---,-13.67,35.99,-38.12,-27.39
10338174,---,-38.94,31.56,-62.25,-70.86
10338175,---,-17.77,-86.88,-71.72,79.46
10338176,---,19.32,34.31,15.08,11.36
10338177,---,83.80,89.52,98.48,0.80
10338178,---,90.06,86.46,92.64,89.84
10338179,---,16.69,15.75,11.42,25.66
10338180,---,21.18,21.72,13.41,28.41
10338181,---,-46.42,-76.77,-1.26,-58.58
10338182,---,98.01,77.13,99.50,98.51
10338183,---,-39.27,-60.27,-61.76,-4.74
10338184,---,54.68,70.05,10.37,73.35
10338185,---,-88.78,-95.01,-83.82,-84.89
10338186,---,42.99,58.23,26.79,39.07
10338187,---,65.38,20.98,83.33,73.40
10338188,---,22.14,19.92,-6.32,48.01
10338189,---,-45.55,-8.21,-48.71,-74.68
10338190,---,-8.71,12.05,-23.54,-10.22
10338191,---,37.34,31.10,65.26,3.52
10338192,---,-83.02,-99.81,-65.76,-7.31
10338193,---,33.98,59.70,15.53,19.32
10338194,---,46.50,37.67,53.45,47.21
10338195,---,23.00,33.23,15.92,21.34
10338196,---,28.88,29.25,24.78,33.45
10338197,---,0.40,24.33,37.91,-46.10
10338198,---,-94.19,-81.03,-95.10,-99.25
10338199,---,-93.92,-94.64,-98.03,-86.30
10338200,---,-92.36,-91.45,-89.78,-94.95
10338201,---,-61.52,-26.45,-22.63,-94.37
10338202,---,-7.00,-21.94,-10.58,12.65
10338203,---,-11.72,-79.10,10.71,43.96
10338204,---,94.41,98.15,98.39,35.12
10338205,---,48.59,52.21,44.14,49.00
10338206,---,-41.08,-47.64,-67.49,-16.36
10338207,---,-34.48,-33.52,-82.32,-10.91
10338208,---,88.11,88.71,82.97,91.07
10338209,---,67.30,72.43,61.58,68.22
10338210,---,-10.22,-32.95,-7.43,9.86
10338211,---,-57.15,-95.17,-59.15,36.66
10338212,---,-46.56,-42.55,-98.74,26.32
10338213,---,-64.70,-72.98,-34.83,-80.81
10338214,---,-0.56,26.49,-5.15,-18.73
10338215,---,48.51,-0.28,-14.90,90.62
10338216,---,-27.97,60.78,-43.43,-89.58
10338217,---,-99.61,-99.87,-99.38,-99.02
10338218,---,4.93,0.90,-11.53,25.63
10338219,---,99.49,99.69,96.81,99.86
10338220,---,-5.03,-13.41,-35.32,40.78
10338221,---,-19.70,-27.99,-11.26,-18.80
10338222,---,-6.07,-56.40,-30.40,71.67
10338223,---,-69.35,-32.37,-60.12,-92.58
10338224,---,-45.08,-37.18,-52.28,-44.86
10338225,---,15.75,71.58,15.30,-47.55
10338226,---,-30.28,-8.52,-74.93,-16.77
10338227,---,87.24,89.16,62.81,95.70
10338228,---,86.67,88.11,86.42,85.69
10338229,---,-43.14,-18.32,-57.60,-61.16
10338230,---,-15.73,-1.99,-29.12,-16.66
10338231,---,-40.78,-26.12,-51.90,-41.82
10338232,---,78.50,71.29,78.26,86.24
10338233,---,-17.69,-72.84,-51.62,70.15
10338234,---,-30.43,-39.17,-64.36,18.98
10338235,---,-64.27,-72.76,-64.76,-54.75
10338236,---,-97.20,-99.47,-92.23,-96.67
10338237,---,55.14,16.95,50.28,80.01
10338238,---,-74.18,-70.75,-89.11,-56.18
10338239,---,82.44,66.17,87.86,86.76
10338240,---,-62.06,-55.78,-55.78,-73.00
10338241,---,-30.61,-32.78,-28.50,-30.52
10338242,---,50.04,81.32,52.25,-1.31
10338243,---,-83.39,-75.77,-48.52,-98.86
10338244,---,2.48,1.92,10.43,-12.29
10338245,---,-71.06,-89.48,-65.75,-54.18
10338246,---,9.49,59.62,-57.89,30.27
10338247,---,1.70,37.95,-55.94,43.80
10338248,---,-6.87,-95.05,29.95,62.37
10338249,---,-12.68,5.13,-28.02,-16.39
10338250,---,48.23,53.88,26.76,61.12
10338251,---,27.13,-8.52,40.88,42.33
10338252,---,-82.80,-23.93,-91.50,-99.93
10338253,---,9.16,17.69,-5.96,15.32
10338254,---,39.21,50.81,38.59,25.92
10338255,---,-65.95,-40.45,-85.42,-74.93
10338256,---,-48.34,-37.42,-73.22,-31.15
10338257,---,41.88,43.64,49.15,32.67
10338258,---,6.39,61.13,-48.20,-1.54
10338259,---,-39.77,-71.04,-13.15,-42.69
10338260,---,-18.13,-17.25,17.15,-50.91
10338261,---,-16.14,17.12,-18.66,-46.10
10338262,---,-36.01,-67.01,51.25,-97.22
10338263,---,37.82,12.41,-5.21,83.28
10338264,---,97.50,98.44,96.24,97.32
10338265,---,-88.83,-88.01,-82.93,-93.13
10338266,---,-82.14,-82.07,-85.55,-78.08
10338267,---,85.07,68.27,88.06,91.35
10338268,---,-43.43,-2.94,-43.29,-74.25
10338269,---,67.82,79.23,75.26,37.43
10338270,---,-11.55,-1.42,-41.05,-0.31
10338271,---,-29.15,3.36,7.37,-78.95
10338272,---,93.16,94.48,90.02,94.33
10338273,---,0.10,26.87,-29.36,29.08
10338274,---,16.36,-47.68,48.50,48.84
10338275,---,-0.65,1.85,18.46,-18.60
10338276,---,-75.76,-57.28,-51.20,-95.74
10338277,---,32.14,55.43,-7.68,39.13
10338278,---,63.72,60.33,70.19,60.80
10338279,---,-64.25,-52.39,-47.11,-84.32
10338280,---,15.79,26.56,11.50,10.82
10338281,---,100.00,100.00,100.00,100.00
10338282,---,93.98,87.01,97.34,94.47
10338283,---,73.46,78.68,78.63,61.81
10338284,---,74.99,61.94,70.41,85.68
10338285,---,8.10,-38.24,18.29,47.65
10338286,---,-23.64,-20.39,-53.54,9.19
10338287,---,-97.10,-97.03,-92.52,-99.04
10338288,---,-69.83,-26.37,-77.25,-92.29
10338289,---,16.76,48.55,31.95,-31.34
10338290,---,15.69,-11.69,34.47,30.56
10338291,---,-51.05,-49.27,-49.58,-53.55
10338292,---,54.28,57.87,47.83,56.79
10338293,---,39.44,29.36,55.41,31.92
10338294,---,-29.92,-9.30,-17.84,-61.33
10338295,---,38.55,54.09,24.39,35.51
10338296,---,-70.77,-40.05,-73.33,-92.06
10338297,---,-43.12,-3.02,-76.87,-50.64
10338298,---,30.83,28.15,35.84,28.13
10338299,---,89.21,68.45,91.72,95.47
10338300,---,31.89,43.24,34.24,18.01
10338301,---,62.76,57.03,-12.99,92.49
10338302,---,-13.67,-47.29,33.51,-20.27
10338303,---,-74.99,-51.62,-98.55,-49.48
10338304,---,-60.84,-25.90,-90.77,-48.34
10338305,---,-58.22,-40.91,-60.54,-70.14
10338306,---,92.03,91.71,94.42,89.78
10338307,---,-60.88,-74.70,-63.54,-44.58
10338308,---,-9.63,68.93,-78.00,-8.26
10338309,---,-0.64,-40.77,46.16,23.87
10338310,---,41.09,25.46,-10.45,79.89
10338311,---,-30.58,-36.96,-21.31,-32.38
10338312,---,-57.58,-76.79,-49.31,-43.14
10338313,---,-51.46,-40.61,-27.13,-83.41
10338314,---,-54.29,-40.09,-40.36,-74.72
10338315,---,29.32,26.28,30.70,29.90
10338316,---,44.86,64.21,54.86,7.65
10338317,---,5.89,-3.18,9.24,10.96
10338318,---,-36.67,-62.74,41.78,-70.31
10338319,---,2.69,-19.96,-21.34,47.82
10338320,---,45.16,53.22,48.76,30.85
10338321,---,-65.89,-47.49,-58.95,-85.27
10338322,---,85.61,90.91,81.66,81.31
10338323,---,7.26,20.66,30.75,-25.33
10338324,---,52.82,18.96,50.97,77.16
10338325,---,-55.14,-56.84,-72.20,-27.46
10338326,---,84.82,91.73,83.36,78.11
10338327,---,67.69,56.04,71.06,74.54
10338328,---,-49.91,-18.73,-90.56,-56.95
10338329,---,-21.10,-48.27,-55.22,27.87
10338330,---,-6.23,-28.13,-2.17,8.40
10338331,---,-68.84,-64.12,-89.52,-46.22
10338332,---,86.07,85.90,86.37,85.60
10338333,---,-28.48,-87.10,-14.30,-11.42
10338334,---,58.82,40.30,37.01,81.55
10338335,---,-8.43,-20.52,-35.19,36.78
10338336,---,-17.47,7.91,-34.09,-27.05
10338337,---,68.41,84.06,48.26,51.32
10338338,---,-10.81,72.54,-25.60,-77.43
10338339,---,-66.25,-56.61,-80.80,-58.30
10338340,---,-96.25,-95.74,-99.43,-87.47
10338341,---,56.99,32.59,73.14,58.70
10338342,---,-48.10,-72.65,-32.42,-41.38
10338343,---,-87.26,-79.16,-83.08,-96.38
10338344,---,-63.52,-42.16,-75.99,-63.52
10338345,---,-90.46,-94.19,-73.62,-96.40
10338346,---,42.07,24.66,-16.60,82.98
10338347,---,81.72,81.00,81.11,83.00
10338348,---,-33.57,18.80,-48.05,-58.23
10338349,---,-66.38,-56.33,-63.88,-76.73
10338350,---,-48.26,-45.92,-13.35,-78.71
10338351,---,-9.31,-43.38,0.81,17.17
10338352,---,-11.46,-36.87,26.26,-16.77
10338353,---,84.48,86.86,84.17,82.03
10338354,---,7.36,4.11,4.02,15.27
10338355,---,-6.12,42.19,-47.91,-18.64
10338356,---,75.79,70.68,92.22,43.45
10338357,---,-34.31,-69.07,-34.96,-5.20
10338358,---,-41.84,-33.42,-24.17,-67.44
10338359,---,99.67,99.79,99.79,98.88
10338360,---,-68.26,-89.32,-35.49,-64.32
10338361,---,94.35,93.68,94.39,95.18
10338362,---,64.47,94.20,-28.40,55.39
10338363,---,-28.33,-58.17,-25.44,6.56
10338364,---,-69.87,-15.95,-90.29,-82.94
10338365,---,-9.94,63.53,-38.07,-51.89
10338366,---,97.25,97.91,98.12,94.78
10338367,---,-39.12,-19.31,-34.33,-61.22
10338368,---,-44.29,-67.59,-53.92,-11.02
10338369,---,-57.37,-84.69,-41.13,-29.81
10338370,---,31.44,12.58,74.90,-16.75
10338371,---,-30.68,-12.86,-26.09,-50.32
10338372,---,-67.85,-78.63,-62.98,-61.63
10338373,---,48.70,41.49,55.84,47.80
10338374,---,-97.77,-90.77,-98.34,-99.05
10338375,---,37.49,16.60,49.56,44.18
10338376,---,-88.79,-84.43,-100.00,-60.43
10338377,---,-65.01,-63.69,-55.88,-73.81
10338378,---,-11.94,-6.46,23.21,-47.87
10338379,---,3.37,-30.06,-90.10,93.61
10338380,---,0.00,-0.51,-0.90,5.12
10338381,---,-26.99,-13.43,-83.31,-4.70
10338382,---,-79.20,-61.52,-79.45,-89.12
10338383,---,-16.47,-17.25,2.97,-35.93
10338384,---,83.09,59.40,87.82,92.15
10338385,---,-72.62,-42.79,-80.58,-83.75
10338386,---,-56.26,-47.53,-32.73,-86.57
10338387,---,66.46,73.79,50.63,72.57
10338388,---,31.87,70.68,38.30,-37.09
10338389,---,-90.21,-89.40,-90.13,-90.96
10338390,---,69.00,63.48,30.63,90.84
10338391,---,-41.33,-67.04,-27.96,-26.47
10338392,---,-66.46,-56.46,-34.89,-90.84
10338393,---,2.41,-16.46,4.98,28.39
10338394,---,-90.85,-89.35,-91.69,-91.69
10338395,---,-79.01,-88.26,-65.12,-74.72
10338396,---,-15.53,-34.90,16.54,-23.09
10338397,---,21.32,32.33,-44.21,71.49
10338398,---,36.05,-1.02,27.96,68.34
10338399,---,-11.62,-12.95,-39.52,5.33
10338400,---,-51.16,-35.14,-75.95,-40.25
10338401,---,-61.86,-62.28,-69.17,-53.91
10338402,---,5.54,39.06,-30.68,18.77
10338403,---,-30.57,-24.57,-40.39,-26.23
10338404,---,48.51,39.33,61.24,43.09
10338405,---,-51.92,-45.56,-86.77,-27.44
10338406,---,-56.47,-65.36,-55.19,-47.44
10338407,---,33.05,53.06,25.45,17.88
10338408,---,55.46,25.88,90.62,16.21
10338409,---,-35.85,-7.36,-25.83,-66.81
10338410,---,92.80,95.42,93.69,80.25
10338411,---,-31.12,-23.74,-19.15,-48.00
10338412,---,98.29,99.44,96.47,97.10
10338413,---,66.16,58.35,47.00,78.78
10338414,---,-29.33,-46.49,17.36,-54.45
10338415,---,-38.27,-42.82,-64.15,-2.85
10338416,---,62.23,54.09,54.09,72.18
10338417,---,-84.33,-80.90,-84.68,-86.69
10338418,---,-62.82,-68.59,-73.42,-46.61
10338419,---,10.04,5.29,-5.10,30.62
10338420,---,-42.77,-83.65,-62.80,35.58
10338421,---,-89.93,-80.39,-88.30,-96.54
10338422,---,-31.00,-44.24,-59.58,16.91
10338423,---,82.41,94.21,64.43,79.97
10338424,---,56.18,43.76,60.45,62.08
10338425,---,20.59,6.00,30.11,22.59
10338426,---,-75.96,-75.40,-55.02,-89.25
10338427,---,99.74,99.67,99.57,99.80
10338428,---,-60.14,-59.63,-87.76,-31.91
10338429,---,44.59,42.24,80.72,-12.13
10338430,---,-8.19,-21.58,-42.42,50.72
10338431,---,-88.05,-82.28,-95.33,-81.96
10338432,---,-92.37,-99.34,-96.89,-73.88
10338433,---,56.36,36.71,62.60,66.89
10338434,---,-94.78,-82.19,-97.74,-96.69
10338435,---,-58.65,-38.31,-82.18,-58.02
10338436,---,-68.57,-29.31,-95.77,-81.14
10338437,---,-46.20,-26.44,-43.04,-63.74
10338438,---,-67.16,-58.80,-93.99,-31.48
10338439,---,-81.72,-96.65,-77.15,-53.05
10338440,---,-17.41,-6.57,9.66,-50.62
10338441,---,73.89,75.74,90.78,26.68
10338442,---,-11.74,-13.20,-14.12,-8.03
10338443,---,68.76,55.56,85.07,52.46
10338444,---,-7.80,-99.86,-77.01,85.42
10338445,---,7.91,-8.26,-12.14,45.86
10338446,---,-27.34,-37.26,-25.02,-18.44
10338447,---,39.71,79.09,-23.28,42.56
10338448,---,-67.18,-54.26,-29.08,-94.36
10338449,---,61.28,66.56,68.03,47.14
10338450,---,24.32,-12.76,-30.17,85.03
10338451,---,-61.65,-23.47,-67.66,-94.77
10338452,---,-84.12,-99.02,-96.11,-40.15
10338453,---,49.07,46.21,68.61,24.69
10338454,---,-2.71,-23.07,85.51,-81.54
10338455,---,-16.02,38.10,-34.47,-42.90
10338456,---,-81.88,-69.29,-90.13,-82.68
10338457,---,-17.79,-4.64,-37.55,-9.85
10338458,---,59.73,68.17,42.49,65.30
10338459,---,-67.52,-38.10,-67.04,-91.88
10338460,---,-3.36,9.93,-21.85,-6.89
10338461,---,79.18,43.06,89.81,87.36
10338462,---,-70.27,-89.93,-60.41,-59.04
10338463,---,-53.10,-27.42,-42.72,-74.41
10338464,---,27.71,21.23,1.35,55.21
10338465,---,-32.71,21.26,-96.22,-3.66
10338466,---,-16.66,-0.03,0.25,-45.47
10338467,---,-76.50,-99.24,-14.55,-65.94
10338468,---,-77.64,-98.13,-53.51,-43.42
10338469,---,-57.39,-75.08,-41.71,-57.53
10338470,---,-27.17,-36.88,-24.72,-19.62
10338471,---,74.39,72.90,80.17,69.77
10338472,---,97.72,98.27,97.54,97.26
10338473,---,34.05,15.72,47.61,37.33
10338474,---,17.29,25.54,7.61,21.40
10338475,---,-1.58,4.52,-6.82,-1.01
10338476,---,-62.63,-96.84,-58.41,25.07
10338477,---,-91.44,-87.35,-85.50,-97.15
10338478,---,47.45,53.72,35.16,53.99
10338479,---,-49.42,-85.67,-49.00,-24.27
10338480,---,7.97,18.94,-10.64,13.86
10338481,---,6.60,-17.41,34.01,4.92
10338482,---,-30.48,-38.68,-19.77,-31.39
10338483,---,99.64,99.84,98.93,99.80
10338484,---,-77.72,-39.30,-90.26,-91.47
10338485,---,-59.66,-91.77,-40.00,-40.76
10338486,---,29.69,31.15,33.79,24.79
10338487,---,82.17,89.43,75.83,77.69
10338488,---,5.26,-10.21,34.98,-8.05
10338489,---,9.54,0.30,36.96,-8.53
10338490,---,-8.09,-0.11,-4.61,-38.36
10338491,---,-38.92,-69.92,-35.78,-18.84
10338492,---,72.38,-12.07,85.07,91.81
10338493,---,-17.01,-9.81,-14.15,-28.64
10338494,---,5.57,42.45,15.92,-32.67
10338495,---,72.15,80.92,65.16,69.33
10338496,---,-61.35,-51.94,-63.63,-66.34
10338497,---,37.40,17.31,2.07,80.90
10338498,---,99.76,99.61,99.91,99.59
10338499,---,-86.42,-67.86,-73.18,-99.50
10338500,---,23.87,64.34,-42.44,42.68
10338501,---,-22.17,-69.94,-81.46,72.32
10338502,---,-61.57,-56.49,-49.66,-76.10
10338503,---,-66.46,-87.65,-60.07,-50.29
10338504,---,99.45,98.58,99.65,99.79
10338505,---,-61.96,-42.89,-44.62,-87.78
10338506,---,36.32,42.28,39.36,27.18
10338507,---,99.91,99.94,99.91,99.91
10338508,---,-64.77,-79.70,-50.67,-61.53
10338509,---,51.81,33.50,76.85,29.67
10338510,---,-47.07,-27.79,-47.26,-61.31
10338511,---,-2.89,-40.32,-24.84,52.39
10338512,---,-31.91,-66.41,-18.20,-8.69
10338513,---,80.72,80.20,83.41,77.51
10338514,---,22.65,26.29,6.30,37.16
10338515,---,-93.34,-93.99,-95.69,-86.94
10338516,---,-13.71,-41.55,47.27,-42.59
10338517,---,86.55,86.45,88.33,85.10
10338518,---,-68.87,-57.62,-86.83,-53.71
10338519,---,-35.81,16.51,-49.69,-55.98
10338520,---,-43.25,-68.48,-50.36,1.34
10338521,---,6.78,-19.37,53.54,-17.78
10338522,---,-83.36,-85.09,-75.51,-87.60
10338523,---,84.04,93.43,77.93,74.55
10338524,---,35.25,29.43,29.55,46.42
10338525,---,89.66,89.73,92.34,86.80
10338526,---,-61.50,-22.84,-54.41,-97.22
10338527,---,-87.35,-83.70,-83.24,-94.76
10338528,---,-44.85,-36.19,-51.96,-44.45
10338529,---,45.97,33.64,44.44,56.91
10338530,---,74.69,66.44,75.79,81.69
10338531,---,79.17,77.55,61.21,90.14
10338532,---,70.84,40.25,91.89,61.57
10338533,---,-36.00,-59.11,-22.60,-24.41
10338534,---,50.62,46.42,52.80,53.08
10338535,---,-64.86,-37.43,-54.75,-87.25
10338536,---,-49.29,-55.19,-16.41,-71.54
10338537,---,0.81,-9.57,-18.90,37.49
10338538,---,53.27,20.06,53.23,75.30
10338539,---,-45.61,-78.95,-63.94,4.64
10338540,---,-11.73,-20.14,-14.71,-0.96
10338541,---,34.35,39.19,27.17,40.28
10338542,---,-57.74,-26.57,-29.32,-94.41
10338543,---,-18.51,0.00,-32.52,-25.04
10338544,---,59.12,-7.54,67.74,80.89
10338545,---,-91.94,-72.22,-97.16,-95.32
10338546,---,-24.86,-80.25,77.89,-61.97
10338547,---,-54.92,-96.11,-20.29,-33.11
10338548,---,-89.74,-79.12,-84.48,-98.55
10338549,---,-45.84,30.88,-80.67,-95.18
10338550,---,-47.27,-51.09,-87.31,25.76
10338551,---,1.81,-31.65,59.02,-16.22
10338552,---,-64.67,-32.52,-74.14,-80.04
10338553,---,51.50,63.22,76.18,-6.41
10338554,---,-88.54,-64.79,-93.42,-93.44
10338555,---,-16.78,-35.67,58.42,-64.77
10338556,---,-92.74,-90.24,-94.34,-93.56
10338557,---,42.31,10.26,54.20,59.60
10338558,---,-24.23,-28.15,-10.88,-34.58
10338559,---,95.04,96.48,82.30,98.17
10338560,---,-10.40,-54.14,-18.45,46.56
10338561,---,65.25,65.52,75.46,51.29
10338562,---,-60.57,-65.74,-88.21,-28.29
10338563,---,-69.56,-98.50,-41.92,-36.47
10338564,---,74.20,86.68,-27.55,91.94
10338565,---,70.17,77.97,54.82,74.96
10338566,---,73.33,60.23,84.86,70.01
10338567,---,-11.42,2.60,-27.83,-8.11
10338568,---,17.80,61.18,-14.80,-1.18
10338569,---,-6.93,35.90,-61.92,15.16
10338570,---,10.79,43.20,-38.29,36.49
10338571,---,-40.39,45.92,-54.61,-83.68
10338572,---,-40.43,-7.19,-37.20,-77.44
10338573,---,8.62,50.88,14.47,-40.78
10338574,---,-50.27,-65.79,-40.85,-39.68
10338575,---,-81.71,-87.90,-77.58,-76.34
10338576,---,-81.78,-79.06,-73.97,-90.96
10338577,---,-68.31,-88.44,-23.93,-82.28
10338578,---,-48.13,-44.67,-48.40,-52.51
10338579,---,-42.66,-26.52,-43.77,-60.35
10338580,---,-22.54,-29.36,-19.76,-17.70
10338581,---,-78.95,-52.52,-81.77,-90.82
10338582,---,-10.54,-21.38,8.32,-16.16
10338583,---,-71.24,-80.63,-77.22,-55.87
10338584,---,94.90,94.05,85.05,98.51
10338585,---,93.89,92.89,95.15,93.43
10338586,---,57.32,66.41,19.63,73.95
10338587,---,93.87,96.57,93.92,87.73
10338588,---,47.64,-4.64,65.80,67.89
10338589,---,68.37,65.80,22.27,93.11
10338590,---,16.37,-1.71,24.60,26.51
10338591,---,-47.29,-23.94,-24.35,-83.57
10338592,---,-75.41,-43.27,-98.83,-70.54
10338593,---,74.46,97.67,90.41,-65.25
10338594,---,62.91,88.93,80.33,-24.90
10338595,---,72.20,88.72,14.99,87.97
10338596,---,30.48,97.43,-66.51,-30.11
10338597,---,-76.35,-79.50,-80.26,-68.73
10338598,---,-68.59,-44.02,-78.53,-81.02
10338599,---,-62.50,-28.72,-96.86,-44.44
10338600,---,84.55,92.47,44.82,92.91
10338601,---,5.78,28.56,19.29,-27.87
10338602,---,-29.86,-31.59,-21.20,-37.07
10338603,---,-3.43,-4.38,-0.35,-5.46
10338604,---,-54.68,-56.92,-58.74,-44.84
10338605,---,41.70,12.92,61.49,41.82
10338606,---,62.00,80.48,7.45,74.67
10338607,---,-34.44,-35.65,-21.80,-46.23
10338608,---,-5.13,-77.79,33.24,53.15
10338609,---,-20.72,53.73,-90.72,-22.91
10338610,---,93.15,93.88,92.03,93.49
10338611,---,18.76,39.87,-1.22,14.29
10338612,---,-26.77,49.36,-83.93,-28.49
10338613,---,-63.22,-44.67,-65.01,-76.41
10338614,---,-64.26,-87.76,-70.21,-33.53
10338615,---,-13.98,7.49,-36.48,-11.99
10338616,---,85.66,92.40,81.46,79.59
10338617,---,-96.55,-93.45,-99.55,-91.88
10338618,---,36.14,83.20,-60.99,57.47
10338619,---,80.99,89.32,73.70,77.86
10338620,---,-76.90,-59.05,-82.50,-87.79
10338621,---,-90.41,-67.88,-95.52,-97.00
