Probeset_ID,Gene Symbol,MF PC 480hi,Sample_,Sample_,Sample_
10338194,---,-2.57,32.50,8.27,-36.54
10338195,---,52.76,50.42,68.27,37.59
10338196,---,23.68,15.49,17.94,40.62
10338197,---,-14.44,51.59,-64.78,-18.00
10338198,---,67.15,81.92,72.66,38.64
10338199,---,-22.92,-14.90,14.51,-70.39
10338200,---,-1.60,-32.27,33.26,1.88
10338201,---,-1.67,-34.78,71.22,-54.16
10338202,---,66.94,76.70,64.24,57.54
10338203,---,6.63,69.59,-47.14,-5.09
10338204,---,88.13,94.68,84.22,79.60
10338205,---,-35.72,-14.79,-41.10,-50.91
10338206,---,-18.89,-21.06,-72.65,21.97
10338207,---,-25.08,-48.01,-12.52,-24.27
10338208,---,-49.75,-60.41,-45.31,-43.24
10338209,---,8.24,37.89,-14.93,8.53
10338210,---,-44.64,-93.69,-45.53,27.77
10338211,---,15.92,-0.22,65.50,-28.42
10338212,---,50.94,70.46,51.04,24.08
10338213,---,-33.17,-23.38,-31.43,-45.34
10338214,---,22.04,61.23,-33.45,33.69
10338215,---,-73.34,-69.53,-39.90,-95.19
10338216,---,-44.42,-35.67,-70.94,-24.52
10338217,---,79.35,74.97,71.81,87.61
10338218,---,49.85,8.89,85.94,29.75
10338219,---,32.99,-9.73,80.62,0.24
10338220,---,-55.02,-96.15,-46.35,6.41
10338221,---,57.31,48.80,63.27,61.84
10338222,---,76.41,85.33,29.54,87.48
10338223,---,67.27,76.73,70.25,48.65
10338224,---,48.91,32.56,60.29,52.55
10338225,---,70.82,91.54,71.24,23.83
10338226,---,5.40,24.40,0.67,-3.72
10338227,---,80.86,94.52,85.10,31.43
10338228,---,-20.95,-6.56,-1.99,-49.54
10338229,---,-20.33,-20.66,-30.45,-12.70
10338230,---,-27.77,-44.34,-55.12,11.82
10338231,---,-39.31,-58.85,-44.86,-4.29
10338232,---,-37.78,-34.10,-38.51,-40.77
10338233,---,33.72,-11.99,67.36,34.73
10338234,---,-43.34,-42.69,-13.10,-68.80
10338235,---,-54.24,-85.34,-39.06,-35.49
10338236,---,53.50,77.82,-1.38,61.36
10338237,---,54.49,37.98,73.41,44.23
10338238,---,94.67,93.85,96.64,93.06
10338239,---,11.21,72.08,-13.38,-38.05
10338240,---,-41.70,-9.20,-72.48,-44.68
10338241,---,-58.75,-63.33,-54.49,-57.91
10338242,---,45.28,88.51,25.57,-3.02
10338243,---,77.71,87.13,34.27,90.68
10338244,---,3.06,0.97,-3.80,11.23
10338245,---,-31.47,-30.06,-38.48,-26.18
10338246,---,30.07,12.25,70.55,-6.63
10338247,---,16.31,83.65,-6.22,-53.21
10338248,---,69.78,80.38,95.70,-55.16
10338249,---,-19.57,-54.53,-35.60,36.13
10338250,---,-8.07,-34.54,39.74,-22.10
10338251,---,-40.85,-18.79,-23.81,-78.03
10338252,---,-47.55,-25.19,-79.09,-38.02
10338253,---,-20.69,-51.39,-36.68,32.95
10338254,---,-78.22,-61.13,-54.64,-96.37
10338255,---,20.82,25.88,60.96,-22.81
10338256,---,-9.51,-4.31,-18.99,-5.31
10338257,---,91.50,94.01,87.85,91.71
10338258,---,99.61,99.65,99.75,98.92
10338259,---,-17.01,29.11,-57.09,-23.49
10338260,---,-2.31,8.24,-18.56,7.17
10338261,---,-56.01,-27.74,-73.57,-67.35
10338262,---,6.07,-0.74,-28.01,58.76
10338263,---,67.58,75.91,71.13,53.36
10338264,---,-18.24,40.81,8.31,-90.32
10338265,---,98.31,97.51,99.75,88.19
10338266,---,31.76,22.27,17.60,52.94
10338267,---,0.60,-27.06,72.80,-51.51
10338268,---,13.94,64.61,-34.76,0.45
10338269,---,29.56,17.75,65.85,-5.54
10338270,---,-42.53,-8.17,-43.18,-77.69
10338271,---,93.71,95.32,91.40,93.80
10338272,---,33.45,3.74,23.76,69.17
10338273,---,34.31,8.92,32.56,52.67
10338274,---,4.41,5.28,-16.09,25.51
10338275,---,21.73,-35.57,9.21,78.45
10338276,---,-66.72,32.94,-77.48,-97.22
10338277,---,-31.27,-4.21,-51.15,-38.73
10338278,---,88.21,75.51,95.66,83.24
10338279,---,-84.32,-52.26,-77.74,-97.81
10338280,---,85.87,85.87,83.67,87.51
10338281,---,87.60,83.32,89.16,89.40
10338282,---,-47.53,-38.98,-52.59,-50.31
10338283,---,59.94,52.27,43.51,78.71
10338284,---,-12.66,-12.14,-40.53,14.50
10338285,---,3.55,-23.79,49.07,-11.83
10338286,---,-12.44,-6.49,-11.93,-19.16
10338287,---,16.80,-4.13,64.65,-19.13
10338288,---,97.56,97.84,97.96,96.19
10338289,---,33.13,6.08,63.35,22.87
10338290,---,-18.18,-2.59,-20.57,-33.79
10338291,---,-14.79,4.37,-40.70,-7.50
10338292,---,67.82,70.87,64.07,68.90
10338293,---,29.84,-14.26,57.81,39.92
10338294,---,-2.22,8.66,-4.27,-7.06
10338295,---,94.41,92.05,90.03,98.10
10338296,---,-8.05,52.65,-18.60,-48.37
10338297,---,-41.51,-79.30,-20.38,-22.11
10338298,---,47.87,51.76,38.17,53.69
10338299,---,-7.63,-41.21,-6.34,34.34
10338300,---,37.50,50.13,84.75,-48.72
10338301,---,83.18,65.20,47.05,97.69
10338302,---,-1.03,-60.14,65.92,-6.58
10338303,---,-10.21,-18.24,22.43,-32.39
10338304,---,70.11,77.65,55.34,75.45
10338305,---,49.14,56.80,46.73,42.49
10338306,---,0.87,-15.36,-11.27,17.37
10338307,---,-34.10,-23.09,-23.68,-61.86
10338308,---,86.05,89.57,90.40,75.27
10338309,---,14.68,-34.96,80.18,-18.22
10338310,---,-23.86,-45.91,-44.49,25.19
10338311,---,-14.12,44.82,24.88,-91.62
10338312,---,-49.95,-40.43,-4.04,-85.78
10338313,---,30.67,46.73,87.31,-75.43
10338314,---,57.15,25.84,86.04,43.86
10338315,---,34.59,33.82,24.39,43.75
10338316,---,-6.13,-9.23,-5.59,-3.54
10338317,---,63.72,73.53,63.25,53.27
10338318,---,56.02,56.77,72.05,32.54
10338319,---,33.56,75.67,14.03,-8.34
10338320,---,-2.73,-53.48,-28.44,73.80
10338321,---,9.80,33.98,22.65,-27.76
10338322,---,37.48,40.48,17.58,52.28
10338323,---,50.04,78.10,55.47,-2.73
10338324,---,12.74,-54.83,81.43,-2.31
10338325,---,35.35,56.64,78.01,-52.25
10338326,---,47.00,67.26,64.10,-7.74
10338327,---,0.06,-13.04,14.19,-0.03
10338328,---,-10.90,-26.88,-50.26,35.15
10338329,---,-38.12,-68.61,-26.16,-25.03
10338330,---,-11.12,-6.38,-15.08,-11.89
10338331,---,-27.00,-28.73,-5.14,-72.03
10338332,---,52.45,22.58,65.27,59.91
10338333,---,-3.43,-2.99,-2.63,-4.89
10338334,---,-70.60,-53.68,-95.33,-33.76
10338335,---,70.34,69.35,86.44,46.63
10338336,---,-2.46,-0.69,6.24,-11.26
10338337,---,-48.42,7.04,-77.87,-74.58
10338338,---,-5.53,10.49,-37.65,17.18
10338339,---,37.57,31.99,22.80,59.52
10338340,---,58.42,58.42,54.20,62.78
10338341,---,63.93,77.55,45.36,63.61
10338342,---,-51.02,-42.71,-26.59,-85.73
10338343,---,32.15,86.56,51.53,-82.17
10338344,---,41.67,33.17,38.77,54.97
10338345,---,60.42,64.64,32.85,77.45
10338346,---,-12.93,16.85,45.33,-78.12
10338347,---,-54.66,-64.19,-61.28,-38.12
10338348,---,-18.66,-31.66,-12.92,-8.52
10338349,---,81.31,88.94,82.45,68.22
10338350,---,0.04,-63.12,10.50,64.83
10338351,---,53.58,44.23,61.34,53.95
10338352,---,33.19,0.00,63.63,20.79
10338353,---,60.12,65.33,56.43,57.88
10338354,---,-36.30,-39.01,-49.36,-19.34
10338355,---,37.17,44.91,68.39,1.36
10338356,---,73.73,54.39,75.10,84.29
10338357,---,48.42,68.55,56.01,8.49
10338358,---,36.76,-10.14,76.29,23.00
10338359,---,45.76,76.47,-6.23,52.97
10338360,---,10.13,8.78,60.32,-41.08
10338361,---,36.84,51.42,39.53,14.85
10338362,---,7.95,59.59,-21.78,-4.98
10338363,---,-5.36,35.19,-33.65,-25.79
10338364,---,-5.64,-6.35,16.68,-23.62
10338365,---,-32.67,-5.38,7.90,-99.92
10338366,---,44.85,30.53,78.38,20.78
10338367,---,72.59,77.16,75.13,62.50
10338368,---,-25.75,8.31,-49.31,-34.71
10338369,---,-17.38,17.53,-9.37,-53.23
10338370,---,-43.11,17.22,-78.59,-50.20
10338371,---,-15.07,-52.48,15.87,-3.47
10338372,---,56.71,69.31,77.76,10.54
10338373,---,-27.66,-29.04,-29.98,-24.37
10338374,---,-44.92,-65.77,-46.47,-19.24
10338375,---,58.05,28.58,78.97,55.55
10338376,---,32.71,13.90,57.65,22.77
10338377,---,28.45,65.69,66.36,-56.97
10338378,---,42.87,-6.66,57.88,62.23
10338379,---,-48.41,41.43,-84.10,-95.08
10338380,---,-74.18,-66.98,-83.13,-69.77
10338381,---,-2.31,78.17,-84.33,-10.73
10338382,---,46.26,41.40,61.32,34.01
10338383,---,47.81,69.62,4.63,65.69
10338384,---,-53.62,-75.10,-66.96,-8.73
10338385,---,62.56,60.52,76.46,47.18
10338386,---,-56.40,-40.60,-35.57,-89.76
10338387,---,-11.19,-15.08,-30.87,16.00
10338388,---,53.42,65.32,34.12,52.45
10338389,---,16.10,74.59,-15.47,-23.27
10338390,---,19.12,78.38,56.42,-82.31
10338391,---,66.08,25.99,96.28,20.57
10338392,---,54.96,77.68,65.82,7.88
10338393,---,43.06,49.35,34.15,44.37
10338394,---,3.12,-8.79,14.55,-4.43
10338395,---,4.17,18.95,-14.22,4.39
10338396,---,-55.40,-66.03,-37.21,-61.35
10338397,---,93.84,96.75,95.32,81.53
10338398,---,10.52,5.07,-1.94,26.35
10338399,---,57.04,50.64,48.40,71.21
10338400,---,16.56,9.02,15.80,24.16
10338401,---,30.92,59.99,69.39,-51.07
10338402,---,13.10,6.30,17.42,17.15
10338403,---,-32.80,-0.95,-75.58,-29.15
10338404,---,-9.82,-14.51,-3.86,-11.51
10338405,---,28.92,75.80,50.52,-51.37
10338406,---,72.84,76.21,73.72,67.19
10338407,---,19.78,2.13,34.00,21.09
10338408,---,5.39,53.33,-48.20,10.13
10338409,---,-49.89,-48.65,8.25,-83.16
10338410,---,-28.26,-49.34,-37.73,8.51
10338411,---,34.04,31.89,49.99,19.43
10338412,---,7.85,-84.80,31.93,79.61
10338413,---,17.68,5.99,20.51,28.14
10338414,---,-18.78,-15.71,-14.71,-25.44
10338415,---,71.53,60.18,66.58,83.13
10338416,---,-2.13,-25.06,-10.85,43.50
10338417,---,28.59,37.08,72.46,-34.74
10338418,---,-24.66,-8.58,-50.87,-23.24
10338419,---,-26.76,-36.04,50.34,-76.40
10338420,---,92.33,95.51,95.25,80.83
10338421,---,-9.61,-7.97,-50.98,21.85
10338422,---,61.21,87.88,-23.43,77.73
10338423,---,-52.84,-30.75,-6.18,-93.88
10338424,---,1.18,13.37,-7.19,6.63
10338425,---,-40.02,-29.97,-38.84,-49.57
10338426,---,29.68,26.74,15.71,45.98
10338427,---,67.06,68.83,86.80,23.44
10338428,---,-13.44,-12.73,-41.82,14.31
10338429,---,0.00,-42.60,37.36,15.20
10338430,---,92.34,87.20,99.52,74.70
10338431,---,16.05,-5.39,25.49,27.99
10338432,---,-1.16,75.30,-50.54,-35.62
10338433,---,-9.06,12.68,-13.54,-27.35
10338434,---,-10.90,-8.10,-22.75,-5.70
10338435,---,-37.61,-49.08,-37.21,-27.61
10338436,---,-49.20,-42.78,-90.41,-23.11
10338437,---,62.98,75.01,41.43,69.76
10338438,---,49.61,68.44,14.37,54.59
10338439,---,-34.54,-56.27,-12.14,-34.13
10338440,---,-22.15,-45.61,28.58,-41.62
10338441,---,25.30,47.96,-1.46,24.30
10338442,---,-43.60,-26.11,-41.74,-62.76
10338443,---,-45.95,-77.20,-9.31,-49.01
10338444,---,-40.93,-25.21,-46.87,-56.29
10338445,---,50.45,53.78,56.68,40.57
10338446,---,35.52,44.73,23.65,38.99
10338447,---,-41.24,-70.22,-36.68,-6.40
10338448,---,-37.10,30.34,-78.28,-48.95
10338449,---,29.07,56.80,-0.03,26.19
10338450,---,-24.69,-61.00,-18.02,4.47
10338451,---,47.26,38.56,6.37,71.48
10338452,---,-3.89,-9.44,19.81,-15.06
10338453,---,-22.75,-35.64,-29.88,-4.11
10338454,---,10.87,-7.59,-3.72,50.08
10338455,---,-7.73,-29.08,69.70,-54.67
10338456,---,33.65,49.98,49.09,-3.81
10338457,---,-54.51,-2.59,-51.06,-87.01
10338458,---,-78.88,-30.96,-97.94,-69.69
10338459,---,11.78,42.92,-36.20,44.79
10338460,---,26.22,35.48,19.65,24.44
10338461,---,35.46,52.46,29.81,23.27
10338462,---,-36.23,-67.43,-54.50,4.77
10338463,---,23.91,11.27,23.75,38.63
10338464,---,33.63,83.63,-9.75,-2.46
10338465,---,17.82,51.19,56.37,-49.72
10338466,---,34.52,40.91,24.99,36.73
10338467,---,-34.71,2.47,-21.30,-83.77
10338468,---,26.67,16.52,68.90,-11.40
10338469,---,-28.65,-1.39,-74.74,-55.97
10338470,---,7.60,-24.72,51.21,-4.70
10338471,---,50.74,61.87,43.11,47.64
10338472,---,88.92,87.38,89.50,89.22
10338473,---,-11.20,18.56,25.59,-67.35
10338474,---,3.20,1.04,0.34,14.16
10338475,---,74.49,76.96,69.20,77.11
10338476,---,44.01,45.40,73.45,-1.18
10338477,---,16.50,45.85,-14.42,21.55
10338478,---,26.28,-5.97,37.55,46.01
10338479,---,-76.93,-99.87,-76.21,-36.00
10338480,---,41.72,29.02,59.39,35.40
10338481,---,-23.23,-10.90,-10.63,-48.38
10338482,---,17.29,25.94,40.13,-15.64
10338483,---,6.57,51.47,12.02,-41.48
10338484,---,-19.26,23.11,0.85,-69.29
10338485,---,-3.60,-1.74,66.98,-69.12
10338486,---,6.66,4.65,4.63,10.93
10338487,---,57.65,74.24,31.21,60.13
10338488,---,-5.77,15.90,-16.53,-13.82
10338489,---,22.23,-29.66,64.83,23.85
10338490,---,-5.57,-2.46,-0.41,-19.65
10338491,---,-9.21,-14.14,-7.59,-7.13
10338492,---,49.09,48.21,57.17,40.86
10338493,---,-30.50,-42.11,-10.87,-42.24
10338494,---,55.96,56.86,50.10,60.29
10338495,---,-18.12,-78.16,41.91,4.65
10338496,---,97.94,97.71,98.33,98.00
10338497,---,80.90,15.01,98.47,79.99
10338498,---,-36.81,-69.48,-34.26,6.76
10338499,---,73.20,97.10,-15.23,79.83
10338500,---,64.11,52.68,81.93,52.90
10338501,---,-4.26,7.01,-23.85,10.66
10338502,---,12.64,-44.02,39.03,41.15
10338503,---,-5.14,60.35,-21.05,-32.14
10338504,---,86.56,87.30,88.49,83.95
10338505,---,7.56,0.97,24.64,-3.25
10338506,---,-17.14,-9.30,1.37,-43.53
10338507,---,64.57,82.13,60.63,38.30
10338508,---,5.03,71.87,24.98,-79.40
10338509,---,38.34,51.81,60.27,-8.91
10338510,---,46.08,16.35,19.40,80.96
10338511,---,63.38,34.10,76.48,72.36
10338512,---,16.71,48.90,39.49,-40.93
10338513,---,22.86,51.58,-5.91,13.39
10338514,---,-48.23,-44.59,-69.97,-17.02
10338515,---,-18.89,-13.23,-29.34,-14.58
10338516,---,60.83,16.20,27.64,93.12
10338517,---,88.48,93.16,93.42,71.33
10338518,---,-64.34,-32.48,-88.97,-55.24
10338519,---,39.77,14.20,51.96,51.13
10338520,---,22.88,65.57,37.88,-44.86
10338521,---,-10.25,0.23,-52.65,24.31
10338522,---,70.37,72.69,61.08,76.37
10338523,---,25.42,30.92,65.90,-26.24
10338524,---,41.69,43.54,38.70,42.95
10338525,---,13.14,9.59,28.02,1.84
10338526,---,11.74,21.67,-26.03,51.28
10338527,---,66.78,63.14,76.99,57.74
10338528,---,40.03,-23.26,45.62,80.56
10338529,---,-66.38,-69.49,-37.23,-79.35
10338530,---,40.95,45.12,58.52,20.10
10338531,---,45.48,65.40,59.64,-2.49
10338532,---,20.63,69.64,44.73,-58.60
10338533,---,-70.86,1.48,-18.74,-99.64
10338534,---,-35.86,-8.00,-58.10,-46.25
10338535,---,-11.17,-9.14,30.88,-53.38
10338536,---,82.81,84.37,75.70,87.39
10338537,---,-1.68,4.56,-0.61,-7.62
10338538,---,-22.59,10.86,-11.10,-69.81
10338539,---,-33.72,38.24,-41.81,-86.28
10338540,---,22.22,18.91,23.57,24.23
10338541,---,-1.71,-1.18,23.42,-20.69
10338542,---,83.69,82.69,93.26,68.86
10338543,---,65.78,41.89,46.03,88.01
10338544,---,-43.22,-77.84,0.00,-78.76
10338545,---,71.00,84.59,83.31,32.59
10338546,---,-69.41,-89.45,-97.26,28.32
10338547,---,-63.62,-97.05,-82.16,2.11
10338548,---,25.89,26.01,28.04,22.63
10338549,---,-20.61,22.62,-7.36,-87.38
10338550,---,-18.73,-25.45,-20.56,-9.26
10338551,---,-56.46,-97.96,38.26,-55.03
10338552,---,-0.02,24.06,-18.98,11.58
10338553,---,16.52,30.83,36.16,-16.97
10338554,---,8.39,65.21,25.56,-64.39
10338555,---,10.15,0.43,-16.83,48.83
10338556,---,12.00,29.85,40.88,-42.49
10338557,---,-30.34,4.20,-54.77,-34.08
10338558,---,-9.66,-13.61,1.61,-15.21
10338559,---,50.31,9.34,82.94,33.25
10338560,---,-21.13,45.33,-37.11,-65.95
10338561,---,26.24,29.99,51.09,-5.83
10338562,---,-35.20,-75.59,-65.28,20.90
10338563,---,-32.81,-46.91,-7.37,-47.73
10338564,---,39.51,-14.78,-4.78,86.35
10338565,---,55.37,74.81,33.82,55.12
10338566,---,-16.02,22.53,-65.86,8.33
10338567,---,51.35,45.01,27.10,81.90
10338568,---,46.45,35.57,70.98,22.37
10338569,---,7.10,-54.35,-19.44,80.91
10338570,---,-21.00,-61.31,13.64,-10.07
10338571,---,44.68,23.10,10.26,77.42
10338572,---,-4.29,49.68,-2.27,-52.24
10338573,---,81.84,95.44,90.44,26.53
10338574,---,77.93,2.61,94.34,90.24
10338575,---,36.20,-8.47,75.38,24.45
10338576,---,62.17,32.40,79.32,68.60
10338577,---,-3.16,-9.23,-4.03,9.46
10338578,---,32.75,26.38,31.62,39.32
10338579,---,-10.61,-22.24,53.55,-58.74
10338580,---,53.31,52.16,85.25,4.16
10338581,---,-40.62,-57.78,16.50,-64.40
10338582,---,-30.68,-83.39,-6.68,10.02
10338583,---,-12.78,-16.13,-40.42,20.83
10338584,---,39.72,-57.69,92.52,33.13
10338585,---,84.68,86.90,82.36,84.02
10338586,---,16.28,41.91,33.37,-27.23
10338587,---,-24.31,12.10,-69.85,-18.97
10338588,---,6.60,-39.00,57.93,-3.42
10338589,---,56.36,32.50,57.31,73.26
10338590,---,-56.80,-39.99,-62.41,-66.47
10338591,---,-58.57,-42.49,-48.60,-79.49
10338592,---,-2.99,-1.76,48.93,-39.49
10338593,---,63.18,39.09,91.66,27.13
10338594,---,0.12,-27.46,39.74,-13.95
10338595,---,55.34,70.87,45.93,46.35
10338596,---,-13.33,11.70,-46.40,-7.92
10338597,---,37.02,35.27,-17.82,76.19
10338598,---,51.14,87.75,29.91,15.32
10338599,---,5.20,39.66,-39.47,26.01
10338600,---,31.36,77.94,58.83,-60.83
10338601,---,-9.23,-11.05,-11.33,-5.43
10338602,---,-28.70,19.53,-19.47,-72.58
10338603,---,19.87,-2.22,56.67,3.59
10338604,---,21.12,10.79,51.57,4.48
10338605,---,-29.84,-30.10,-35.17,-24.00
10338606,---,73.26,24.83,93.68,65.87
10338607,---,31.67,27.38,10.81,50.11
10338608,---,10.64,-33.75,59.74,8.74
10338609,---,-40.34,-71.60,-12.51,-44.93
10338610,---,18.85,14.81,-1.48,42.92
10338611,---,64.38,78.25,43.45,65.83
10338612,---,-2.54,-19.72,-53.06,67.86
10338613,---,81.31,89.10,89.83,59.25
10338614,---,27.08,15.13,86.36,-51.46
10338615,---,31.62,22.05,24.96,48.34
10338616,---,-21.37,8.49,-26.86,-49.20
10338617,---,32.83,-23.71,65.02,48.38
10338618,---,40.74,55.99,9.48,48.38
10338619,---,25.16,27.39,25.19,22.98
10338620,---,71.58,77.01,73.24,64.37
10338621,---,-21.22,-40.53,8.32,-33.12
10338622,---,-3.43,-1.63,-5.83,-2.91
10338623,---,-14.99,-32.59,-65.60,57.80
10338624,---,98.01,98.61,99.25,94.85
10338625,---,33.22,38.38,59.78,-4.79
10338626,---,86.03,93.02,40.10,96.69
10338627,---,31.36,70.93,19.63,-1.24
10338628,---,71.40,55.78,69.74,85.17
10338629,---,23.66,44.55,-18.35,45.93
10338630,---,-22.33,-33.57,-14.12,-22.11
10338631,---,-45.48,-27.68,-84.90,-21.11
10338632,---,38.72,23.46,78.81,-8.43
