Probeset_ID,Gene Symbol,Mo Bl Ly6C- II+,Sample_,Sample_
10338300,---,55.80,77.10,25.72
10338301,---,-6.10,-97.87,92.12
10338302,---,-75.04,-58.21,-86.94
10338303,---,13.10,31.98,-5.15
10338304,---,-27.94,-40.49,-15.33
10338305,---,92.78,97.69,79.59
10338306,---,-58.50,-72.13,-41.81
10338307,---,-5.33,-8.18,-2.50
10338308,---,-27.84,-57.02,6.69
10338309,---,-16.67,33.54,-66.94
10338310,---,94.07,96.33,91.17
10338311,---,92.54,94.58,90.08
10338312,---,34.46,81.72,-41.33
10338313,---,72.20,86.01,48.52
10338314,---,-54.85,-28.18,-73.49
10338315,---,25.74,36.94,9.39
10338316,---,46.34,2.19,75.19
10338317,---,87.20,93.75,76.84
10338318,---,-18.72,-63.27,35.21
10338319,---,72.47,43.95,88.96
10338320,---,-81.54,-85.99,-74.59
10338321,---,-18.49,28.02,-60.63
10338322,---,24.31,-25.93,68.20
10338323,---,31.42,74.65,-25.60
10338324,---,-58.58,-83.33,-23.07
10338325,---,2.66,54.09,-49.83
10338326,---,58.53,54.03,63.04
10338327,---,-61.71,-15.99,-85.92
10338328,---,50.00,-14.19,88.52
10338329,---,-32.72,-19.19,-48.87
10338330,---,-65.97,-24.99,-85.36
10338331,---,-39.32,-98.37,-1.68
10338332,---,48.96,17.38,68.51
10338333,---,-7.84,-8.54,-7.20
10338334,---,-35.84,46.47,-87.34
10338335,---,-20.85,17.85,-59.23
10338336,---,0.00,14.92,-8.45
10338337,---,-44.84,-65.70,-23.34
10338338,---,-37.31,-14.54,-62.42
10338339,---,10.70,0.29,32.26
10338340,---,-22.12,-69.77,40.50
10338341,---,-89.43,-83.11,-93.81
10338342,---,-7.36,-24.01,13.48
10338343,---,65.77,79.69,46.93
10338344,---,-38.09,-42.34,-32.04
10338345,---,61.19,54.34,66.56
10338346,---,78.13,61.28,89.07
10338347,---,4.44,-50.17,59.33
10338348,---,-67.94,-86.14,-33.97
10338349,---,42.33,24.83,60.44
10338350,---,-63.82,-45.47,-79.96
10338351,---,70.04,91.09,24.46
10338352,---,-27.59,-56.67,-1.00
10338353,---,10.87,78.82,-67.76
10338354,---,-85.65,-96.29,-52.74
10338355,---,-52.05,-50.81,-53.18
10338356,---,69.44,75.93,62.65
10338357,---,-3.86,51.39,-53.56
10338358,---,31.54,43.26,18.85
10338359,---,-62.08,-16.71,-90.01
10338360,---,9.46,-17.84,35.10
10338361,---,92.56,92.82,91.77
10338362,---,-24.55,12.42,-62.45
10338363,---,-47.73,-39.55,-55.82
10338364,---,-4.20,-12.75,5.21
10338365,---,-82.44,-91.70,-72.53
10338366,---,-79.10,-93.72,-37.27
10338367,---,-98.57,-97.97,-98.91
10338368,---,-21.51,17.18,-55.66
10338369,---,-28.58,-21.25,-36.15
10338370,---,44.02,96.55,-89.64
10338371,---,-61.89,-18.02,-81.40
10338372,---,-51.68,-59.87,-40.99
10338373,---,-40.47,-49.09,-30.82
10338374,---,83.57,95.92,53.40
10338375,---,7.84,-1.34,15.95
10338376,---,49.05,64.12,30.30
10338377,---,-44.71,-53.80,-36.34
10338378,---,21.97,-45.42,74.03
10338379,---,-15.36,-26.51,-6.17
10338380,---,-98.44,-99.81,-90.39
10338381,---,41.52,73.77,-9.11
10338382,---,-44.73,3.63,-79.06
10338383,---,22.27,-12.20,52.70
10338384,---,-89.82,-92.00,-86.70
10338385,---,32.23,27.63,36.73
10338386,---,-40.19,-43.21,-37.55
10338387,---,-85.28,-98.10,-58.30
10338388,---,94.48,93.62,95.35
10338389,---,-73.45,-89.24,-47.19
10338390,---,-80.29,-66.44,-88.41
10338391,---,14.84,-11.82,41.54
10338392,---,-92.30,-95.70,-88.26
10338393,---,95.86,96.28,95.44
10338394,---,-93.30,-84.15,-95.81
10338395,---,60.81,73.90,42.95
10338396,---,-1.24,-24.78,24.13
10338397,---,15.74,-6.18,40.08
10338398,---,-53.71,-59.74,-46.39
10338399,---,9.92,9.39,10.21
10338400,---,-5.84,-16.00,3.62
10338401,---,25.69,-71.02,84.63
10338402,---,-23.54,3.38,-54.31
10338403,---,-12.10,-33.45,10.70
10338404,---,-15.13,-76.13,48.35
10338405,---,-12.63,11.37,-36.79
10338406,---,-81.28,-86.93,-74.44
10338407,---,56.01,66.13,43.04
10338408,---,66.50,-12.10,94.38
10338409,---,54.91,32.18,70.07
10338410,---,-58.11,-82.02,-21.19
10338411,---,44.29,60.97,28.46
10338412,---,95.04,97.86,91.35
10338413,---,-77.64,-9.84,-98.91
10338414,---,3.80,-60.08,65.55
10338415,---,-90.46,-94.42,-84.65
10338416,---,-60.74,-90.58,-9.53
10338417,---,58.77,59.70,58.14
10338418,---,-68.11,-92.38,-36.26
10338419,---,-51.28,45.67,-95.24
10338420,---,3.60,-40.29,48.49
10338421,---,-40.52,-45.82,-36.14
10338422,---,53.70,67.12,36.12
10338423,---,-93.13,-96.24,-89.22
10338424,---,77.36,82.75,71.46
10338425,---,-33.72,-8.95,-57.74
10338426,---,4.88,-11.18,26.99
10338427,---,-57.04,-94.54,37.72
10338428,---,15.60,10.91,21.00
10338429,---,-8.81,-74.61,63.06
10338430,---,67.76,93.00,-1.48
10338431,---,-74.74,-83.44,-63.14
10338432,---,-9.89,-14.00,-6.58
10338433,---,79.61,79.14,79.98
10338434,---,36.13,42.97,29.64
10338435,---,50.71,51.61,49.81
10338436,---,40.42,-33.61,82.02
10338437,---,-54.53,-79.05,-13.40
10338438,---,81.36,97.36,19.87
10338439,---,29.42,94.19,-86.69
10338440,---,-40.91,-0.61,-71.53
10338441,---,-79.29,-77.00,-80.89
10338442,---,-59.23,-70.64,-46.22
10338443,---,-13.37,-66.00,40.34
10338444,---,28.83,15.87,37.80
10338445,---,-52.24,-41.70,-59.85
10338446,---,11.91,3.22,24.32
10338447,---,-47.71,-30.55,-63.02
10338448,---,94.95,98.97,74.56
10338449,---,92.32,95.06,88.07
10338450,---,83.45,95.50,44.99
10338451,---,-7.85,-19.25,0.81
10338452,---,-26.39,-25.37,-27.09
10338453,---,14.59,-1.10,30.84
10338454,---,74.00,80.66,66.54
10338455,---,-42.59,-89.09,27.43
10338456,---,99.49,99.08,99.84
10338457,---,-84.18,-76.32,-89.89
10338458,---,-58.78,-84.56,-26.15
10338459,---,13.32,-64.71,77.61
10338460,---,-72.45,-81.85,-53.51
10338461,---,62.43,45.12,76.32
10338462,---,62.81,64.55,60.94
10338463,---,-83.97,-87.97,-78.46
10338464,---,-92.02,-95.05,-86.92
10338465,---,30.86,-9.97,63.53
10338466,---,-44.62,-72.64,-3.82
10338467,---,42.50,84.25,-33.81
10338468,---,12.48,-44.69,63.28
10338469,---,-83.85,-54.50,-95.69
10338470,---,-89.47,-99.49,-57.40
10338471,---,6.78,12.29,3.26
10338472,---,92.25,92.39,92.09
10338473,---,24.44,5.44,41.50
10338474,---,-25.28,-17.67,-32.44
10338475,---,98.59,98.63,98.48
10338476,---,-37.78,-54.79,-17.20
10338477,---,16.40,58.11,-24.72
10338478,---,-12.12,-27.30,0.43
10338479,---,-24.99,-29.99,-20.20
10338480,---,-5.96,36.50,-50.53
10338481,---,8.05,-14.49,31.16
10338482,---,39.12,37.79,40.40
10338483,---,86.39,89.85,81.85
10338484,---,-92.56,-96.42,-86.62
10338485,---,-96.19,-93.28,-97.86
10338486,---,2.05,-12.38,15.62
10338487,---,-89.86,-89.28,-90.41
10338488,---,46.10,69.32,13.25
10338489,---,-26.39,-68.66,29.84
10338490,---,4.37,-25.68,48.06
10338491,---,49.75,54.46,45.29
10338492,---,0.35,51.83,-46.25
10338493,---,-95.52,-99.40,-72.60
10338494,---,42.73,61.60,15.02
10338495,---,-16.78,-0.39,-32.34
10338496,---,-61.60,-53.49,-68.15
10338497,---,20.24,82.43,-55.24
10338498,---,-69.58,-77.96,-55.46
10338499,---,79.60,67.60,87.67
10338500,---,-16.33,31.91,-61.09
10338501,---,95.81,97.17,93.75
10338502,---,-61.23,-93.43,-4.32
10338503,---,-4.43,-1.36,-7.89
10338504,---,76.41,72.52,79.86
10338505,---,-38.28,-50.85,-24.44
10338506,---,-18.70,53.99,-75.57
10338507,---,-66.36,-89.62,-20.70
10338508,---,-4.72,34.56,-34.17
10338509,---,-68.47,-39.87,-88.55
10338510,---,-24.65,-21.46,-28.44
10338511,---,82.78,99.06,-4.61
10338512,---,54.10,27.26,74.29
10338513,---,94.75,86.78,98.16
10338514,---,-87.67,-93.50,-73.18
10338515,---,-75.01,-79.15,-70.70
10338516,---,51.70,91.97,-39.32
10338517,---,64.40,8.09,95.57
10338518,---,-58.14,-41.06,-71.25
10338519,---,-29.52,-24.22,-35.34
10338520,---,-95.06,-97.33,-90.12
10338521,---,48.61,-36.82,91.70
10338522,---,-68.36,-81.32,-47.90
10338523,---,-15.89,-15.40,-16.42
10338524,---,2.10,-37.01,38.30
10338525,---,-78.76,-78.23,-79.32
10338526,---,22.20,74.59,-37.43
10338527,---,-40.93,67.37,-94.06
10338528,---,43.37,50.66,34.88
10338529,---,-88.06,-85.53,-90.13
10338530,---,-27.94,11.67,-64.85
10338531,---,-71.32,-90.63,-27.43
10338532,---,76.05,43.96,92.43
10338533,---,27.41,55.99,-3.14
10338534,---,31.62,44.56,16.63
10338535,---,-63.51,-36.26,-80.47
10338536,---,43.53,68.10,12.93
10338537,---,41.87,63.77,17.52
10338538,---,30.06,98.31,-95.13
10338539,---,-37.27,-23.41,-50.47
10338540,---,-39.14,-66.37,1.26
10338541,---,60.27,40.44,77.91
10338542,---,-45.51,-62.28,-24.99
10338543,---,97.01,99.10,89.33
10338544,---,7.13,34.77,-7.22
10338545,---,26.12,29.44,22.97
10338546,---,93.72,67.55,98.43
10338547,---,84.36,93.78,57.65
10338548,---,50.68,88.44,-16.93
10338549,---,-6.00,25.73,-27.88
10338550,---,14.48,50.49,-21.50
10338551,---,82.82,95.91,19.58
10338552,---,96.32,96.47,96.17
10338553,---,87.59,89.53,84.76
10338554,---,-5.98,52.95,-61.61
10338555,---,55.44,69.17,38.34
10338556,---,-97.99,-98.56,-97.17
10338557,---,58.38,67.47,47.37
10338558,---,-88.08,-88.88,-87.03
10338559,---,90.13,95.98,78.42
10338560,---,-5.98,43.76,-48.38
10338561,---,13.55,-8.23,34.82
10338562,---,86.50,85.71,87.35
10338563,---,89.93,78.42,93.56
10338564,---,-1.74,-15.47,27.49
10338565,---,-94.81,-63.86,-99.16
10338566,---,57.64,83.01,6.88
10338567,---,4.09,5.59,2.90
10338568,---,85.30,24.77,98.29
10338569,---,93.95,80.37,97.38
10338570,---,-51.32,-85.04,-6.14
10338571,---,-56.66,-49.91,-63.25
10338572,---,54.90,54.30,55.58
10338573,---,15.56,20.75,10.34
10338574,---,48.62,90.10,-29.66
10338575,---,-66.20,-81.90,-47.08
10338576,---,33.90,57.69,9.81
10338577,---,23.37,-14.74,59.38
10338578,---,-12.67,-11.94,-12.94
10338579,---,52.17,-5.64,77.80
10338580,---,-0.92,-58.61,56.97
10338581,---,-88.56,-97.57,-67.10
10338582,---,49.63,71.74,9.24
10338583,---,55.57,51.86,58.97
10338584,---,85.47,73.92,92.06
10338585,---,89.51,89.71,89.22
10338586,---,-42.95,-65.30,-16.90
10338587,---,84.25,81.49,85.91
10338588,---,71.68,47.47,85.60
10338589,---,-12.10,54.13,-72.01
10338590,---,-78.30,-86.22,-69.61
10338591,---,-77.77,-71.26,-84.11
10338592,---,65.38,94.21,-64.63
10338593,---,21.66,82.16,-57.35
10338594,---,90.06,99.81,-42.79
10338595,---,96.08,88.57,98.58
10338596,---,40.78,-8.01,74.81
10338597,---,-46.59,-36.70,-55.50
10338598,---,30.17,65.78,-6.34
10338599,---,-66.05,-68.19,-63.74
10338600,---,89.45,91.73,86.66
10338601,---,-73.68,-70.59,-76.51
10338602,---,1.88,-64.69,69.58
10338603,---,92.07,98.26,61.18
10338604,---,-20.15,8.55,-50.45
10338605,---,-0.22,-4.08,9.55
10338606,---,10.84,53.33,-32.68
10338607,---,22.06,-2.63,42.07
10338608,---,15.76,-9.74,41.39
10338609,---,16.73,-24.44,62.53
10338610,---,41.47,7.80,65.97
10338611,---,44.20,92.95,-35.26
10338612,---,51.69,1.75,77.82
10338613,---,12.07,-24.78,47.85
10338614,---,-15.53,-69.16,38.10
10338615,---,45.07,65.55,20.48
10338616,---,67.71,63.38,71.60
10338617,---,-0.19,3.24,-3.34
10338618,---,-45.34,-6.10,-75.58
10338619,---,84.13,88.30,80.27
10338620,---,-88.29,-43.41,-99.12
10338621,---,50.97,81.86,-7.07
10338622,---,-73.83,-17.95,-97.52
10338623,---,66.51,76.45,54.59
10338624,---,25.56,35.73,14.58
10338625,---,-79.45,-48.69,-95.87
10338626,---,-18.22,-66.46,34.51
10338627,---,45.70,66.56,18.48
10338628,---,84.54,72.88,92.61
10338629,---,92.65,91.18,93.94
10338630,---,58.87,-7.67,87.62
10338631,---,-19.29,-16.39,-23.24
10338632,---,-26.01,-91.19,55.10
10338633,---,9.70,-35.56,51.63
10338634,---,-62.38,25.72,-99.25
10338635,---,9.31,63.23,-47.99
10338636,---,15.00,75.09,-54.41
10338637,---,87.98,37.79,97.82
10338638,---,-56.50,-76.45,-29.24
10338639,---,39.25,94.44,-57.53
10338640,---,-36.47,-46.45,-27.34
10338641,---,-69.59,-99.06,27.16
10338642,---,51.61,82.69,3.47
10338643,---,6.26,-47.98,56.52
10338644,---,-43.76,-71.56,14.75
10338645,---,-1.61,-7.67,22.26
10338646,---,75.68,86.88,53.51
10338647,---,-47.77,-93.55,20.13
10338648,---,95.91,98.49,91.20
10338649,---,-24.17,-9.19,-56.72
10338650,---,-8.60,-10.83,-6.62
10338651,---,-36.54,58.88,-90.37
10338652,---,50.09,67.13,29.91
10338653,---,18.51,18.51,18.45
10338654,---,-85.21,-90.53,-77.77
10338655,---,-21.96,-20.17,-24.31
10338656,---,38.76,7.04,60.45
10338657,---,-80.25,-90.98,-59.93
10338658,---,77.08,75.39,78.11
10338659,---,87.14,84.21,89.77
10338660,---,-34.72,-24.54,-45.31
10338661,---,-75.56,-89.05,-57.31
10338662,---,98.14,98.74,96.78
10338663,---,1.04,-15.76,29.39
10338664,---,-53.57,-31.86,-69.55
10338665,---,-90.80,-66.48,-97.36
10338666,---,-75.93,-95.32,-17.45
10338667,---,-48.84,-72.67,-24.87
10338668,---,82.47,43.03,92.89
10338669,---,43.24,38.41,46.86
10338670,---,15.25,11.29,20.03
10338671,---,-42.85,-89.67,55.08
10338672,---,-58.54,9.30,-91.82
10338673,---,96.71,96.53,96.81
10338674,---,0.06,0.87,-6.83
10338675,---,45.32,38.63,50.98
10338676,---,57.71,90.96,-27.93
10338677,---,24.57,-27.59,68.05
10338678,---,-96.88,-98.26,-94.10
10338679,---,-76.44,-81.40,-70.50
10338680,---,63.29,49.71,73.28
10338681,---,-17.71,20.90,-54.74
10338682,---,33.02,1.74,59.56
10338683,---,-68.53,3.58,-87.06
10338684,---,69.40,67.37,71.23
10338685,---,43.66,84.53,-31.12
10338686,---,-68.88,-89.57,-29.76
10338687,---,-89.07,-94.64,-79.64
10338688,---,98.88,99.71,95.68
10338689,---,43.32,-16.75,76.11
10338690,---,-62.68,-41.68,-80.76
10338691,---,-54.98,-28.30,-78.58
10338692,---,-9.39,16.57,-33.69
10338693,---,-25.87,3.65,-58.06
10338694,---,6.87,34.72,-14.82
10338695,---,-75.30,-80.91,-69.38
10338696,---,10.79,-0.91,23.62
10338697,---,18.17,-13.72,57.55
10338698,---,68.70,91.01,10.38
10338699,---,-60.44,-75.62,-46.54
10338700,---,-83.27,-84.21,-82.34
10338701,---,-66.59,-87.80,-29.04
10338702,---,-18.28,45.20,-65.50
10338703,---,25.14,76.56,-42.36
10338704,---,-78.62,-91.31,-55.69
10338705,---,88.89,98.69,43.12
10338706,---,19.43,-9.37,50.17
10338707,---,85.62,89.01,80.95
10338708,---,-48.94,-65.63,-23.68
10338709,---,11.00,-32.14,38.64
10338710,---,-82.60,-86.62,-78.26
10338711,---,-73.75,-99.76,18.46
10338712,---,-91.95,-93.38,-89.24
10338713,---,-37.89,-18.87,-53.25
10338714,---,44.48,71.55,1.63
10338715,---,47.13,82.33,-11.69
10338716,---,-63.95,10.45,-96.81
10338717,---,-4.27,53.84,-55.54
10338718,---,77.39,55.01,89.85
10338719,---,57.25,82.89,-4.49
10338720,---,48.14,46.02,50.33
10338721,---,63.20,90.79,-11.49
10338722,---,9.12,-60.49,71.76
10338723,---,76.95,-8.46,97.38
10338724,---,68.71,-16.45,95.31
10338725,---,-8.88,7.31,-24.02
10338726,---,28.50,70.68,-23.28
10338727,---,4.54,10.16,1.17
10338728,---,-78.20,-77.71,-78.64
10338729,---,45.45,-40.70,89.07
10338730,---,3.38,-23.16,19.20
10338731,---,9.57,41.66,-16.13
10338732,---,-35.17,-94.29,61.31
10338733,---,79.71,53.95,92.95
10338734,---,87.05,11.94,98.42
10338735,---,-67.69,-34.42,-96.34
10338736,---,1.49,-31.68,34.14
10338737,---,-18.76,-42.14,9.37
10338738,---,88.04,97.62,56.17
10338739,---,-6.01,36.92,-47.44
10338740,---,-63.30,2.66,-89.88
10338741,---,3.24,-21.01,29.54
10338742,---,26.80,31.02,22.51
10338743,---,97.16,97.16,96.96
10338744,---,-22.19,-32.71,-10.99
10338745,---,20.69,69.19,-28.71
10338746,---,-22.61,-5.23,-39.99
10338747,---,-11.21,-80.46,67.43
10338748,---,80.52,88.99,70.12
10338749,---,-78.58,-86.26,-67.96
10338750,---,-72.42,-90.79,-33.17
10338751,---,64.95,44.47,79.95
10338752,---,-90.46,-94.46,-83.59
10338753,---,63.47,64.75,62.11
10338754,---,-51.86,41.02,-92.46
10338755,---,93.84,89.55,97.09
10338756,---,5.51,51.13,-39.90
10338757,---,17.11,2.16,30.86
10338758,---,14.62,76.21,-55.33
10338759,---,-91.43,-82.88,-96.12
10338760,---,-57.71,-45.27,-66.58
10338761,---,-77.50,-77.84,-76.90
10338762,---,79.08,87.71,62.37
