Probeset_ID,Gene Symbol,MF PC 480lo,Sample_,Sample_,Sample_
10338113,---,79.11,84.35,82.18,68.66
10338114,---,43.87,87.46,-17.01,11.87
10338115,---,-40.89,-27.13,-14.29,-80.06
10338116,---,94.24,92.65,92.28,96.47
10338117,---,-4.39,-11.92,16.05,-16.10
10338118,---,50.61,43.35,-5.21,81.79
10338119,---,52.39,70.19,53.82,23.53
10338120,---,41.64,24.86,65.00,33.22
10338121,---,47.30,40.25,57.85,43.20
10338122,---,-37.70,-10.89,-27.72,-69.19
10338123,---,30.14,35.86,43.06,13.43
10338124,---,-15.12,-14.99,-35.02,0.24
10338125,---,76.53,75.33,88.67,57.44
10338126,---,-22.93,-67.06,-2.14,-23.43
10338127,---,11.40,-6.06,-16.20,54.15
10338128,---,3.47,10.34,0.17,-0.63
10338129,---,65.36,63.66,68.04,63.27
10338130,---,54.22,44.31,80.19,16.45
10338131,---,61.77,91.38,-31.53,69.92
10338132,---,16.44,18.59,83.20,-78.61
10338133,---,-36.13,8.34,-91.16,18.73
10338134,---,-59.94,-71.66,-75.78,-14.88
10338135,---,-29.45,-28.48,-63.20,-3.99
10338136,---,21.29,-3.15,49.45,13.17
10338137,---,3.05,51.73,-61.04,20.81
10338138,---,53.80,58.81,66.83,38.41
10338139,---,-3.43,-62.88,62.57,-6.27
10338140,---,-3.68,15.76,28.43,-44.04
10338141,---,-28.09,-17.21,-11.86,-71.70
10338142,---,74.64,86.79,45.62,82.47
10338143,---,-10.69,-27.04,-7.70,-4.06
10338144,---,-7.54,-45.76,10.91,15.95
10338145,---,-28.95,40.57,-15.85,-83.79
10338146,---,-21.66,-22.17,-21.07,-21.76
10338147,---,-2.89,1.66,4.81,-25.67
10338148,---,2.45,5.11,-27.70,34.06
10338149,---,70.59,57.02,80.70,69.83
10338150,---,92.39,94.33,92.61,89.93
10338151,---,97.81,97.25,97.74,98.27
10338152,---,48.00,78.58,-53.50,83.61
10338153,---,30.94,84.33,-33.28,28.56
10338154,---,95.56,93.59,94.14,97.52
10338155,---,10.64,19.94,18.27,-7.41
10338156,---,-6.01,75.40,-26.16,-72.04
10338157,---,-69.40,-56.73,-62.07,-85.54
10338158,---,57.87,91.30,-21.30,62.41
10338159,---,10.68,-24.39,27.39,33.31
10338160,---,79.95,86.49,67.37,84.15
10338161,---,2.14,4.29,-2.31,4.20
10338162,---,-3.78,-2.29,-25.10,18.25
10338163,---,-3.17,-7.89,-0.20,-1.79
10338164,---,73.22,58.60,70.16,84.95
10338165,---,-18.08,-64.22,4.82,-5.50
10338166,---,-54.13,-42.76,-52.20,-65.74
10338167,---,33.18,-0.27,36.19,50.79
10338168,---,-53.34,-61.07,25.31,-84.83
10338169,---,10.11,49.64,46.27,-60.72
10338170,---,18.50,69.77,-44.98,21.47
10338171,---,-3.19,-18.57,11.61,5.05
10338172,---,-19.48,16.97,-23.83,-48.82
10338173,---,-66.30,-43.97,-98.53,-17.51
10338174,---,63.59,70.18,74.34,45.79
10338175,---,80.65,89.63,87.58,27.28
10338176,---,49.09,47.28,48.81,51.24
10338177,---,16.14,-53.20,47.20,52.32
10338178,---,-39.45,-59.92,-49.25,-10.54
10338179,---,23.97,20.11,28.44,23.71
10338180,---,34.59,42.02,34.42,27.78
10338181,---,-0.64,54.77,-3.58,-44.55
10338182,---,-81.42,-75.23,-54.97,-96.42
10338183,---,-9.89,-24.94,42.11,-41.25
10338184,---,5.93,13.27,16.60,-12.41
10338185,---,-8.65,38.59,-14.39,-48.15
10338186,---,5.27,43.68,7.27,-26.17
10338187,---,31.42,46.95,-43.54,74.12
10338188,---,46.65,45.62,23.11,64.58
10338189,---,12.81,-18.54,-23.06,70.92
10338190,---,86.20,87.10,65.03,92.63
10338191,---,50.42,63.96,54.44,27.16
10338192,---,82.86,95.54,-8.77,96.43
10338193,---,65.04,70.11,68.71,54.20
10338194,---,41.66,40.96,63.93,10.71
10338195,---,58.69,62.66,58.35,55.13
10338196,---,26.76,21.80,28.21,29.89
10338197,---,-25.31,-48.26,10.50,-34.03
10338198,---,69.83,88.09,49.01,63.02
10338199,---,-80.22,-41.28,-94.83,-91.07
10338200,---,-16.51,-10.15,-9.21,-28.97
10338201,---,60.31,31.67,80.52,60.60
10338202,---,79.33,63.87,69.08,93.31
10338203,---,10.20,-0.55,10.20,20.03
10338204,---,91.53,92.08,90.91,91.39
10338205,---,-73.89,-27.79,-80.29,-90.30
10338206,---,-29.57,-15.18,-24.48,-55.14
10338207,---,-19.20,-36.49,-3.16,-35.20
10338208,---,-16.26,-3.95,-30.18,-15.76
10338209,---,70.69,78.29,64.29,69.09
10338210,---,-10.11,11.51,-6.29,-35.75
10338211,---,38.13,55.71,32.97,20.35
10338212,---,50.30,58.89,-44.14,90.32
10338213,---,-31.16,-36.14,-36.64,-21.00
10338214,---,23.70,22.64,-36.01,73.58
10338215,---,-65.81,-85.65,-78.35,-24.87
10338216,---,-25.41,-15.67,-40.21,-20.82
10338217,---,90.27,90.10,94.41,84.57
10338218,---,-14.70,-4.36,-73.67,47.36
10338219,---,5.50,36.52,-29.40,11.95
10338220,---,-16.58,28.93,-40.76,-32.99
10338221,---,82.18,82.94,80.04,83.30
10338222,---,-57.93,-64.84,-71.98,-36.17
10338223,---,91.90,96.00,78.47,94.63
10338224,---,56.19,49.56,66.72,50.83
10338225,---,90.40,91.61,79.25,94.86
10338226,---,15.15,-19.25,66.24,-1.64
10338227,---,94.08,96.84,78.54,97.00
10338228,---,58.98,60.25,61.91,54.52
10338229,---,-6.71,-1.74,-9.81,-17.24
10338230,---,-18.70,26.70,-89.95,5.20
10338231,---,-20.64,-21.77,-15.19,-25.63
10338232,---,-46.91,-30.02,-66.28,-46.67
10338233,---,53.98,-37.51,84.11,76.84
10338234,---,-20.38,-39.44,-51.77,37.29
10338235,---,-48.88,-26.55,-62.43,-60.99
10338236,---,13.04,83.01,-10.68,-57.38
10338237,---,49.03,34.15,31.42,71.31
10338238,---,62.16,73.46,81.23,2.79
10338239,---,-35.25,-48.91,-68.50,21.95
10338240,---,-9.64,24.67,-34.95,-12.67
10338241,---,-64.31,-74.44,-66.56,-53.26
10338242,---,77.78,94.06,40.33,77.44
10338243,---,92.08,85.97,85.02,97.74
10338244,---,5.66,10.59,1.18,6.09
10338245,---,-36.86,-52.92,-45.51,-20.65
10338246,---,-26.15,21.47,-66.15,-28.15
10338247,---,61.17,75.08,-10.94,84.29
10338248,---,64.52,65.11,91.29,-8.87
10338249,---,24.41,24.98,48.09,-2.81
10338250,---,-16.31,-24.89,-25.73,4.08
10338251,---,-67.74,-56.63,-80.58,-65.40
10338252,---,4.14,34.46,37.03,-43.26
10338253,---,6.00,-78.97,64.22,45.44
10338254,---,-59.13,-32.26,-69.84,-71.18
10338255,---,-0.15,-7.60,27.93,-6.90
10338256,---,-41.16,-78.61,-10.39,-33.00
10338257,---,42.82,36.12,53.35,38.90
10338258,---,84.51,84.93,76.27,89.70
10338259,---,-23.33,-23.08,-8.81,-41.93
10338260,---,-8.06,19.01,22.66,-55.65
10338261,---,-31.89,-1.87,-71.29,-29.19
10338262,---,-23.79,-1.08,-20.77,-64.10
10338263,---,63.53,79.07,64.88,40.32
10338264,---,-12.04,-9.80,13.32,-37.67
10338265,---,76.12,95.86,55.32,49.07
10338266,---,59.87,85.01,42.05,32.94
10338267,---,49.35,86.23,20.95,11.64
10338268,---,17.23,40.52,58.49,-51.84
10338269,---,-15.10,22.27,16.40,-74.70
10338270,---,23.96,61.66,35.71,-23.36
10338271,---,81.31,95.88,41.33,83.27
10338272,---,80.65,80.93,87.59,69.72
10338273,---,43.23,47.90,32.77,48.15
10338274,---,12.52,43.12,-59.45,56.68
10338275,---,50.89,40.22,60.50,49.98
10338276,---,-82.11,-4.26,-99.23,-84.33
10338277,---,-74.28,-41.69,-89.15,-77.99
10338278,---,82.49,92.11,73.74,74.76
10338279,---,-64.82,-75.00,-46.13,-70.13
10338280,---,96.87,95.01,95.50,98.51
10338281,---,70.80,59.90,54.30,87.48
10338282,---,-51.08,-58.59,-52.69,-40.76
10338283,---,80.80,73.54,87.42,78.48
10338284,---,36.93,-30.01,22.34,86.41
10338285,---,-5.33,11.96,-45.29,23.69
10338286,---,5.05,13.67,14.39,-19.48
10338287,---,-18.55,-27.53,8.70,-34.73
10338288,---,16.83,61.98,-36.76,23.92
10338289,---,35.54,40.02,32.18,34.50
10338290,---,-20.75,-41.17,-6.99,-15.57
10338291,---,-3.34,36.01,-53.11,13.68
10338292,---,65.65,64.52,67.32,65.21
10338293,---,24.79,63.48,-54.32,59.04
10338294,---,24.54,-0.90,27.18,41.25
10338295,---,97.62,98.00,96.81,97.90
10338296,---,18.76,67.38,-47.94,38.11
10338297,---,-33.52,-45.17,-62.44,4.68
10338298,---,46.72,53.44,41.97,44.31
10338299,---,-32.90,-16.86,-79.68,-1.04
10338300,---,83.07,94.73,76.69,67.73
10338301,---,45.81,16.62,20.37,78.14
10338302,---,25.64,32.12,51.21,-12.85
10338303,---,23.89,69.56,4.07,-9.48
10338304,---,34.70,75.72,-26.30,39.92
10338305,---,-52.42,-88.13,-17.12,-35.03
10338306,---,21.73,10.11,27.43,27.52
10338307,---,-26.96,-14.80,-17.92,-55.48
10338308,---,60.49,91.01,37.84,34.52
10338309,---,-10.98,-6.55,32.78,-57.87
10338310,---,-44.19,-28.65,-84.49,-5.26
10338311,---,-12.02,-17.13,-27.40,8.88
10338312,---,-88.12,-50.48,-92.21,-96.94
10338313,---,-42.57,-47.62,-40.86,-39.19
10338314,---,53.54,67.99,31.10,58.06
10338315,---,50.13,49.21,43.36,58.68
10338316,---,-1.36,13.93,-9.23,-2.20
10338317,---,40.09,39.49,33.24,48.40
10338318,---,-6.28,-6.69,-10.22,-1.64
10338319,---,53.35,60.67,-6.80,82.05
10338320,---,5.12,7.64,-12.32,26.05
10338321,---,2.15,-27.99,-31.34,63.46
10338322,---,46.79,52.09,46.38,42.49
10338323,---,-38.14,78.28,-89.89,-77.40
10338324,---,48.42,-15.29,80.82,60.56
10338325,---,71.21,59.27,70.85,80.73
10338326,---,56.26,78.25,35.12,42.85
10338327,---,-28.82,-55.13,-11.38,-20.23
10338328,---,14.73,20.07,75.75,-59.42
10338329,---,-54.65,-60.11,-47.81,-55.44
10338330,---,0.77,-16.19,20.12,-11.07
10338331,---,-63.13,-23.36,-58.28,-95.10
10338332,---,-12.63,-67.36,-2.89,47.51
10338333,---,-9.41,-12.38,-23.78,-2.49
10338334,---,-77.47,-34.30,-95.98,-72.65
10338335,---,37.32,46.74,1.00,57.51
10338336,---,7.29,-15.88,-20.17,62.64
10338337,---,2.47,-2.49,-1.74,19.80
10338338,---,35.68,75.43,-30.59,53.29
10338339,---,16.24,32.87,12.60,6.96
10338340,---,38.29,65.05,27.75,15.90
10338341,---,42.44,25.33,83.49,-14.33
10338342,---,11.86,28.57,17.24,-4.94
10338343,---,-13.30,-0.30,-10.13,-38.30
10338344,---,28.59,28.71,34.44,22.98
10338345,---,58.91,95.25,10.30,40.11
10338346,---,-17.10,-63.27,-7.34,26.95
10338347,---,-26.34,-23.95,-27.90,-26.95
10338348,---,13.19,17.75,17.39,4.30
10338349,---,76.66,82.55,64.69,80.90
10338350,---,-66.51,-70.57,-89.27,-27.02
10338351,---,34.28,-57.80,88.33,35.86
10338352,---,-33.71,-3.05,-10.09,-82.27
10338353,---,27.91,38.22,-17.16,60.09
10338354,---,-76.34,-30.66,-79.85,-90.30
10338355,---,54.27,87.26,42.55,22.59
10338356,---,-1.44,-65.01,47.87,21.57
10338357,---,73.03,87.22,67.33,54.83
10338358,---,31.15,20.26,70.65,-13.57
10338359,---,42.28,48.85,59.78,12.84
10338360,---,-18.90,41.15,-85.00,19.38
10338361,---,71.77,83.21,48.28,77.11
10338362,---,-5.82,26.26,-17.84,-16.85
10338363,---,43.87,43.72,61.99,24.15
10338364,---,-52.86,-53.92,-78.93,-21.75
10338365,---,-41.15,23.40,-50.87,-92.82
10338366,---,40.32,40.88,69.17,8.95
10338367,---,72.43,82.01,43.92,79.51
10338368,---,-41.00,-1.18,-94.98,-6.14
10338369,---,-68.39,-25.19,-81.87,-81.69
10338370,---,-16.46,-85.95,73.96,-19.48
10338371,---,-5.41,10.87,-18.35,-8.49
10338372,---,70.20,86.72,73.95,30.99
10338373,---,-24.45,-19.31,-29.10,-25.84
10338374,---,-35.24,-22.65,2.13,-75.74
10338375,---,66.28,71.59,70.21,55.70
10338376,---,23.54,-34.94,44.24,60.21
10338377,---,26.61,45.31,44.44,-12.50
10338378,---,42.46,53.61,-24.94,75.50
10338379,---,-56.68,-54.99,-16.87,-93.68
10338380,---,-55.58,-46.25,-55.17,-64.30
10338381,---,-49.07,-79.73,-1.46,-88.98
10338382,---,69.48,80.43,36.93,80.60
10338383,---,42.51,47.81,25.17,53.27
10338384,---,-75.10,-59.65,-93.77,-61.55
10338385,---,47.91,45.25,37.63,62.24
10338386,---,-5.97,17.27,68.20,-94.13
10338387,---,-58.35,-39.62,-52.28,-78.64
10338388,---,88.36,94.28,69.10,91.73
10338389,---,-41.00,6.09,-84.18,-32.18
10338390,---,-41.44,-87.81,56.38,-59.81
10338391,---,63.74,68.02,49.80,72.82
10338392,---,71.90,66.05,59.72,85.10
10338393,---,87.69,95.39,51.39,92.46
10338394,---,-41.09,-12.98,-37.56,-63.04
10338395,---,14.18,-10.04,31.52,16.69
10338396,---,-49.51,-72.03,-45.64,-26.22
10338397,---,51.43,68.07,39.85,44.01
10338398,---,-30.38,-48.57,-12.91,-28.81
10338399,---,78.68,90.75,50.85,87.38
10338400,---,-16.19,-6.78,-21.30,-23.69
10338401,---,-32.58,-9.42,-37.08,-55.96
10338402,---,-3.88,68.72,-55.02,-21.76
10338403,---,-10.88,7.57,-64.81,26.92
10338404,---,-10.89,20.52,-22.03,-24.24
10338405,---,69.83,-2.01,87.23,83.49
10338406,---,73.89,78.74,62.46,78.11
10338407,---,-3.80,-1.66,-8.87,-1.49
10338408,---,70.42,82.52,60.49,64.31
10338409,---,-16.64,-19.90,-52.86,27.81
10338410,---,8.34,-11.36,12.79,25.89
10338411,---,50.84,61.37,37.58,54.40
10338412,---,24.67,8.93,77.31,-34.86
10338413,---,-11.59,9.83,-44.76,1.86
10338414,---,34.51,58.13,9.85,32.35
10338415,---,78.28,91.63,77.70,51.26
10338416,---,0.23,-57.69,65.41,7.77
10338417,---,-0.20,67.71,-5.07,-62.96
10338418,---,-44.23,-25.51,-35.50,-73.94
10338419,---,53.00,60.18,49.23,48.87
10338420,---,49.48,67.17,39.78,38.04
10338421,---,3.62,4.04,19.66,-26.01
10338422,---,76.00,96.90,-2.15,80.90
10338423,---,-25.37,-3.36,-73.94,10.75
10338424,---,32.98,27.36,40.34,30.00
10338425,---,-30.28,-59.81,-7.84,-21.98
10338426,---,62.48,5.35,85.09,67.71
10338427,---,26.92,84.38,33.99,-64.10
10338428,---,-9.97,-15.23,15.23,-25.18
10338429,---,-29.40,32.69,-87.71,-4.55
10338430,---,79.25,55.08,91.21,82.42
10338431,---,-3.02,-45.30,4.02,32.08
10338432,---,5.07,63.85,-25.42,-23.38
10338433,---,-15.79,-30.22,8.46,-24.64
10338434,---,-0.28,-5.36,2.16,6.45
10338435,---,0.26,-3.07,39.87,-3.72
10338436,---,-20.90,-30.76,-49.77,-2.75
10338437,---,57.91,73.81,52.09,44.00
10338438,---,57.41,98.81,-94.25,69.36
10338439,---,-26.82,63.49,-12.52,-94.67
10338440,---,-75.82,-75.79,-80.69,-68.89
10338441,---,-18.08,4.79,-52.07,-0.33
10338442,---,-24.03,-14.49,-35.72,-26.20
10338443,---,-38.15,28.95,-84.59,-49.46
10338444,---,-42.66,-87.55,-7.90,-66.13
10338445,---,52.20,83.89,1.93,48.51
10338446,---,24.23,28.35,28.28,16.18
10338447,---,-21.84,44.71,-86.37,16.98
10338448,---,11.21,43.34,-2.88,-4.41
10338449,---,40.46,3.21,56.16,55.36
10338450,---,-35.30,-60.49,-70.06,32.72
10338451,---,3.05,34.89,47.44,-32.33
10338452,---,-18.79,18.90,-47.52,-27.86
10338453,---,-18.83,-35.19,-48.49,32.62
10338454,---,-87.74,-85.51,-48.64,-99.81
10338455,---,-17.51,5.98,-71.32,22.38
10338456,---,-41.15,-71.57,46.61,-75.12
10338457,---,-73.70,-86.31,26.47,-96.60
10338458,---,-32.46,-28.92,-70.85,6.55
10338459,---,-26.21,-31.22,-15.72,-31.75
10338460,---,32.11,43.68,38.47,16.79
10338461,---,49.65,34.82,16.17,81.71
10338462,---,-61.91,-26.35,-68.11,-90.53
10338463,---,15.99,14.36,31.41,5.60
10338464,---,73.67,98.73,-24.27,64.78
10338465,---,-38.60,-3.66,-84.58,-23.18
10338466,---,53.91,56.26,55.62,49.54
10338467,---,-52.87,-97.33,33.92,-57.78
10338468,---,32.62,29.69,4.81,62.15
10338469,---,-26.31,-2.32,-52.52,-58.97
10338470,---,47.61,57.56,-2.00,72.95
10338471,---,35.54,24.07,39.03,45.11
10338472,---,95.96,96.19,96.00,95.65
10338473,---,41.44,9.83,82.40,16.39
10338474,---,4.79,3.70,2.47,10.21
10338475,---,88.59,86.27,90.57,88.82
10338476,---,15.63,59.25,-57.64,41.76
10338477,---,23.97,36.73,34.21,3.49
10338478,---,42.66,39.79,58.03,30.32
10338479,---,-60.22,-60.39,-97.64,-25.84
10338480,---,19.32,32.45,-16.73,41.07
10338481,---,71.70,74.38,67.50,72.18
10338482,---,8.29,10.28,-7.88,20.58
10338483,---,81.01,78.54,75.76,87.14
10338484,---,-19.45,-2.27,-67.92,23.35
10338485,---,32.53,57.03,61.95,-28.47
10338486,---,14.90,11.73,20.88,12.51
10338487,---,48.62,23.08,51.55,66.72
10338488,---,67.25,34.88,67.51,83.72
10338489,---,72.55,79.34,93.68,17.86
10338490,---,18.27,48.56,-2.63,1.49
10338491,---,-1.35,-1.45,-1.25,-1.39
10338492,---,59.98,46.73,29.59,83.70
10338493,---,-81.68,-90.16,-77.83,-74.09
10338494,---,57.63,66.64,44.29,58.78
10338495,---,10.74,54.31,-44.83,17.31
10338496,---,47.18,41.56,45.98,52.64
10338497,---,84.21,69.85,77.48,95.10
10338498,---,-5.54,18.69,-42.39,0.24
10338499,---,50.76,85.23,-40.37,76.96
10338500,---,77.06,79.21,73.25,79.11
10338501,---,17.29,13.54,16.20,22.24
10338502,---,-8.52,34.65,-82.08,41.12
10338503,---,16.83,-1.40,43.29,2.96
10338504,---,97.00,98.19,96.32,95.91
10338505,---,21.04,1.61,-25.10,71.27
10338506,---,-36.16,-23.47,47.38,-92.55
10338507,---,63.91,80.80,26.37,69.43
10338508,---,-50.79,-45.65,-19.12,-85.44
10338509,---,33.14,43.86,41.56,12.79
10338510,---,37.71,37.93,54.73,17.61
10338511,---,78.72,76.45,37.12,96.00
10338512,---,-26.59,-25.08,-28.27,-26.51
10338513,---,29.03,59.69,-59.17,66.61
10338514,---,-38.01,-28.55,-3.80,-66.05
10338515,---,-16.76,-20.07,-8.66,-21.99
10338516,---,-5.64,20.07,-48.48,19.31
10338517,---,75.69,80.77,74.59,71.98
10338518,---,-12.47,-39.99,-11.18,14.82
10338519,---,43.93,41.69,48.29,41.61
10338520,---,-6.01,24.60,-80.18,53.11
10338521,---,13.53,27.05,-22.47,37.04
10338522,---,74.23,79.55,69.04,73.18
10338523,---,0.27,44.74,15.76,-54.91
10338524,---,49.38,47.45,57.00,41.49
10338525,---,-2.12,8.75,10.65,-24.69
10338526,---,-25.70,-66.63,-56.03,38.03
10338527,---,22.98,61.12,-72.80,77.66
10338528,---,50.68,69.03,37.90,42.99
10338529,---,-52.45,-43.41,-53.86,-59.41
10338530,---,56.78,68.54,43.25,59.14
10338531,---,68.63,67.30,64.53,73.72
10338532,---,38.97,11.74,18.77,73.12
10338533,---,-38.30,-95.60,-12.27,55.93
10338534,---,-56.04,-47.49,-42.80,-73.91
10338535,---,-21.64,-32.66,10.16,-39.92
10338536,---,80.70,96.43,29.08,82.42
10338537,---,48.81,53.54,34.20,58.20
10338538,---,12.63,-20.13,77.30,-30.54
10338539,---,57.92,86.52,3.17,50.02
10338540,---,31.63,29.15,40.79,25.90
10338541,---,22.01,24.82,34.27,0.55
10338542,---,92.29,94.17,87.24,93.70
10338543,---,-14.36,-72.48,55.33,-16.96
10338544,---,5.56,-51.49,76.74,-5.89
10338545,---,73.39,84.26,58.77,73.39
10338546,---,-1.60,73.79,-10.10,-67.28
10338547,---,-23.90,-42.46,-9.64,-22.41
10338548,---,-13.73,-32.49,-3.43,-11.31
10338549,---,-10.66,-20.12,-6.93,-6.59
10338550,---,-3.82,32.52,-41.51,4.74
10338551,---,-20.60,22.30,23.67,-83.34
10338552,---,26.19,-16.33,49.65,43.89
10338553,---,-18.07,-16.05,-70.48,44.42
10338554,---,60.57,71.61,74.94,26.25
10338555,---,78.89,62.39,66.10,92.49
10338556,---,-11.32,-4.02,-10.91,-18.66
10338557,---,22.71,13.52,35.19,18.22
10338558,---,-2.76,10.53,-10.88,-6.35
10338559,---,44.67,91.10,-8.69,-2.30
10338560,---,-15.69,-38.56,2.93,-12.64
10338561,---,-4.55,0.17,-43.21,34.28
10338562,---,-70.38,-18.10,-80.84,-99.19
10338563,---,-29.66,-44.72,-68.86,29.83
10338564,---,77.39,96.23,40.09,23.00
10338565,---,73.43,72.08,82.79,60.94
10338566,---,-50.10,-69.10,-73.54,1.49
10338567,---,53.12,59.61,43.22,56.53
10338568,---,-65.20,-74.54,-69.57,-46.33
10338569,---,63.67,80.87,-28.36,87.23
10338570,---,-57.93,-19.59,-57.88,-86.31
10338571,---,-41.29,-24.07,-82.87,5.68
10338572,---,29.18,-11.95,5.73,72.27
10338573,---,77.34,87.16,63.22,78.00
10338574,---,90.59,89.69,89.95,91.72
10338575,---,-14.94,27.22,-65.36,-5.68
10338576,---,85.88,60.02,91.94,92.81
10338577,---,4.40,58.10,-13.14,-16.30
10338578,---,29.15,39.10,25.87,22.38
10338579,---,-11.18,-17.17,53.32,-70.12
10338580,---,47.35,80.88,-55.33,84.73
10338581,---,-65.30,-81.50,-64.81,-41.35
10338582,---,-46.57,-77.38,-41.02,-13.41
10338583,---,-0.74,85.15,-29.00,-72.23
10338584,---,47.06,42.59,71.26,19.99
10338585,---,94.84,96.46,95.38,92.69
10338586,---,1.68,65.83,17.34,-71.18
10338587,---,42.93,35.14,54.64,37.13
10338588,---,7.08,21.61,-51.98,53.49
10338589,---,3.07,57.31,56.40,-91.28
10338590,---,-62.93,-84.13,-78.03,-19.05
10338591,---,-19.30,14.38,-3.85,-64.34
10338592,---,-24.14,20.61,-44.07,-68.51
10338593,---,82.47,94.39,56.42,80.27
10338594,---,-57.71,-71.13,-39.44,-60.30
10338595,---,12.61,74.43,-23.04,-34.65
10338596,---,-6.62,46.07,7.54,-68.93
10338597,---,-14.33,58.60,-84.05,-10.46
10338598,---,21.55,56.69,11.16,-4.07
10338599,---,-39.80,-33.40,6.49,-87.46
10338600,---,59.06,50.85,76.43,43.73
10338601,---,-18.79,-17.46,-4.07,-35.23
10338602,---,38.96,29.16,-1.33,71.23
10338603,---,67.46,66.53,51.69,79.72
10338604,---,14.49,26.59,6.65,11.05
10338605,---,-80.56,-72.02,-79.76,-87.69
10338606,---,87.43,85.73,89.44,87.30
10338607,---,51.59,72.18,18.04,59.85
10338608,---,60.27,72.62,20.45,67.11
10338609,---,9.53,77.47,-26.17,-23.60
10338610,---,24.21,58.76,21.43,-11.06
10338611,---,21.26,59.94,27.45,-26.68
10338612,---,-68.90,-82.52,-40.81,-75.56
10338613,---,71.83,80.10,34.82,87.67
10338614,---,-11.73,-10.78,27.54,-47.12
10338615,---,49.68,36.71,49.34,61.15
10338616,---,-25.63,-28.03,-41.17,-8.64
10338617,---,26.16,21.30,4.83,47.99
10338618,---,3.48,18.31,43.32,-44.14
10338619,---,67.10,68.44,66.56,66.36
10338620,---,80.85,78.13,71.62,88.63
10338621,---,-5.33,-3.85,23.42,-27.68
10338622,---,-20.37,-47.27,16.85,-28.34
10338623,---,37.16,65.00,-4.88,38.39
10338624,---,70.46,68.04,74.44,69.93
10338625,---,-16.25,35.60,-36.32,-43.44
10338626,---,93.86,94.71,90.85,95.11
10338627,---,-27.02,-19.56,-61.17,9.06
10338628,---,79.01,80.80,56.76,90.85
10338629,---,67.34,95.63,15.61,25.13
10338630,---,-44.14,-30.22,-89.68,-21.24
10338631,---,-33.57,-16.35,-37.39,-50.06
10338632,---,9.88,31.40,-24.26,30.70
10338633,---,-32.94,24.17,-54.95,-56.24
