NAME	TITLE	SCORE	
KLF2	Kruppel like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	0.39504302	
IFI16	interferon gamma inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]	0.393956	
CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	0.39165807	
LAMP1	lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	0.38923427	
FOLR2	folate receptor beta [Source:HGNC Symbol;Acc:HGNC:3793]	0.38517258	
JUND	"JunD proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6206]"	0.38188452	
PMEPA1	"prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]"	0.38012505	
PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	0.37692428	
RGS10	regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]	0.3714848	
TMEM176B	transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]	0.366346	
ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	0.36337915	
VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	0.3607691	
ADGRE1	adhesion G protein-coupled receptor E1 [Source:HGNC Symbol;Acc:HGNC:3336]	0.3589081	
ZMYND15	zinc finger MYND-type containing 15 [Source:HGNC Symbol;Acc:HGNC:20997]	0.35039788	
GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	0.34769267	
SERPINF1	serpin family F member 1 [Source:HGNC Symbol;Acc:HGNC:8824]	0.34603336	
TRIM47	tripartite motif containing 47 [Source:HGNC Symbol;Acc:HGNC:19020]	0.34392115	
ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	0.34314254	
ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	0.33875695	
RAB3IL1	RAB3A interacting protein like 1 [Source:HGNC Symbol;Acc:HGNC:9780]	0.33684698	
GPR34	G protein-coupled receptor 34 [Source:HGNC Symbol;Acc:HGNC:4490]	0.33159944	
TCIM	transcriptional and immune response regulator [Source:HGNC Symbol;Acc:HGNC:1357]	0.3258475	
SNX5	sorting nexin 5 [Source:HGNC Symbol;Acc:HGNC:14969]	0.32401738	
TSC22D3	TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]	0.3221657	
CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	0.3216644	
GDPD3	glycerophosphodiester phosphodiesterase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28638]	0.32095003	
IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	0.31960973	
CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	0.31944284	
RGL1	ral guanine nucleotide dissociation stimulator like 1 [Source:HGNC Symbol;Acc:HGNC:30281]	0.31173655	
MERTK	"MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]"	0.3112866	
GAS6	growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]	0.31068665	
ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	0.30985728	
ITGA9	integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]	0.3090971	
CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	0.29969788	
DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	0.2983976	
MS4A6A	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	0.29678616	
JUN	"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]"	0.295348	
UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	0.29216278	
CD93	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	0.28663966	
GNA12	G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]	0.2863003	
TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	0.28610405	
SLC7A8	solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]	0.2856888	
OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	0.28485665	
NPL	N-acetylneuraminate pyruvate lyase [Source:HGNC Symbol;Acc:HGNC:16781]	0.28372774	
ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	0.28246847	
ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	0.28088072	
CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	0.26742283	
ATP6V0C	ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855]	0.2663623	
MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	0.26468623	
CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	0.2584887	
PLA2G2D	phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]	0.25844866	
CD79B	CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]	0.25808573	
MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	0.25626475	
TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	0.25432497	
FCGR2A	Fc fragment of IgG receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	0.25380194	
SCAMP5	secretory carrier membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:30386]	0.25290447	
CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	0.24942376	
F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	0.24786991	
FOSB	"FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]"	0.24755669	
ST3GAL6	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]"	0.24678962	
SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	0.24619481	
VSIR	V-set immunoregulatory receptor [Source:HGNC Symbol;Acc:HGNC:30085]	0.24581365	
H3-3B	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	0.24464203	
LYVE1	lymphatic vessel endothelial hyaluronan receptor 1 [Source:HGNC Symbol;Acc:HGNC:14687]	0.24279058	
HAL	histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]	0.24120176	
FCGR3A	Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]	0.24116823	
PRXL2B	peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]	0.24061891	
CLN8	CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]	0.23744307	
DSE	dermatan sulfate epimerase [Source:HGNC Symbol;Acc:HGNC:21144]	0.2364737	
TSPAN4	tetraspanin 4 [Source:HGNC Symbol;Acc:HGNC:11859]	0.23639084	
TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	0.23516548	
TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	0.2339268	
CCL24	C-C motif chemokine ligand 24 [Source:HGNC Symbol;Acc:HGNC:10623]	0.23235181	
ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	0.231581	
TANC2	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:HGNC Symbol;Acc:HGNC:30212]"	0.2296085	
ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	0.22629505	
TPST2	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]	0.22243327	
GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	0.22219586	
DOK3	docking protein 3 [Source:HGNC Symbol;Acc:HGNC:24583]	0.2175341	
CLEC4A	C-type lectin domain family 4 member A [Source:HGNC Symbol;Acc:HGNC:13257]	0.21712747	
BANK1	B cell scaffold protein with ankyrin repeats 1 [Source:HGNC Symbol;Acc:HGNC:18233]	0.21653323	
WWP1	WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]	0.21530579	
ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	0.21494667	
SNX2	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]	0.21432696	
RCSD1	RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310]	0.21365443	
FCGR1A	Fc fragment of IgG receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	0.21077313	
EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	0.21051642	
ASB2	ankyrin repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:16012]	0.20951429	
TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	0.20877339	
PTPN18	protein tyrosine phosphatase non-receptor type 18 [Source:HGNC Symbol;Acc:HGNC:9649]	0.20789632	
NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	0.2077756	
RAB6B	"RAB6B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]"	0.20661691	
CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	0.2059621	
APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:604]	0.20569439	
LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	0.20456408	
FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	0.20371386	
SEPTIN8	septin 8 [Source:HGNC Symbol;Acc:HGNC:16511]	0.2034526	
ACP5	"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]"	0.2002293	
GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	0.19937548	
EHD4	EH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:3245]	0.19849987	
LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	0.19674487	
LPCAT2	lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032]	0.19377984	
LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	0.1935907	
CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	0.19214554	
CHP2	calcineurin like EF-hand protein 2 [Source:HGNC Symbol;Acc:HGNC:24927]	0.19022642	
SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	0.19009332	
EEF2K	eukaryotic elongation factor 2 kinase [Source:HGNC Symbol;Acc:HGNC:24615]	0.1890916	
UNC93B1	"unc-93 homolog B1, TLR signaling regulator [Source:HGNC Symbol;Acc:HGNC:13481]"	0.18671599	
IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	0.18456793	
SNX6	sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]	0.18398793	
TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	0.18388766	
P2RY6	pyrimidinergic receptor P2Y6 [Source:HGNC Symbol;Acc:HGNC:8543]	0.18360084	
ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	0.1827234	
NTPCR	"nucleoside-triphosphatase, cancer-related [Source:HGNC Symbol;Acc:HGNC:28204]"	0.18260173	
TMEM86A	transmembrane protein 86A [Source:HGNC Symbol;Acc:HGNC:26890]	0.18241948	
TCF4	transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]	0.18103255	
SELENBP1	selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]	0.18084013	
APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]	0.17999116	
ILDR2	immunoglobulin like domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:18131]	0.17739187	
PIGZ	phosphatidylinositol glycan anchor biosynthesis class Z [Source:HGNC Symbol;Acc:HGNC:30596]	0.17674081	
DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	0.17654122	
TPP1	tripeptidyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:2073]	0.17606954	
C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	0.17572701	
PKIG	cAMP-dependent protein kinase inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:9019]	0.17395666	
ADAP2	ArfGAP with dual PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16487]	0.17316516	
SMIM24	small integral membrane protein 24 [Source:HGNC Symbol;Acc:HGNC:37244]	0.17282471	
DPPA3	developmental pluripotency associated 3 [Source:HGNC Symbol;Acc:HGNC:19199]	0.17241815	
PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	0.17233214	
NUPR1	"nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]"	0.17157237	
KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	0.17125529	
LRP6	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]	0.17106412	
PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	0.17056084	
RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	0.17022444	
ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	0.16914499	
PGPEP1	pyroglutamyl-peptidase I [Source:HGNC Symbol;Acc:HGNC:13568]	0.16912816	
CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	0.16874939	
CCDC152	coiled-coil domain containing 152 [Source:HGNC Symbol;Acc:HGNC:34438]	0.16869496	
RCBTB2	RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914]	0.16841592	
LRRC25	leucine rich repeat containing 25 [Source:HGNC Symbol;Acc:HGNC:29806]	0.1674194	
DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	0.16729349	
P2RX4	purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]	0.16719663	
SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	0.16707951	
NCL	nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]	0.166805	
EVA1B	eva-1 homolog B [Source:HGNC Symbol;Acc:HGNC:25558]	0.16659372	
MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	0.16579773	
TREM2	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]	0.16570958	
ZDHHC14	zinc finger DHHC-type palmitoyltransferase 14 [Source:HGNC Symbol;Acc:HGNC:20341]	0.16562863	
IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	0.1655228	
SUMO3	small ubiquitin like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124]	0.16538566	
KRAS	"KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]"	0.16534518	
TMEM87B	transmembrane protein 87B [Source:HGNC Symbol;Acc:HGNC:25913]	0.16496505	
FCRL2	Fc receptor like 2 [Source:HGNC Symbol;Acc:HGNC:14875]	0.16345808	
RASA4	RAS p21 protein activator 4 [Source:HGNC Symbol;Acc:HGNC:23181]	0.16244133	
CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	0.16144958	
LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	0.16138138	
PLD3	phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158]	0.16121979	
DMAC1	distal membrane arm assembly component 1 [Source:HGNC Symbol;Acc:HGNC:30536]	0.16087516	
RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	0.16084455	
MFSD11	major facilitator superfamily domain containing 11 [Source:HGNC Symbol;Acc:HGNC:25458]	0.16074999	
RTCB	"RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:HGNC Symbol;Acc:HGNC:26935]"	0.15974967	
PEAK1	pseudopodium enriched atypical kinase 1 [Source:HGNC Symbol;Acc:HGNC:29431]	0.15859012	
METRNL	"meteorin like, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:27584]"	0.15788823	
CTNND1	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	0.15718856	
IGHM	immunoglobulin heavy constant mu [Source:HGNC Symbol;Acc:HGNC:5541]	0.15655713	
SORBS3	sorbin and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30907]	0.15612811	
WBP2	WW domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12738]	0.1559566	
NISCH	nischarin [Source:HGNC Symbol;Acc:HGNC:18006]	0.15532917	
MKNK1	MAPK interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]	0.15527542	
RAB11FIP5	RAB11 family interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:24845]	0.15507977	
IL10RB	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	0.15507928	
SASH1	SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]	0.15435761	
SLC15A2	solute carrier family 15 member 2 [Source:HGNC Symbol;Acc:HGNC:10921]	0.15380464	
ITM2C	integral membrane protein 2C [Source:HGNC Symbol;Acc:HGNC:6175]	0.1536763	
SBF2	SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]	0.15363738	
TLR7	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]	0.1529035	
SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	0.1520151	
FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	0.15168594	
TLR12P	"toll like receptor 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:31754]"	0.15135014	
KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	0.15102512	
P2RY12	purinergic receptor P2Y12 [Source:HGNC Symbol;Acc:HGNC:18124]	0.1507987	
MPP1	membrane palmitoylated protein 1 [Source:HGNC Symbol;Acc:HGNC:7219]	0.15034749	
TPBGL	trophoblast glycoprotein like [Source:HGNC Symbol;Acc:HGNC:44159]	0.14906389	
ARRDC2	arrestin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25225]	0.14878704	
IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	0.14780734	
TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	0.14682457	
HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	0.14651068	
NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	0.14637154	
SPINT1	"serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]"	0.14555193	
C15orf39	chromosome 15 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:24497]	0.14551257	
SLC25A10	solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980]	0.14505576	
SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	0.1450299	
GIMAP6	"GTPase, IMAP family member 6 [Source:HGNC Symbol;Acc:HGNC:21918]"	0.14488865	
PTMA	prothymosin alpha [Source:HGNC Symbol;Acc:HGNC:9623]	0.14487554	
MRC1	mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]	0.14477235	
TNFRSF17	TNF receptor superfamily member 17 [Source:HGNC Symbol;Acc:HGNC:11913]	0.14468724	
TM4SF5	transmembrane 4 L six family member 5 [Source:HGNC Symbol;Acc:HGNC:11857]	0.14432307	
MAP1LC3B	microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352]	0.14429392	
AOAH	acyloxyacyl hydrolase [Source:HGNC Symbol;Acc:HGNC:548]	0.14418693	
RAPSN	receptor associated protein of the synapse [Source:HGNC Symbol;Acc:HGNC:9863]	0.1438623	
PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	0.14355631	
RHOBTB1	Rho related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738]	0.1433501	
ENGASE	endo-beta-N-acetylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:24622]	0.14331616	
CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	0.14276423	
SNX24	sorting nexin 24 [Source:HGNC Symbol;Acc:HGNC:21533]	0.14264588	
TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	0.14245786	
RNF227	ring finger protein 227 [Source:HGNC Symbol;Acc:HGNC:27571]	0.14227356	
SLAMF6	SLAM family member 6 [Source:HGNC Symbol;Acc:HGNC:21392]	0.14205416	
STARD8	StAR related lipid transfer domain containing 8 [Source:HGNC Symbol;Acc:HGNC:19161]	0.14195535	
GATM	glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175]	0.14180765	
LILRA5	leukocyte immunoglobulin like receptor A5 [Source:HGNC Symbol;Acc:HGNC:16309]	0.14150923	
GTF2H2	general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]	0.14116935	
HMOX2	heme oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:5014]	0.14114463	
MOB3C	MOB kinase activator 3C [Source:HGNC Symbol;Acc:HGNC:29800]	0.14113308	
CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	0.14105771	
RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	0.14102745	
FGD2	"FYVE, RhoGEF and PH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3664]"	0.140471	
HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	0.14040445	
ZNRF1	zinc and ring finger 1 [Source:HGNC Symbol;Acc:HGNC:18452]	0.139929	
PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	0.13946958	
TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	0.13906193	
ACP2	"acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]"	0.13901329	
EMILIN1	elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]	0.13891321	
AKIRIN2	akirin 2 [Source:HGNC Symbol;Acc:HGNC:21407]	0.13884024	
CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	0.13882089	
SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	0.1377125	
